"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual"
"09:15:00 10/10/2007",NA,NA,NA,NA,NA,NA,NA,NA,25,65,37,65,NA,NA,10.7,65,6.7,65,0.003,65,0.11,65,NA,NA,NA,NA,NA,NA,0.13,65,0.009,65,2,65,2.2,65,8.1,65,NA,NA
"09:15:00 17/11/2004",NA,NA,NA,NA,NA,NA,NA,NA,30,65,51,65,NA,NA,11.6,65,6,65,0.004,65,0.22,65,NA,NA,NA,NA,NA,NA,0.43,65,0.01,65,8,65,8.3,65,11.7,65,NA,NA
"09:25:00 10/12/2003",NA,NA,NA,NA,NA,NA,NA,NA,60,65,44,65,NA,NA,10.4,65,7.4,65,0.003,65,0.18,65,NA,NA,NA,NA,NA,NA,0.21,65,0.01,65,4,65,NA,NA,17,65,NA,NA
"09:25:00 19/11/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,65,NA,NA,10.7,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,65,10.2,65,NA,NA
"09:27:00 27/12/2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,65,NA,NA,10.1,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,9.2,65,NA,NA
"09:30:00 03/02/2016",NA,NA,NA,NA,NA,NA,NA,NA,48,1,49,1,NA,NA,9.6,1,6.8,1,0.003,1,0.22,1,NA,NA,NA,NA,NA,NA,0.14,1,0.014,1,7,1,5.7,1,17.5,1,NA,NA
"09:30:00 11/01/2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,NA,NA,8.9,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,65,18.5,65,NA,NA
"09:30:00 12/03/2015",NA,NA,NA,NA,NA,NA,NA,NA,2,1,51,1,NA,NA,7.7,1,10.1,1,0.003,1,0.01,1,NA,NA,NA,NA,NA,NA,0.12,1,0.005,1,4,1,3.7,1,13.9,1,NA,NA
"09:33:00 15/01/1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,65,NA,NA,10.2,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,65,13,65,NA,NA
"09:37:00 10/10/2017",NA,NA,NA,NA,NA,NA,NA,NA,40,1,33,1,NA,NA,11.2,1,6.5,1,0.011,1,0.24,1,NA,NA,NA,NA,NA,NA,0.15,1,0.02,1,6,1,7.9,1,10.1,1,NA,NA
"09:38:00 06/11/1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,NA,NA,10.9,65,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,65,11.5,65,NA,NA
"09:40:00 06/10/2008",NA,NA,NA,NA,NA,NA,NA,NA,30,65,32,65,NA,NA,7.1,65,6.1,65,0.003,65,0.14,65,NA,NA,NA,NA,NA,NA,0.13,65,0.01,65,3,65,5,65,8.2,65,NA,NA
"09:41:00 02/12/2015",NA,NA,NA,NA,NA,NA,NA,NA,28,1,57,1,NA,NA,10.7,1,7.1,1,0.014,1,0.18,1,NA,NA,NA,NA,NA,NA,0.12,1,0.012,1,4,1,2.7,1,13.4,1,NA,NA
"09:42:00 07/10/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,65,NA,NA,10.9,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,65,10,65,NA,NA
"09:42:00 09/11/2017",NA,NA,NA,NA,NA,NA,NA,NA,28,1,37,1,NA,NA,11.5,1,6.8,1,0.003,1,0.17,1,NA,NA,NA,NA,NA,NA,0.17,1,0.012,1,3,1,4.4,1,10.3,1,NA,NA
"09:42:00 15/05/1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,NA,NA,10.8,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,65,9,65,NA,NA
"09:44:00 11/11/1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,65,NA,NA,11,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,65,9,65,NA,NA
"09:45:00 10/02/1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,NA,NA,9.2,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,65,15,65,NA,NA
"09:45:00 16/01/2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,65,NA,NA,9.9,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,65,13.5,65,NA,NA
"09:47:00 03/11/1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,65,NA,NA,11,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,65,9.5,65,NA,NA
"09:53:00 14/11/2007",NA,NA,NA,NA,NA,NA,NA,NA,28,65,68,65,NA,NA,9.9,65,7.2,65,0.003,65,0.11,65,NA,NA,NA,NA,NA,NA,0.19,65,0.01,65,2,65,2.2,65,14.2,65,NA,NA
"09:55:00 07/04/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,65,NA,NA,10.6,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,11,65,NA,NA
"09:55:00 11/02/1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,65,NA,NA,9,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,65,15.5,65,NA,NA
"09:57:00 08/12/2016",NA,NA,NA,NA,NA,NA,NA,NA,24,1,42,1,NA,NA,10.5,1,7.4,1,0.011,1,0.11,1,NA,NA,NA,NA,NA,NA,0.18,1,0.005,1,2,1,3.2,1,14.3,1,NA,NA
"09:58:00 07/12/2017",NA,NA,NA,NA,NA,NA,NA,NA,40,1,42,1,NA,NA,10.8,1,7,1,0.003,1,0.24,1,NA,NA,NA,NA,NA,NA,0.28,1,0.023,1,10,1,8,1,13.1,1,NA,NA
"10:00:00 02/04/2014",NA,NA,NA,NA,NA,NA,NA,NA,40,1,48,1,NA,NA,9.4,1,6.9,1,0.003,1,0.23,1,NA,NA,NA,NA,NA,NA,0.11,1,0.024,1,2,1,3.1,1,16.4,1,NA,NA
"10:00:00 06/02/2003",0.009,65,NA,NA,NA,NA,NA,NA,30,65,59,65,NA,NA,7.2,65,7.5,65,0.004,65,0.26,65,NA,NA,NA,NA,NA,NA,0.12,65,0.01,65,2,65,1.2,65,18.2,65,NA,NA
"10:00:00 06/03/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,65,NA,NA,10,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,15,65,NA,NA
"10:00:00 06/03/2019",NA,NA,NA,NA,NA,NA,NA,NA,40,1,46,1,NA,NA,9,1,7.08,1,0.003,1,0.19,1,NA,NA,NA,NA,NA,NA,0.035,1,0.012,1,3,1,2.4,1,17.7,1,NA,NA
"10:00:00 06/05/2008",NA,NA,NA,NA,NA,NA,NA,NA,35,65,44,65,NA,NA,11.4,65,7.3,65,0.003,65,0.08,65,NA,NA,NA,NA,NA,NA,0.07,65,0.005,65,2,65,2.3,65,9.4,65,NA,NA
"10:00:00 06/05/2010",NA,NA,NA,NA,NA,NA,NA,NA,120,1,40,1,NA,NA,9.6,1,7.2,1,0.005,1,0.24,1,NA,NA,NA,NA,NA,NA,0.143,1,0.019,1,8,1,13.5,1,10.6,1,NA,NA
"10:00:00 08/02/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,65,NA,NA,7,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,65,15.5,65,NA,NA
"10:00:00 08/03/2007",NA,NA,NA,NA,NA,NA,NA,NA,45,65,47,65,NA,NA,9.3,65,7.4,65,0.003,65,0.22,65,NA,NA,NA,NA,NA,NA,0.03,65,0.03,65,8,65,3.3,65,16.4,65,NA,NA
"10:00:00 09/10/2018",NA,NA,NA,NA,NA,NA,NA,NA,20,1,29.8,1,NA,NA,10.7,1,7.2,1,0.003,1,0.12,1,NA,NA,NA,NA,NA,NA,0.16,1,0.009,1,4,1,3.8,1,10.3,1,NA,NA
"10:00:00 11/06/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,65,NA,NA,11.4,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,65,7.5,65,NA,NA
"10:00:00 12/10/1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,65,NA,NA,11.2,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,65,9,65,NA,NA
"10:00:00 14/12/2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,65,NA,NA,10.2,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,65,15,65,NA,NA
"10:00:00 15/01/2003",0.006,65,NA,NA,NA,NA,NA,NA,40,65,54,65,NA,NA,11,65,7.3,65,0.003,65,0.2,65,NA,NA,NA,NA,NA,NA,0.1,65,0.005,65,4,65,1.3,65,15.9,65,NA,NA
"10:00:00 15/02/1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,65,NA,NA,8.8,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,65,18,65,NA,NA
"10:00:00 15/11/1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,65,NA,NA,10.6,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,65,12,65,NA,NA
"10:00:00 17/02/2015",NA,NA,NA,NA,NA,NA,NA,NA,60,1,55,1,NA,NA,9.6,1,6.5,1,0.003,1,0.26,1,NA,NA,NA,NA,NA,NA,0.13,1,0.019,1,5,1,4.4,1,16.8,1,NA,NA
"10:05:00 06/11/2019",NA,NA,NA,NA,NA,NA,NA,NA,30,1,50.4,1,NA,NA,10.7,1,6.95,1,0.003,1,0.23,1,NA,NA,NA,NA,NA,NA,0.17,1,0.017,1,4,1,4.6,1,11.7,1,NA,NA
"10:05:00 09/09/2008",NA,NA,NA,NA,NA,NA,NA,NA,30,65,38,65,NA,NA,8.8,65,7.4,65,0.003,65,0.15,65,NA,NA,NA,NA,NA,NA,0.15,65,0.01,65,5,65,6.4,65,7.3,65,NA,NA
"10:08:00 16/12/1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,9.7,65,6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,14,65,NA,NA
"10:10:00 05/05/2020",NA,NA,NA,NA,NA,NA,NA,NA,35,1,51.3,1,NA,NA,11.2,1,6.7,1,0.003,1,0.23,1,NA,NA,NA,NA,NA,NA,0.48,1,0.022,1,19,1,8.7,1,9.3,1,NA,NA
"10:10:00 06/08/2008",NA,NA,NA,NA,NA,NA,NA,NA,30,65,44,65,NA,NA,9.8,65,6.5,65,0.003,65,0.13,65,NA,NA,NA,NA,NA,NA,0.19,65,0.01,65,3,65,3.8,65,6.2,65,NA,NA
"10:10:00 13/08/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,65,NA,NA,12.8,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,65,8.5,65,NA,NA
"10:10:00 14/12/1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,65,NA,NA,6.2,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,65,16.5,65,NA,NA
"10:12:00 10/02/1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,65,NA,NA,9.4,65,6.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,15,65,NA,NA
"10:12:00 16/12/1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,65,NA,NA,8.9,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,12.5,65,NA,NA
"10:15:00 04/04/2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,65,NA,NA,10.6,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,10.5,65,NA,NA
"10:15:00 10/06/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,65,NA,NA,12,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,65,6.5,65,NA,NA
"10:15:00 15/05/2003",0.002,65,NA,NA,NA,NA,NA,NA,25,65,47,65,NA,NA,10.3,65,7.1,65,0.006,65,0.19,65,NA,NA,NA,NA,NA,NA,0.1,65,0.01,65,4,65,1.6,65,9.8,65,NA,NA
"10:15:00 15/12/2004",NA,NA,NA,NA,NA,NA,NA,NA,50,65,41,65,NA,NA,10.8,65,6.5,65,0.003,65,0.24,65,NA,NA,NA,NA,NA,NA,0.14,65,0.01,65,9,65,9.6,65,12.8,65,NA,NA
"10:15:00 20/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,65,NA,NA,9.4,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,65,19.8,65,NA,NA
"10:16:00 11/05/1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,65,NA,NA,11.2,65,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,65,10,65,NA,NA
"10:18:00 08/06/1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,65,NA,NA,10.2,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,65,8,65,NA,NA
"10:18:00 12/06/2007",NA,NA,NA,NA,NA,NA,NA,NA,45,65,48,65,NA,NA,11.8,65,6.8,65,0.03,65,0.29,65,NA,NA,NA,NA,NA,NA,0.13,65,0.06,65,14,65,11.3,65,7.5,65,NA,NA
"10:19:00 13/04/2016",NA,NA,NA,NA,NA,NA,NA,NA,32,1,52,1,NA,NA,10.5,1,7.4,1,0.007,1,0.16,1,NA,NA,NA,NA,NA,NA,0.12,1,0.011,1,6,1,4.2,1,13,1,NA,NA
"10:20:00 16/02/1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,65,NA,NA,9.6,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,65,17,65,NA,NA
"10:24:00 06/03/2017",NA,NA,NA,NA,NA,NA,NA,NA,45,1,47,1,NA,NA,9.4,1,7.1,1,0.003,1,0.17,1,NA,NA,NA,NA,NA,NA,0.096,1,0.006,1,2,1,3.7,1,16.9,1,NA,NA
"10:25:00 05/11/2004",NA,NA,NA,NA,NA,NA,NA,NA,30,65,44,65,NA,NA,NA,NA,7.8,65,0.003,65,0.16,65,NA,NA,NA,NA,NA,NA,0.14,65,0.01,65,4,65,4.1,65,14.7,65,NA,NA
"10:25:00 13/01/1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,65,NA,NA,9.6,65,6.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,65,13.5,65,NA,NA
"10:25:00 15/06/2016",NA,NA,NA,NA,NA,NA,NA,NA,36,1,47,1,NA,NA,12.6,1,7.5,1,0.003,1,0.13,1,NA,NA,NA,NA,NA,NA,0.2,1,0.025,1,6,1,3.7,1,5,1,NA,NA
"10:25:00 28/10/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,65,NA,NA,11,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,65,8,65,NA,NA
"10:26:00 19/04/1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,65,NA,NA,10.6,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,65,9.5,65,NA,NA
"10:30:00 03/12/2014",NA,NA,NA,NA,NA,NA,NA,NA,40,1,51,1,NA,NA,9,1,6.8,1,0.003,1,0.15,1,NA,NA,NA,NA,NA,NA,0.18,1,0.007,1,2,1,2.6,1,16.7,1,NA,NA
"10:30:00 09/08/2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,65,NA,NA,11.5,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,65,8,65,NA,NA
"10:30:00 09/08/2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,65,NA,NA,12,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,7.8,65,NA,NA
"10:30:00 13/10/2020",NA,NA,NA,NA,NA,NA,NA,NA,25,1,45,1,NA,NA,11,1,6.8,1,0.004,1,0.19,1,NA,NA,NA,NA,NA,NA,0.28,1,0.01,1,6,1,5.8,1,11.1,1,NA,NA
"10:30:00 15/09/2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,65,NA,NA,11,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,65,10,65,NA,NA
"10:30:00 28/04/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,65,NA,NA,11.4,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,65,8,65,NA,NA
"10:33:00 09/10/1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,65,NA,NA,10.6,65,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,65,9.5,65,NA,NA
"10:33:00 11/12/2002",0.002,65,NA,NA,NA,NA,NA,NA,30,65,39,65,NA,NA,10.4,65,7.2,65,0.003,65,0.17,65,NA,NA,NA,NA,NA,NA,0.14,65,0.01,65,4,65,1.8,65,11.7,65,NA,NA
