"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual"
"06:50:00 02/04/2008",NA,NA,NA,NA,NA,NA,NA,NA,30,65,32,65,NA,NA,8.2,65,6.9,65,0.003,65,0.15,65,NA,NA,NA,NA,NA,NA,0.06,65,0.04,65,2,65,2.3,65,11.8,65,NA,NA
"06:50:00 08/01/2009",NA,NA,NA,NA,NA,NA,NA,NA,23,65,38,65,NA,NA,12.7,65,7,65,0.003,65,0.12,65,NA,NA,NA,NA,NA,NA,0.14,65,0.009,65,2,65,3.1,65,13.9,65,NA,NA
"06:50:00 17/02/2009",NA,NA,NA,NA,NA,NA,NA,NA,32,65,46,65,NA,NA,10.2,65,3.7,65,0.003,65,0.15,65,NA,NA,NA,NA,NA,NA,0.03,65,0.01,65,2,65,2.6,65,15.8,65,NA,NA
"07:23:00 06/03/2008",NA,NA,NA,NA,NA,NA,NA,NA,25,65,41,65,NA,NA,7.8,65,6.9,65,0.003,65,0.38,65,NA,NA,NA,NA,NA,NA,0.07,65,0.009,65,5,65,2.5,65,14.5,65,NA,NA
"07:55:00 12/03/2003",0.002,65,NA,NA,NA,NA,NA,NA,50,65,55,65,NA,NA,10.4,65,7.2,65,0.003,65,0.32,65,NA,NA,NA,NA,NA,NA,0.07,65,0.02,65,12,65,3.9,65,13.8,65,NA,NA
"08:00:00 14/01/2004",NA,NA,NA,NA,NA,NA,NA,NA,50,65,48,65,NA,NA,9.8,65,7.5,65,0.006,65,0.16,65,NA,NA,NA,NA,NA,NA,0.15,65,0.01,65,2,65,NA,NA,15.6,65,NA,NA
"08:10:00 06/11/2008",NA,NA,NA,NA,NA,NA,NA,NA,30,65,36,65,NA,NA,11,65,6.3,65,0.003,65,0.18,65,NA,NA,NA,NA,NA,NA,0.1,65,0.01,65,6,65,1.3,65,11.4,65,NA,NA
"08:20:00 03/07/2008",NA,NA,NA,NA,NA,NA,NA,NA,40,65,36,65,NA,NA,10.4,65,6.5,65,0.003,65,0.19,65,NA,NA,NA,NA,NA,NA,0.17,65,0.01,65,6,65,5.6,65,7.5,65,NA,NA
"08:21:00 11/01/1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,65,NA,NA,7.4,65,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,65,17,65,NA,NA
"08:30:00 02/12/2008",NA,NA,NA,NA,NA,NA,NA,NA,33,65,33,65,NA,NA,10.6,65,6.4,65,0.003,65,0.17,65,NA,NA,NA,NA,NA,NA,0.14,65,0.01,65,5,65,8.3,65,10.6,65,NA,NA
"08:30:00 03/02/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,65,NA,NA,9,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,65,18,65,NA,NA
"08:35:00 07/01/2021",NA,NA,NA,NA,NA,NA,NA,NA,60,1,50.2,1,NA,NA,10.3,1,6.66,1,0.003,1,0.3,1,NA,NA,NA,NA,NA,NA,0.29,1,0.023,1,20,1,16.6,1,13.3,1,NA,NA
"08:40:00 08/02/2017",NA,NA,NA,NA,NA,NA,NA,NA,80,1,47,1,NA,NA,9.5,1,7.1,1,0.003,1,0.32,1,NA,NA,NA,NA,NA,NA,0.12,1,0.022,1,8,1,12.9,1,15.8,1,NA,NA
"08:44:00 12/02/2008",NA,NA,NA,NA,NA,NA,NA,NA,45,65,48,65,NA,NA,9.7,65,6.9,65,0.003,65,0.18,65,NA,NA,NA,NA,NA,NA,0.06,65,0.01,65,7,65,3.8,65,15.1,65,NA,NA
"08:45:00 08/02/2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,65,NA,NA,8.8,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,65,19,65,NA,NA
"08:45:00 12/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,65,NA,NA,9.4,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,15.3,65,NA,NA
"08:47:00 22/03/1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,65,NA,NA,9.8,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,65,14,65,NA,NA
"08:50:00 08/01/2008",NA,NA,NA,NA,NA,NA,NA,NA,35,65,48,65,NA,NA,9,65,7.5,65,0.003,65,0.03,65,NA,NA,NA,NA,NA,NA,0.11,65,0.008,65,2,65,2.1,65,17.4,65,NA,NA
"09:00:00 05/02/2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,65,NA,NA,8.5,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,65,13.6,65,NA,NA
"09:00:00 06/12/2018",NA,NA,NA,NA,NA,NA,NA,NA,35,1,41,1,NA,NA,10.4,1,6.9,1,0.003,1,0.19,1,NA,NA,NA,NA,NA,NA,0.12,1,0.01,1,6,1,3.9,1,13.1,1,NA,NA
"09:00:00 11/04/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,65,NA,NA,9.9,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,65,11,65,NA,NA
"09:02:00 08/11/2018",NA,NA,NA,NA,NA,NA,NA,NA,60,1,40.4,1,NA,NA,10.73,1,6.82,1,0.004,1,0.34,1,NA,NA,NA,NA,NA,NA,0.12,1,0.025,1,11,1,8.9,1,10.7,1,NA,NA
"09:08:00 10/03/2016",NA,NA,NA,NA,NA,NA,NA,NA,48,1,53,1,NA,NA,8.8,1,7.3,1,0.003,1,0.16,1,NA,NA,NA,NA,NA,NA,0.11,1,0.015,1,5,1,4.5,1,19.6,1,NA,NA
"09:15:00 03/02/2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,65,NA,NA,9.9,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,65,15,65,NA,NA
"09:15:00 03/06/2009",NA,NA,NA,NA,NA,NA,NA,NA,30,65,43,65,NA,NA,10.4,65,6.6,65,0.003,65,0.11,65,NA,NA,NA,NA,NA,NA,0.1,65,0.01,65,2,65,2.7,65,8.8,65,NA,NA
"09:15:00 07/01/2019",NA,NA,NA,NA,NA,NA,NA,NA,40,1,44,1,NA,NA,9.5,1,7.3,1,0.003,1,0.15,1,NA,NA,NA,NA,NA,NA,0.1,1,0.01,1,2,1,1.9,1,17,1,NA,NA
"09:15:00 09/09/2003",NA,NA,NA,NA,NA,NA,NA,NA,25,65,43,65,NA,NA,10.8,65,7,65,0.008,65,0.13,65,NA,NA,NA,NA,NA,NA,0.27,65,0.01,65,4,65,NA,NA,6.2,65,NA,NA
"09:15:00 09/12/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,65,NA,NA,10.2,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,65,12.5,65,NA,NA
