"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"11:25:00 03/11/2005",25,65,109,65,7.1,65,6.4,65,0.003,65,0.13,65,0.11,65,0.01,65,3,65,3.1,65,NA,NA
"11:30:00 20/09/2007",25,65,144,65,9.4,65,6.4,65,0.003,65,0.2,65,0.14,65,0.01,65,9,65,10.3,65,13.5,65
"11:45:00 03/08/2009",20,1,175.6,1,10.4,1,7.2,1,0.002,1,0.05,1,0.156,1,0.008,1,4,1,5.9,1,10.5,1
"11:45:00 16/01/2008",20,65,128,65,6.3,65,7.1,65,0.003,65,0.15,65,0.05,65,0.01,65,14,65,6.7,65,22.3,65
"11:50:00 10/05/2006",19,65,80,65,10.5,65,6.5,65,0.003,65,0.1,65,0.06,65,0.005,65,2,65,1.7,65,12.4,65
"11:50:00 16/08/2006",25,65,80,65,11.4,65,6.6,65,0.003,65,0.13,65,0.11,65,0.005,65,3,65,2.3,65,9.9,65
"11:55:00 06/04/2009",14,65,112,65,7,65,6.8,65,0.003,65,0.17,65,0.07,65,0.01,65,6,65,5.8,65,16.2,65
"11:56:00 15/06/2006",17,65,91,65,11.4,65,7,65,0.003,65,0.1,65,0.09,65,0.005,65,2,65,1.3,65,8.7,65
"12:05:00 10/08/2005",25,65,91,65,10.3,65,7.2,65,0.003,65,0.15,65,0.15,65,0.01,65,3,65,3.7,65,NA,NA
"12:05:00 25/10/2006",10,65,NA,NA,10.3,65,6.3,65,0.003,65,0.17,65,0.09,65,0.02,65,6,65,4.5,65,17.1,65
"12:10:00 28/09/2006",20,65,79,65,9.6,65,6.1,65,0.003,65,0.14,65,0.06,65,0.005,65,1,65,2.3,65,NA,NA
"12:15:00 01/10/2008",8,65,114,65,8.7,65,7,65,0.003,65,0.24,65,0.07,65,0.02,65,18,65,12.5,65,15.3,65
"12:15:00 13/07/2005",90,65,108,65,9.9,65,7,65,0.006,65,0.36,65,0.24,65,0.05,65,9,65,22,65,NA,NA
"12:15:00 13/09/2005",30,65,66,65,10.2,65,7.2,65,0.003,65,0.21,65,0.1,65,0.03,65,10,65,11,65,NA,NA
"12:15:00 14/06/2012",32,1,92,1,10.7,1,7.4,1,0.003,1,0.2,1,0.41,1,0.023,1,10,1,18.4,1,8.2,1
"12:20:00 02/02/2012",18,1,82,1,8.2,1,7.5,1,0.004,1,0.17,1,0.079,1,0.015,1,8,1,7,1,21.7,1
"12:20:00 03/05/2012",32,1,74,1,9.6,1,6.8,1,0.003,1,0.15,1,0.13,1,0.007,1,5,1,4.2,1,12.9,1
"12:20:00 06/10/2010",12,1,84,1,9.5,1,6.8,1,0.003,1,0.14,1,0.073,1,0.012,1,4,1,4.5,1,17.2,1
"12:20:00 13/10/2005",18,65,99,65,16.5,65,6.5,65,0.003,65,0.15,65,0.08,65,0.005,65,2,65,2.8,65,NA,NA
"12:26:00 26/07/2006",35,65,92,65,11.1,65,6.8,65,0.003,65,0.22,65,0.2,65,0.007,65,4,65,4.1,65,10.8,65
"12:30:00 04/02/2009",18,65,87,65,6,65,7.3,65,0.003,65,0.2,65,0.09,65,0.01,65,7,65,5.4,65,23,65
"12:30:00 06/01/2010",20,1,91,1,6.7,1,6.9,1,0.013,1,0.14,1,0.024,1,0.017,1,1,1,5.7,1,23.3,1
"12:30:00 21/11/2007",30,65,131,65,6.1,65,6.7,65,0.003,65,0.26,65,0.13,65,0.03,65,8,65,9.5,65,21.1,65
"12:30:00 27/04/2006",16,65,88,65,9.2,65,6.4,65,0.003,65,0.14,65,0.07,65,0.01,65,2,65,2.6,65,14.4,65
"12:35:00 02/12/2010",240,1,91,1,8.3,1,6.9,1,0.99,1,2.9,1,0.42,1,1.5,1,58,1,19.2,1,19.4,1
"12:40:00 04/05/2009",8,65,NA,NA,NA,NA,NA,NA,0.003,65,0.12,65,0.09,65,0.01,65,4,65,NA,NA,NA,NA
"12:50:00 04/04/2012",14,1,113,1,8.2,1,6.4,1,0.003,1,0.15,1,0.076,1,0.008,1,3,1,5.5,1,20.3,1
"12:50:00 09/11/2009",20,1,112.8,1,7.4,1,7.3,1,0.003,1,0.11,1,0.091,1,0.026,1,1,1,5.1,1,22.3,1
"12:50:00 30/06/2008",11,65,71,65,10.2,65,6,65,0.01,65,0.14,65,0.27,65,0.01,65,8,65,8,65,11.5,65
"13:00:00 22/02/2007",30,65,129,65,7.6,65,7,65,0.003,65,0.29,65,0.01,65,0.02,65,1,65,NA,NA,25.1,65
"13:10:00 01/07/2008",NA,NA,109,65,9.9,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,65,11,65
"13:10:00 04/07/2011",16,1,89,1,11.7,1,6.9,1,0.003,1,0.12,1,0.18,1,0.008,1,3,1,4.8,1,8.7,1
"13:15:00 03/11/2011",18,1,113,1,8.1,1,6.8,1,0.003,1,0.17,1,0.15,1,0.016,1,6,1,8.5,1,17.4,1
"13:20:00 08/04/2010",20,1,43.1,1,7.3,1,6.6,1,0.002,1,0.05,1,0.224,1,0.01,1,6,1,7.1,1,18.8,1
"13:30:00 05/09/2012",40,1,108,1,10.6,1,7.6,1,0.003,1,0.22,1,0.21,1,0.018,1,8,1,13.2,1,13.4,1
"13:30:00 05/12/2007",23,65,126,65,9.4,65,7.1,65,0.003,65,0.14,65,0.18,65,0.01,65,10,65,7.1,65,20.4,65
"13:30:00 07/08/2008",14,65,106,65,10.5,65,7,65,0.003,65,0.17,65,0.32,65,0.01,65,6,65,8.3,65,10.1,65
"13:45:00 01/02/2011",20,1,106,1,7.2,1,6.9,1,0.003,1,0.25,1,0.062,1,0.017,1,5,1,4.2,1,27.1,1
"13:45:00 05/01/2012",18,1,103,1,6.9,1,6.9,1,0.003,1,0.17,1,0.07,1,0.016,1,6,1,5.6,1,24.3,1
"13:50:00 01/09/2011",14,1,105,1,8.7,1,7.6,1,0.003,1,0.11,1,0.42,1,0.01,1,4,1,6.1,1,13,1
"13:50:00 05/05/2011",18,1,75,1,8.6,1,7.1,1,0.003,1,0.16,1,0.11,1,0.02,1,5,1,5.3,1,14.7,1
"13:55:00 06/05/2010",15,1,76.9,1,8.6,1,7.2,1,0.003,1,0.04,1,0.085,1,0.005,1,3,1,4.4,1,14.2,1
"14:00:00 01/07/2008",14,65,NA,NA,NA,NA,NA,NA,0.003,65,0.17,65,0.27,65,0.01,65,8,65,NA,NA,NA,NA
"14:00:00 01/09/2010",16,1,87,1,9.7,1,7,1,0.003,1,0.18,1,0.09,1,0.01,1,5,1,5.5,1,11,1
"14:00:00 05/07/2012",20,1,94,1,11.4,1,7.3,1,0.003,1,0.1,1,0.24,1,0.005,1,4,1,6.9,1,8.8,1
"14:05:00 07/06/2011",18,1,76,1,10.6,1,6.8,1,0.003,1,0.11,1,0.14,1,0.006,1,2,1,2.6,1,9.7,1
"14:10:00 01/06/2009",20,65,85,65,9.7,65,6.8,65,0.003,65,0.15,65,0.16,65,0.01,65,9,65,10.1,65,12.5,65
"14:10:00 06/08/2012",14,1,103,1,10.8,1,7.2,1,0.003,1,0.11,1,0.2,1,0.007,1,4,1,5.2,1,9.9,1
"14:16:00 17/10/2007",18,65,136,65,8.2,65,7,65,0.003,65,0.2,65,0.09,65,0.01,65,12,65,9.8,65,16.2,65
"14:45:00 01/12/2011",64,1,128,1,8.3,1,6.7,1,0.008,1,0.37,1,0.26,1,0.054,1,14,1,16.4,1,18.9,1
"14:45:00 28/08/2007",18,65,110,65,9.9,65,7.3,65,0.003,65,0.16,65,0.16,65,0.01,65,12,65,11.8,65,13.7,65
"14:50:00 03/03/2008",20,65,108,65,7.6,65,6.9,65,0.003,65,0.08,65,0.07,65,0.01,65,7,65,5.2,65,19.6,65
"14:55:00 01/09/2008",18,65,129,65,12.2,65,6.9,65,0.003,65,0.19,65,0.26,65,0.01,65,6,65,6.7,65,12.5,65
"15:10:00 05/08/2010",14,1,89,1,11.1,1,6.8,1,0.003,1,0.14,1,0.13,1,0.013,1,4,1,6.4,1,10.2,1
"15:10:00 10/06/2010",22,1,104,1,8,1,7.5,1,0.013,1,0.11,1,0.29,1,0.024,1,4,1,13.1,1,10.3,1
"15:50:00 05/10/2009",20,1,103.1,1,8.7,1,7,1,0.008,1,0.06,1,0.381,1,0.07,1,4,1,9.2,1,14.8,1
"15:50:00 07/09/2009",15,1,94.3,1,10.6,1,6.6,1,0.004,1,0.08,1,0.21,1,0.005,1,3,1,5.7,1,12.6,1
