"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"08:40:00 10/03/2011",20,1,95,1,7.8,1,6.8,1,0.003,1,0.21,1,0.057,1,0.02,1,7,1,4.7,1,20,1
"08:40:00 15/03/2007",NA,NA,88,65,6.8,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,18.7,65
"09:00:00 15/03/2007",25,65,NA,NA,NA,NA,NA,NA,0.003,65,0.28,65,0.08,65,0.04,65,16,65,NA,NA,NA,NA
"09:10:00 06/10/2011",50,1,119,1,9.2,1,6.9,1,0.007,1,0.27,1,0.22,1,0.024,1,5,1,18.3,1,13.5,1
"09:15:00 04/04/2007",18,65,93,65,7.3,65,6.9,65,0.003,65,0.07,65,0.07,65,0.01,65,10,65,9,65,17.3,65
"09:15:00 06/01/2011",18,1,104,1,5.8,1,6.7,1,0.003,1,0.15,1,0.051,1,0.012,1,5,1,4.3,1,21.4,1
"09:20:00 13/02/2008",20,65,125,65,7.1,65,6.9,65,0.003,65,0.11,65,0.12,65,0.01,65,6,65,6.7,65,20.3,65
"09:30:00 02/03/2009",14,65,101,65,6.7,65,6.8,65,0.004,65,0.18,65,0.04,65,0.02,65,10,65,9.1,65,19.4,65
"09:36:00 08/12/2006",12,65,78,65,8.3,65,7.2,65,0.003,65,0.2,65,0.02,65,0.005,65,6,65,2.2,65,19.5,65
"09:50:00 08/05/2007",18,65,NA,NA,NA,NA,NA,NA,0.003,65,0.03,65,0.15,65,0.01,65,7,65,NA,NA,NA,NA
"09:50:00 13/03/2012",45,1,88,1,8.8,1,6.9,1,0.006,1,0.21,1,0.19,1,0.025,1,8,1,17.8,1,16.5,1
"09:59:00 15/02/2006",20,65,108,65,7.2,65,7,65,0.003,65,0.13,65,0.01,65,0.02,65,5,65,6.1,65,19.9,65
"10:00:00 06/11/2008",15,65,96,65,7.8,65,7.2,65,0.003,65,0.2,65,0.09,65,0.01,65,6,65,7.8,65,17.9,65
"10:00:00 25/01/2006",20,65,20,65,7.1,65,6.3,65,0.003,65,0.18,65,0.02,65,0.02,65,4,65,5.5,65,NA,NA
"10:10:00 04/08/2011",16,1,113,1,9.3,1,6.7,1,0.003,1,0.15,1,0.77,1,0.011,1,4,1,6.9,1,11.3,1
"10:10:00 08/05/2007",NA,NA,88,65,7.7,65,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,65,15.4,65
"10:10:00 17/01/2007",16,65,84,65,6.6,65,6.5,65,0.003,65,0.16,65,0.03,65,0.01,65,2,65,2.7,65,23.2,65
"10:15:00 01/07/2009",12,1,62.1,1,9.9,1,7.5,1,0.002,1,0.05,1,0.168,1,0.005,1,1,1,6.1,1,10.6,1
"10:15:00 02/02/2010",17,1,93,1,7.2,1,6.8,1,0.001,1,0.13,1,0.033,1,0.011,1,2,1,4.4,1,23.9,1
"10:15:00 06/01/2009",25,65,93,65,6.8,65,7,65,0.003,65,0.22,65,0.04,65,0.02,65,5,65,6.2,65,21.4,65
"10:20:00 12/06/2007",18,65,92,65,10.9,65,6.8,65,0.003,65,0.16,65,0.26,65,0.008,65,3,65,6.7,65,9.1,65
"10:30:00 16/03/2006",20,65,92,65,7.2,65,6.5,65,0.005,65,0.11,65,0.04,65,0.005,65,5,65,6.8,65,19.3,65
"10:40:00 08/11/2010",14,1,86,1,7.5,1,7.2,1,0.005,1,0.19,1,0.063,1,0.019,1,6,1,6.4,1,18.8,1
"10:40:00 13/05/2008",14,65,104,65,8.6,65,6.9,65,0.003,65,0.2,65,0.16,65,0.01,65,8,65,7.4,65,14.5,65
"10:45:00 23/12/2008",16,65,102,65,7,65,6.8,65,0.003,65,0.22,65,0.16,65,0.01,65,10,65,8.8,65,20.3,65
"10:50:00 11/04/2011",20,1,104,1,8.5,1,7.1,1,0.003,1,0.17,1,0.13,1,0.023,1,2,1,5.7,1,15.3,1
"10:50:00 29/04/2008",NA,NA,95,65,9.4,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,65,11.9,65
"10:50:00 30/04/2008",12,65,NA,NA,NA,NA,NA,NA,0.003,65,0.11,65,0.12,65,0.005,65,5,65,NA,NA,NA,NA
"10:55:00 04/03/2010",25,1,94.2,1,7.3,1,6.7,1,0.003,1,0.12,1,0.077,1,0.011,1,6,1,6.7,1,21,1
"11:00:00 07/07/2010",16,1,86,1,10.5,1,7.2,1,0.003,1,0.14,1,0.17,1,0.008,1,3,1,3.8,1,8.1,1
"11:10:00 08/11/2006",13,65,NA,NA,8.9,65,7,65,0.003,65,0.1,65,0.06,65,0.01,65,4,65,4.5,65,16.1,65
"11:20:00 04/07/2007",35,65,86,65,11.5,65,6.1,65,0.006,65,0.23,65,0.53,65,0.02,65,20,65,34.8,65,9.7,65
"11:20:00 15/12/2005",25,65,110,65,8.5,65,6.4,65,0.003,65,0.09,65,0.03,65,0.03,65,3,65,3.1,65,NA,NA
