"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"08:10:00 08/12/2006",90,65,1577,65,7.6,65,8.1,65,0.07,65,3.9,65,0.02,65,0.66,65,170,65,170,65,18.4,65
"08:30:00 24/03/2009",100,65,744,65,4.7,65,6.9,65,0.25,65,1.6,65,0.15,65,0.56,65,58,65,69.8,65,18.8,65
"08:45:00 16/01/2008",90,65,681,65,5,65,7.1,65,0.07,65,2,65,0.01,65,0.53,65,67,65,95,65,22.6,65
"08:45:00 25/01/2006",90,65,758,65,5.3,65,7.2,65,0.08,65,1.4,65,0.01,65,0.43,65,52,65,72,65,NA,NA
"09:00:00 26/11/2014",45,1,NA,NA,NA,NA,NA,NA,0.096,1,0.7,1,0.092,1,0.17,1,24,1,NA,NA,NA,NA
"09:07:00 15/02/2006",60,65,674,65,5.6,65,7.5,65,0.04,65,0.89,65,0.01,65,0.25,65,69,65,77,65,20.7,65
"09:10:00 16/03/2006",70,65,613,65,5.9,65,7.1,65,0.1,65,0.6,65,0.04,65,0.1,65,42,65,50,65,19.1,65
"09:30:00 28/07/2008",17,65,730,65,10.9,65,7.5,65,0.004,65,0.69,65,1.1,65,0.13,65,38,65,47,65,8.6,65
"09:40:00 17/07/2007",160,65,630,65,8.8,65,6.8,65,0.19,65,2.7,65,1,65,0.74,65,58,65,110,65,8.2,65
"09:46:00 08/11/2006",50,65,NA,NA,11.3,65,8.1,65,0.01,65,1.1,65,0.01,65,0.13,65,99,65,180,65,14.9,65
"09:50:00 07/06/2007",40,65,1102,65,8.3,65,7.1,65,0.01,65,2.8,65,0.02,65,0.47,65,410,65,570,65,8.8,65
"10:02:00 15/12/2005",90,65,616,65,9.5,65,7.6,65,0.15,65,1.4,65,0.008,65,0.64,65,54,65,62,65,NA,NA
"10:05:00 03/11/2005",54,65,434,65,4.6,65,6.9,65,0.34,65,1.2,65,0.23,65,0.72,65,26,65,30,65,NA,NA
"10:10:00 04/10/2007",90,65,543,65,10.3,65,7.5,65,0.03,65,1.4,65,0.34,65,0.36,65,45,65,53.5,65,14.7,65
"10:35:00 16/08/2006",30,65,775,65,11,65,7.6,65,0.01,65,0.68,65,0.24,65,0.08,65,32,65,36,65,11.2,65
"10:40:00 29/06/2009",20,65,411,65,9.2,65,7.3,65,0.01,65,0.58,65,1.1,65,0.12,65,10,65,15.6,65,9.2,65
"10:45:00 10/05/2006",55,65,580,65,10.4,65,7.3,65,NA,NA,0.48,65,0.25,65,0.09,65,41,65,47,65,12.1,65
"10:45:00 25/10/2006",65,65,NA,NA,9.6,65,7.6,65,0.02,65,2.9,65,0.04,65,0.47,65,160,65,180,65,20.8,65
"10:50:00 15/06/2006",30,65,740,65,11.6,65,7.7,65,0.02,65,0.45,65,0.42,65,0.09,65,33,65,36,65,8.6,65
"10:50:00 28/09/2006",35,65,848,65,8.5,65,7.5,65,0.01,65,0.74,65,0.04,65,0.14,65,2,65,37,65,NA,NA
"10:55:00 26/07/2006",35,65,747,65,10.3,65,7.4,65,0.01,65,0.6,65,0.58,65,0.16,65,43,65,50,65,13.1,65
"11:00:00 13/10/2005",70,65,390,65,7.5,65,7.1,65,0.12,65,1.2,65,0.37,65,0.36,65,22,65,31,65,NA,NA
"11:10:00 27/04/2006",55,65,522,65,NA,NA,7.5,65,0.06,65,0.78,65,0.2,65,0.24,65,30,65,37,65,14.8,65
"11:15:00 05/12/2007",120,65,NA,NA,NA,NA,NA,NA,0.3,65,1.9,65,0.36,65,0.79,65,24,65,NA,NA,NA,NA
"11:15:00 05/12/2008",NA,NA,519,65,4,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1,65,22.6,65
"11:30:00 27/10/2008",64,65,572,65,9,65,7.4,65,0.1,65,1.9,65,0.15,65,0.43,65,47,65,51.1,65,19.8,65
"12:10:00 03/04/2007",70,65,1510,65,11.2,65,8.7,65,0.46,65,2,65,0.01,65,0.69,65,32,65,27.7,65,19.5,65
"12:10:00 03/09/2007",80,65,830,65,9.6,65,7.7,65,0.04,65,1.2,65,0.01,65,0.32,65,65,65,76.8,65,14.3,65
"12:15:00 06/01/2009",50,65,617,65,7.4,65,7.4,65,0.03,65,1.2,65,0.007,65,0.27,65,57,65,50.1,65,26.3,65
"12:35:00 22/09/2008",64,65,422,65,6.4,65,7.3,65,0.12,65,1.5,65,0.53,65,0.44,65,45,65,55.5,65,15.9,65
"13:00:00 19/03/2008",100,65,455,65,6.6,65,7.3,65,0.15,65,1.3,65,0.01,65,0.45,65,47,65,63.6,65,22.3,65
"13:20:00 13/02/2008",90,65,523,65,7.5,65,7.3,65,0.07,65,1,65,0.15,65,0.38,65,36,65,49.5,65,25,65
"13:32:00 21/11/2007",120,65,538,65,3.8,65,7.2,65,0.09,65,2,65,0.11,65,0.81,65,21,65,24.1,65,21.3,65
"13:40:00 05/02/2009",76,65,670,65,5.2,65,6.9,65,0.42,65,1.3,65,0.05,65,0.83,65,20,65,23.1,65,26.1,65
"13:50:00 28/08/2008",20,65,787,65,10.7,65,7.7,65,0.008,65,0.72,65,0.35,65,0.12,65,28,65,40.3,65,15.9,65
"14:06:00 13/05/2008",70,65,399,65,6,65,7.1,65,0.06,65,1.1,65,0.75,65,0.32,65,33,65,44.6,65,15.8,65
"14:10:00 30/06/2008",18,65,571,65,10.5,65,7.2,65,0.02,65,0.79,65,0.82,65,0.18,65,85,65,94.9,65,11.8,65
"14:30:00 04/05/2009",50,65,723,65,7.5,65,7.1,65,0.04,65,0.84,65,0.4,65,0.19,65,22,65,21.6,65,13.2,65
"14:45:00 02/12/2008",84,65,468,65,8.2,65,7.6,65,0.08,65,1.6,65,0.43,65,0.54,65,28,65,38.6,65,20.5,65
"14:45:00 03/05/2007",40,65,1084,65,9.7,65,7.6,65,0.06,65,0.92,65,0.01,65,0.31,65,22,65,43,65,19.3,65
"15:10:00 01/08/2007",120,65,1044,65,12.8,65,7.7,65,0.05,65,1.6,65,0.7,65,0.4,65,50,65,56.3,65,13,65
"15:15:00 30/04/2008",40,65,490,65,4.9,65,6.9,65,0.05,65,0.84,65,0.54,65,0.2,65,18,65,22.8,65,12.6,65
"15:20:00 06/04/2009",60,65,818,65,7.1,65,7,65,0.05,65,1.2,65,0.12,65,0.33,65,32,65,28.8,65,15.9,65
