"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual"
"07:55:00 26/11/2004",NA,NA,NA,NA,NA,NA,NA,NA,25,65,29,65,NA,NA,10.8,65,6.1,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.07,65,0.007,65,2,65,3,65,11.1,65,NA,NA
"08:00:00 25/11/1998",NA,NA,NA,NA,NA,NA,NA,NA,35,65,87,65,NA,NA,10.8,65,7.5,65,0.003,65,0.12,65,NA,NA,NA,NA,NA,NA,0.04,65,0.009,65,2,65,1.5,65,10,65,NA,NA
"08:10:00 17/03/2011",NA,NA,NA,NA,NA,NA,NA,NA,40,1,35,1,NA,NA,9.8,1,6.7,1,0.003,1,0.21,1,NA,NA,NA,NA,NA,NA,0.039,1,0.014,1,2,1,3.4,1,12.5,1,NA,NA
"08:30:00 20/02/2013",NA,NA,NA,NA,NA,NA,NA,NA,60,1,39,1,NA,NA,10.1,1,6.8,1,0.003,1,0.24,1,NA,NA,NA,NA,NA,NA,0.035,1,0.016,1,2,1,3.6,1,15.5,1,NA,NA
"08:35:00 10/02/1999",NA,NA,NA,NA,NA,NA,NA,NA,55,65,34,65,NA,NA,9.5,65,7.4,65,0.003,65,0.16,65,NA,NA,NA,NA,NA,NA,0.02,65,0.01,65,4,65,3.5,65,13.5,65,NA,NA
"08:35:00 24/03/1999",NA,NA,NA,NA,NA,NA,NA,NA,65,65,40,65,NA,NA,10.6,65,7.4,65,0.003,65,0.27,65,NA,NA,NA,NA,NA,NA,0.04,65,0.01,65,2,65,2.3,65,10.5,65,NA,NA
"09:20:00 13/11/2007",NA,NA,NA,NA,NA,NA,NA,NA,25,65,35,65,NA,NA,10.4,65,7.1,65,0.003,65,0.08,65,NA,NA,NA,NA,NA,NA,0.04,65,0.009,65,3,65,3.2,65,11.5,65,NA,NA
"09:30:00 06/12/1995",NA,NA,NA,NA,NA,NA,NA,NA,50,65,40,65,NA,NA,11,65,7.1,65,0.005,65,0.2,65,NA,NA,NA,NA,NA,NA,0.05,65,0.01,65,5,65,2.3,65,9,65,NA,NA
"09:30:00 09/01/1997",NA,NA,NA,NA,NA,NA,NA,NA,45,65,34,65,NA,NA,9.9,65,6.1,65,0.003,65,0.19,65,NA,NA,NA,NA,NA,NA,0.03,65,0.02,65,2,65,2.1,65,13,65,NA,NA
"09:30:00 10/12/1996",NA,NA,NA,NA,NA,NA,NA,NA,28,65,32,65,NA,NA,10.6,65,6.3,65,0.004,65,0.1,65,NA,NA,NA,NA,NA,NA,0.04,65,0.01,65,2,65,1.3,65,10,65,NA,NA
