"Date","Conductivity","Conductivity_Qual","WaterTemperature","WaterTemperature_Qual"
"00:00:00 01/01/2015",276,2,22.4,2
"00:00:00 01/01/2016",278,2,24.3,2
"00:00:00 01/02/2015",288,2,20.1,2
"00:00:00 01/02/2016",231.5,2,22.3,15
"00:00:00 01/03/2015",454,2,22.7,2
"00:00:00 01/03/2016",350.8,2,24,2
"00:00:00 01/04/2015",394,2,17.2,2
"00:00:00 01/04/2016",377.3,2,17.4,2
"00:00:00 01/05/2015",255,2,14.2,2
"00:00:00 01/05/2016",185.9,2,15.8,2
"00:00:00 01/06/2015",279.5,2,10.4,2
"00:00:00 01/06/2016",490.9,2,10.2,2
"00:00:00 01/07/2015",319,2,8.9,2
"00:00:00 01/07/2016",320.6,2,8.4,2
"00:00:00 01/08/2015",252.7,2,9,2
"00:00:00 01/09/2015",198.6,2,10.9,2
"00:00:00 01/10/2015",256,2,14.3,2
"00:00:00 01/11/2015",258.1,2,18.7,2
"00:00:00 01/12/2014",253.3,2,21.8,2
"00:00:00 01/12/2015",297.9,2,19.6,2
"00:00:00 02/01/2015",258,2,22.2,2
"00:00:00 02/01/2016",320.8,2,24.4,2
"00:00:00 02/02/2015",271,2,20.1,2
"00:00:00 02/02/2016",232.9,2,22.2,15
"00:00:00 02/03/2015",280,2,22.4,2
"00:00:00 02/03/2016",295.4,2,24.3,2
"00:00:00 02/04/2015",352,2,17.9,2
"00:00:00 02/04/2016",407.4,2,17.6,2
"00:00:00 02/05/2015",279,2,14,2
"00:00:00 02/05/2016",202.4,2,15.6,2
"00:00:00 02/06/2015",295.6,2,10.2,2
"00:00:00 02/06/2016",463.4,2,9.9,2
"00:00:00 02/07/2015",311.3,2,9.3,2
"00:00:00 02/07/2016",302.1,2,8.7,2
"00:00:00 02/08/2015",260.7,2,9.1,2
"00:00:00 02/09/2015",199,2,11.1,2
"00:00:00 02/10/2015",257.3,2,14.8,2
"00:00:00 02/11/2015",254.3,2,19.1,2
"00:00:00 02/12/2014",231.7,2,22.1,2
"00:00:00 02/12/2015",285.7,2,19.7,2
"00:00:00 03/01/2015",278,2,23.4,2
"00:00:00 03/01/2016",273.6,2,23.9,2
"00:00:00 03/02/2015",271,2,20.3,2
"00:00:00 03/02/2016",243.4,2,22.9,15
"00:00:00 03/03/2015",302,2,22,2
"00:00:00 03/03/2016",355,2,24.5,2
"00:00:00 03/04/2015",451,2,17.8,2
"00:00:00 03/04/2016",495.4,2,17.5,2
"00:00:00 03/05/2015",262,2,13.8,2
"00:00:00 03/05/2016",209.8,2,15.1,2
"00:00:00 03/06/2015",298.7,2,9.8,2
"00:00:00 03/06/2016",496.9,2,9.9,2
"00:00:00 03/07/2015",315.6,2,9.1,2
"00:00:00 03/07/2016",304.6,2,9.1,2
"00:00:00 03/08/2015",237.6,2,9.2,2
"00:00:00 03/09/2015",195.4,2,11.3,2
"00:00:00 03/10/2015",258.6,2,15.5,2
"00:00:00 03/11/2015",239.5,2,18.7,2
"00:00:00 03/12/2014",234.2,2,22.1,2
"00:00:00 03/12/2015",270.5,2,19.6,2
"00:00:00 04/01/2015",262,2,24.6,2
"00:00:00 04/01/2016",270.4,2,22.6,2
"00:00:00 04/02/2015",277,2,20.7,2
"00:00:00 04/02/2016",263.9,2,23,15
"00:00:00 04/03/2015",328,2,21.8,2
"00:00:00 04/03/2016",362.6,2,24.7,2
"00:00:00 04/04/2015",355,2,17.6,2
"00:00:00 04/04/2016",442.5,2,17.2,2
"00:00:00 04/05/2015",258,2,14.1,2
"00:00:00 04/05/2016",327.3,2,14.5,2
"00:00:00 04/06/2015",308.8,2,9.3,2
"00:00:00 04/06/2016",474.4,2,9.9,2
"00:00:00 04/07/2015",307.9,2,8.9,2
"00:00:00 04/07/2016",297.2,2,9.4,2
"00:00:00 04/08/2015",226.6,2,9.1,2
"00:00:00 04/09/2015",202.9,2,11.6,2
"00:00:00 04/10/2015",267.9,2,16.4,2
"00:00:00 04/11/2015",228.8,2,18.2,2
"00:00:00 04/12/2014",233.6,2,21.9,2
"00:00:00 04/12/2015",273.3,2,19.9,2
"00:00:00 05/01/2015",277,2,24.5,2
"00:00:00 05/01/2016",219.2,2,21.5,2
"00:00:00 05/02/2015",301,2,20.9,2
"00:00:00 05/02/2016",250.4,2,22.7,15
"00:00:00 05/03/2015",367,2,22,2
"00:00:00 05/03/2016",486.2,2,25.1,2
"00:00:00 05/04/2015",322,2,17.6,2
"00:00:00 05/04/2016",417.6,2,17.1,2
"00:00:00 05/05/2015",270,2,14.3,2
"00:00:00 05/05/2016",285.8,2,14.3,2
"00:00:00 05/06/2015",333.9,2,8.8,2
"00:00:00 05/06/2016",471.9,2,10.5,2
"00:00:00 05/07/2015",324.2,2,8.9,2
"00:00:00 05/07/2016",290.7,2,9.3,2
"00:00:00 05/08/2015",220.6,2,8.9,2
"00:00:00 05/09/2015",216.3,2,11.8,2
"00:00:00 05/10/2015",257.2,2,17.3,2
"00:00:00 05/11/2015",210,2,18,2
"00:00:00 05/12/2014",239.1,2,21.9,2
"00:00:00 05/12/2015",291.1,2,20.5,2
"00:00:00 06/01/2015",263,2,24.7,2
"00:00:00 06/01/2016",216,2,20.9,2
"00:00:00 06/02/2015",277,2,21.5,2
"00:00:00 06/02/2016",245.8,2,22.6,15
"00:00:00 06/03/2015",315,2,20.9,2
"00:00:00 06/03/2016",494.8,2,24.7,2
"00:00:00 06/04/2015",349,2,17.9,2
"00:00:00 06/04/2016",429.7,2,17.2,2
"00:00:00 06/05/2015",255,2,14.2,2
"00:00:00 06/05/2016",374.3,2,14,2
"00:00:00 06/06/2015",340,2,8.7,2
"00:00:00 06/06/2016",462.4,2,11,2
"00:00:00 06/07/2015",316.5,2,9.1,2
"00:00:00 06/07/2016",291.2,2,9.5,2
"00:00:00 06/08/2015",213.5,2,8.8,2
"00:00:00 06/09/2015",225.8,2,11.8,2
"00:00:00 06/10/2015",256.6,2,18.1,2
"00:00:00 06/11/2015",213.3,2,17.9,2
"00:00:00 06/12/2014",245.6,2,21.6,2
"00:00:00 06/12/2015",283.9,2,21,2
"00:00:00 07/01/2015",259,2,24.4,2
"00:00:00 07/01/2016",217.8,2,21,2
"00:00:00 07/02/2015",286,2,22.4,2
"00:00:00 07/02/2016",249.3,2,23.2,15
"00:00:00 07/03/2015",307,2,20,2
"00:00:00 07/03/2016",373.4,2,25.1,2
"00:00:00 07/04/2015",358,2,18.1,2
"00:00:00 07/04/2016",615.8,2,16.7,2
"00:00:00 07/05/2015",268,2,13.8,2
"00:00:00 07/05/2016",428.8,2,13.9,2
"00:00:00 07/06/2015",320.1,2,8.7,2
"00:00:00 07/06/2016",479.9,2,11.2,2
"00:00:00 07/07/2015",321.7,2,9.2,2
"00:00:00 07/07/2016",285.7,2,9.9,2
"00:00:00 07/08/2015",214.5,2,9.1,2
"00:00:00 07/09/2015",237.2,2,11.7,2
"00:00:00 07/10/2015",263.9,2,18.7,2
"00:00:00 07/11/2015",217.5,2,18.2,2
"00:00:00 07/12/2014",230,2,20.7,2
"00:00:00 07/12/2015",293.8,2,21.4,2
"00:00:00 08/01/2015",263,2,25.7,2
"00:00:00 08/01/2016",221.6,2,21,2
"00:00:00 08/02/2015",281,2,23.1,2
"00:00:00 08/02/2016",259.8,2,23.9,15
"00:00:00 08/03/2015",323,2,19.5,2
"00:00:00 08/03/2016",387,2,24.9,2
"00:00:00 08/04/2015",374,2,17.4,2
"00:00:00 08/04/2016",508.9,2,16.4,2
"00:00:00 08/05/2015",275,2,13.3,2
"00:00:00 08/05/2016",436.2,2,14,2
"00:00:00 08/06/2015",327.1,2,9,2
"00:00:00 08/06/2016",524.4,2,11.5,2
"00:00:00 08/07/2015",322,2,9.3,2
"00:00:00 08/07/2016",274.2,2,10.3,2
"00:00:00 08/08/2015",217.4,2,9.2,2
"00:00:00 08/09/2015",248.6,2,11.5,2
"00:00:00 08/10/2015",257.2,2,18.3,2
"00:00:00 08/11/2015",234.7,2,17.9,2
"00:00:00 08/12/2014",191.5,2,19.3,2
"00:00:00 08/12/2015",267.6,2,20.9,2
"00:00:00 09/01/2015",245,2,25.9,2
"00:00:00 09/01/2016",238.4,2,21.1,2
"00:00:00 09/02/2015",267,2,23.6,2
"00:00:00 09/02/2016",266.2,2,24.8,15
"00:00:00 09/03/2015",345,2,19.8,2
"00:00:00 09/03/2016",391.6,2,25.1,2
"00:00:00 09/04/2015",310,2,16.8,2
"00:00:00 09/04/2016",470,2,16.2,2
