"Date","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","IronasFe","IronasFe_Qual","ManganeseasMn","ManganeseasMn_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"12:00:00 14/08/1984",36,65,NA,NA,NA,NA,9.3,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,65,8,65,NA,NA
"12:10:00 04/02/1982",71,65,NA,NA,NA,NA,7.6,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,65,20,65,NA,NA
"12:10:00 04/10/1978",43,65,NA,NA,NA,NA,11.4,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,65,11.5,65,NA,NA
"12:10:00 04/11/1982",73,65,NA,NA,NA,NA,9,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,18.5,65,NA,NA
"12:10:00 09/04/1980",120,65,NA,NA,NA,NA,9.6,65,8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,12,65,NA,NA
"12:15:00 02/05/1979",90,65,NA,NA,NA,NA,11.4,65,7.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,65,11,65,NA,NA
"12:15:00 03/03/1988",120,65,NA,NA,NA,NA,8.4,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,65,22.5,65,NA,NA
"12:15:00 06/03/1986",40,65,NA,NA,NA,NA,8.4,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,65,21,65,NA,NA
"12:20:00 03/12/1986",62,65,NA,NA,NA,NA,9.4,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,65,17,65,NA,NA
"12:20:00 05/12/1977",97,65,NA,NA,NA,NA,9,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,65,19,65,NA,NA
"12:20:00 14/12/1984",70,65,NA,NA,NA,NA,8.2,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,65,17,65,NA,NA
"12:25:00 10/11/1987",62,65,NA,NA,NA,NA,10.6,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,65,14,65,NA,NA
"12:30:00 01/12/1987",56,65,NA,NA,NA,NA,10.4,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,14,65,NA,NA
"12:30:00 03/06/1982",35,65,NA,NA,NA,NA,12,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,65,6,65,NA,NA
"12:30:00 04/01/1984",84,65,NA,NA,NA,NA,9.2,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,65,17.5,65,NA,NA
"12:30:00 05/01/1987",51,65,NA,NA,NA,NA,NA,180,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,16,65,NA,NA
"12:35:00 03/03/1987",74,65,NA,NA,NA,NA,NA,180,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,17,65,NA,NA
"12:35:00 08/01/1985",79,65,NA,NA,NA,NA,8.6,65,8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,65,18,65,NA,NA
"12:35:00 16/08/1983",39,65,NA,NA,NA,NA,NA,180,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,9.5,65,NA,NA
"12:40:00 02/05/1985",100,65,NA,NA,NA,NA,11,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,10.5,65,NA,NA
"12:40:00 04/06/1985",49,65,NA,NA,NA,NA,12.3,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,7.5,65,NA,NA
"12:40:00 10/10/1983",42,65,NA,NA,NA,NA,11.6,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,65,10,65,NA,NA
"12:45:00 03/01/1980",43,65,NA,NA,NA,NA,9,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,65,21,65,NA,NA
"12:45:00 15/11/1977",87,65,NA,NA,NA,NA,10.4,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,65,14.5,65,NA,NA
"13:00:00 02/04/1985",110,65,NA,NA,NA,NA,8.7,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,65,18,65,NA,NA
"13:00:00 03/06/1987",54,65,NA,NA,NA,NA,11.8,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,65,8,65,NA,NA
"13:00:00 06/08/1987",40,65,NA,NA,NA,NA,11.8,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,65,8,65,NA,NA
"13:00:00 07/10/1987",61,65,NA,NA,NA,NA,8.6,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,65,14.5,65,NA,NA
"13:00:00 07/12/1982",100,65,NA,NA,NA,NA,9.6,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,18,65,NA,NA
"13:00:00 13/11/1984",59,65,NA,NA,NA,NA,8.4,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,65,15.5,65,NA,NA
"13:10:00 02/04/1986",95,65,NA,NA,NA,NA,9,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,65,16.5,65,NA,NA
"13:10:00 02/10/1981",34,65,NA,NA,NA,NA,10.2,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,12,65,NA,NA
"13:10:00 04/12/1979",49,65,NA,NA,NA,NA,8.5,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,19.5,65,NA,NA
"13:10:00 05/02/1980",98,65,NA,NA,NA,NA,9,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,65,21.5,65,NA,NA
"13:10:00 05/05/1981",100,65,NA,NA,NA,NA,10.2,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,11,65,NA,NA
"13:10:00 05/06/1984",64,65,NA,NA,NA,NA,11.6,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,9,65,NA,NA
"13:10:00 16/03/1982",91,65,NA,NA,NA,NA,8,65,7.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,22,65,NA,NA
"13:10:00 25/03/1976",100,65,NA,NA,NA,NA,NA,180,8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,19.5,65,NA,NA
"13:15:00 03/06/1980",76,65,NA,NA,NA,NA,11.8,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,7,65,NA,NA
"13:15:00 04/09/1979",39,65,NA,NA,NA,NA,10.8,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,65,8.5,65,NA,NA
"13:15:00 08/01/1981",72,65,NA,NA,NA,NA,8.2,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,65,25,65,NA,NA
"13:15:00 12/02/1985",490,65,NA,NA,NA,NA,7.4,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,65,21.5,65,NA,NA
"13:15:00 15/01/1998",NA,NA,86,1,7.8,1,NA,NA,NA,NA,0.5,1,0.2,1,0.5,1,4,1,0.042,1,44,1,NA,NA,NA,NA,7.49,1
"13:20:00 02/06/1988",69,65,NA,NA,NA,NA,11.6,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,65,7,65,NA,NA
"13:20:00 03/09/1986",38,65,NA,NA,NA,NA,11.2,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,65,9,65,NA,NA
"13:20:00 14/07/1980",37,65,NA,NA,NA,NA,11.8,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,65,7,65,NA,NA
"13:20:00 16/03/1981",74,65,NA,NA,NA,NA,9.4,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,16.5,65,NA,NA
"13:25:00 03/03/1978",120,65,NA,NA,NA,NA,9.3,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,65,19.1,65,NA,NA
"13:25:00 07/09/1977",47,65,NA,NA,NA,NA,11.9,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,65,7,65,NA,NA
"13:25:00 08/09/1987",52,65,NA,NA,NA,NA,11.2,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,65,8.5,65,NA,NA
"13:25:00 09/10/1984",36,65,NA,NA,NA,NA,NA,180,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,13,65,NA,NA
"13:25:00 13/04/1976",110,65,NA,NA,NA,NA,NA,180,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,15,65,NA,NA
"13:30:00 05/01/1978",91,65,NA,NA,NA,NA,8.7,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,19,65,NA,NA
"13:30:00 05/05/1987",75,65,NA,NA,NA,NA,9.6,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,12,65,NA,NA
"13:30:00 05/07/1979",36,65,NA,NA,NA,NA,12.7,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,65,7,65,NA,NA
"13:30:00 10/05/1983",18,65,NA,NA,NA,NA,10.4,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,12.5,65,NA,NA
"13:30:00 11/04/1988",110,65,NA,NA,NA,NA,9.8,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,65,13,65,NA,NA
"13:30:00 14/07/1982",54,65,NA,NA,NA,NA,10.4,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,65,6,65,NA,NA
"13:30:00 18/01/1982",76,65,NA,NA,NA,NA,8.4,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,22,65,NA,NA
"13:40:00 02/12/1976",57,65,NA,NA,NA,NA,11.3,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,65,15.5,65,NA,NA
"13:40:00 04/05/1982",85,65,NA,NA,NA,NA,10.4,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,10,65,NA,NA
"13:40:00 05/07/1984",58,65,NA,NA,NA,NA,10.4,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,5.5,65,NA,NA
"13:40:00 09/03/1983",150,65,NA,NA,NA,NA,8.2,65,8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,65,23,65,NA,NA
"13:40:00 13/04/1987",79,65,NA,NA,NA,NA,10.7,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,65,15,65,NA,NA
