"Date","Conductivity","Conductivity_Qual","WaterTemperature","WaterTemperature_Qual"
"00:00:00 01/09/1997",NA,NA,11.5,65
"00:00:00 02/09/1997",618,65,NA,NA
"00:00:00 04/09/1997",NA,NA,13.6,65
"00:00:00 05/09/1997",NA,NA,12.2,65
"00:00:00 07/09/1997",NA,NA,12.8,65
"00:00:00 11/09/1997",NA,NA,12.8,65
"00:00:00 12/09/1997",247,65,NA,NA
"00:00:00 13/09/1997",494,65,12.3,65
"00:00:00 14/09/1997",962,65,NA,NA
"00:00:00 15/09/1997",883,65,12,65
"00:00:00 16/09/1997",563,65,11.9,65
"00:00:00 17/09/1997",841,65,11.8,65
"00:00:00 18/09/1997",537,65,12.5,65
"00:00:00 19/09/1997",1141,65,12.2,65
"00:00:00 20/09/1997",1605,65,11.1,65
"00:00:00 21/09/1997",1799,65,12.7,65
"00:00:00 22/08/1997",1019,65,NA,NA
"00:00:00 22/09/1997",2101,65,NA,NA
"00:00:00 23/08/1997",1498,65,NA,NA
"00:00:00 23/09/1997",1983,65,12.1,65
"00:00:00 24/08/1997",5101,65,NA,NA
"00:00:00 24/09/1997",2123,65,13,65
"00:00:00 25/08/1997",4971,65,NA,NA
"00:00:00 25/09/1997",2623,65,13.6,65
"00:00:00 26/08/1997",4689,65,8.1,65
"00:00:00 26/09/1997",2278,65,NA,NA
"00:00:00 27/08/1997",3701,65,NA,NA
"00:00:00 27/09/1997",2797,65,NA,NA
"00:00:00 28/09/1997",3720,65,14.6,65
"00:00:00 29/09/1997",3968,65,13.3,65
"00:00:00 30/08/1997",28,65,NA,NA
"00:00:00 30/09/1997",3376,65,14.8,65
"00:15:00 02/09/1997",582,65,NA,NA
"00:15:00 08/09/1997",NA,NA,12,65
"00:15:00 14/09/1997",1002,65,NA,NA
"00:15:00 23/08/1997",1615,65,10.4,65
"00:15:00 26/09/1997",2179,65,NA,NA
"00:15:00 27/08/1997",3619,65,NA,NA
"00:15:00 27/09/1997",2835,65,NA,NA
"00:15:00 30/08/1997",67,65,NA,NA
"00:30:00 01/09/1997",NA,NA,11.5,65
"00:30:00 02/09/1997",549,65,13.2,65
"00:30:00 03/09/1997",NA,NA,12.6,65
"00:30:00 14/09/1997",1029,65,NA,NA
"00:30:00 23/08/1997",1699,65,10.3,65
"00:30:00 24/08/1997",5138,65,8.8,65
"00:30:00 26/09/1997",2083,65,13.4,65
"00:30:00 27/08/1997",3541,65,8.8,65
"00:30:00 27/09/1997",2877,65,NA,NA
"00:30:00 29/09/1997",3947,65,13.1,65
"00:30:00 30/08/1997",103,65,NA,NA
"00:45:00 02/09/1997",515,65,13.1,65
"00:45:00 05/09/1997",NA,NA,12,65
"00:45:00 14/09/1997",1062,65,12.7,65
"00:45:00 17/09/1997",863,65,11.6,65
"00:45:00 19/09/1997",1167,65,11.7,65
"00:45:00 22/08/1997",1015,65,10.5,65
"00:45:00 23/08/1997",1774,65,10.2,65
"00:45:00 25/08/1997",4951,65,NA,NA
"00:45:00 25/09/1997",2645,65,NA,NA
"00:45:00 26/09/1997",1979,65,NA,NA
"00:45:00 27/08/1997",3480,65,8.8,65
"00:45:00 27/09/1997",2932,65,14.7,65
"00:45:00 29/08/1997",NA,NA,11.1,65
"00:45:00 30/08/1997",163,65,10.6,65
"00:45:00 31/08/1997",NA,NA,11.6,65
"01:00:00 03/09/1997",NA,NA,12.6,65
