"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual","pHLab","pHLab_Qual"
"15:15:00 19/11/2019",NA,NA,NA,NA,NA,NA,NA,NA,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.23,1,0.005,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"15:20:00 08/01/2018",NA,NA,NA,NA,NA,NA,NA,NA,10,1,46,1,NA,NA,NA,NA,NA,NA,9,1,7.2,1,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.16,1,0.006,1,2,1,2.6,1,19.5,1,NA,NA,NA,NA
"15:20:00 10/12/2019",NA,NA,NA,NA,NA,NA,NA,NA,10,1,47,1,NA,NA,NA,NA,NA,NA,9.18,1,7.02,1,0.003,1,0.14,1,NA,NA,NA,NA,NA,NA,0.2,1,0.005,1,2,1,1.7,1,18.1,1,NA,NA,NA,NA
"15:20:00 11/12/2017",NA,NA,NA,NA,NA,NA,NA,NA,14,1,49,1,NA,NA,NA,NA,NA,NA,8.7,1,7.2,1,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.13,1,0.005,1,2,1,3.9,1,19.5,1,NA,NA,NA,NA
"15:20:00 14/10/2019",NA,NA,NA,NA,NA,NA,NA,NA,12,1,50,1,NA,NA,NA,NA,NA,NA,10.37,1,7.02,1,0.003,1,0.07,1,NA,NA,NA,NA,NA,NA,0.22,1,0.005,1,2,1,2.3,1,13.5,1,NA,NA,NA,NA
"15:20:00 14/12/2015",NA,NA,NA,NA,NA,NA,NA,NA,10,1,46,1,NA,NA,NA,NA,NA,NA,8.7,1,7,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.14,1,0.005,1,2,1,2.3,1,20,1,NA,NA,NA,NA
"15:20:00 15/02/2016",NA,NA,NA,NA,NA,NA,NA,NA,10,1,46,1,NA,NA,NA,NA,NA,NA,9.3,1,7,1,0.003,1,0.11,1,NA,NA,NA,NA,NA,NA,0.13,1,0.005,1,3,1,2.5,1,20.5,1,NA,NA,NA,NA
"15:20:00 16/04/2013",NA,NA,NA,NA,NA,NA,NA,NA,18,1,52,1,NA,NA,NA,NA,NA,NA,9.7,1,6.9,1,0.003,1,0.11,1,NA,NA,NA,NA,NA,NA,0.13,1,0.005,1,2,1,2.2,1,15.5,1,NA,NA,NA,NA
"15:20:00 21/01/2014",NA,NA,NA,NA,NA,NA,NA,NA,16,1,52,1,NA,NA,NA,NA,NA,NA,9.3,1,7.3,1,0.003,1,0.12,1,NA,NA,NA,NA,NA,NA,0.13,1,0.009,1,2,1,2.7,1,19.5,1,NA,NA,NA,NA
"15:30:00 12/12/2016",NA,NA,NA,NA,NA,NA,NA,NA,16,1,50,1,NA,NA,NA,NA,NA,NA,9.9,1,6.8,1,0.003,1,0.11,1,NA,NA,NA,NA,NA,NA,0.15,1,0.005,1,2,1,2.6,1,19,1,NA,NA,NA,NA
