"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual","pHLab","pHLab_Qual"
"16:10:00 19/04/2010",NA,NA,NA,NA,NA,NA,NA,NA,15,1,44.8,1,NA,NA,NA,NA,NA,NA,9.9,1,7,1,0.001,1,0.11,1,NA,NA,NA,NA,NA,NA,0.119,1,0.008,1,1,1,2,1,17.1,1,NA,NA,NA,NA
"16:10:00 19/04/2011",NA,NA,NA,NA,NA,NA,NA,NA,20,1,57,1,NA,NA,NA,NA,NA,NA,9.6,1,7.1,1,0.003,1,0.12,1,NA,NA,NA,NA,NA,NA,0.13,1,0.005,1,2,1,2.5,1,14.5,1,NA,NA,NA,NA
"16:10:00 19/07/2017",NA,NA,NA,NA,NA,NA,NA,NA,12,1,48,1,NA,NA,NA,NA,NA,NA,11.2,1,6.6,1,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.19,1,0.011,1,4,1,2.2,1,9,1,NA,NA,NA,NA
"16:10:00 22/09/2010",NA,NA,NA,NA,NA,NA,NA,NA,18,1,52,1,NA,NA,NA,NA,NA,NA,9.8,1,7.1,1,0.003,1,0.11,1,NA,NA,NA,NA,NA,NA,0.16,1,0.019,1,2,1,3.4,1,10,1,NA,NA,NA,NA
"16:15:00 15/09/2009",NA,NA,NA,NA,NA,NA,NA,NA,20,1,48.7,1,NA,NA,NA,NA,NA,NA,11.2,1,7,1,0.001,1,0.1,1,NA,NA,NA,NA,NA,NA,0.124,1,0.007,1,1,1,2.5,1,10.3,1,NA,NA,NA,NA
"16:15:00 16/04/2018",NA,NA,NA,NA,NA,NA,NA,NA,12,1,48,1,NA,NA,NA,NA,NA,NA,8.9,1,7.4,1,0.003,1,0.12,1,NA,NA,NA,NA,NA,NA,0.16,1,0.005,1,2,1,3.9,1,16,1,NA,NA,NA,NA
"16:15:00 16/06/2020",NA,NA,NA,NA,NA,NA,NA,NA,12,1,52,1,NA,NA,NA,NA,NA,NA,10.7,1,7.3,1,0.003,1,0.09,1,NA,NA,NA,NA,NA,NA,0.19,1,0.006,1,2,1,1.5,1,11.3,1,NA,NA,NA,NA
"16:15:00 18/06/2018",NA,NA,NA,NA,NA,NA,NA,NA,36,1,47,1,NA,NA,NA,NA,NA,NA,10.8,1,7,1,0.003,1,0.18,1,NA,NA,NA,NA,NA,NA,0.29,1,0.014,1,2,1,14.6,1,10,1,NA,NA,NA,NA
"16:17:00 21/03/2016",NA,NA,NA,NA,NA,NA,NA,NA,12,1,55,1,NA,NA,NA,NA,NA,NA,9.4,1,6.8,1,0.003,1,0.12,1,NA,NA,NA,NA,NA,NA,0.13,1,0.005,1,2,1,2.8,1,16.8,1,NA,NA,NA,NA
"16:20:00 17/08/2015",NA,NA,NA,NA,NA,NA,NA,NA,16,1,53,1,NA,NA,NA,NA,NA,NA,12.4,1,6.8,1,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.21,1,0.008,1,2,1,5.7,1,7.5,1,NA,NA,NA,NA
"16:20:00 21/04/2009",NA,NA,NA,NA,NA,NA,NA,NA,13,65,48,65,NA,NA,NA,NA,NA,NA,10.6,65,7.3,65,0.003,65,0.11,65,NA,NA,NA,NA,NA,NA,0.13,65,0.006,65,2,65,5.6,65,14.5,65,NA,NA,NA,NA
"16:20:00 22/09/2015",NA,NA,NA,NA,NA,NA,NA,NA,26,1,46,1,NA,NA,NA,NA,NA,NA,11.6,1,6.8,1,0.003,1,0.12,1,NA,NA,NA,NA,NA,NA,0.18,1,0.011,1,3,1,3.1,1,9.5,1,NA,NA,NA,NA
"16:25:00 14/06/2016",NA,NA,NA,NA,NA,NA,NA,NA,16,1,49,1,NA,NA,NA,NA,NA,NA,9.6,1,6.8,1,0.003,1,0.12,1,NA,NA,NA,NA,NA,NA,0.18,1,0.005,1,2,1,5.1,1,10,1,NA,NA,NA,NA
"16:25:00 20/05/2009",NA,NA,NA,NA,NA,NA,NA,NA,12,65,50,65,NA,NA,NA,NA,NA,NA,9.9,65,7.3,65,0.003,65,0.08,65,NA,NA,NA,NA,NA,NA,0.16,65,0.01,65,2,65,3.1,65,11.5,65,NA,NA,NA,NA
"16:30:00 11/05/2020",NA,NA,NA,NA,NA,NA,NA,NA,20,1,53,1,NA,NA,NA,NA,NA,NA,10.85,1,7.22,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.25,1,0.005,1,2,1,2.6,1,10.4,1,NA,NA,NA,NA
"16:30:00 14/04/2014",NA,NA,NA,NA,NA,NA,NA,NA,20,1,65,1,NA,NA,NA,NA,NA,NA,10.1,1,7.1,1,0.003,1,0.17,1,NA,NA,NA,NA,NA,NA,0.13,1,0.015,1,4,1,3.2,1,15,1,NA,NA,NA,NA
"16:30:00 16/09/2014",NA,NA,NA,NA,NA,NA,NA,NA,14,1,46,1,NA,NA,NA,NA,NA,NA,11.8,1,6.8,1,0.003,1,0.12,1,NA,NA,NA,NA,NA,NA,0.17,1,0.005,1,4,1,3.7,1,11,1,NA,NA,NA,NA
"16:30:00 17/06/2013",NA,NA,NA,NA,NA,NA,NA,NA,40,1,52,1,NA,NA,NA,NA,NA,NA,11.6,1,7.1,1,0.005,1,0.18,1,NA,NA,NA,NA,NA,NA,0.38,1,0.021,1,6,1,7.7,1,9,1,NA,NA,NA,NA
"16:30:00 20/05/2014",NA,NA,NA,NA,NA,NA,NA,NA,16,1,46,1,NA,NA,NA,NA,NA,NA,10,1,6.8,1,0.003,1,0.13,1,NA,NA,NA,NA,NA,NA,0.11,1,0.005,1,3,1,3.3,1,13.5,1,NA,NA,NA,NA
"16:30:00 20/09/2011",NA,NA,NA,NA,NA,NA,NA,NA,25,1,47,1,NA,NA,NA,NA,NA,NA,10.7,1,6.9,1,0.003,1,0.17,1,NA,NA,NA,NA,NA,NA,0.22,1,0.01,1,3,1,6.1,1,10,1,NA,NA,NA,NA
"16:30:00 21/05/2013",NA,NA,NA,NA,NA,NA,NA,NA,20,1,53,1,NA,NA,NA,NA,NA,NA,10.9,1,6.9,1,0.003,1,0.12,1,NA,NA,NA,NA,NA,NA,0.16,1,0.009,1,2,1,2.1,1,10.5,1,NA,NA,NA,NA
"16:30:00 25/09/2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,180,NA,NA,NA,NA,NA,NA,NA,180,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,180,NA,NA,NA,NA
"16:33:00 16/07/2018",NA,NA,NA,NA,NA,NA,NA,NA,14,1,53,1,NA,NA,NA,NA,NA,NA,11.9,1,7.2,1,0.003,1,0.15,1,NA,NA,NA,NA,NA,NA,0.2,1,0.005,1,2,1,1.9,1,6.5,1,NA,NA,NA,NA
"16:35:00 17/05/2010",NA,NA,NA,NA,NA,NA,NA,NA,15,1,47.4,1,NA,NA,NA,NA,NA,NA,10.7,1,7.2,1,0.001,1,0.15,1,NA,NA,NA,NA,NA,NA,0.092,1,0.017,1,2,1,6,1,13.5,1,NA,NA,NA,NA
"16:40:00 14/08/2012",NA,NA,NA,NA,NA,NA,NA,NA,22,1,60,1,NA,NA,NA,NA,NA,NA,11.3,1,7,1,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.24,1,0.005,1,2,1,3.4,1,8.5,1,NA,NA,NA,NA
"16:40:00 15/05/2012",NA,NA,NA,NA,NA,NA,NA,NA,14,1,49,1,NA,NA,NA,NA,NA,NA,10.2,1,6.8,1,0.003,1,0.13,1,NA,NA,NA,NA,NA,NA,0.14,1,0.005,1,2,1,2.9,1,13,1,NA,NA,NA,NA
"16:40:00 15/06/2010",NA,NA,NA,NA,NA,NA,NA,NA,17,1,52,1,NA,NA,NA,NA,NA,NA,10.7,1,7,1,0.002,1,0.11,1,NA,NA,NA,NA,NA,NA,0.13,1,0.005,1,2,1,11.3,1,9.5,1,NA,NA,NA,NA
"16:40:00 22/05/2018",NA,NA,NA,NA,NA,NA,NA,NA,16,1,45,1,NA,NA,NA,NA,NA,NA,10,1,7.3,1,0.003,1,0.12,1,NA,NA,NA,NA,NA,NA,0.16,1,0.006,1,2,1,3.6,1,12.7,1,NA,NA,NA,NA
"16:45:00 11/08/2020",NA,NA,NA,NA,NA,NA,NA,NA,30,1,72,1,NA,NA,NA,NA,NA,NA,11.58,1,6.91,1,0.004,1,0.12,1,NA,NA,NA,NA,NA,NA,0.33,1,0.011,1,4,1,6.6,1,8.1,1,NA,NA,NA,NA
"16:45:00 14/09/2020",NA,NA,NA,NA,NA,NA,NA,NA,16,1,46,1,NA,NA,NA,NA,NA,NA,10.83,1,7,1,0.005,1,0.1,1,NA,NA,NA,NA,NA,NA,0.33,1,0.01,1,2,1,2.6,1,10.8,1,NA,NA,NA,NA
"16:45:00 18/07/2016",NA,NA,NA,NA,NA,NA,NA,NA,20,1,46,1,NA,NA,NA,NA,NA,NA,11.8,1,6.7,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.23,1,0.005,1,2,1,2.3,1,9,1,NA,NA,NA,NA
"16:45:00 22/08/2017",NA,NA,NA,NA,NA,NA,NA,NA,12,1,48,1,NA,NA,NA,NA,NA,NA,11.3,1,7.1,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.26,1,0.008,1,2,1,1.7,1,8,1,NA,NA,NA,NA
"16:45:00 25/09/2017",NA,NA,NA,NA,NA,NA,NA,NA,16,1,56,1,NA,NA,NA,NA,NA,NA,11.5,1,6.6,1,0.003,1,0.13,1,NA,NA,NA,NA,NA,NA,0.21,1,0.006,1,3,1,4.3,1,10.5,1,NA,NA,NA,NA
"16:50:00 14/04/2020",NA,NA,NA,NA,NA,NA,NA,NA,14,1,55,1,NA,NA,NA,NA,NA,NA,9.87,1,7.25,1,0.003,1,0.12,1,NA,NA,NA,NA,NA,NA,0.21,1,0.005,1,2,1,1.9,1,14.8,1,NA,NA,NA,NA
"16:50:00 14/06/2011",NA,NA,NA,NA,NA,NA,NA,NA,20,1,58,1,NA,NA,NA,NA,NA,NA,11.4,1,7.4,1,0.003,1,0.09,1,NA,NA,NA,NA,NA,NA,0.18,1,0.006,1,5,1,5,1,10,1,NA,NA,NA,NA
"16:50:00 17/08/2010",NA,NA,NA,NA,NA,NA,NA,NA,25,1,60,1,NA,NA,NA,NA,NA,NA,10.6,1,7.1,1,0.003,1,0.11,1,NA,NA,NA,NA,NA,NA,0.23,1,0.005,1,2,1,3.6,1,8.5,1,NA,NA,NA,NA
"16:50:00 20/04/2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,NA,NA,NA,NA,NA,NA,9.8,1,6.9,1,0.003,1,0.12,1,NA,NA,NA,NA,NA,NA,0.14,1,0.005,1,2,1,2.6,1,13,1,NA,NA,NA,NA
"16:50:00 20/05/2019",NA,NA,NA,NA,NA,NA,NA,NA,8,1,47.3,1,NA,NA,NA,NA,NA,NA,10.15,1,7.03,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.15,1,0.005,1,4,1,2.2,1,13.1,1,NA,NA,NA,NA
"16:50:00 21/07/2014",NA,NA,NA,NA,NA,NA,NA,NA,18,1,59,1,NA,NA,NA,NA,NA,NA,10.3,1,7,1,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.23,1,0.005,1,5,1,2.1,1,8.3,1,NA,NA,NA,NA
"17:00:00 17/05/2011",NA,NA,NA,NA,NA,NA,NA,NA,18,1,88,1,NA,NA,NA,NA,NA,NA,10.2,1,7,1,0.003,1,0.12,1,NA,NA,NA,NA,NA,NA,0.13,1,0.007,1,2,1,2.4,1,12,1,NA,NA,NA,NA
"17:00:00 17/08/2016",NA,NA,NA,NA,NA,NA,NA,NA,16,1,64,1,NA,NA,NA,NA,NA,NA,11,1,6.9,1,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.18,1,0.005,1,2,1,2.2,1,9,1,NA,NA,NA,NA
"17:00:00 18/08/2009",NA,NA,NA,NA,NA,NA,NA,NA,20,1,39.2,1,NA,NA,NA,NA,NA,NA,11.8,1,7.2,1,0.008,1,0.05,1,NA,NA,NA,NA,NA,NA,0.159,1,0.005,1,1,1,2.5,1,8.7,1,NA,NA,NA,NA
"17:10:00 16/06/2014",NA,NA,NA,NA,NA,NA,NA,NA,18,1,53,1,NA,NA,NA,NA,NA,NA,11.6,1,6.8,1,0.003,1,0.11,1,NA,NA,NA,NA,NA,NA,0.15,1,0.006,1,6,1,2.3,1,10.5,1,NA,NA,NA,NA
"17:10:00 18/04/2016",NA,NA,NA,NA,NA,NA,NA,NA,8,1,49,1,NA,NA,NA,NA,NA,NA,9.6,1,6.7,1,0.006,1,0.11,1,NA,NA,NA,NA,NA,NA,0.14,1,0.005,1,2,1,2.6,1,15.5,1,NA,NA,NA,NA
"17:10:00 24/05/2017",NA,NA,NA,NA,NA,NA,NA,NA,8,1,46,1,NA,NA,NA,NA,NA,NA,10,1,6.7,1,0.004,1,0.05,1,NA,NA,NA,NA,NA,NA,0.19,1,0.006,1,2,1,2.6,1,12.5,1,NA,NA,NA,NA
