"Date","AmmoniaasN","AmmoniaasN_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"08:07:00 16/01/2007",NA,NA,30,65,35,65,9.3,65,6.6,65,0.003,65,0.15,65,0.03,65,0.008,65,2,65,1.3,65,16.5,65
"08:15:00 18/01/2012",NA,NA,25,1,37,1,10,1,7.2,1,0.003,1,0.12,1,0.046,1,0.005,1,2,1,3.2,1,16,1
"08:20:00 12/04/2005",NA,NA,50,65,37,65,12.2,65,5.9,65,0.006,65,0.14,65,0.04,65,0.006,65,1,65,1.1,65,NA,NA
"08:20:00 21/01/2015",NA,NA,35,1,35,1,10,1,6.6,1,0.003,1,0.14,1,0.025,1,0.021,1,4,1,3.2,1,15,1
"08:25:00 09/01/2008",NA,NA,25,65,38,65,9.5,65,5.9,65,0.003,65,0.07,65,0.02,65,0.01,65,2,65,1.3,65,16.9,65
"08:30:00 20/01/2016",NA,NA,28,1,37,1,10,1,6.8,1,0.006,1,0.12,1,0.036,1,0.008,1,2,1,2.2,1,17,1
"08:50:00 22/01/2013",NA,NA,22,1,42,1,11.4,1,7,1,0.003,1,0.14,1,0.058,1,0.013,1,2,1,2.5,1,16,1
"09:00:00 16/10/2012",NA,NA,26,1,33,1,11.7,1,6.7,1,0.003,1,0.1,1,0.058,1,0.007,1,2,1,2.5,1,7.5,1
"09:00:00 20/04/2011",NA,NA,30,1,36,1,11.1,1,6.8,1,0.003,1,0.09,1,0.052,1,0.005,1,2,1,2.5,1,9.5,1
"09:05:00 17/01/2005",NA,NA,30,65,31,65,12.4,65,7,65,0.005,65,0.16,65,0.03,65,0.01,65,2,65,1.4,65,12.7,65
"09:10:00 27/10/2015",NA,NA,24,1,38,1,11,1,6.6,1,0.003,1,0.11,1,0.074,1,0.009,1,2,1,3.8,1,10.5,1
"09:30:00 19/04/2012",NA,NA,26,1,39,1,10.5,1,6.7,1,0.003,1,0.1,1,0.055,1,0.01,1,2,1,2,1,12.5,1
"09:50:00 11/04/2007",NA,NA,30,65,35,65,10.4,65,6.5,65,0.003,65,0.15,65,0.01,65,0.04,65,1,65,2.4,65,10.5,65
"10:00:00 21/07/2010",NA,NA,20,1,30,1,12.3,1,6.5,1,0.003,1,0.09,1,0.023,1,0.005,1,2,1,1.6,1,5.5,1
"10:10:00 27/01/2004",NA,NA,25,65,38,65,10,65,6.7,65,0.009,65,0.08,65,0.03,65,0.01,65,2,65,2,65,15.4,65
"10:20:00 20/10/2010",NA,NA,36,1,24,1,11.7,1,6.9,1,0.003,1,0.11,1,0.043,1,0.013,1,2,1,2.5,1,7,1
"10:23:00 25/07/2006",NA,NA,25,65,31,65,12.1,65,6.9,65,0.003,65,0.13,65,0.04,65,0.005,65,1,65,1.4,65,6.6,65
"10:25:00 22/07/2008",NA,NA,38,65,32,65,11.9,65,7.7,65,0.003,65,0.18,65,0.03,65,0.01,65,7,65,7.4,65,5.7,65
"10:40:00 14/02/2006",NA,NA,50,65,36,65,9.8,65,6.6,65,0.003,65,0.13,65,0.01,65,0.007,65,NA,NA,2.2,65,13.8,65
"10:45:00 28/04/2008",NA,NA,25,65,40,65,11.5,65,7.6,65,0.003,65,0.19,65,0.02,65,0.005,65,2,65,2.1,65,8.3,65
"10:50:00 20/01/2021",NA,NA,NA,NA,34,1,10.51,1,6.71,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,1,13.3,1
"11:00:00 17/01/2017",NA,NA,36,1,38,1,9.8,1,6.6,1,0.003,1,0.12,1,0.048,1,0.016,1,2,1,3.1,1,18.5,1
"11:00:00 19/10/2016",NA,NA,48,1,24,1,12.2,1,6.5,1,0.008,1,0.13,1,0.031,1,0.009,1,2,1,2.8,1,8,1
"11:00:00 22/04/2009",NA,NA,24,65,37,65,11.4,65,7.1,65,0.003,65,0.08,65,0.02,65,0.005,65,2,65,0.9,65,8.5,65
"11:10:00 12/07/2005",NA,NA,35,65,35,65,11.9,65,7.2,65,0.006,65,0.15,65,0.09,65,0.01,65,1,65,2.4,65,NA,NA
"11:12:00 24/10/2006",NA,NA,25,65,NA,NA,11.4,65,6.4,65,0.003,65,0.09,65,0.03,65,0.007,65,1,65,2.2,65,10.7,65
"11:15:00 09/01/2018",NA,NA,32,1,36,1,9.4,1,7,1,0.003,1,0.11,1,0.04,1,0.01,1,2,1,1.9,1,16,1
"11:15:00 11/10/2005",NA,NA,25,65,26,65,11.8,65,7.1,65,0.003,65,0.12,65,0.04,65,0.005,65,2,65,2.1,65,NA,NA
"11:15:00 23/10/2018",NA,NA,25,1,28,1,10.7,1,6.8,1,0.003,1,0.17,1,0.015,1,0.009,1,2,1,1.3,1,10.8,1
"11:20:00 10/10/2007",NA,NA,20,65,24,65,10.9,65,6,65,0.003,65,0.04,65,0.01,65,0.005,65,2,65,0.8,65,8.2,65
"11:20:00 16/04/2019",NA,NA,25,1,38,1,9.58,1,6.97,1,0.003,1,0.17,1,0.021,1,0.017,1,2,1,0.8,1,12.5,1
"11:25:00 20/04/2010",NA,NA,28,1,28.2,1,10.9,1,7.1,1,0.001,1,0.07,1,0.008,1,0.01,1,1,1,1.8,1,13.5,1
"11:30:00 22/01/2014",NA,NA,30,1,39,1,9.4,1,7.1,1,0.003,1,0.16,1,0.048,1,0.01,1,2,1,2.6,1,16,1
"11:30:00 28/07/2009",NA,NA,20,1,41.4,1,11,1,6.8,1,0.002,1,0.1,1,0.012,1,0.006,1,1,1,1.5,1,6.8,1
"11:43:00 20/04/2017",NA,NA,24,1,36,1,11.4,1,6.5,1,0.003,1,0.09,1,0.053,1,0.007,1,5,1,1.8,1,11.3,1
"11:45:00 10/07/2007",NA,NA,40,65,30,65,12.6,65,6.5,65,0.04,65,0.15,65,0.34,65,0.01,65,3,65,3.5,65,5.7,65
"11:45:00 14/10/2020",NA,NA,20,1,30,1,10.98,1,6.56,1,0.003,1,0.05,1,0.056,1,0.005,1,2,1,2.7,1,10.1,1
"11:45:00 19/01/2010",NA,NA,48,1,26.3,1,10.9,1,6.8,1,0.001,1,0.19,1,0.015,1,0.005,1,6,1,6.3,1,10.5,1
"11:50:00 15/04/2014",NA,NA,35,1,33,1,11,1,7,1,0.003,1,0.2,1,0.051,1,0.015,1,2,1,2.8,1,10.5,1
"11:50:00 17/10/2017",NA,NA,16,1,25,1,10.8,1,6.6,1,0.003,1,0.1,1,0.027,1,0.006,1,2,1,1.7,1,13.5,1
"12:00:00 19/01/2011",NA,NA,35,1,38,1,10.2,1,6.9,1,0.003,1,0.15,1,0.023,1,0.012,1,2,1,2.9,1,14.5,1
"12:00:00 20/07/2011",NA,NA,50,1,30,1,12.2,1,6.9,1,0.003,1,0.62,1,0.082,1,0.057,1,34,1,40,1,6.5,1
"12:00:00 22/01/2019",NA,NA,30,1,38,1,8.71,1,7.03,1,0.003,1,0.13,1,0.023,1,0.015,1,2,1,1.2,1,21.8,1
