"Date","AmmoniaasN","AmmoniaasN_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"12:00:00 22/10/2013",NA,NA,25,1,36,1,10.6,1,6.7,1,0.003,1,0.07,1,0.039,1,0.01,1,2,1,3.7,1,12.5,1
"12:00:00 26/04/2006",NA,NA,35,65,27,65,11.4,65,7.7,65,0.004,65,0.13,65,0.11,65,0.005,65,1,65,1.4,65,8.1,65
"12:00:00 26/10/2011",NA,NA,40,1,40,1,10.9,1,6.8,1,0.003,1,0.16,1,0.065,1,0.006,1,2,1,5.2,1,11,1
"12:00:00 29/07/2003",0.002,65,30,65,540,65,12.2,65,8.4,65,0.003,65,0.12,65,0.14,65,0.008,65,2,65,NA,NA,5.6,65
"12:10:00 21/10/2014",NA,NA,30,1,30,1,10.8,1,6.9,1,0.003,1,0.1,1,0.049,1,0.009,1,4,1,4.6,1,12,1
"12:10:00 26/07/2004",NA,NA,30,65,30,65,12.1,65,6.6,65,0.003,65,0.09,65,0.09,65,0.005,65,2,65,1.1,65,6.8,65
"12:15:00 15/10/2019",NA,NA,25,1,25,1,11.35,1,6.31,1,0.003,1,0.08,1,0.013,1,0.008,1,2,1,1.4,1,9,1
"12:15:00 19/04/2004",NA,NA,45,65,36,65,10.6,65,6.5,65,0.006,65,0.14,65,0.02,65,0.007,65,1,65,1,65,11.5,65
"12:15:00 20/10/2009",NA,NA,25,1,21,1,8.6,1,7,1,0.001,1,0.05,1,0.016,1,0.005,1,1,1,5.3,1,10,1
"12:20:00 08/01/2020",NA,NA,30,1,37,1,9.69,1,6.72,1,0.003,1,0.14,1,0.027,1,0.007,1,2,1,1.9,1,15,1
"12:20:00 15/04/2020",NA,NA,30,1,30,1,10.5,1,6.67,1,0.003,1,0.1,1,0.034,1,0.007,1,2,1,1.6,1,10.5,1
"12:30:00 17/04/2018",NA,NA,48,1,28,1,10,1,6.8,1,0.003,1,0.26,1,0.027,1,0.022,1,4,1,4.8,1,12,1
"12:40:00 19/04/2016",NA,NA,25,1,36,1,10.2,1,6.6,1,0.004,1,0.11,1,0.044,1,0.005,1,2,1,4,1,12,1
"12:45:00 16/07/2019",NA,NA,45,1,28,1,12.13,1,6.79,1,0.003,1,0.21,1,0.041,1,0.018,1,5,1,3.6,1,7,1
"12:45:00 17/07/2018",NA,NA,20,1,32,1,11.4,1,6.5,1,0.004,1,0.11,1,0.035,1,0.006,1,2,1,2.5,1,7,1
"12:50:00 15/10/2008",NA,NA,19,65,53,65,11.9,65,6.6,65,0.003,65,0.1,65,0.009,65,0.005,65,2,65,1.2,65,8,65
"12:50:00 18/10/2004",NA,NA,25,65,27,65,12.1,65,6.3,65,0.003,65,0.09,65,0.02,65,0.005,65,2,65,1.1,65,9.2,65
"12:50:00 19/07/2016",NA,NA,32,1,27,1,11.7,1,6.6,1,0.006,1,0.09,1,0.053,1,0.005,1,2,1,2.5,1,9,1
"13:05:00 20/07/2017",NA,NA,72,1,26,1,12.3,1,6.1,1,0.006,1,0.36,1,0.053,1,0.024,1,13,1,7.3,1,6,1
"13:17:00 15/08/2006",NA,NA,35,65,NA,NA,NA,NA,NA,NA,0.004,65,0.2,65,0.15,65,0.007,65,2,65,NA,NA,NA,NA
"13:30:00 17/04/2013",NA,NA,45,1,42,1,10.7,1,6.7,1,0.003,1,0.12,1,0.063,1,0.006,1,2,1,2.8,1,11.5,1
"13:30:00 20/10/2003",NA,NA,55,65,27,65,11.5,65,7.2,65,0.003,65,0.14,65,0.03,65,0.007,65,1,65,NA,NA,9.4,65
"13:30:00 21/04/2015",NA,NA,NA,180,30,1,11.9,1,6.8,1,0.003,1,0.13,1,0.045,1,0.009,1,3,1,3.5,1,8,1
"13:45:00 14/07/2020",NA,NA,45,1,29,1,11.9,1,6.3,1,0.003,1,0.32,1,0.2,1,0.022,1,16,1,14.7,1,7.6,1
"13:50:00 21/07/2015",NA,NA,20,1,35,1,13,1,6.6,1,0.003,1,0.08,1,0.12,1,0.005,1,2,1,3.2,1,5,1
"14:00:00 18/07/2012",NA,NA,22,1,34,1,11.9,1,7,1,0.003,1,0.15,1,0.095,1,0.008,1,3,1,2.8,1,7,1
"14:00:00 18/07/2013",NA,NA,20,1,34,1,11.6,1,6.7,1,0.003,1,0.08,1,0.057,1,0.007,1,2,1,2.7,1,9,1
"14:00:00 22/07/2014",NA,NA,25,1,34,1,11.9,1,6.8,1,0.003,1,0.1,1,0.088,1,0.007,1,2,1,5.5,1,6,1
"15:40:00 13/01/2009",NA,NA,18,65,31,65,9.6,65,6.9,65,0.003,65,0.1,65,0.003,65,0.006,65,2,65,1.1,65,17,65
