"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"08:20:00 07/03/2011",25,1,112,1,9,1,6.7,1,0.003,1,0.16,1,0.009,1,0.009,1,2,1,1,1,16.1,1
"08:30:00 09/11/2009",13,1,130.5,1,7.3,1,7,1,0.002,1,0.13,1,0.016,1,0.013,1,1,1,1.7,1,19.6,1
"08:30:00 13/02/1985",NA,NA,NA,180,8.2,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,19.5,65
"08:30:00 15/11/1984",NA,NA,89,65,10.4,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,65,14.5,65
"08:40:00 11/12/1986",NA,NA,94,65,9.2,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,18,65
"08:45:00 05/10/2010",14,1,96,1,9.6,1,7.2,1,0.003,1,0.12,1,0.008,1,0.024,1,2,1,0.9,1,14.4,1
"08:45:00 06/10/2008",11,65,94,65,9.6,65,6.3,65,0.003,65,0.14,65,0.05,65,0.008,65,2,65,1.1,65,12,65
"08:50:00 07/12/2010",55,1,103,1,8.8,1,7.1,1,0.003,1,0.31,1,0.051,1,0.01,1,2,1,9.2,1,18.9,1
"09:00:00 05/01/2009",16,65,107,65,7.9,65,7.2,65,0.003,65,0.17,65,0.04,65,0.01,65,2,65,1.5,65,19.6,65
"09:00:00 06/01/2010",20,1,120.8,1,7,1,7.3,1,0.005,1,0.12,1,0.008,1,0.011,1,1,1,1.5,1,21.6,1
"09:00:00 19/12/1984",NA,NA,100,65,8.6,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,65,17.5,65
"09:00:00 23/01/1986",NA,NA,110,65,NA,180,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,65,18,65
"09:05:00 03/02/2010",12,1,129.5,1,6.8,1,7.3,1,0.001,1,0.2,1,0.002,1,0.011,1,3,1,2.6,1,23.2,1
"09:10:00 08/12/2009",45,1,101.6,1,8,1,7.3,1,0.003,1,0.14,1,0.026,1,0.005,1,2,1,2.7,1,19,1
"09:15:00 02/05/1985",NA,NA,85,65,10.8,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,65,10,65
