"Date","AmmoniaasN","AmmoniaasN_Qual","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","FlourideasF","FlourideasF_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"13:10:00 11/01/1983",NA,NA,NA,NA,NA,NA,NA,NA,81,65,NA,NA,NA,NA,NA,180,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,65,17.5,65,NA,NA
"13:10:00 11/04/2011",NA,NA,NA,NA,NA,NA,10,1,57,1,NA,NA,NA,NA,9,1,7.3,1,0.003,1,NA,NA,NA,NA,NA,NA,0.17,1,NA,NA,NA,NA,0.008,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,1,3,1,4.9,1,15.3,1,NA,NA
"13:10:00 11/10/1999",NA,NA,2.9,65,3,65,18,65,44,65,38,65,NA,NA,9.6,65,7.4,65,0.003,65,NA,NA,NA,NA,NA,NA,0.14,65,1.3,65,NA,NA,0.02,65,0.8,65,NA,NA,2.1,65,1,65,15,65,NA,NA,NA,NA,NA,NA,0.01,65,10,65,5,65,15,65,7.1,65
"13:10:00 16/07/1998",NA,NA,2.4,65,3,65,16,65,47,65,38,65,NA,NA,12.2,65,7.3,65,0.005,65,NA,NA,NA,NA,NA,NA,0.11,65,1.2,65,NA,NA,0.16,65,0.6,65,NA,NA,2.4,65,1,65,11,65,NA,NA,NA,NA,NA,NA,0.01,65,2,65,1.5,65,5.5,65,6.8,65
"13:10:00 18/10/2011",NA,NA,NA,NA,NA,NA,6,1,38,1,NA,NA,NA,NA,10.3,1,6.9,1,0.003,1,NA,NA,NA,NA,NA,NA,0.06,1,NA,NA,NA,NA,0.005,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,2,1,2.8,1,16.8,1,NA,NA
"13:10:00 21/02/1977",NA,NA,NA,NA,NA,NA,NA,NA,81,65,NA,NA,NA,NA,NA,180,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,21,65,NA,NA
"13:15:00 03/06/1977",NA,NA,NA,NA,NA,NA,NA,NA,41,65,NA,NA,NA,NA,12.7,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,65,11,65,NA,NA
"13:15:00 05/01/1987",NA,NA,NA,NA,NA,NA,NA,NA,38,65,NA,NA,NA,NA,NA,180,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,18.5,65,NA,NA
"13:15:00 06/08/2001",NA,NA,2.7,65,3,65,11,65,68,65,37,65,NA,NA,11.6,65,7.4,65,0.003,65,NA,NA,NA,NA,NA,NA,0.31,65,1.1,65,NA,NA,0.01,65,1,65,NA,NA,2.1,65,1,65,13,65,NA,NA,NA,NA,NA,NA,0.02,65,3,65,2.5,65,8.5,65,7,65
"13:15:00 10/06/1997",NA,NA,4.2,65,3,65,18,65,46,65,49,65,NA,NA,12,65,7.3,65,0.003,65,NA,NA,NA,NA,NA,NA,0.27,65,1.5,65,NA,NA,0.01,65,0.6,65,NA,NA,2.6,65,1.5,65,19,65,NA,NA,NA,NA,NA,NA,0.01,65,3,65,0.9,65,6.5,65,7.4,65
