"Date","AmmoniaasN","AmmoniaasN_Qual","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","FlourideasF","FlourideasF_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"13:00:00 06/03/1986",NA,NA,NA,NA,NA,NA,NA,NA,70,65,NA,NA,NA,NA,8.2,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,65,23.5,65,NA,NA
"13:00:00 06/04/2009",NA,NA,NA,NA,NA,NA,180,65,71,65,NA,NA,NA,NA,8.8,65,6.7,65,0.003,65,NA,NA,NA,NA,NA,NA,1.7,65,NA,NA,NA,NA,0.09,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,65,310,65,NA,NA,17.2,65,NA,NA
"13:00:00 07/05/2002",NA,NA,3.6,65,3,65,8,65,61,65,57,65,NA,NA,10.7,65,7.2,65,0.008,65,NA,NA,NA,NA,NA,NA,0.32,65,1.6,65,NA,NA,0.01,65,1.8,65,NA,NA,3.2,65,2,65,19,65,NA,NA,NA,NA,NA,NA,0.01,65,2,65,1.3,65,12.3,65,7.2,65
"13:00:00 08/01/1985",NA,NA,NA,NA,NA,NA,NA,NA,60,65,NA,NA,NA,NA,8.1,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,20,65,NA,NA
"13:00:00 08/10/1996",NA,NA,1.9,65,2,65,18,65,52,65,30,65,NA,NA,10.4,65,6.7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.11,65,1,65,NA,NA,0.02,65,0.5,65,NA,NA,2.2,65,0.3,65,11,65,NA,NA,NA,NA,NA,NA,0.01,65,8,65,14,65,11.5,65,7.1,65
"13:00:00 09/01/2001",NA,NA,5.3,65,3,65,18,65,61,65,60,65,NA,NA,8.2,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.12,65,2.1,65,NA,NA,0.02,65,0.9,65,NA,NA,3.3,65,2,65,26,65,NA,NA,NA,NA,NA,NA,0.005,65,1,65,1.7,65,21,65,7.6,65
"13:00:00 09/07/1997",NA,NA,2.9,65,3,65,18,65,44,65,44,65,NA,NA,12,65,7.7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.29,65,1.4,65,NA,NA,0.01,65,1.8,65,NA,NA,2.6,65,1.5,65,14,65,NA,NA,NA,NA,NA,NA,0.02,65,2,65,3,65,7,65,7,65
"13:00:00 09/09/1998",NA,NA,2.5,65,2,65,10,65,36,65,36,65,NA,NA,11.2,65,6.9,65,0.003,65,NA,NA,NA,NA,NA,NA,0.09,65,1.2,65,NA,NA,0.03,65,0.5,65,NA,NA,2.3,65,1,65,13,65,NA,NA,NA,NA,NA,NA,0.01,65,2,65,0.8,65,9.5,65,7.7,65
"13:00:00 09/10/1997",NA,NA,2.9,65,2,65,13,65,38,65,36,65,NA,NA,9.6,65,7.2,65,0.003,65,NA,NA,NA,NA,NA,NA,0.05,65,1.3,65,NA,NA,0.01,65,0.6,65,NA,NA,2,65,1.1,65,14,65,NA,NA,NA,NA,NA,NA,0.005,65,2,65,1.8,65,15.5,65,7.3,65
"13:00:00 10/01/2011",NA,NA,NA,NA,NA,NA,12,1,50,1,NA,NA,NA,NA,8.7,1,7.2,1,0.003,1,NA,NA,NA,NA,NA,NA,0.12,1,NA,NA,NA,NA,0.005,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,1,3,1,3.6,1,23.1,1,NA,NA
