"Date","AmmoniaasN","AmmoniaasN_Qual","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","FlourideasF","FlourideasF_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","MercuryasHg","MercuryasHg_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"08:50:00 16/05/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,1,9.98,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,1,NA,NA,0.015,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:50:00 19/08/2004",NA,NA,NA,NA,NA,NA,14,65,46,65,NA,NA,NA,NA,10.8,65,6.7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.17,65,NA,NA,NA,NA,NA,NA,0.006,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,65,6,65,11,65,9,65,NA,NA
"08:50:00 21/10/2004",NA,NA,NA,NA,NA,NA,17,65,39,65,NA,NA,NA,NA,9.6,65,7.2,65,0.003,65,NA,NA,NA,NA,NA,NA,0.16,65,NA,NA,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,6,65,5.3,65,15.8,65,NA,NA
"08:50:00 22/04/2004",NA,NA,NA,NA,NA,NA,12,65,52,65,NA,NA,NA,NA,9.1,65,7,65,0.006,65,NA,NA,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,NA,NA,0.007,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,6,65,6.6,65,16,65,NA,NA
"08:50:00 22/07/2004",NA,NA,NA,NA,NA,NA,18,65,47,65,NA,NA,NA,NA,10.9,65,7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.11,65,NA,NA,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,7,65,11,65,7.1,65,NA,NA
"08:50:00 24/06/2004",NA,NA,NA,NA,NA,NA,18,65,59,65,NA,NA,NA,NA,10.6,65,7.3,65,0.003,65,NA,NA,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,5,65,7.3,65,9.1,65,NA,NA
"08:52:00 16/08/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,1,NA,NA,0.015,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:55:00 05/07/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,1,9.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,1,NA,NA,0.026,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:55:00 21/02/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,1,8.14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,1,NA,NA,0.017,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:55:00 21/04/2005",NA,NA,NA,NA,NA,NA,12,65,52,65,NA,NA,NA,NA,9.2,65,7.3,65,0.003,65,NA,NA,NA,NA,NA,NA,0.22,65,NA,NA,NA,NA,NA,NA,0.04,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,10,65,NA,NA,NA,NA,NA,NA
