"Date","AmmoniaasN","AmmoniaasN_Qual","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","FlourideasF","FlourideasF_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","MercuryasHg","MercuryasHg_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"09:35:00 03/02/1982",NA,NA,NA,NA,NA,NA,NA,NA,45,65,NA,NA,NA,NA,NA,180,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,65,21,65,NA,NA
"09:40:00 01/03/1977",NA,NA,NA,NA,NA,NA,NA,NA,71,65,NA,NA,NA,NA,NA,180,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,65,20.5,65,NA,NA
"09:40:00 04/04/2012",NA,NA,NA,NA,NA,NA,35,1,67,1,NA,NA,NA,NA,8.7,1,6.1,1,0.003,1,NA,NA,NA,NA,NA,NA,0.25,1,NA,NA,NA,NA,NA,NA,0.058,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017,1,7,1,13.2,1,19.2,1,NA,NA
"09:40:00 05/12/2011",NA,NA,NA,NA,NA,NA,30,1,63,1,NA,NA,NA,NA,8.5,1,7.4,1,0.004,1,NA,NA,NA,NA,NA,NA,0.18,1,NA,NA,NA,NA,NA,NA,0.12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021,1,6,1,13.1,1,17.4,1,NA,NA
"09:40:00 16/04/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,1,NA,NA,NA,NA,NA,NA,7.42,1
"09:45:00 09/11/2006",NA,NA,NA,NA,NA,NA,7,65,NA,NA,NA,NA,NA,NA,9.8,65,6.9,65,0.003,65,NA,NA,NA,NA,NA,NA,0.19,65,NA,NA,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,9,65,17,65,17.9,65,NA,NA
"09:45:00 10/09/1996",NA,NA,NA,NA,NA,NA,14,65,41,65,NA,NA,NA,NA,10.6,65,6.8,65,0.004,65,NA,NA,NA,NA,NA,NA,0.46,65,NA,NA,NA,NA,NA,NA,0.007,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,10,65,9.7,65,11.3,65,NA,NA
"09:45:00 23/07/1996",NA,NA,NA,NA,NA,NA,8,65,57,65,NA,NA,NA,NA,11.4,65,6.6,65,0.003,65,NA,NA,NA,NA,NA,NA,0.32,65,NA,NA,NA,NA,NA,NA,0.009,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,6,65,3.3,65,8.5,65,NA,NA
"09:45:00 26/09/1995",NA,NA,NA,NA,NA,NA,20,65,50,65,NA,NA,NA,NA,10.4,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.1,65,NA,NA,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,65,4,65,4.1,65,12.5,65,NA,NA
"09:50:00 01/10/1976",NA,NA,NA,NA,NA,NA,NA,NA,63,65,NA,NA,NA,NA,11.8,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,65,12.5,65,NA,NA
"09:50:00 03/07/2008",NA,NA,NA,NA,NA,NA,30,65,96,65,NA,NA,NA,NA,10.5,65,7.5,65,0.003,65,NA,NA,NA,NA,NA,NA,0.24,65,NA,NA,NA,NA,NA,NA,0.33,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,17,65,34,65,10.2,65,NA,NA
"09:50:00 04/09/2012",NA,NA,NA,NA,NA,NA,36,1,46,1,NA,NA,NA,NA,12.6,1,7.1,1,0.003,1,NA,NA,NA,NA,NA,NA,0.21,1,NA,NA,NA,NA,NA,NA,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021,1,8,1,37,1,11.6,1,NA,NA
"09:50:00 05/05/2009",NA,NA,NA,NA,NA,NA,13,65,80,65,NA,NA,NA,NA,10.1,65,6.7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.26,65,NA,NA,NA,NA,NA,NA,0.08,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,10,65,23.5,65,13.7,65,NA,NA
"09:50:00 11/04/2011",NA,NA,NA,NA,NA,NA,10,1,43,1,NA,NA,NA,NA,9.5,1,7.5,1,0.003,1,NA,NA,NA,NA,NA,NA,0.19,1,NA,NA,NA,NA,NA,NA,0.038,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019,1,2,1,6,1,17.4,1,NA,NA
"09:50:00 24/11/2005",NA,NA,NA,NA,NA,NA,20,65,40,65,NA,NA,NA,NA,9.6,65,6.7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,0.008,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,65,4,65,4.4,65,NA,NA,NA,NA
"09:55:00 07/07/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,1,10.71,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.83,1
"09:55:00 21/02/2007",NA,NA,NA,NA,NA,NA,70,65,149,65,NA,NA,NA,NA,6.7,65,7.5,65,0.005,65,NA,NA,NA,NA,NA,NA,2.4,65,NA,NA,NA,NA,NA,NA,0.04,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,65,230,65,NA,NA,27.6,65,NA,NA
"10:00:00 04/07/2002",NA,NA,NA,NA,NA,NA,16,65,150,65,NA,NA,NA,NA,10.6,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,NA,NA,0.03,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,26,65,9,65,9.1,65,NA,NA
"10:00:00 08/11/2010",NA,NA,NA,NA,NA,NA,18,1,55,1,NA,NA,NA,NA,8.8,1,7.1,1,0.003,1,NA,NA,NA,NA,NA,NA,0.15,1,NA,NA,NA,NA,NA,NA,0.078,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018,1,6,1,18.2,1,17.3,1,NA,NA
"10:00:00 09/06/2009",NA,NA,NA,NA,NA,NA,12,65,115,65,NA,NA,NA,NA,10.1,65,7.2,65,0.003,65,NA,NA,NA,NA,NA,NA,0.25,65,NA,NA,NA,NA,NA,NA,0.13,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,8,65,14.1,65,11.7,65,NA,NA
"10:00:00 10/01/2011",NA,NA,NA,NA,NA,NA,25,1,70,1,NA,NA,NA,NA,7.3,1,7,1,0.003,1,NA,NA,NA,NA,NA,NA,0.16,1,NA,NA,NA,NA,NA,NA,0.065,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.054,1,7,1,26.4,1,19.8,1,NA,NA
"10:00:00 12/10/1994",NA,NA,NA,NA,NA,NA,10,65,56,65,NA,NA,NA,NA,10.8,65,7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,NA,NA,0.003,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,2,65,4.8,65,12,65,NA,NA
"10:00:00 14/07/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,1,10.71,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10:00:00 16/09/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,1,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039,1,NA,NA,NA,NA,NA,NA,7.49,1
"10:00:00 26/10/1978",NA,NA,NA,NA,NA,NA,NA,NA,51,65,NA,NA,NA,NA,10,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,65,15,65,NA,NA
"10:02:00 18/04/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,1,9.18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,1,NA,NA,0.019,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:05:00 05/10/1977",NA,NA,NA,NA,NA,NA,NA,NA,54,65,NA,NA,NA,NA,9.9,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,65,14.5,65,NA,NA
"10:05:00 16/02/2006",NA,NA,NA,NA,NA,NA,14,65,46,65,NA,NA,NA,NA,8.4,65,6.7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.13,65,NA,NA,NA,NA,NA,NA,0.005,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,4,65,8.3,65,NA,NA,NA,NA
"10:05:00 29/12/2005",NA,NA,NA,NA,NA,NA,20,65,42,65,NA,NA,NA,NA,8.3,65,6.7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,NA,NA,0.005,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,5,65,5.8,65,NA,NA,NA,NA
"10:10:00 03/01/2013",NA,NA,NA,NA,NA,NA,12,1,50,1,NA,NA,NA,NA,8.6,1,7.5,1,0.005,1,NA,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,NA,0.011,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,1,4,1,10.6,1,21.6,1,NA,NA
"10:10:00 04/03/2010",NA,NA,NA,NA,NA,NA,10,1,62.5,1,NA,NA,NA,NA,8.1,1,7.5,1,0.002,1,NA,NA,NA,NA,NA,NA,0.11,1,NA,NA,NA,NA,NA,NA,0.042,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1,9,1,19.2,1,22.1,1,NA,NA
"10:15:00 03/01/2002",NA,NA,NA,NA,NA,NA,25,65,70,65,NA,NA,NA,NA,9.1,65,7.1,65,0.005,65,NA,NA,NA,NA,NA,NA,0.58,65,NA,NA,NA,NA,NA,NA,0.04,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,6,65,6.8,65,18,65,NA,NA
"10:15:00 04/02/2010",NA,NA,NA,NA,NA,NA,10,1,50.8,1,NA,NA,NA,NA,7.2,1,7,1,0.002,1,NA,NA,NA,NA,NA,NA,0.16,1,NA,NA,NA,NA,NA,NA,0.008,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,1,5,1,9.5,1,24.2,1,NA,NA
"10:15:00 11/11/1985",NA,NA,2.5,65,6,65,60,65,57,65,NA,NA,NA,NA,9.8,65,NA,180,NA,NA,NA,NA,13,65,1.3,65,0.4,65,2.1,65,0.02,65,NA,NA,0.06,65,1.3,65,6.4,65,5.5,65,1.6,65,14,65,50,65,NA,NA,7,65,0.02,65,5,65,12,65,17,65,NA,NA
"10:15:00 20/09/1978",NA,NA,NA,NA,NA,NA,NA,NA,52,65,NA,NA,NA,NA,10.7,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,65,12.5,65,NA,NA
"10:15:00 23/05/1983",NA,NA,3.6,65,15,65,140,65,94,65,NA,NA,NA,NA,10.4,65,7.8,65,NA,NA,NA,NA,28,65,2.5,65,0.85,65,2.5,65,0.04,65,NA,NA,0.68,65,2.1,65,5.6,65,9.1,65,6,65,15,65,80,65,NA,NA,7,65,NA,NA,12,65,NA,180,12,65,NA,NA
"10:20:00 07/01/2009",NA,NA,NA,NA,NA,NA,10,65,59,65,NA,NA,NA,NA,6.2,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.19,65,NA,NA,NA,NA,NA,NA,0.03,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,4,65,7.7,65,18.5,65,NA,NA
"10:25:00 02/02/2011",NA,NA,NA,NA,NA,NA,20,1,46,1,NA,NA,NA,NA,6.7,1,7,1,0.003,1,NA,NA,NA,NA,NA,NA,0.18,1,NA,NA,NA,NA,NA,NA,0.061,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,1,6,1,16.8,1,22.2,1,NA,NA
"10:25:00 02/09/1980",NA,NA,1.7,65,4.6,65,40,65,41,65,NA,NA,NA,NA,10.3,65,7.4,65,NA,NA,NA,NA,12,65,0.61,65,0.15,65,1.5,65,0.02,65,NA,NA,0.14,65,0.7,65,4.6,65,3.6,65,2,65,12,65,38,65,NA,NA,2,65,0.01,65,8,65,12,65,12,65,NA,NA
"10:25:00 12/10/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,9.69,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,1,NA,NA,0.022,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:25:00 15/03/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,1,8.02,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,1,NA,NA,0.023,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:25:00 17/03/1989",NA,NA,NA,NA,NA,NA,NA,NA,58,65,NA,NA,NA,NA,8,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,65,21,65,NA,NA
"10:30:00 04/11/2008",NA,NA,NA,NA,NA,NA,NA,NA,81,65,NA,NA,NA,NA,8.9,65,7.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,65,17.2,65,NA,NA
"10:30:00 05/09/1983",NA,NA,NA,NA,NA,NA,NA,NA,83,65,NA,NA,NA,NA,10.6,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,65,10.5,65,NA,NA
"10:30:00 05/11/2008",NA,NA,NA,NA,NA,NA,11,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,65,NA,NA,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,NA,NA,0.12,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,7,65,NA,NA,NA,NA,NA,NA
"10:30:00 06/11/2014",NA,NA,NA,NA,NA,NA,8,1,46,1,NA,NA,NA,NA,9.9,1,7.3,1,0.003,1,NA,NA,NA,NA,NA,NA,0.15,1,NA,NA,NA,NA,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,1,4,1,5,1,17.1,1,NA,NA
"10:30:00 07/03/2011",NA,NA,NA,NA,NA,NA,25,1,48,1,NA,NA,NA,NA,8.9,1,7.3,1,0.003,1,NA,NA,NA,NA,NA,NA,0.19,1,NA,NA,NA,NA,NA,NA,0.027,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016,1,2,1,9.8,1,21.6,1,NA,NA
"10:30:00 07/12/2010",NA,NA,NA,NA,NA,NA,27,1,53,1,NA,NA,NA,NA,9,1,7.3,1,0.003,1,NA,NA,NA,NA,NA,NA,0.21,1,NA,NA,NA,NA,NA,NA,0.056,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,1,8,1,27,1,20.3,1,NA,NA
"10:30:00 09/03/1990",NA,NA,NA,NA,NA,NA,NA,NA,64,65,NA,NA,NA,NA,8.6,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,65,22,65,NA,NA
"10:30:00 13/03/2012",NA,NA,NA,NA,NA,NA,40,1,71,1,NA,NA,NA,NA,8.9,1,7.5,1,0.004,1,NA,NA,NA,NA,NA,NA,0.31,1,NA,NA,NA,NA,NA,NA,0.053,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021,1,10,1,32.4,1,19.5,1,NA,NA
"10:30:00 18/01/2007",NA,NA,NA,NA,NA,NA,8,65,74,65,NA,NA,NA,NA,8.1,65,7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.32,65,NA,NA,NA,NA,NA,NA,0.03,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,9,65,12,65,23.8,65,NA,NA
"10:30:00 22/04/1996",NA,NA,NA,NA,NA,NA,32,65,63,65,NA,NA,NA,NA,10.2,65,7.1,65,0.007,65,NA,NA,NA,NA,NA,NA,0.22,65,NA,NA,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,6,65,5.5,65,14,65,NA,NA
"10:35:00 26/10/2006",NA,NA,NA,NA,NA,NA,8,65,NA,NA,NA,NA,NA,NA,10.3,65,6.9,65,0.003,65,NA,NA,NA,NA,NA,NA,0.26,65,NA,NA,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,14,65,17,65,17.3,65,NA,NA
"10:40:00 01/03/1979",NA,NA,NA,NA,NA,NA,NA,NA,56,65,NA,NA,NA,NA,8.6,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,65,22,65,NA,NA
"10:40:00 03/04/2013",NA,NA,NA,NA,NA,NA,5,1,75,1,NA,NA,NA,NA,9.4,1,7.4,1,0.003,1,NA,NA,NA,NA,NA,NA,0.19,1,NA,NA,NA,NA,NA,NA,0.006,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,1,3,1,9.2,1,18.5,1,NA,NA
"10:40:00 03/10/2001",NA,NA,NA,NA,NA,NA,35,65,49,65,NA,NA,NA,NA,3.8,65,7,65,0.006,65,NA,NA,NA,NA,NA,NA,0.28,65,NA,NA,NA,NA,NA,NA,0.11,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,6,65,14,65,13.3,65,NA,NA
"10:40:00 04/12/1981",NA,NA,NA,NA,NA,NA,NA,NA,42,65,NA,NA,NA,NA,NA,180,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,65,17.5,65,NA,NA
"10:40:00 06/12/1983",NA,NA,NA,NA,NA,NA,NA,NA,58,65,NA,NA,NA,NA,8.2,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,65,19,65,NA,NA
"10:40:00 11/08/2009",NA,NA,NA,NA,NA,NA,10,1,61,1,NA,NA,NA,NA,9.7,1,7.5,1,0.001,1,NA,NA,NA,NA,NA,NA,0.12,1,NA,NA,NA,NA,NA,NA,0.158,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,1,8,1,15,1,10.4,1,NA,NA
"10:45:00 04/09/2008",NA,NA,NA,NA,NA,NA,20,65,72,65,NA,NA,NA,NA,12.1,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,NA,NA,0.27,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,12,65,23.6,65,11.2,65,NA,NA
"10:45:00 07/09/1983",NA,NA,NA,NA,NA,NA,NA,NA,49,65,NA,NA,NA,NA,10.2,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,65,12,65,NA,NA
"10:45:00 07/09/2009",NA,NA,NA,NA,NA,NA,15,1,53.8,1,NA,NA,NA,NA,10.8,1,7.1,1,0.002,1,NA,NA,NA,NA,NA,NA,0.15,1,NA,NA,NA,NA,NA,NA,0.119,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,7,1,17.3,1,13.5,1,NA,NA
"10:45:00 12/05/1993",NA,NA,NA,NA,NA,NA,30,65,63,65,NA,NA,NA,NA,10.2,65,7.3,65,0.003,65,NA,NA,NA,NA,NA,NA,0.1,65,NA,NA,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,5,65,8.2,65,15,65,NA,NA
"10:45:00 21/04/2006",NA,NA,NA,NA,NA,NA,12,65,55,65,NA,NA,NA,NA,10.3,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.31,65,NA,NA,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,11,65,12,65,14.6,65,NA,NA
"10:50:00 04/12/2008",NA,NA,NA,NA,NA,NA,16,65,56,65,NA,NA,NA,NA,9.1,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.22,65,NA,NA,NA,NA,NA,NA,0.09,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,16,65,38.6,65,20,65,NA,NA
"10:55:00 11/08/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,1,10.11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,1,NA,NA,0.039,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:55:00 13/02/1984",NA,NA,NA,NA,NA,NA,NA,NA,57,65,NA,NA,NA,NA,8.8,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,65,21,65,NA,NA
"11:00:00 01/12/1976",NA,NA,NA,NA,NA,NA,NA,NA,80,65,NA,NA,NA,NA,8.8,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,65,18.5,65,NA,NA
