"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"08:30:00 13/03/2007",35,65,84,65,7.2,65,7,65,0.004,65,0.4,65,0.11,65,0.06,65,41,65,54.6,65,18.9,65
"08:45:00 02/03/2009",18,65,61,65,7.5,65,6.6,65,0.003,65,0.16,65,0.02,65,0.02,65,24,65,16.2,65,19.2,65
"08:45:00 06/10/2011",40,1,97,1,9.5,1,7.2,1,0.003,1,0.22,1,0.14,1,0.021,1,10,1,22.4,1,13,1
"08:50:00 13/02/2008",30,65,110,65,7.6,65,6.9,65,0.003,65,0.08,65,0.09,65,0.02,65,12,65,12.8,65,19.7,65
"08:51:00 04/04/2007",30,65,83,65,7.6,65,7,65,0.003,65,0.08,65,0.06,65,0.01,65,20,65,17.8,65,17.2,65
"09:12:00 08/12/2006",25,65,72,65,8.6,65,6.5,65,0.004,65,0.13,65,0.03,65,0.01,65,4,65,2.3,65,19.7,65
"09:30:00 06/11/2008",NA,NA,75,65,9,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,65,17.6,65
"09:30:00 13/03/2012",40,1,94,1,8.7,1,6.8,1,0.01,1,0.26,1,0.16,1,0.037,1,14,1,22,1,16.5,1
"09:45:00 17/01/2007",30,65,68,65,6.1,65,6.2,65,0.004,65,0.14,65,0.04,65,0.02,65,4,65,3.8,65,24.4,65
"09:45:00 25/01/2005",NA,NA,67,65,7.2,65,6.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,65,NA,NA
"09:45:00 25/01/2006",30,65,NA,NA,NA,NA,NA,NA,0.003,65,0.17,65,0.03,65,0.02,65,6,65,NA,NA,NA,NA
"09:46:00 15/02/2006",25,65,727,65,6.9,65,6.9,65,0.003,65,0.06,65,0.04,65,0.01,65,4,65,5,65,20.9,65
"09:50:00 08/05/2007",25,65,91,65,7.7,65,6.1,65,0.003,65,0.03,65,0.18,65,0.02,65,12,65,11.7,65,15.3,65
"09:50:00 10/03/2011",30,1,70,1,7.9,1,6.7,1,0.003,1,0.23,1,0.048,1,0.031,1,15,1,11.5,1,19.5,1
"09:55:00 03/08/2009",15,1,79.9,1,10.2,1,7.4,1,0.003,1,0.05,1,0.092,1,0.007,1,1,1,3.1,1,10,1
"09:55:00 12/06/2007",25,65,91,65,13.4,65,6.8,65,0.003,65,0.2,65,0.31,65,0.01,65,27,65,27.7,65,8.7,65
