"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"12:15:00 20/05/2009",28,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,0.62,65,0.12,65,NA,NA,NA,NA,0.08,65,24,65,NA,NA,NA,NA,NA,NA
"12:15:00 21/07/2011",12,1,145,1,NA,NA,NA,NA,10.7,1,7.2,1,0.003,1,0.27,1,0.003,1,NA,NA,NA,NA,0.038,1,36,1,21,1,10,1,NA,NA
"12:15:00 22/11/1998",NA,NA,NA,NA,90,1,8.54,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,1,0.015,1,NA,NA,NA,NA,NA,NA,NA,NA
"12:20:00 08/07/2008",11,65,282,65,NA,NA,NA,NA,10.8,65,7.1,65,0.003,65,0.22,65,0.38,65,NA,NA,NA,NA,0.01,65,6,65,11.1,65,9.8,65,NA,NA
"12:20:00 17/12/2008",18,65,164,65,NA,NA,NA,NA,8.2,65,6.8,65,0.003,65,0.22,65,0.02,65,NA,NA,NA,NA,0.02,65,9,65,11.9,65,19.6,65,NA,NA
"12:20:00 24/09/2015",24,1,205,1,NA,NA,NA,NA,11.4,1,7,1,0.003,1,0.28,1,0.096,1,NA,NA,NA,NA,0.029,1,8,1,10.6,1,14.5,1,NA,NA
"12:24:00 30/10/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,65,0.07,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12:25:00 05/02/2008",45,65,167,65,NA,NA,NA,NA,8.3,65,7.2,65,0.003,65,0.15,65,0.03,65,NA,NA,NA,NA,0.02,65,6,65,11.3,65,26.1,65,NA,NA
"12:25:00 08/01/2008",NA,NA,283,65,NA,NA,NA,NA,6.8,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,65,26.8,65,NA,NA
"12:25:00 09/01/2008",23,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,65,0.42,65,0.003,65,NA,NA,NA,NA,0.05,65,11,65,NA,NA,NA,NA,NA,NA
"12:25:00 30/10/2007",22,65,383,65,NA,NA,NA,NA,6.6,65,7.5,65,0.003,65,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,11,65,13.6,65,22.4,65,NA,NA
"12:30:00 04/03/2008",30,65,135,65,NA,NA,NA,NA,8.5,65,7.2,65,0.003,65,0.32,65,0.08,65,NA,NA,NA,NA,0.02,65,11,65,11.6,65,21.2,65,NA,NA
"12:30:00 04/10/2009",15,1,309.4,1,NA,NA,NA,NA,9.6,1,7,1,0.003,1,0.21,1,0.012,1,NA,NA,NA,NA,0.021,1,12,1,17.5,1,15.8,1,NA,NA
"12:30:00 04/10/2011",18,1,169,1,NA,NA,NA,NA,9.9,1,7.1,1,0.003,1,0.26,1,0.19,1,NA,NA,NA,NA,0.014,1,6,1,8.9,1,15.8,1,NA,NA
"12:30:00 05/01/2011",32,1,179,1,NA,NA,NA,NA,7.3,1,7,1,0.003,1,0.12,1,0.003,1,NA,NA,NA,NA,0.01,1,6,1,10.7,1,23.6,1,NA,NA
"12:30:00 05/02/1997",NA,NA,NA,NA,60,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.53,1
"12:30:00 05/08/2008",14,65,202,65,NA,NA,NA,NA,11.6,65,7,65,0.003,65,0.19,65,0.14,65,NA,NA,NA,NA,0.01,65,10,65,12.7,65,11.6,65,NA,NA
"12:30:00 06/11/2013",20,1,305,1,NA,NA,NA,NA,9,1,7.5,1,0.003,1,0.38,1,0.03,1,NA,NA,NA,NA,0.043,1,9,1,10.2,1,22.3,1,NA,NA
"12:30:00 08/02/2010",22,1,345.2,1,NA,NA,NA,NA,7.4,1,7.3,1,0.002,1,0.4,1,0.023,1,NA,NA,NA,NA,0.026,1,9,1,11.5,1,28,1,NA,NA
"12:30:00 14/11/2011",70,1,140,1,NA,NA,NA,NA,7.2,1,6.9,1,0.013,1,0.51,1,0.051,1,NA,NA,NA,NA,0.047,1,19,1,16.4,1,21.4,1,NA,NA
"12:30:00 15/12/2010",56,1,115,1,NA,NA,NA,NA,7.6,1,6.8,1,0.006,1,0.3,1,0.004,1,NA,NA,NA,NA,0.05,1,7,1,10.4,1,23.1,1,NA,NA
"12:30:00 17/03/2009",28,65,507,65,NA,NA,NA,NA,10.8,65,8.7,65,0.003,65,1.6,65,0.004,65,NA,NA,NA,NA,0.22,65,43,65,37.6,65,19,65,NA,NA
"12:30:00 18/03/2008",20,65,222,65,NA,NA,NA,NA,7.7,65,7.1,65,0.003,65,0.34,65,0.02,65,NA,NA,NA,NA,0.01,65,10,65,11.1,65,26.2,65,NA,NA
"12:30:00 18/12/2012",18,1,386,1,NA,NA,NA,NA,8.4,1,7.6,1,0.003,1,0.46,1,0.006,1,NA,NA,NA,NA,0.035,1,12,1,16.4,1,24.5,1,NA,NA
"12:30:00 20/12/2018",20,1,494,1,NA,NA,NA,NA,6.71,1,7.51,1,0.003,1,0.55,1,0.003,1,NA,NA,NA,NA,0.046,1,17,1,12.2,1,24.9,1,NA,NA
"12:30:00 24/09/2008",18,65,213,65,NA,NA,NA,NA,7.9,65,7.2,65,0.003,65,0.34,65,0.07,65,NA,NA,NA,NA,0.03,65,14,65,18.6,65,16.9,65,NA,NA
"12:30:00 25/03/2008",25,65,212,65,NA,NA,NA,NA,9.2,65,6.3,65,0.003,65,0.25,65,0.01,65,NA,NA,NA,NA,0.02,65,7,65,12.5,65,21,65,NA,NA
"12:33:00 12/10/2015",18,1,236,1,NA,NA,NA,NA,8.1,1,7.2,1,0.003,1,0.38,1,0.009,1,NA,NA,NA,NA,0.032,1,13,1,13.4,1,17.4,1,NA,NA
"12:34:00 01/12/2010",25,1,89,1,NA,NA,NA,NA,7.5,1,7,1,0.003,1,0.24,1,0.005,1,NA,NA,NA,NA,0.032,1,6,1,8.8,1,20.4,1,NA,NA
"12:38:00 16/01/2012",30,1,224,1,NA,NA,NA,NA,9,1,7.6,1,0.005,1,0.34,1,0.006,1,NA,NA,NA,NA,0.026,1,8,1,9.5,1,23.2,1,NA,NA
"12:40:00 07/10/2010",80,1,198,1,NA,NA,NA,NA,9.3,1,7.5,1,0.003,1,0.25,1,0.003,1,NA,NA,NA,NA,0.024,1,9,1,13.7,1,17.7,1,NA,NA
"12:40:00 09/05/2012",32,1,263,1,NA,NA,NA,NA,8.6,1,6.7,1,0.006,1,0.31,1,0.19,1,NA,NA,NA,NA,0.036,1,7,1,13.3,1,14.4,1,NA,NA
"12:40:00 14/11/2007",45,65,172,65,NA,NA,NA,NA,6.4,65,6.8,65,0.003,65,0.44,65,0.39,65,NA,NA,NA,NA,0.02,65,10,65,12.1,65,21.3,65,NA,NA
"12:40:00 15/03/2011",48,1,272,1,NA,NA,NA,NA,7,1,7.3,1,0.008,1,0.52,1,0.004,1,NA,NA,NA,NA,0.072,1,8,1,14.2,1,22.8,1,NA,NA
"12:40:00 29/12/2014",40,1,210,1,NA,NA,NA,NA,8.5,1,7.5,1,0.004,1,0.3,1,0.01,1,NA,NA,NA,NA,0.025,1,8,1,10.3,1,24,1,NA,NA
"12:42:00 26/02/2014",12,1,429,1,NA,NA,NA,NA,7.7,1,7.6,1,0.003,1,0.34,1,0.003,1,NA,NA,NA,NA,0.026,1,10,1,8,1,20.5,1,NA,NA
"12:45:00 06/02/2014",16,1,448,1,NA,NA,NA,NA,7.8,1,7.3,1,0.005,1,0.35,1,0.003,1,NA,NA,NA,NA,0.026,1,12,1,9.1,1,27.4,1,NA,NA
"12:45:00 06/04/2011",25,1,159,1,NA,NA,NA,NA,9.3,1,7,1,0.003,1,0.25,1,0.009,1,NA,NA,NA,NA,0.015,1,6,1,9.4,1,18.5,1,NA,NA
"12:45:00 15/04/2008",25,65,390,65,NA,NA,NA,NA,10.4,65,7.5,65,0.003,65,0.42,65,0.03,65,NA,NA,NA,NA,0.03,65,9,65,13.3,65,18.1,65,NA,NA
"12:45:00 19/02/2014",14,1,442,1,NA,NA,NA,NA,7.1,1,7.8,1,0.003,1,0.44,1,0.003,1,NA,NA,NA,NA,0.041,1,19,1,13.5,1,25.6,1,NA,NA
"12:45:00 21/12/1998",NA,NA,NA,NA,94,1,8.23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,1,0.01,1,NA,NA,NA,NA,NA,NA,NA,NA
"12:46:00 26/11/2015",20,1,194,1,NA,NA,NA,NA,7.7,1,7.4,1,0.003,1,0.3,1,0.006,1,NA,NA,NA,NA,0.032,1,14,1,16.8,1,21.6,1,NA,NA
"12:50:00 05/03/2012",80,1,97,1,NA,NA,NA,NA,5.3,1,6.6,1,0.015,1,0.66,1,0.092,1,NA,NA,NA,NA,0.07,1,7,1,20.5,1,19.8,1,NA,NA
"12:50:00 11/08/2009",10,1,442.4,1,NA,NA,NA,NA,11.2,1,7.8,1,0.002,1,0.28,1,0.1,1,NA,NA,NA,NA,0.016,1,17,1,19.2,1,11.7,1,NA,NA
"12:50:00 11/11/2008",14,65,246,65,NA,NA,NA,NA,7.7,65,7.8,65,0.003,65,0.45,65,0.007,65,NA,NA,NA,NA,0.04,65,18,65,25.2,65,24.1,65,NA,NA
"12:50:00 26/02/2008",43,65,147,65,NA,NA,NA,NA,9.5,65,7.7,65,0.003,65,0.27,65,0.09,65,NA,NA,NA,NA,0.03,65,8,65,14.5,65,20.6,65,NA,NA
"12:50:00 28/04/2015",NA,180,133,1,NA,NA,NA,NA,8.7,1,6.8,1,0.003,1,0.01,1,0.11,1,NA,NA,NA,NA,0.005,1,7,1,13,1,14.5,1,NA,NA
"12:50:00 28/08/2007",35,65,230,65,NA,NA,NA,NA,10,65,7.4,65,0.003,65,0.26,65,0.41,65,NA,NA,NA,NA,0.01,65,6,65,8.3,65,15.3,65,NA,NA
"12:50:00 29/10/2008",18,65,268,65,NA,NA,NA,NA,8.2,65,7.8,65,0.003,65,0.44,65,0.004,65,NA,NA,NA,NA,0.05,65,19,65,23,65,21.6,65,NA,NA
"12:50:00 29/12/2009",20,1,241.3,1,NA,NA,NA,NA,7.3,1,7.5,1,0.002,1,0.2,1,0.003,1,NA,NA,NA,NA,0.011,1,6,1,9.6,1,28.4,1,NA,NA
"12:50:00 30/01/2014",16,1,472,1,NA,NA,NA,NA,6.5,1,7.1,1,0.003,1,0.34,1,0.003,1,NA,NA,NA,NA,0.029,1,9,1,9.4,1,28.3,1,NA,NA
"12:55:00 03/02/2009",28,65,315,65,NA,NA,NA,NA,8.1,65,7.7,65,0.003,65,0.64,65,0.01,65,NA,NA,NA,NA,0.06,65,15,65,22.8,65,22.3,65,NA,NA
"12:55:00 05/11/2008",17,65,157,65,NA,NA,NA,NA,8,65,7.5,65,0.003,65,0.46,65,0.008,65,NA,NA,NA,NA,0.04,65,17,65,21.1,65,19.8,65,NA,NA
"12:55:00 17/09/2012",18,1,242,1,NA,NA,NA,NA,11.2,1,7.2,1,0.003,1,0.28,1,0.23,1,NA,NA,NA,NA,0.029,1,8,1,15.6,1,15.1,1,NA,NA
"12:55:00 21/09/1998",NA,NA,NA,NA,120,1,10.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,1,0.016,1,NA,NA,NA,NA,NA,NA,NA,NA
"12:57:00 22/02/2017",14,1,509,1,NA,NA,NA,NA,7.8,1,7.5,1,0.005,1,0.68,1,0.004,1,NA,NA,NA,NA,0.037,1,8,1,10.5,1,22.1,1,NA,NA
"13:00:00 03/01/1999",NA,NA,NA,NA,112,1,8.16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,1,0.014,1,NA,NA,NA,NA,NA,NA,NA,NA
"13:00:00 07/07/2015",20,1,193,1,NA,NA,NA,NA,11.2,1,7.5,1,0.005,1,0.22,1,0.23,1,NA,NA,NA,NA,0.019,1,9,1,8.8,1,9,1,NA,NA
"13:00:00 07/11/2011",40,1,133,1,NA,NA,NA,NA,7.8,1,7,1,0.003,1,0.29,1,0.038,1,NA,NA,NA,NA,0.022,1,8,1,12.6,1,21.1,1,NA,NA
"13:00:00 10/01/2013",20,1,502,1,NA,NA,NA,NA,8.4,1,7.5,1,0.003,1,0.56,1,0.003,1,NA,NA,NA,NA,0.033,1,15,1,10.9,1,26.3,1,NA,NA
"13:00:00 10/10/2011",30,1,122,1,NA,NA,NA,NA,9.1,1,7.3,1,0.005,1,0.22,1,0.055,1,NA,NA,NA,NA,0.017,1,5,1,10.2,1,15.7,1,NA,NA
"13:00:00 10/11/2009",12,1,177.8,1,NA,NA,NA,NA,7,1,7.2,1,0.001,1,0.2,1,0.009,1,NA,NA,NA,NA,0.03,1,8,1,10.9,1,28,1,NA,NA
"13:00:00 12/04/2011",25,1,197,1,NA,NA,NA,NA,8.6,1,6.8,1,0.003,1,0.39,1,0.004,1,NA,NA,NA,NA,0.032,1,8,1,12.3,1,16.8,1,NA,NA
"13:00:00 13/04/2010",23,1,526.3,1,NA,NA,NA,NA,8.3,1,7,1,0.001,1,0.28,1,0.013,1,NA,NA,NA,NA,0.014,1,14,1,19.7,1,17.7,1,NA,NA
"13:00:00 21/02/2018",24,1,468,1,NA,NA,NA,NA,5.5,1,7.3,1,0.003,1,0.5,1,0.012,1,NA,NA,NA,NA,0.041,1,12,1,23,1,22,1,NA,NA
"13:00:00 25/08/2009",8,1,438.5,1,NA,NA,NA,NA,12.4,1,7,1,0.001,1,0.3,1,0.032,1,NA,NA,NA,NA,0.03,1,16,1,22.6,1,13,1,NA,NA
"13:00:00 29/12/2008",33,65,141,65,NA,NA,NA,NA,7.2,65,7.1,65,0.003,65,0.28,65,0.01,65,NA,NA,NA,NA,0.02,65,7,65,9.3,65,25.2,65,NA,NA
"13:00:00 30/06/2014",20,1,146,1,NA,NA,NA,NA,9.9,1,7.4,1,0.004,1,0.17,1,0.18,1,NA,NA,NA,NA,0.015,1,5,1,7.8,1,9.4,1,NA,NA
"13:00:00 31/01/2012",25,1,286,1,NA,NA,NA,NA,8,1,7.4,1,0.003,1,0.4,1,0.01,1,NA,NA,NA,NA,0.031,1,7,1,8.5,1,24.5,1,NA,NA
"13:01:00 17/01/1999",NA,NA,NA,NA,105,1,8.64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,1,0.011,1,NA,NA,NA,NA,NA,NA,NA,NA
"13:02:00 26/06/2008",12,65,289,65,NA,NA,NA,NA,10.6,65,6.8,65,0.003,65,0.29,65,0.35,65,NA,NA,NA,NA,0.02,65,10,65,16.1,65,11.4,65,NA,NA
"13:04:00 20/04/2017",16,1,498,1,NA,NA,NA,NA,9.4,1,7.3,1,0.01,1,0.37,1,0.003,1,NA,NA,NA,NA,0.021,1,5,1,8.6,1,18.8,1,NA,NA
"13:05:00 03/01/2008",35,65,287,65,NA,NA,NA,NA,7.8,65,7.7,65,0.003,65,0.49,65,0.007,65,NA,NA,NA,NA,0.03,65,9,65,12.3,65,24.5,65,NA,NA
"13:05:00 09/12/2008",38,65,59,65,NA,NA,NA,NA,8.3,65,7.3,65,0.003,65,0.38,65,0.03,65,NA,NA,NA,NA,0.04,65,15,65,16.1,65,20.5,65,NA,NA
"13:05:00 11/03/2008",25,65,290,65,NA,NA,NA,NA,7.5,65,6.8,65,0.003,65,0.2,65,0.03,65,NA,NA,NA,NA,0.02,65,7,65,11.1,65,22.8,65,NA,NA
"13:05:00 13/01/2010",12,1,284.4,1,NA,NA,NA,NA,7.7,1,7.6,1,0.001,1,0.32,1,0.002,1,NA,NA,NA,NA,0.005,1,5,1,7.2,1,22.9,1,NA,NA
"13:06:00 18/12/2007",32,65,210,65,NA,NA,NA,NA,8.5,65,7.7,65,0.003,65,0.41,65,0.02,65,NA,NA,NA,NA,0.04,65,8,65,13.6,65,21.8,65,NA,NA
"13:07:00 25/07/2013",22,1,199,1,NA,NA,NA,NA,10.8,1,7.3,1,0.004,1,0.27,1,0.26,1,NA,NA,NA,NA,0.027,1,8,1,12.4,1,11.2,1,NA,NA
"13:08:00 26/06/2013",68,1,157,1,NA,NA,NA,NA,9.8,1,6.9,1,0.02,1,0.66,1,0.58,1,NA,NA,NA,NA,0.068,1,8,1,16.4,1,10.7,1,NA,NA
"13:08:00 27/11/2007",55,65,227,65,NA,NA,NA,NA,7.9,65,7.1,65,0.003,65,0.38,65,0.23,65,NA,NA,NA,NA,0.03,65,9,65,12.5,65,21.7,65,NA,NA
"13:08:00 29/04/2008",30,65,193,65,NA,NA,NA,NA,9.9,65,7.8,65,0.007,65,0.41,65,0.04,65,NA,NA,NA,NA,0.04,65,10,65,15,65,14.6,65,NA,NA
"13:10:00 06/11/2007",80,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,0.53,65,0.76,65,NA,NA,NA,NA,0.11,65,31,65,NA,NA,NA,NA,NA,NA
"13:10:00 07/11/2007",NA,NA,115,65,NA,NA,NA,NA,8.2,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.2,65,16.3,65,NA,NA
"13:10:00 10/02/2009",32,65,345,65,NA,NA,NA,NA,7.2,65,8.6,65,0.003,65,1.3,65,0.004,65,NA,NA,NA,NA,0.13,65,26,65,24.2,65,21.9,65,NA,NA
"13:10:00 11/11/2013",14,1,321,1,NA,NA,NA,NA,9.2,1,7.4,1,0.003,1,0.48,1,0.006,1,NA,NA,NA,NA,0.16,1,8,1,15.7,1,17.9,1,NA,NA
"13:10:00 21/10/2009",20,1,117.3,1,NA,NA,NA,NA,8.3,1,7.3,1,0.002,1,0.14,1,0.012,1,NA,NA,NA,NA,0.026,1,6,1,9.5,1,18.6,1,NA,NA
"13:15:00 03/03/2009",28,65,373,65,NA,NA,NA,NA,7.7,65,7.7,65,0.003,65,0.85,65,0.003,65,NA,NA,NA,NA,0.07,65,19,65,26.8,65,21.2,65,NA,NA
"13:15:00 04/12/2007",35,65,238,65,NA,NA,NA,NA,8.2,65,7.3,65,0.003,65,0.36,65,0.09,65,NA,NA,NA,NA,0.02,65,8,65,8.2,65,24,65,NA,NA
"13:15:00 09/05/2011",25,1,183,1,NA,NA,NA,NA,9.3,1,7.2,1,0.003,1,0.31,1,0.02,1,NA,NA,NA,NA,0.033,1,7,1,11.2,1,14.3,1,NA,NA
"13:15:00 10/03/2009",30,65,243,65,NA,NA,NA,NA,8.4,65,6.9,65,0.004,65,1.5,65,0.003,65,NA,NA,NA,NA,0.18,65,34,65,29.9,65,22.9,65,NA,NA
"13:15:00 12/08/2008",16,65,191,65,NA,NA,NA,NA,11.3,65,7.7,65,0.003,65,0.2,65,0.18,65,NA,NA,NA,NA,0.01,65,8,65,12.4,65,11.3,65,NA,NA
"13:15:00 20/11/2007",50,65,193,65,NA,NA,NA,NA,8.4,65,6.9,65,0.003,65,0.35,65,0.24,65,NA,NA,NA,NA,0.02,65,8,65,10.9,65,24.9,65,NA,NA
"13:15:00 29/01/2008",50,65,145,65,NA,NA,NA,NA,8.4,65,7.2,65,0.003,65,0.29,65,0.1,65,NA,NA,NA,NA,0.03,65,8,65,13.1,65,24.6,65,NA,NA
"13:20:00 02/11/2010",30,1,182,1,NA,NA,NA,NA,8.2,1,7.2,1,0.003,1,0.43,1,0.15,1,NA,NA,NA,NA,0.061,1,8,1,16.2,1,20.4,1,NA,NA
"13:20:00 02/11/2011",48,1,111,1,NA,NA,NA,NA,8.4,1,7.1,1,0.003,1,0.36,1,0.075,1,NA,NA,NA,NA,0.031,1,8,1,19.2,1,18.2,1,NA,NA
"13:20:00 10/01/2011",25,1,206,1,NA,NA,NA,NA,2.6,1,7.1,1,0.003,1,0.36,1,0.006,1,NA,NA,NA,NA,0.029,1,9,1,11.1,1,25,1,NA,NA
"13:20:00 10/01/2012",35,1,234,1,NA,NA,NA,NA,8.7,1,6.9,1,0.009,1,0.37,1,0.003,1,NA,NA,NA,NA,0.025,1,8,1,12,1,22.4,1,NA,NA
"13:20:00 12/02/2008",50,65,101,65,NA,NA,NA,NA,7.9,65,6.9,65,0.003,65,0.27,65,0.12,65,NA,NA,NA,NA,0.01,65,8,65,13.6,65,21.3,65,NA,NA
"13:20:00 14/01/2015",25,1,215,1,NA,NA,NA,NA,8,1,7.6,1,0.003,1,0.42,1,0.019,1,NA,NA,NA,NA,0.028,1,11,1,16.4,1,22.4,1,NA,NA
"13:20:00 14/02/2011",60,1,322,1,NA,NA,NA,NA,8.2,1,7.4,1,0.003,1,0.66,1,0.003,1,NA,NA,NA,NA,0.085,1,11,1,14.4,1,24.3,1,NA,NA
"13:20:00 19/01/2011",25,1,240,1,NA,NA,NA,NA,7.7,1,7.4,1,0.009,1,0.38,1,0.003,1,NA,NA,NA,NA,0.046,1,8,1,10.8,1,23.9,1,NA,NA
"13:20:00 27/05/2019",18,1,1704,1,NA,NA,NA,NA,6.4,1,7.3,1,0.008,1,0.97,1,0.43,1,NA,NA,NA,NA,0.082,1,9,1,11.1,1,11.3,1,NA,NA
"13:22:00 07/08/2007",35,65,285,65,NA,NA,NA,NA,11.6,65,7.7,65,0.003,65,0.38,65,0.63,65,NA,NA,NA,NA,0.03,65,5,65,11.2,65,12.1,65,NA,NA
"13:22:00 11/07/2007",60,65,109,65,NA,NA,NA,NA,10.4,65,7,65,0.01,65,0.5,65,0.52,65,NA,NA,NA,NA,0.04,65,20,65,34.3,65,10,65,NA,NA
"13:25:00 02/09/2008",14,65,163,65,NA,NA,NA,NA,11.2,65,7.5,65,0.003,65,0.22,65,0.1,65,NA,NA,NA,NA,0.01,65,8,65,12.7,65,14.5,65,NA,NA
"13:25:00 30/09/2008",18,65,184,65,NA,NA,NA,NA,8.5,65,7.8,65,0.003,65,0.33,65,0.04,65,NA,NA,NA,NA,0.04,65,14,65,19.6,65,17.4,65,NA,NA
"13:26:00 10/06/2008",35,65,341,65,NA,NA,NA,NA,8.8,65,7.3,65,0.003,65,0.46,65,0.32,65,NA,NA,NA,NA,0.03,65,8,65,14.5,65,13.2,65,NA,NA
"13:26:00 28/09/1998",NA,NA,NA,NA,96,1,9.57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,1,0.022,1,NA,NA,NA,NA,NA,NA,NA,NA
"13:28:00 08/04/2013",12,1,595,1,NA,NA,NA,NA,7.2,1,7.7,1,0.003,1,0.43,1,0.03,1,NA,NA,NA,NA,0.005,1,7,1,10.4,1,21,1,NA,NA
"13:30:00 02/04/2014",10,1,438,1,NA,NA,NA,NA,7.7,1,7.5,1,0.003,1,0.34,1,0.006,1,NA,NA,NA,NA,0.069,1,8,1,11.7,1,22.8,1,NA,NA
"13:30:00 03/01/2013",20,1,441,1,NA,NA,NA,NA,8.7,1,7.4,1,0.006,1,0.44,1,0.003,1,NA,NA,NA,NA,0.026,1,11,1,12.2,1,28,1,NA,NA
"13:30:00 04/09/2007",30,65,273,65,NA,NA,NA,NA,11.1,65,7.4,65,0.003,65,0.31,65,0.32,65,NA,NA,NA,NA,0.02,65,8,65,12,65,13.9,65,NA,NA
"13:30:00 05/12/2013",40,1,83,1,NA,NA,NA,NA,9.6,1,7.6,1,0.004,1,0.3,1,0.037,1,NA,NA,NA,NA,0.027,1,8,1,18.9,1,19.7,1,NA,NA
"13:30:00 06/01/2014",25,1,265,1,NA,NA,NA,NA,10.1,1,7.5,1,0.003,1,0.35,1,0.003,1,NA,NA,NA,NA,0.026,1,14,1,12.6,1,20.3,1,NA,NA
"13:30:00 07/01/2015",2,1,294,1,NA,NA,NA,NA,9.8,1,7.1,1,0.003,1,0.01,1,0.004,1,NA,NA,NA,NA,0.005,1,10,1,14,1,28.3,1,NA,NA
"13:30:00 07/03/2011",25,1,244,1,NA,NA,NA,NA,8.9,1,7.2,1,0.003,1,0.32,1,0.003,1,NA,NA,NA,NA,0.039,1,6,1,9.2,1,22.6,1,NA,NA
"13:30:00 08/04/2014",10,1,450,1,NA,NA,NA,NA,9.2,1,7.6,1,0.003,1,0.31,1,0.02,1,NA,NA,NA,NA,0.045,1,14,1,16.4,1,21.3,1,NA,NA
"13:30:00 09/10/2013",25,1,239,1,NA,NA,NA,NA,10.1,1,7.6,1,0.003,1,0.28,1,0.17,1,NA,NA,NA,NA,0.024,1,8,1,13,1,19.5,1,NA,NA
"13:30:00 12/02/2014",14,1,395,1,NA,NA,NA,NA,8.5,1,7.7,1,0.003,1,0.38,1,0.003,1,NA,NA,NA,NA,0.027,1,8,1,7.4,1,24.7,1,NA,NA
"13:30:00 12/10/2009",17,1,161.3,1,NA,NA,NA,NA,9.1,1,6.8,1,0.005,1,0.17,1,0.011,1,NA,NA,NA,NA,0.02,1,8,1,14.4,1,16.8,1,NA,NA
"13:30:00 16/10/2012",18,1,212,1,NA,NA,NA,NA,9,1,7.2,1,0.005,1,0.26,1,0.2,1,NA,NA,NA,NA,0.02,1,8,1,10.3,1,18,1,NA,NA
"13:30:00 17/05/2010",43,1,309.1,1,NA,NA,NA,NA,9.4,1,7.5,1,0.01,1,0.61,1,0.124,1,NA,NA,NA,NA,0.399,1,19,1,31.1,1,13.3,1,NA,NA
"13:30:00 17/07/2013",22,1,254,1,NA,NA,NA,NA,9.4,1,6.9,1,0.016,1,0.31,1,0.52,1,NA,NA,NA,NA,0.03,1,8,1,13.5,1,11.6,1,NA,NA
"13:30:00 19/03/2012",60,1,145,1,NA,NA,NA,NA,7.3,1,6.9,1,0.012,1,0.54,1,0.14,1,NA,NA,NA,NA,0.08,1,10,1,16.8,1,19.1,1,NA,NA
"13:30:00 20/04/2010",20,1,282.1,1,NA,NA,NA,NA,8.8,1,7.6,1,0.001,1,0.25,1,0.099,1,NA,NA,NA,NA,0.012,1,8,1,14.6,1,20.9,1,NA,NA
"13:30:00 20/11/2008",18,65,333,65,NA,NA,NA,NA,NA,180,7.3,65,0.003,65,1.8,65,0.01,65,NA,NA,NA,NA,0.18,65,14,65,25.4,65,19.3,65,NA,NA
"13:30:00 23/01/2014",20,1,333,1,NA,NA,NA,NA,7.4,1,7.4,1,0.003,1,0.37,1,0.003,1,NA,NA,NA,NA,0.023,1,7,1,3.3,1,24.6,1,NA,NA
"13:30:00 23/02/2010",67,1,142,1,NA,NA,NA,NA,6.1,1,7.1,1,0.002,1,0.28,1,0.015,1,NA,NA,NA,NA,0.014,1,14,1,28.6,1,23.9,1,NA,NA
"13:30:00 24/02/2009",32,65,349,65,NA,NA,NA,NA,8.8,65,7.5,65,0.003,65,0.72,65,0.007,65,NA,NA,NA,NA,0.07,65,14,65,17.9,65,22.1,65,NA,NA
"13:30:00 25/05/2011",20,1,181,1,NA,NA,NA,NA,9.6,1,6.9,1,0.003,1,0.33,1,0.003,1,NA,NA,NA,NA,0.035,1,6,1,12.2,1,12.7,1,NA,NA
"13:30:00 26/06/2019",20,1,393,1,NA,NA,NA,NA,11.3,1,7.4,1,0.003,1,0.37,1,0.077,1,NA,NA,NA,NA,0.032,1,7,1,7,1,9.3,1,NA,NA
