"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"10:42:00 11/12/2007",37,65,265,65,NA,NA,NA,NA,7.9,65,7.4,65,0.003,65,0.44,65,0.11,65,NA,NA,NA,NA,0.03,65,10,65,13.2,65,22,65,NA,NA
"10:45:00 17/07/2006",18,65,330,65,NA,NA,NA,NA,11,65,7.3,65,0.003,65,0.28,65,0.02,65,NA,NA,NA,NA,0.02,65,19,65,NA,NA,10.6,65,NA,NA
"10:45:00 17/10/2005",16,65,200,65,NA,NA,NA,NA,6.7,65,6.9,65,0.01,65,0.96,65,0.03,65,NA,NA,NA,NA,0.08,65,13,65,NA,NA,NA,NA,NA,NA
"10:45:00 18/06/2020",16,1,202,1,NA,NA,NA,NA,11.1,1,7.2,1,0.003,1,0.27,1,0.043,1,NA,NA,NA,NA,0.021,1,8,1,10.1,1,11.3,1,NA,NA
"10:45:00 18/07/2005",50,65,194,65,NA,NA,NA,NA,10.5,65,7.2,65,0.01,65,0.43,65,0.2,65,NA,NA,NA,NA,0.05,65,7,65,NA,NA,NA,NA,NA,NA
"10:45:00 23/07/2019",16,1,430,1,NA,NA,NA,NA,10.8,1,6.98,1,0.013,1,0.46,1,0.14,1,NA,NA,NA,NA,0.064,1,13,1,15.8,1,10.3,1,NA,NA
"10:45:00 24/07/2007",35,65,293,65,NA,NA,NA,NA,10.8,65,6.5,65,0.003,65,0.36,65,0.76,65,NA,NA,NA,NA,0.03,65,2,65,11.7,65,8.7,65,NA,NA
"10:45:00 27/06/2007",NA,NA,249,65,NA,NA,NA,NA,7.5,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,9.6,65,NA,NA
"10:50:00 04/04/2005",25,65,372,65,NA,NA,NA,NA,6.9,65,7.3,65,0.009,65,0.46,65,0.02,65,NA,NA,NA,NA,0.05,65,15,65,NA,NA,17.8,65,NA,NA
"10:50:00 06/06/2005",25,65,365,65,NA,NA,NA,NA,9.6,65,7.4,65,0.006,65,0.4,65,0.06,65,NA,NA,NA,NA,0.04,65,10,65,NA,NA,NA,NA,NA,NA
"10:50:00 09/05/2007",40,65,235,65,NA,NA,NA,NA,7.8,65,7,65,0.004,65,0.29,65,0.01,65,NA,NA,NA,NA,0.01,65,16,65,18.7,65,16.3,65,NA,NA
"10:50:00 21/03/2005",50,65,354,65,NA,NA,NA,NA,7,65,7.3,65,0.006,65,0.54,65,0.02,65,220,65,NA,NA,0.08,65,12,65,NA,NA,19.8,65,NA,NA
"10:50:00 26/06/2006",30,65,111,65,NA,NA,NA,NA,10.6,65,7,65,0.003,65,0.26,65,0.02,65,NA,NA,NA,NA,0.01,65,9,65,NA,NA,8.9,65,NA,NA
"10:50:00 28/12/2011",30,1,183,1,NA,NA,NA,NA,8.1,1,7.4,1,0.004,1,0.32,1,0.007,1,NA,NA,NA,NA,0.028,1,10,1,13.8,1,23.5,1,NA,NA
"10:50:00 30/10/2012",22,1,197,1,NA,NA,NA,NA,9.2,1,7.4,1,0.003,1,0.23,1,0.064,1,NA,NA,NA,NA,0.015,1,6,1,8.6,1,22.2,1,NA,NA
"10:51:00 16/11/1998",NA,NA,NA,NA,80,1,9.01,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,1,0.033,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:52:00 03/07/2006",25,65,298,65,NA,NA,NA,NA,11.1,65,7.6,65,0.003,65,0.28,65,0.02,65,NA,NA,NA,NA,0.02,65,10,65,NA,NA,9.9,65,NA,NA
"10:52:00 24/04/2007",10,65,478,65,NA,NA,NA,NA,5.8,65,6.9,65,0.003,65,0.42,65,0.01,65,NA,NA,NA,NA,0.03,65,19,65,16.8,65,17.7,65,NA,NA
"10:52:00 30/08/1999",NA,NA,NA,NA,78,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,1,0.017,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:55:00 10/03/2010",40,1,227.1,1,NA,NA,NA,NA,8.2,1,6.9,1,0.007,1,0.3,1,0.022,1,NA,NA,NA,NA,0.017,1,19,1,29.1,1,20.6,1,NA,NA
"10:55:00 14/06/2005",25,65,414,65,NA,NA,NA,NA,9,65,7.3,65,0.01,65,0.42,65,0.08,65,NA,NA,NA,NA,0.03,65,11,65,NA,NA,NA,NA,NA,NA
"10:55:00 20/06/2005",12,65,440,65,NA,NA,NA,NA,9.9,65,7.4,65,0.008,65,0.34,65,0.03,65,NA,NA,NA,NA,0.02,65,6,65,NA,NA,NA,NA,NA,NA
"11:00:00 02/05/2005",20,65,336,65,NA,NA,NA,NA,8.4,65,7.4,65,0.008,65,0.45,65,0.03,65,NA,NA,NA,NA,0.05,65,11,65,NA,NA,NA,NA,NA,NA
"11:00:00 12/10/1998",NA,NA,NA,NA,94,1,9.61,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,1,0.02,1,NA,NA,NA,NA,NA,NA,NA,NA
"11:00:00 15/06/2011",18,1,144,1,NA,NA,NA,NA,9.4,1,7.3,1,0.003,1,0.1,1,0.003,1,NA,NA,NA,NA,0.014,1,4,1,9.3,1,11,1,NA,NA
"11:00:00 22/02/2012",45,1,335,1,NA,NA,NA,NA,7.2,1,7.3,1,0.025,1,0.56,1,0.011,1,NA,NA,NA,NA,0.061,1,11,1,11.7,1,20.9,1,NA,NA
"11:00:00 22/03/2017",14,1,547,1,NA,NA,NA,NA,5.5,1,7.2,1,0.007,1,0.44,1,0.003,1,NA,NA,NA,NA,0.027,1,10,1,7.2,1,21.7,1,NA,NA
"11:00:00 30/01/2013",14,1,506,1,NA,NA,NA,NA,7.6,1,7.6,1,0.003,1,0.38,1,0.003,1,NA,NA,NA,NA,0.018,1,6,1,8.1,1,21.7,1,NA,NA
"11:01:00 14/08/2007",40,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,65,0.4,65,0.58,65,NA,NA,NA,NA,0.02,65,7,65,NA,NA,NA,NA,NA,NA
"11:02:00 04/09/2006",16,65,159,65,NA,NA,NA,NA,9.2,65,7.4,65,0.003,65,0.23,65,0.01,65,NA,NA,NA,NA,0.01,65,15,65,NA,NA,14.1,65,NA,NA
"11:02:00 30/05/2007",35,65,279,65,NA,NA,NA,NA,9,65,7,65,0.003,65,0.43,65,0.07,65,NA,NA,NA,NA,0.02,65,19,65,39.9,65,12.3,65,NA,NA
"11:03:00 18/12/2006",18,65,485,65,NA,NA,NA,NA,7.5,65,7.4,65,0.004,65,0.44,65,0.009,65,NA,NA,NA,NA,0.03,65,17,65,NA,NA,21.1,65,NA,NA
"11:03:00 22/08/2013",20,1,214,1,NA,NA,NA,NA,9.4,1,7,1,0.003,1,0.21,1,0.19,1,NA,NA,NA,NA,0.019,1,5,1,7.1,1,12.5,1,NA,NA
"11:10:00 14/05/2014",30,1,243,1,NA,NA,NA,NA,9.4,1,7.1,1,0.003,1,0.26,1,0.14,1,NA,NA,NA,NA,0.026,1,10,1,12.2,1,13.5,1,NA,NA
"11:10:00 14/05/2020",35,1,199,1,NA,NA,NA,NA,9.5,1,7.16,1,0.004,1,0.38,1,0.17,1,NA,NA,NA,NA,0.036,1,13,1,17.3,1,11.6,1,NA,NA
"11:10:00 14/10/2008",19,65,246,65,NA,NA,NA,NA,9,65,7.1,65,0.003,65,0.5,65,0.005,65,NA,NA,NA,NA,0.05,65,17,65,22.7,65,18.9,65,NA,NA
"11:15:00 16/04/2014",60,1,212,1,NA,NA,NA,NA,8.8,1,6.9,1,0.01,1,0.54,1,0.12,1,NA,NA,NA,NA,0.038,1,11,1,18.4,1,17.7,1,NA,NA
"11:20:00 18/05/2016",20,1,293,1,NA,NA,NA,NA,9,1,7,1,0.013,1,0.36,1,0.18,1,NA,NA,NA,NA,0.041,1,11,1,12.7,1,14,1,NA,NA
"11:20:00 20/10/2016",24,1,175,1,NA,NA,NA,NA,9.2,1,6.8,1,0.003,1,0.18,1,0.097,1,NA,NA,NA,NA,0.014,1,7,1,12.1,1,18,1,NA,NA
"11:20:00 22/10/2007",NA,NA,361,65,NA,NA,NA,NA,8.5,65,7.3,65,0.003,65,0.44,65,0.14,65,NA,NA,NA,NA,NA,NA,20,65,20.5,65,20.6,65,NA,NA
"11:20:00 28/01/2010",17,1,316.5,1,NA,NA,NA,NA,7.8,1,7.6,1,0.006,1,0.34,1,0.004,1,NA,NA,NA,NA,0.016,1,11,1,9.6,1,26.4,1,NA,NA
"11:20:00 30/08/2011",25,1,180,1,NA,NA,NA,NA,9.6,1,6.9,1,0.003,1,0.3,1,0.44,1,NA,NA,NA,NA,0.02,1,7,1,11.2,1,13.1,1,NA,NA
"11:23:00 26/02/2013",16,1,630,1,NA,NA,NA,NA,6.3,1,7.3,1,0.003,1,0.49,1,0.005,1,NA,NA,NA,NA,0.021,1,11,1,7.3,1,24.4,1,NA,NA
