"Date","AluminiumasAl","AluminiumasAl_Qual","AmmoniaasN","AmmoniaasN_Qual","BicarbonateAlkalinityasCaCO3","BicarbonateAlkalinityasCaCO3_Qual","CadmiumasCd","CadmiumasCd_Qual","CalciumasCa","CalciumasCa_Qual","CarbonateAlkalinityasCaCO3","CarbonateAlkalinityasCaCO3_Qual","ChlorideasCl","ChlorideasCl_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","HydroxideAlkalinityasCaCO3","HydroxideAlkalinityasCaCO3_Qual","IronasFe","IronasFe_Qual","LeadasPb","LeadasPb_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","MercuryasHg","MercuryasHg_Qual","MolybdenumasMo","MolybdenumasMo_Qual","NickelasNi","NickelasNi_Qual","NitrateNitrogen","NitrateNitrogen_Qual","NitriteNitrogen","NitriteNitrogen_Qual","PotassiumasK","PotassiumasK_Qual","SeleniumasSe","SeleniumasSe_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual"
"05:45:00 02/02/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,65,680,65,NA,NA,6,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,65,22.4,65,18.2,65,NA,NA
"07:30:00 19/01/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,65,710,65,NA,NA,5.6,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,65,NA,NA,15.3,65,NA,NA
"07:40:00 13/02/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,65,NA,NA,NA,NA,NA,NA
"07:46:00 28/02/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580,65,NA,NA,5.7,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,65,17.6,65,NA,NA
"07:50:00 07/11/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,65,572,65,NA,NA,5.5,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,29,65,NA,NA,NA,NA
"07:50:00 10/01/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,500,65,NA,NA,6.8,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,65,31,65,17.2,65,NA,NA
"07:50:00 27/02/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,746,65,NA,NA,5.8,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,65,21,65,NA,NA,NA,NA
"07:50:00 27/09/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,65,310,65,NA,NA,8.5,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,65,38,65,13.1,65,NA,NA
"07:55:00 16/02/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,650,65,NA,NA,5.4,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,65,18,65,21,65,NA,NA
"07:55:00 28/11/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,577,65,NA,NA,6.1,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,65,19,65,NA,NA,NA,NA
