"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual","pHLab","pHLab_Qual"
"14:00:00 03/04/2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,360,65,NA,NA,NA,NA,9.6,65,5.9,65,0.004,65,NA,NA,NA,NA,0.58,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,76,65,23,65,18,65,NA,NA,NA,NA
"14:00:00 03/07/2014",NA,NA,0.001,1,2e-04,1,NA,NA,NA,NA,0.004,1,80,1,272,1,NA,NA,0.004,1,11.3,1,6.8,1,0.009,1,NA,NA,NA,NA,1.1,1,0.002,1,NA,NA,NA,NA,1e-04,1,0.004,1,1.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,1,110,1,112,1,10.5,1,0.013,1,NA,NA
"14:00:00 05/10/1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,65,300,65,NA,NA,NA,NA,11.4,65,6.7,65,0.02,65,NA,NA,NA,NA,0.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,54,65,33,65,12,65,NA,NA,NA,NA
"14:00:00 05/10/1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,65,220,65,NA,NA,NA,NA,9.8,65,6.8,65,0.006,65,NA,NA,NA,NA,0.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,53,65,29,65,14,65,NA,NA,NA,NA
"14:00:00 06/08/2013",NA,NA,0.001,1,2e-04,1,NA,NA,NA,NA,0.005,1,45,1,318,1,NA,NA,0.002,1,10.8,1,7.2,1,0.005,1,NA,NA,NA,NA,0.59,1,0.001,1,NA,NA,NA,NA,1e-04,1,0.003,1,0.69,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.081,1,60,1,61,1,10.5,1,0.014,1,NA,NA
"14:00:00 10/04/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,65,240,65,NA,NA,NA,NA,10.3,65,6.8,65,0.005,65,NA,NA,NA,NA,0.45,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,60,65,29,65,13.5,65,NA,NA,NA,NA
"14:00:00 10/12/2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,65,280,65,NA,NA,NA,NA,8.4,65,6.9,65,0.006,65,NA,NA,NA,NA,0.64,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,58,65,17,65,17.5,65,NA,NA,NA,NA
"14:00:00 14/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,65,440,65,NA,NA,NA,NA,10.2,65,7.3,65,0.004,65,NA,NA,NA,NA,0.62,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,38,65,9.5,65,14,65,NA,NA,NA,NA
"14:00:00 17/02/2011",NA,NA,0.001,1,2e-04,1,NA,NA,NA,NA,0.002,1,80,1,430,1,NA,NA,0.003,1,6.3,1,7,1,0.005,1,NA,NA,NA,NA,0.91,1,0.001,1,NA,NA,NA,NA,1e-04,1,0.003,1,0.38,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,1,46,1,50,1,22.5,1,0.012,1,NA,NA
"14:00:00 25/03/1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,410,65,NA,NA,NA,NA,9.4,65,7.2,65,NA,NA,NA,NA,NA,NA,0.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,48,65,18,65,18,65,NA,NA,NA,NA
