"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual","pHLab","pHLab_Qual"
"14:30:00 08/07/2013",NA,NA,0.001,1,2e-04,1,NA,NA,NA,NA,0.003,1,32,1,380,1,NA,NA,0.004,1,9.8,1,7.4,1,0.006,1,NA,NA,NA,NA,0.46,1,0.001,1,NA,NA,NA,NA,1e-04,1,0.003,1,0.91,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.061,1,44,1,75.8,1,9.7,1,0.008,1,NA,NA
"14:30:00 08/08/2017",NA,NA,0.001,1,2e-04,1,NA,NA,NA,NA,0.001,1,32,1,520,1,NA,NA,0.002,1,10.8,1,6.6,1,0.009,1,NA,NA,NA,NA,0.62,1,0.001,1,NA,NA,NA,NA,1e-04,1,0.001,1,0.61,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053,1,27,1,26,1,9.5,1,0.011,1,NA,NA
"14:30:00 11/12/1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,65,300,65,NA,NA,NA,NA,8.7,65,6.7,65,0.004,65,NA,NA,NA,NA,0.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,77,65,16,65,16,65,NA,NA,NA,NA
"14:30:00 12/02/2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,65,350,65,NA,NA,NA,NA,8.2,65,7.2,65,0.01,65,NA,NA,NA,NA,0.52,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,81,65,21,65,24,65,NA,NA,NA,NA
"14:30:00 12/09/1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,250,65,NA,NA,NA,NA,10.8,65,6.4,65,0.01,65,NA,NA,NA,NA,1.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,57,65,36,65,13,65,NA,NA,NA,NA
"14:30:00 16/09/1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,65,310,65,NA,NA,NA,NA,10,65,6.8,65,0.008,65,NA,NA,NA,NA,1.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,65,70,65,32,65,9,65,NA,NA,NA,NA
"14:30:00 19/10/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,65,290,65,NA,NA,NA,NA,10.6,65,7.1,65,0.01,65,NA,NA,NA,NA,0.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,65,120,65,17,65,15,65,NA,NA,NA,NA
"14:30:00 27/11/2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,65,320,65,NA,NA,NA,NA,8,65,7.7,65,0.005,65,NA,NA,NA,NA,0.79,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,65,96,65,15,65,24,65,NA,NA,NA,NA
"14:40:00 06/06/2016",NA,NA,0.002,1,2e-04,1,NA,NA,NA,NA,0.001,1,32,1,370,1,NA,NA,0.002,1,8.8,1,6.9,1,0.006,1,NA,NA,NA,NA,0.47,1,0.001,1,NA,NA,NA,NA,1e-04,1,0.001,1,0.59,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,1,NA,NA,41,1,12.5,1,0.006,1,NA,NA
"14:40:00 07/09/1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,65,650,65,NA,NA,NA,NA,10,65,7.2,65,0.02,65,NA,NA,NA,NA,1.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,65,56,65,27,65,12.5,65,NA,NA,NA,NA
"14:40:00 08/08/2007",NA,NA,0.002,65,2e-04,65,NA,NA,NA,NA,0.002,65,60,65,307,65,NA,NA,0.003,65,11.1,65,7.1,65,0.005,65,NA,NA,NA,NA,0.68,65,0.001,65,NA,NA,NA,NA,1e-04,65,0.003,65,0.93,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,65,59,65,79.3,65,10.5,65,0.01,65,NA,NA
"14:40:00 19/09/2007",NA,NA,0.001,65,2e-04,65,NA,NA,NA,NA,0.002,65,50,65,287,65,NA,NA,0.003,65,10.1,65,6.6,65,0.003,65,NA,NA,NA,NA,0.66,65,0.001,65,NA,NA,NA,NA,1e-04,65,0.002,65,0.39,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,60,65,62.9,65,12.8,65,0.01,65,NA,NA
"14:45:00 02/05/1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,65,300,65,NA,NA,NA,NA,9.7,65,7.1,65,0.006,65,NA,NA,NA,NA,0.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,28,65,8.3,65,14,65,NA,NA,NA,NA
"14:45:00 06/05/2009",NA,NA,0.001,65,2e-04,65,NA,NA,NA,NA,0.001,65,32,65,337,65,NA,NA,0.002,65,10.3,65,7.4,65,0.003,65,NA,NA,NA,NA,0.5,65,0.001,65,NA,NA,NA,NA,1e-04,65,0.002,65,0.35,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,27,65,27.4,65,12.1,65,0.005,65,NA,NA
"14:45:00 14/05/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,65,510,65,NA,NA,NA,NA,9.8,65,7.2,65,0.003,65,NA,NA,NA,NA,0.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,25,65,8.2,65,15,65,NA,NA,NA,NA
"14:50:00 03/01/2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,280,65,NA,NA,NA,NA,8.2,65,7.1,65,0.007,65,NA,NA,NA,NA,0.51,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,39,65,21,65,18,65,NA,NA,NA,NA
"14:50:00 04/06/2013",NA,NA,0.001,1,2e-04,1,NA,NA,NA,NA,0.004,1,36,1,337,1,NA,NA,0.003,1,9.9,1,7,1,0.008,1,NA,NA,NA,NA,0.61,1,0.003,1,NA,NA,NA,NA,1e-04,1,0.003,1,0.56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.076,1,69,1,72,1,12.3,1,0.009,1,NA,NA
"15:00:00 01/06/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,500,65,NA,NA,NA,NA,10.8,65,7.6,65,0.008,65,NA,NA,NA,NA,0.72,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,65,46,65,10.1,65,12,65,NA,NA,NA,NA
"15:00:00 03/10/2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,65,320,65,NA,NA,NA,NA,10.2,65,7.1,65,0.01,65,NA,NA,NA,NA,0.95,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,65,51,65,32,65,14,65,NA,NA,NA,NA
"15:00:00 04/11/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,270,65,NA,NA,NA,NA,9.4,65,6.7,65,0.01,65,NA,NA,NA,NA,0.64,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,38,65,6.3,65,17.5,65,NA,NA,NA,NA
"15:00:00 05/06/2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,65,350,65,NA,NA,NA,NA,9.8,65,7.3,65,0.005,65,NA,NA,NA,NA,1.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,65,86,65,32,65,10,65,NA,NA,NA,NA
"15:00:00 08/02/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,390,65,NA,NA,NA,NA,8.6,65,8.4,65,0.003,65,NA,NA,NA,NA,0.52,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,36,65,17,65,21.5,65,NA,NA,NA,NA
"15:00:00 09/05/2016",NA,NA,0.001,1,2e-04,1,NA,NA,NA,NA,0.002,1,30,1,285,1,NA,NA,0.002,1,8.4,1,7,1,0.009,1,NA,NA,NA,NA,0.58,1,0.001,1,NA,NA,NA,NA,1e-04,1,0.002,1,0.22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.091,1,NA,NA,39,1,14.5,1,0.009,1,NA,NA
"15:00:00 20/04/1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,420,65,NA,NA,NA,NA,10.2,65,6.6,65,0.009,65,NA,NA,NA,NA,0.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,54,65,11,65,15,65,NA,NA,NA,NA
"15:10:00 07/10/1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,65,240,65,NA,NA,NA,NA,9.4,65,6.7,65,0.003,65,NA,NA,NA,NA,0.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,68,65,42,65,16,65,NA,NA,NA,NA
"15:10:00 09/08/2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,370,65,NA,NA,NA,NA,9.8,65,7.5,65,0.005,65,NA,NA,NA,NA,0.64,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,34,65,19,65,11,65,NA,NA,NA,NA
"15:10:00 28/04/2008",NA,NA,0.001,65,2e-04,65,NA,NA,NA,NA,0.001,65,40,65,410,65,NA,NA,0.003,65,9.7,65,7.7,65,0.004,65,NA,NA,NA,NA,0.67,65,0.001,65,NA,NA,NA,NA,1e-04,65,0.001,65,0.22,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,26,65,28.3,65,12.9,65,0.006,65,NA,NA
"15:15:00 03/09/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,410,65,NA,NA,NA,NA,10.4,65,7.6,65,0.01,65,NA,NA,NA,NA,0.68,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,65,42,65,26,65,13.5,65,NA,NA,NA,NA
"15:15:00 06/07/1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,330,65,NA,NA,NA,NA,12.6,65,7.1,65,0.01,65,NA,NA,NA,NA,0.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,22,65,15,65,9.5,65,NA,NA,NA,NA
"15:15:00 24/05/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,65,400,65,NA,NA,NA,NA,10.2,65,7.8,65,0.008,65,NA,NA,NA,NA,0.38,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,65,28,65,17.6,65,12.5,65,NA,NA,NA,NA
"15:25:00 08/07/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,410,65,NA,NA,NA,NA,11.2,65,7.5,65,0.008,65,NA,NA,NA,NA,0.98,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,65,26,65,17,65,10,65,NA,NA,NA,NA
"15:25:00 13/04/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,65,380,65,NA,NA,NA,NA,9,65,7.2,65,0.01,65,NA,NA,NA,NA,0.58,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,32,65,24.9,65,17.5,65,NA,NA,NA,NA
"15:30:00 03/09/1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,65,220,65,NA,NA,NA,NA,7.5,65,6.8,65,0.01,65,NA,NA,NA,NA,1.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,65,68,65,20,65,10,65,NA,NA,NA,NA
"15:30:00 16/09/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,350,65,NA,NA,NA,NA,11.4,65,7.4,65,0.007,65,NA,NA,NA,NA,0.51,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,26,65,6.8,65,11,65,NA,NA,NA,NA
"15:45:00 08/03/1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,65,310,65,NA,NA,NA,NA,9,65,6.9,65,0.01,65,NA,NA,NA,NA,0.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,52,65,14,65,18,65,NA,NA,NA,NA
"15:55:00 02/08/2010",NA,NA,0.001,1,2e-04,1,NA,NA,NA,NA,0.001,1,35,1,515,1,NA,NA,0.002,1,11.1,1,7.2,1,0.007,1,NA,NA,NA,NA,0.55,1,0.001,1,NA,NA,NA,NA,1e-04,1,0.002,1,0.63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067,1,34,1,43,1,10,1,0.006,1,NA,NA
"16:00:00 25/09/1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,65,220,65,NA,NA,NA,NA,10.1,65,6.4,65,0.008,65,NA,NA,NA,NA,0.97,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,65,47,65,28,65,14,65,NA,NA,NA,NA
