"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"07:15:00 09/11/2006",8,65,NA,NA,9.2,65,7.6,65,0.003,65,0.16,65,0.01,65,0.006,65,1,65,0.4,65,14.3,65
"07:20:00 24/11/2005",10,65,78,65,9.1,65,6.8,65,0.003,65,0.11,65,0.05,65,0.006,65,1,65,0.4,65,NA,NA
"07:30:00 29/12/2005",14,65,95,65,7.6,65,6.7,65,0.003,65,0.16,65,0.09,65,0.02,65,1,65,0.4,65,NA,NA
"07:38:00 16/02/2006",12,65,184,65,6.4,65,6.3,65,0.003,65,0.15,65,0.01,65,0.008,65,1,65,1.8,65,NA,NA
"08:00:00 05/12/1990",20,65,100,65,8.5,65,6.8,65,0.003,65,0.1,65,0.04,65,0.005,65,1,65,0.9,65,22,65
"08:00:00 08/11/1988",NA,NA,120,65,8.8,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,65,19.5,65
"08:00:00 08/12/1982",NA,NA,230,65,9.2,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,17.5,65
"08:00:00 09/01/1989",NA,NA,85,65,8.2,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,65,22.2,65
"08:00:00 24/11/1997",14,65,170,65,8.2,65,7.3,65,0.003,65,0.19,65,0.02,65,0.01,65,2,65,2.4,65,23,65
"08:05:00 15/12/1989",NA,NA,85,65,9.4,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,65,17,65
"08:10:00 10/12/1985",NA,NA,79,65,NA,180,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,65,15.5,65
"08:15:00 03/11/1983",NA,NA,99,65,9.7,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,65,14.5,65
"08:15:00 19/12/1996",11,65,90,65,9.4,65,6.8,65,0.01,65,0.26,65,0.07,65,0.02,65,2,65,0.8,65,18.5,65
"08:15:00 26/10/2006",6,65,NA,NA,10,65,6.8,65,0.003,65,0.1,65,0.02,65,0.006,65,1,65,0.4,65,15.1,65
"08:16:00 21/04/2006",8,65,422,65,9.1,65,6.8,65,0.003,65,0.11,65,0.03,65,0.005,65,1,65,0.7,65,11.8,65
"08:20:00 10/12/1984",NA,NA,130,65,7.8,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,65,18.5,65
"08:25:00 04/02/1988",NA,NA,160,65,7.6,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,20.5,65
"08:30:00 01/02/1978",NA,NA,380,65,NA,180,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,65,19.7,65
"08:30:00 02/02/1987",NA,NA,170,65,7.6,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,65,20.5,65
"08:30:00 02/11/1993",5,65,91,65,9.8,65,7.2,65,0.003,65,0.1,65,0.009,65,0.005,65,1,65,3.1,65,15.5,65
"08:35:00 07/01/1985",NA,NA,110,65,7.8,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,65,20,65
"08:40:00 02/11/1979",NA,NA,110,65,8.6,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,65,16.5,65
"08:40:00 05/03/1986",NA,NA,130,65,9.4,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,20,65
"08:40:00 28/03/2012",12,1,98,1,9.7,1,7.4,1,0.003,1,0.11,1,0.029,1,0.005,1,2,1,0.9,1,16.5,1
"08:45:00 02/12/1986",NA,NA,78,65,8.8,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,65,17.5,65
"08:45:00 03/12/1987",NA,NA,71,65,10.4,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,65,13,65
"08:45:00 08/01/1992",15,65,74,65,8.8,65,7.5,65,0.003,65,0.1,65,0.04,65,0.006,65,1,65,1.4,65,17.5,65
"08:45:00 08/02/1993",15,65,99,65,7.8,65,7.4,65,0.003,65,0.1,65,0.07,65,0.005,65,1,65,1.6,65,22.5,65
"08:50:00 03/12/1979",NA,NA,160,65,8.4,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,65,21,65
"08:50:00 11/01/1990",NA,NA,110,65,8.2,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,25,65
"08:55:00 02/03/1978",NA,NA,290,65,7.8,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,65,18.6,65
"08:57:00 27/07/2006",45,65,104,65,12.2,65,6.8,65,0.003,65,0.36,65,0.74,65,0.005,65,1,65,2.5,65,9.5,65
"09:00:00 02/06/1989",NA,NA,83,65,11.6,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,65,7.5,65
"09:00:00 02/11/1978",NA,NA,91,65,10.2,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,15.5,65
"09:00:00 04/03/1983",NA,NA,520,65,7,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,22.5,65
"09:00:00 05/02/1992",10,65,77,65,7.6,65,7.4,65,NA,NA,0.1,65,0.003,65,0.008,65,1,65,1.6,65,20.5,65
"09:00:00 05/08/1987",NA,NA,79,65,12.8,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,65,6.5,65
"09:00:00 09/01/1991",40,65,110,65,9,65,7.6,65,0.003,65,0.2,65,0.29,65,0.009,65,2,65,5.7,65,20,65
"09:00:00 11/01/1993",15,65,110,65,8.6,65,6.9,65,0.004,65,0.1,65,0.02,65,0.005,65,1,65,1.8,65,21.5,65
"09:00:00 15/10/1982",NA,NA,91,65,9,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,65,14.5,65
"09:00:00 17/08/2006",20,65,93,65,11.2,65,6.7,65,0.003,65,0.12,65,0.01,65,0.005,65,1,65,0.4,65,9.3,65
"09:00:00 20/12/2011",10,1,125,1,8.6,1,7.3,1,0.003,1,0.13,1,0.12,1,0.006,1,2,1,1.1,1,19.5,1
"09:00:00 24/01/2006",12,65,135,65,6.7,65,6.7,65,0.003,65,0.17,65,0.14,65,0.01,65,2,65,1.5,65,NA,NA
