"Date","AmmoniaasN","AmmoniaasN_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"07:40:00 04/05/1999",NA,NA,NA,NA,NA,NA,311,1,9.55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,1,0.038,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:40:00 16/10/2001",NA,NA,NA,NA,NA,NA,282,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1,0.097,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:40:00 17/04/2001",NA,NA,NA,NA,NA,NA,240,1,9.34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,1,0.052,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:40:00 22/02/2000",NA,NA,NA,NA,NA,NA,348,1,7.57,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1,0.06,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:40:00 25/06/2001",NA,NA,NA,NA,NA,NA,320,1,11.24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1,0.08,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:40:00 27/03/2000",NA,NA,NA,NA,NA,NA,344,1,8.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,1,0.082,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:41:00 08/05/2000",NA,NA,NA,NA,NA,NA,228,1,9.58,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1,0.078,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:41:00 14/12/1999",NA,NA,NA,NA,NA,NA,293,1,8.37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,1,0.093,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:41:00 18/06/2001",NA,NA,NA,NA,NA,NA,290,1,11.65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:42:00 03/04/2001",NA,NA,NA,NA,NA,NA,349,1,9.73,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1,0.055,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:42:00 11/01/2000",NA,NA,NA,NA,NA,NA,244,1,8.14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,1,0.083,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:42:00 12/10/1999",NA,NA,NA,NA,NA,NA,226,1,8.92,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,1,0.091,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:42:00 18/09/2001",NA,NA,NA,NA,NA,NA,350,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1,0.082,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:45:00 10/02/2003",NA,NA,NA,NA,NA,NA,272,1,7.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,1,0.061,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:45:00 11/04/2000",NA,NA,NA,NA,NA,NA,283,1,8.69,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,1,0.083,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:45:00 12/11/2001",NA,NA,NA,NA,NA,NA,275,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1,0.15,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:45:00 13/01/2003",0.07,65,25,65,320,65,NA,NA,NA,NA,8.2,65,7.4,65,0.003,65,0.82,65,0.13,65,NA,NA,0.05,65,18,65,11,65,20.8,65,NA,NA
"07:45:00 13/11/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1,0.27,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:45:00 15/03/2007",NA,NA,NA,NA,369,65,NA,NA,NA,NA,7.2,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8,65,18.7,65,NA,NA
"07:45:00 22/05/2000",NA,NA,NA,NA,NA,NA,305,1,10.46,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,1,0.061,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:45:00 22/09/1998",NA,NA,NA,NA,NA,NA,279,1,9.74,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,1,0.074,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:45:00 23/11/1999",NA,NA,NA,NA,NA,NA,288,1,8.86,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,1,0.075,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:46:00 04/08/1998",NA,NA,NA,NA,NA,NA,314,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1,0.074,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:46:00 05/06/2000",NA,NA,NA,NA,NA,NA,350,1,10.76,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1,0.079,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:46:00 11/05/1999",NA,NA,NA,NA,NA,NA,343,1,9.37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,1,0.041,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:46:00 15/02/2000",NA,NA,NA,NA,NA,NA,226,1,8.06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,1,0.061,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:46:00 26/10/1999",NA,NA,NA,NA,NA,NA,284,1,8.95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,1,0.09,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:47:00 12/06/2001",NA,NA,NA,NA,NA,NA,350,1,10.91,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,1,0.059,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:47:00 17/01/2000",NA,NA,NA,NA,NA,NA,309,1,7.92,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,1,0.073,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:47:00 21/03/2000",NA,NA,NA,NA,NA,NA,279,1,8.69,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,1,0.075,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:47:00 27/04/1999",NA,NA,NA,NA,NA,NA,322,1,9.32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,1,0.048,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:47:00 30/03/1999",NA,NA,NA,NA,NA,NA,274,1,8.49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,1,0.067,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:48:00 15/09/1998",NA,NA,NA,NA,NA,NA,320,1,9.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,1,0.07,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:49:00 02/11/1999",NA,NA,NA,NA,NA,NA,317,1,8.98,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,1,0.073,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:49:00 09/11/1999",NA,NA,NA,NA,NA,NA,249,1,8.75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,1,0.086,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:49:00 13/06/2000",NA,NA,NA,NA,NA,NA,328,1,11.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1,0.069,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:49:00 21/09/1999",NA,NA,NA,NA,NA,NA,207,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,1,0.085,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:49:00 24/08/1999",NA,NA,NA,NA,NA,NA,239,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.084,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:49:00 26/06/2000",NA,NA,NA,NA,NA,NA,359,1,11.14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,1,0.058,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:50:00 02/12/2002",0.04,65,35,65,280,65,NA,NA,NA,NA,8.3,65,7.8,65,0.01,65,0.82,65,0.25,65,NA,NA,0.07,65,16,65,14,65,18.3,65,NA,NA
"07:50:00 04/04/2000",NA,NA,NA,NA,NA,NA,289,1,8.75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,1,0.079,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:50:00 10/07/2000",NA,NA,NA,NA,NA,NA,425,1,11.15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92,1,0.056,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:50:00 14/01/2002",NA,NA,NA,NA,NA,NA,287,1,8.65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,1,0.074,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:50:00 14/09/1999",NA,NA,NA,NA,NA,NA,258,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,1,0.064,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:50:00 25/05/1999",NA,NA,NA,NA,NA,NA,364,1,8.74,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,1,0.064,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:50:00 30/04/1997",NA,NA,NA,NA,NA,NA,271,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,1,NA,NA,NA,NA,NA,NA,7.01,1
"07:51:00 02/12/2002",NA,NA,NA,NA,NA,NA,239,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,1,0.083,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:51:00 14/03/2000",NA,NA,NA,NA,NA,NA,347,1,7.53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,1,0.098,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:51:00 19/04/1999",NA,NA,NA,NA,NA,NA,332,1,8.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,1,0.062,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:52:00 10/08/1999",NA,NA,NA,NA,NA,NA,321,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,1,0.079,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:52:00 18/04/2000",NA,NA,NA,NA,NA,NA,305,1,9.31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,1,0.057,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:52:00 28/05/2001",NA,NA,NA,NA,NA,NA,370,1,10.82,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,1,0.12,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:54:00 01/06/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:54:00 02/06/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:54:00 04/06/2001",NA,NA,NA,NA,NA,NA,360,1,11.24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,1,0.044,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:54:00 13/04/1999",NA,NA,NA,NA,NA,NA,319,1,8.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1,0.06,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:54:00 14/08/2000",NA,NA,NA,NA,NA,NA,322,1,11.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,1,0.06,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:54:00 22/05/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.156,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:54:00 24/05/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.176,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:54:00 26/05/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:54:00 27/05/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:54:00 28/05/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:54:00 28/09/1999",NA,NA,NA,NA,NA,NA,304,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,1,0.086,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:54:00 29/05/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:54:00 30/05/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.084,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:54:00 31/05/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:54:00 31/08/1999",NA,NA,NA,NA,NA,NA,283,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1,0.12,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:55:00 07/04/1997",NA,NA,NA,NA,NA,NA,210,1,7.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045,1,NA,NA,NA,NA,NA,NA,7.31,1
