"Date","AmmoniaasN","AmmoniaasN_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"07:56:00 20/07/1999",NA,NA,NA,NA,NA,NA,270,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,1,0.078,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:56:00 27/12/2000",NA,NA,NA,NA,NA,NA,247,1,8.04,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,1,0.079,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:56:00 29/06/1999",NA,NA,NA,NA,NA,NA,300,1,8.96,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1,0.078,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:57:00 23/09/2002",NA,NA,NA,NA,NA,NA,315,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:58:00 17/08/1999",NA,NA,NA,NA,NA,NA,209,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:58:00 24/07/2000",NA,NA,NA,NA,NA,NA,428,1,10.94,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,1,0.071,1,NA,NA,NA,NA,NA,NA,NA,NA
"07:58:00 31/07/2000",NA,NA,NA,NA,NA,NA,386,1,11.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1,0.078,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 01/01/1997",NA,NA,NA,NA,NA,NA,241,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 01/02/1997",NA,NA,NA,NA,NA,NA,265,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 01/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 01/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 01/05/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 01/05/2000",NA,NA,NA,NA,NA,NA,303,1,9.38,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,1,0.059,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 02/01/1997",NA,NA,NA,NA,NA,NA,230,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 02/02/1997",NA,NA,NA,NA,NA,NA,264,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 02/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 02/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 02/05/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 03/01/1997",NA,NA,NA,NA,NA,NA,229,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 03/02/1997",NA,NA,NA,NA,NA,NA,252,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 03/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.093,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 03/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 03/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.101,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 03/05/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.117,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 03/06/2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 03/07/2000",NA,NA,NA,NA,NA,NA,350,1,11.08,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,1,0.053,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 04/01/1997",NA,NA,NA,NA,NA,NA,226,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 04/02/1997",NA,NA,NA,NA,NA,NA,245,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 04/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 04/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.062,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 04/05/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.094,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 05/01/1997",NA,NA,NA,NA,NA,NA,239,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 05/02/1997",NA,NA,NA,NA,NA,NA,320,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1
"08:00:00 05/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 05/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 05/10/1999",NA,NA,NA,NA,NA,NA,360,1,9.65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,1,0.064,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 05/12/2007",NA,NA,70,65,388,65,NA,NA,NA,NA,7.2,65,7.1,65,0.003,65,0.76,65,0.2,65,NA,NA,0.07,65,43,65,46.3,65,20.7,65,NA,NA
"08:00:00 06/01/1997",NA,NA,NA,NA,NA,NA,494,1,5.3,1,NA,NA,NA,NA,NA,NA,NA,NA,0.085,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,1
"08:00:00 06/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 06/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 06/05/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 07/01/1997",NA,NA,NA,NA,NA,NA,270,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 07/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.119,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 07/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 07/03/2000",NA,NA,NA,NA,NA,NA,316,1,7.91,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,1,0.092,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 07/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.095,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 07/05/2001",NA,NA,NA,NA,NA,NA,380,1,9.96,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1,0.068,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 08/01/1997",NA,NA,NA,NA,NA,NA,248,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 08/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.167,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 08/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 08/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 08/05/1997",NA,NA,NA,NA,NA,NA,370,1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,0.24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,1
"08:00:00 08/06/1999",NA,NA,NA,NA,NA,NA,367,1,9.47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94,1,0.079,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 08/06/2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1,0.087,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 09/01/1997",NA,NA,NA,NA,NA,NA,246,1,6.9,1,NA,NA,NA,NA,NA,NA,NA,NA,0.11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1
"08:00:00 09/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.118,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 09/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 09/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 09/05/2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,1,0.099,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 10/01/1997",NA,NA,NA,NA,NA,NA,247,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 10/02/1997",NA,NA,NA,NA,NA,NA,392,1,12.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0.22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1
"08:00:00 10/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.143,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 10/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.082,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 10/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 10/05/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 10/05/2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,1,0.097,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 11/01/1997",NA,NA,NA,NA,NA,NA,237,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 11/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 11/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 11/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 11/05/2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,1,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 12/01/1997",NA,NA,NA,NA,NA,NA,230,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 12/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 12/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.108,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 12/03/2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,1,0.058,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 12/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 12/05/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 12/05/2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.11,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 13/01/1997",NA,NA,NA,NA,NA,NA,202,1,6.6,1,NA,NA,NA,NA,NA,NA,NA,NA,0.12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 13/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 13/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 13/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 13/05/2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.11,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 13/11/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1,0.34,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 14/01/1997",NA,NA,NA,NA,NA,NA,242,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 14/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 14/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.346,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 14/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.094,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 14/05/2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,1,0.077,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 14/11/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97,1,0.14,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 15/01/1997",NA,NA,NA,NA,NA,NA,252,1,7.8,1,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 15/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.137,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 15/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 15/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 15/08/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.098,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 15/11/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1,0.12,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 16/01/1997",NA,NA,NA,NA,NA,NA,253,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 16/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 16/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.082,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 16/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.062,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 16/05/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 16/11/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1,0.14,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 16/12/1996",NA,NA,NA,NA,NA,NA,560,1,7.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0.24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,1
"08:00:00 17/01/1997",NA,NA,NA,NA,NA,NA,253,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 17/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 17/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.091,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 17/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 17/07/2000",NA,NA,NA,NA,NA,NA,423,1,11.18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1,0.056,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 17/11/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1,0.11,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 18/01/1997",NA,NA,NA,NA,NA,NA,247,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 18/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 18/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.094,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 18/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 18/11/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1,0.12,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 19/01/1997",NA,NA,NA,NA,NA,NA,238,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 19/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.091,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 19/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 19/04/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.065,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 19/05/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 19/06/2000",NA,NA,NA,NA,NA,NA,328,1,11.24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1,0.072,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 19/12/1996",NA,NA,NA,NA,NA,NA,517,1,6.7,1,NA,NA,NA,NA,NA,NA,NA,NA,0.22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,1
"08:00:00 20/01/1997",NA,NA,NA,NA,NA,NA,250,1,7.3,1,NA,NA,NA,NA,NA,NA,NA,NA,0.24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 20/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:00:00 20/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127,1,NA,NA,NA,NA,NA,NA,NA,NA
