"Date","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","FlourideasF","FlourideasF_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","MercuryasHg","MercuryasHg_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"13:40:00 02/07/1986",NA,NA,NA,NA,NA,NA,280,65,NA,NA,11.6,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,65,8,65,NA,NA
"13:40:00 05/11/1998",6.5,65,57,65,70,65,290,65,270,65,9.8,65,7.2,65,0.01,65,NA,NA,NA,NA,NA,NA,0.7,65,6.3,65,NA,NA,NA,NA,0.45,65,2.7,65,NA,NA,34,65,11,65,22,65,NA,NA,NA,NA,0.1,65,20,65,16,65,17.5,65,6.7,65
"13:40:00 12/07/1982",15,65,70,65,60,65,480,65,NA,NA,10,65,7.3,65,NA,NA,NA,NA,84,65,1.17,65,0.5,65,11,65,0.04,65,NA,NA,0.5,65,3.2,65,13,65,65,65,80,65,34,65,300,65,6,65,0.06,65,14,65,13,65,13,65,NA,NA
"13:40:00 19/04/1993",NA,NA,NA,NA,20,65,170,65,NA,NA,11,65,6.2,65,0.08,65,NA,NA,NA,NA,NA,NA,0.3,65,NA,NA,NA,NA,NA,NA,0.09,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,65,15,65,15,65,16.5,65,NA,NA
"13:43:00 12/10/1994",NA,NA,NA,NA,90,65,190,65,NA,NA,9.2,65,6.8,65,0.01,65,NA,NA,NA,NA,NA,NA,1,65,NA,NA,NA,NA,NA,NA,0.66,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,65,41,65,52,65,15,65,NA,NA
"13:45:00 02/07/1996",6,65,55,65,NA,NA,280,65,250,65,11.6,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,65,NA,NA,NA,NA,NA,NA,2.8,65,NA,NA,31,65,8,65,18,65,NA,NA,NA,NA,NA,NA,NA,NA,18,65,9,65,7.1,65
"13:45:00 05/06/1996",NA,NA,NA,NA,55,65,270,65,NA,NA,12.8,65,7,65,0.01,65,NA,NA,NA,NA,NA,NA,1.9,65,NA,NA,NA,NA,NA,NA,0.84,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,65,100,65,35,65,11,65,NA,NA
"13:45:00 07/03/1988",NA,NA,NA,NA,NA,NA,110,65,NA,NA,8.6,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,65,22.5,65,NA,NA
"13:45:00 12/11/1980",NA,NA,NA,NA,NA,NA,280,65,NA,NA,9.2,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,65,22.5,65,NA,NA
"13:50:00 05/06/2000",7,65,68,65,20,65,280,65,290,65,9.5,65,7.3,65,0.008,65,NA,NA,NA,NA,NA,NA,1.2,65,7.1,65,NA,NA,NA,NA,1.1,65,5.4,65,NA,NA,33,65,12,65,17,65,NA,NA,NA,NA,0.08,65,20,65,18,65,9.5,65,7.3,65
"13:50:00 06/04/1981",16,65,63,65,60,65,430,65,NA,NA,8.5,65,7.6,65,NA,NA,NA,NA,74,65,1.03,65,0.4,65,7.9,65,0.06,65,NA,NA,0.14,65,3.9,65,14,65,56,65,75,65,44,65,270,65,7,65,0.08,65,22,65,12,65,23,65,NA,NA
"13:50:00 14/10/1980",6.9,65,42,65,40,65,250,65,NA,NA,10.1,65,7.4,65,NA,NA,NA,NA,38,65,1.54,65,0.35,65,4.8,65,0.06,65,NA,NA,0.37,65,1.9,65,9.8,65,29,65,22,65,23,65,140,65,5,65,0.06,65,30,65,16,65,18.5,65,NA,NA
"13:50:00 15/07/1981",8.3,65,55,65,80,65,280,65,NA,NA,10.8,65,7,65,NA,NA,NA,NA,48,65,2.14,65,0.6,65,6.3,65,0.04,65,NA,NA,1.05,65,2.6,65,10,65,36,65,24,65,19,65,180,65,10,65,0.12,65,24,65,31,65,12.5,65,NA,NA
"14:00:00 06/01/1997",3.4,65,30,65,36,65,150,65,148,65,7.4,65,7.1,65,0.008,65,NA,NA,NA,NA,NA,NA,0.33,65,3.5,65,NA,NA,NA,NA,0.08,65,1.8,65,NA,NA,17,65,5.1,65,16,65,NA,NA,NA,NA,0.04,65,18,65,2.5,65,24.5,65,7.3,65
"14:00:00 07/11/2001",5.9,65,47,65,80,65,240,65,230,65,9,65,6.6,65,0.01,65,NA,NA,NA,NA,NA,NA,0.78,65,5.6,65,NA,NA,NA,NA,0.42,65,2.5,65,NA,NA,27,65,6,65,22,65,NA,NA,NA,NA,0.1,65,18,65,19,65,17,65,7,65
"14:00:00 10/10/1996",4.7,65,34,65,75,65,190,65,160,65,9.4,65,6.8,65,0.009,65,NA,NA,NA,NA,NA,NA,0.66,65,4.3,65,NA,NA,NA,NA,0.63,65,1.9,65,NA,NA,21,65,7,65,20,65,NA,NA,NA,NA,0.11,65,35,65,26,65,15,65,7.2,65
"14:00:00 14/07/1998",7.6,65,71,65,45,65,430,65,340,65,11.4,65,7.4,65,0.02,65,NA,NA,NA,NA,NA,NA,0.81,65,7.6,65,NA,NA,NA,NA,1.4,65,2.9,65,NA,NA,41,65,17,65,17,65,NA,NA,NA,NA,0.13,65,22,65,20,65,9,65,7,65
"14:00:00 18/08/1981",NA,NA,NA,NA,NA,NA,290,65,NA,NA,10.4,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,65,13,65,NA,NA
"14:00:00 19/01/1981",17,65,57,65,70,65,490,65,NA,NA,7.1,65,7.5,65,NA,NA,NA,NA,80,65,1.8,65,0.45,65,9.7,65,0.08,65,NA,NA,0.18,65,3.8,65,11,65,68,65,96,65,44,65,300,65,8,65,0.06,65,25,65,16,65,24,65,NA,NA
"14:00:00 24/10/2001",8.1,65,70,65,100,65,330,65,330,65,9.3,65,7.3,65,0.01,65,NA,NA,NA,NA,NA,NA,0.76,65,7.7,65,NA,NA,NA,NA,0.51,65,3,65,NA,NA,43,65,11,65,32,65,NA,NA,NA,NA,0.1,65,18,65,23,65,17,65,7.3,65
"14:05:00 02/09/2002",6.8,65,62,65,25,65,340,65,320,65,10.4,65,7.7,65,0.008,65,NA,NA,NA,NA,NA,NA,0.32,65,7.1,65,NA,NA,NA,NA,0.56,65,2.2,65,NA,NA,42,65,19,65,28,65,NA,NA,NA,NA,0.04,65,12,65,12,65,12,65,7.4,65
"14:05:00 13/04/1988",NA,NA,NA,NA,NA,NA,170,65,NA,NA,9.2,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,65,18,65,NA,NA
"14:06:00 15/04/1980",17,65,77,65,70,65,590,65,NA,NA,10,65,8.2,65,NA,NA,NA,NA,87,65,1.23,65,0.45,65,9.7,65,0.09,65,NA,NA,0.05,65,4.7,65,6.8,65,85,65,93,65,59,65,380,65,6,65,0.02,65,17,65,13,65,20.5,65,NA,NA
"14:10:00 07/03/2000",3.9,65,34,65,25,65,370,65,170,65,9.1,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.87,65,4.2,65,NA,NA,NA,NA,0.09,65,2.1,65,NA,NA,19,65,9,65,17,65,NA,NA,NA,NA,0.08,65,16,65,13,65,20,65,6.6,65
"14:10:00 09/08/2000",7.1,65,61,65,45,65,280,65,200,65,10.8,65,7.4,65,0.007,65,NA,NA,NA,NA,NA,NA,0.5,65,7.2,65,NA,NA,NA,NA,0.56,65,2.7,65,NA,NA,35,65,12,65,21,65,NA,NA,NA,NA,0.05,65,12,65,13,65,10.5,65,7.1,65
"14:15:00 06/12/1995",NA,NA,NA,NA,45,65,260,65,NA,NA,10.2,65,7.2,65,0.007,65,NA,NA,NA,NA,NA,NA,0.6,65,NA,NA,NA,NA,NA,NA,0.43,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,41,65,21,65,15,65,NA,NA
"14:15:00 07/09/1981",NA,NA,NA,NA,NA,NA,240,65,NA,NA,9.6,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,65,16,65,NA,NA
"14:15:00 16/02/1977",NA,NA,NA,NA,NA,NA,280,65,NA,NA,8.6,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,65,23,65,NA,NA
"14:19:00 10/08/1994",NA,NA,NA,NA,30,65,170,65,NA,NA,12,65,6.7,65,0.02,65,NA,NA,NA,NA,NA,NA,0.7,65,NA,NA,NA,NA,NA,NA,0.89,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,33,65,48,65,9,65,NA,NA
"14:19:00 11/05/1994",NA,NA,NA,NA,20,65,260,65,NA,NA,9.8,65,7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.4,65,NA,NA,NA,NA,NA,NA,0.24,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,12,65,15,65,13.5,65,NA,NA
"14:20:00 23/03/1981",NA,NA,NA,NA,NA,NA,470,65,NA,NA,8.6,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,65,20.5,65,NA,NA
"14:25:00 21/03/1994",NA,NA,NA,NA,45,65,210,65,NA,NA,8.4,65,6.8,65,0.009,65,NA,NA,NA,NA,NA,NA,0.5,65,NA,NA,NA,NA,NA,NA,0.27,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,16,65,24,65,18.5,65,NA,NA
"14:28:00 13/10/1992",NA,NA,NA,NA,90,65,130,65,NA,NA,10.2,65,6.8,65,0.02,65,NA,NA,NA,NA,NA,NA,0.8,65,NA,NA,NA,NA,NA,NA,0.39,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,65,48,65,51,65,14.5,65,NA,NA
"14:30:00 14/03/1978",NA,NA,NA,NA,NA,NA,340,65,NA,NA,7,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,26,65,NA,NA
"14:30:00 18/11/2002",5.3,65,47,65,26,65,240,65,240,65,8.7,65,6.7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.46,65,5.7,65,NA,NA,NA,NA,0.14,65,1.9,65,NA,NA,30,65,11,65,22,65,NA,NA,NA,NA,0.04,65,20,65,12,65,21.5,65,6.8,65
"14:30:00 26/05/1977",NA,NA,NA,NA,NA,NA,350,65,NA,NA,9,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,65,15,65,NA,NA
"14:35:00 12/05/1980",NA,NA,NA,NA,NA,NA,470,65,NA,NA,8.9,65,8.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,65,18,65,NA,NA
"14:36:00 10/07/2000",7,65,72,65,40,65,340,65,320,65,10.6,65,7.1,65,0.01,65,NA,NA,NA,NA,NA,NA,0.43,65,7.7,65,NA,NA,NA,NA,0.4,65,2.6,65,NA,NA,44,65,13,65,28,65,NA,NA,NA,NA,0.06,65,18,65,18,65,10.5,65,7.5,65
"14:45:00 01/04/1996",NA,NA,NA,NA,35,65,160,65,NA,NA,10.4,65,6.7,65,0.004,65,NA,NA,NA,NA,NA,NA,0.34,65,NA,NA,NA,NA,NA,NA,0.16,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,40,65,27,65,16.5,65,NA,NA
"14:45:00 07/04/1997",3.8,65,37,65,32,65,190,65,180,65,10.2,65,7.3,65,0.005,65,NA,NA,NA,NA,NA,NA,0.46,65,4.1,65,NA,NA,NA,NA,0.04,65,1.6,65,NA,NA,20,65,5.7,65,17,65,NA,NA,NA,NA,0.03,65,17,65,5.6,65,15,65,7.5,65
"14:45:00 08/04/2002",5.1,65,41,65,45,65,240,65,230,65,9.7,65,NA,NA,0.003,65,NA,NA,NA,NA,NA,NA,0.27,65,5.6,65,NA,NA,NA,NA,0.16,65,2.2,65,NA,NA,27,65,13,65,19,65,NA,NA,NA,NA,0.02,65,13,65,8.7,65,18,65,6.7,65
"14:45:00 23/08/1977",NA,NA,NA,NA,NA,NA,200,65,NA,NA,8.4,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,65,14,65,NA,NA
"14:50:00 07/02/2002",5.1,65,39,65,45,65,190,65,210,65,12.4,65,7.6,65,0.003,65,NA,NA,NA,NA,NA,NA,0.38,65,5.2,65,NA,NA,NA,NA,0.16,65,2.2,65,NA,NA,24,65,13,65,22,65,NA,NA,NA,NA,0.06,65,20,65,11,65,22.5,65,7.7,65
"14:50:00 11/10/1978",NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,180,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,23,65,NA,NA
"14:50:00 13/04/1999",5.6,65,50,65,45,65,270,65,270,65,9.2,65,7,65,0.005,65,NA,NA,NA,NA,NA,NA,0.4,65,6.1,65,NA,NA,NA,NA,0.06,65,2.7,65,NA,NA,33,65,15,65,21,65,NA,NA,NA,NA,0.04,65,7,65,6.1,65,17.5,65,7.3,65
"14:50:00 26/09/1979",NA,NA,NA,NA,NA,NA,260,65,NA,NA,NA,180,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,65,17.5,65,NA,NA
"14:55:00 11/01/1979",NA,NA,NA,NA,NA,NA,240,65,NA,NA,8.2,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,65,27,65,NA,NA
"14:58:00 13/02/1980",NA,NA,NA,NA,NA,NA,330,65,NA,NA,8.1,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,65,25.8,65,NA,NA
"15:00:00 06/05/1999",5.8,65,52,65,30,65,390,65,270,65,10.2,65,8,65,0.007,65,NA,NA,NA,NA,NA,NA,0.35,65,6.4,65,NA,NA,NA,NA,0.05,65,2.4,65,NA,NA,33,65,19,65,23,65,NA,NA,NA,NA,0.04,65,8,65,5.4,65,13.5,65,7.4,65
"15:00:00 12/10/1981",9.6,65,47,65,120,65,290,65,NA,NA,9,65,6.3,65,NA,NA,NA,NA,52,65,2.25,65,0.7,65,6.8,65,0.08,65,NA,NA,0.5,65,2.4,65,10.2,65,38,65,33,65,25,65,200,65,11,65,0.08,65,32,65,26,65,20,65,NA,NA
"15:00:00 15/10/1998",6.3,65,59,65,80,65,290,65,270,65,10.8,65,7.3,65,0.02,65,NA,NA,NA,NA,NA,NA,0.79,65,5.8,65,NA,NA,NA,NA,0.52,65,2.7,65,NA,NA,30,65,8,65,22,65,NA,NA,NA,NA,0.11,65,13,65,15,65,14,65,6.7,65
"15:09:00 28/03/1980",NA,NA,NA,NA,NA,NA,490,65,NA,NA,8.4,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,65,19.5,65,NA,NA
"15:10:00 20/04/1977",NA,NA,NA,NA,NA,NA,340,65,NA,NA,9.4,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,65,20,65,NA,NA
"15:10:00 22/06/1977",NA,NA,NA,NA,NA,NA,260,65,NA,NA,9.8,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,65,14,65,NA,NA
"15:15:00 04/06/2002",5.8,65,52,65,40,65,260,65,250,65,11.9,65,6.9,65,0.006,65,NA,NA,NA,NA,NA,NA,0.36,65,5.8,65,NA,NA,NA,NA,0.54,65,2.1,65,NA,NA,27,65,12,65,20,65,NA,NA,NA,NA,0.03,65,12,65,14,65,9.5,65,6.7,65
"15:15:00 08/02/2000",3.7,65,36,65,50,65,160,65,170,65,8.2,65,7.8,65,0.003,65,NA,NA,NA,NA,NA,NA,0.55,65,4,65,NA,NA,NA,NA,0.02,65,2,65,NA,NA,19,65,5,65,17,65,NA,NA,NA,NA,0.05,65,16,65,7.5,65,26,65,7.4,65
"15:15:00 17/04/1978",NA,NA,NA,NA,NA,NA,300,65,NA,NA,9.6,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,65,21,65,NA,NA
"15:15:00 21/03/1977",NA,NA,NA,NA,NA,NA,400,65,NA,NA,8.3,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,23,65,NA,NA
"15:15:00 31/05/1979",NA,NA,NA,NA,NA,NA,300,65,NA,NA,8.9,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,65,16,65,NA,NA
"15:20:00 14/12/1978",NA,NA,NA,NA,NA,NA,190,65,NA,NA,9.2,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,65,20,65,NA,NA
"15:20:00 19/09/1977",NA,NA,NA,NA,NA,NA,250,65,NA,NA,8.8,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,65,15,65,NA,NA
"15:20:00 26/03/1979",NA,NA,NA,NA,NA,NA,310,65,NA,NA,8.9,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3,65,23.2,65,NA,NA
"15:25:00 11/05/1995",NA,NA,NA,NA,45,65,230,65,NA,NA,9.6,65,6.8,65,0.02,65,NA,NA,NA,NA,NA,NA,0.5,65,NA,NA,NA,NA,NA,NA,0.53,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,18,65,18,65,14,65,NA,NA
"15:25:00 17/05/1978",NA,NA,NA,NA,NA,NA,380,65,NA,NA,9.8,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,65,17.5,65,NA,NA
"15:25:00 20/07/1977",NA,NA,NA,NA,NA,NA,240,65,NA,NA,10,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,65,12,65,NA,NA
"15:30:00 02/07/1979",NA,NA,NA,NA,NA,NA,320,65,NA,NA,9.4,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,65,13,65,NA,NA
"15:30:00 15/08/1978",NA,NA,NA,NA,NA,NA,210,65,NA,NA,NA,180,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,65,11.5,65,NA,NA
"15:34:00 12/12/1977",NA,NA,NA,NA,NA,NA,180,65,NA,NA,8.4,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,65,27,65,NA,NA
"15:35:00 18/07/1978",NA,NA,NA,NA,NA,NA,280,65,NA,NA,NA,180,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,65,13.5,65,NA,NA
"15:36:00 11/06/1980",NA,NA,NA,NA,NA,NA,240,65,NA,NA,9.4,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,65,15.5,65,NA,NA
"15:40:00 13/11/1978",NA,NA,NA,NA,NA,NA,170,65,NA,NA,8.6,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,65,22,65,NA,NA
"15:40:00 15/11/1979",NA,NA,NA,NA,NA,NA,260,65,NA,NA,8.5,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,65,22.6,65,NA,NA
"15:40:00 16/06/1978",NA,NA,NA,NA,NA,NA,180,65,NA,NA,7.5,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,65,13,65,NA,NA
"15:40:00 21/02/1978",NA,NA,NA,NA,NA,NA,320,65,NA,NA,7.7,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,65,22.5,65,NA,NA
"15:45:00 19/12/1979",NA,NA,NA,NA,NA,NA,270,65,NA,NA,NA,180,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,65,23.2,65,NA,NA
"15:56:00 20/02/1979",NA,NA,NA,NA,NA,NA,260,65,NA,NA,9.1,65,8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,65,24.5,65,NA,NA
"16:05:00 19/01/1978",NA,NA,NA,NA,NA,NA,310,65,NA,NA,8.4,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,65,27,65,NA,NA
