"Date","AmmoniaasN","AmmoniaasN_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"09:00:00 25/01/2007",NA,NA,16,65,51,65,8.8,65,7,65,0.003,65,0.09,65,0.06,65,0.01,65,2,65,1.7,65,20.8,65
"09:00:00 27/02/2012",NA,NA,14,1,80,1,8.7,1,7.3,1,0.003,1,0.14,1,0.068,1,0.01,1,2,1,2,1,20.7,1
"09:03:00 31/01/2018",NA,NA,14,1,57,1,8,1,7.5,1,0.003,1,0.13,1,0.12,1,0.054,1,2,1,2.7,1,21.4,1
"09:05:00 15/10/2019",NA,NA,14,1,73,1,10.3,1,7.4,1,0.003,1,0.11,1,0.12,1,0.008,1,2,1,2.9,1,13.9,1
"09:07:00 19/10/2017",NA,NA,12,1,60,1,9.7,1,7.1,1,0.016,1,0.14,1,0.13,1,0.008,1,2,1,2.7,1,18.4,1
"09:10:00 18/12/2019",NA,NA,10,1,65.5,1,9.2,1,7.4,1,0.003,1,0.09,1,0.15,1,0.005,1,2,1,3.8,1,20.3,1
"09:10:00 26/03/2018",NA,NA,16,1,58,1,9.6,1,7.4,1,0.004,1,0.14,1,0.15,1,0.005,1,2,1,2,1,16.5,1
"09:15:00 15/02/2007",NA,NA,35,65,136,65,8.4,65,7.1,65,0.003,65,0.41,65,0.11,65,0.03,65,13,65,NA,NA,21.7,65
"09:15:00 21/02/2013",NA,NA,18,1,51,1,8.7,1,7.3,1,0.003,1,0.15,1,0.12,1,0.01,1,3,1,3.1,1,20.4,1
"09:15:00 25/02/2019",NA,NA,12,1,54.4,1,9.13,1,7.5,1,0.003,1,0.15,1,0.096,1,0.005,1,2,1,2.5,1,20.3,1
"09:20:00 11/01/2021",NA,NA,30,1,105.8,1,8.525,1,7.43,1,0.003,1,0.15,1,0.12,1,0.008,1,2,1,4.5,1,22.9,1
"09:20:00 18/11/2003",NA,NA,18,65,72,65,9.1,65,7.5,65,0.003,65,0.13,65,0.09,65,0.006,65,1,65,NA,NA,17.6,65
"09:20:00 28/01/2016",NA,NA,10,1,67,1,8.7,1,7.4,1,0.008,1,0.12,1,0.088,1,0.005,1,2,1,2.2,1,22.1,1
"09:23:00 27/11/2018",NA,NA,40,1,74.6,1,9.71,1,7.43,1,0.003,1,0.23,1,0.16,1,0.012,1,2,1,5.3,1,16.2,1
"09:25:00 23/02/2017",NA,NA,10,1,56,1,8.1,1,7.2,1,0.005,1,0.15,1,0.11,1,0.005,1,2,1,5,1,19.4,1
"09:29:00 26/10/2016",NA,NA,64,1,75,1,11.4,1,7.6,1,0.009,1,0.1,1,0.089,1,0.01,1,3,1,13.9,1,13.9,1
"09:30:00 07/01/2010",NA,NA,16,1,64.4,1,8.2,1,7.2,1,0.001,1,0.11,1,0.078,1,0.011,1,4,1,2.3,1,21.4,1
"09:30:00 12/11/2020",NA,NA,12,1,80.4,1,9.3,1,7.5,1,0.003,1,0.11,1,0.044,1,0.007,1,4,1,2.9,1,20.4,1
"09:30:00 15/12/2011",NA,NA,18,1,81,1,9.8,1,7.7,1,0.003,1,0.1,1,0.098,1,0.005,1,3,1,2.5,1,17.9,1
"09:30:00 18/11/2010",NA,NA,17,1,73,1,9.2,1,7.4,1,0.003,1,0.12,1,0.069,1,0.007,1,2,1,2.3,1,18.8,1
"09:30:00 20/12/2018",NA,NA,14,1,59.1,1,8.8,1,7.4,1,0.003,1,0.14,1,0.1,1,0.008,1,2,1,3.3,1,21.1,1
"09:30:00 21/10/2010",NA,NA,36,1,86,1,9.9,1,7.1,1,0.003,1,0.16,1,0.15,1,0.016,1,10,1,7.1,1,14.2,1
"09:30:00 22/01/2019",NA,NA,12,1,51,1,8.4,1,7.5,1,0.003,1,0.1,1,0.13,1,0.006,1,4,1,2.5,1,24.2,1
"09:35:00 23/03/2020",NA,NA,12,1,61.1,1,10,1,7.2,1,0.003,1,0.12,1,0.22,1,0.01,1,4,1,7.2,1,15.7,1
"09:35:00 24/11/2011",NA,NA,40,1,85,1,9.1,1,7.3,1,0.003,1,0.15,1,0.089,1,0.014,1,2,1,8.5,1,16.3,1
"09:37:00 15/12/2016",NA,NA,14,1,71,1,9,1,7.6,1,0.007,1,0.1,1,0.12,1,0.007,1,2,1,3.2,1,18.6,1
"09:40:00 13/04/2006",NA,NA,14,65,58,65,10.3,65,7,65,0.03,65,0.11,65,0.07,65,0.01,65,2,65,1.3,65,13.8,65
"09:40:00 19/10/2006",NA,NA,8,65,NA,NA,9.9,65,6.7,65,0.003,65,0.11,65,0.13,65,0.005,65,3,65,3.2,65,16.2,65
"09:40:00 21/09/2006",NA,NA,25,65,65,65,10,65,6.9,65,0.003,65,0.06,65,0.09,65,0.006,65,2,65,1.9,65,13.2,65
"09:40:00 24/05/2011",NA,NA,16,1,72,1,10.6,1,6.8,1,0.003,1,0.14,1,0.12,1,0.007,1,2,1,3.2,1,11.6,1
"09:40:00 29/12/2014",NA,NA,16,1,82,1,9.8,1,7.5,1,0.003,1,0.1,1,0.056,1,0.005,1,2,1,1.3,1,20.7,1
"09:42:00 22/11/2017",NA,NA,10,1,62,1,8.7,1,7.4,1,0.003,1,0.09,1,0.11,1,0.008,1,2,1,2.6,1,21.7,1
"09:44:00 28/11/2013",NA,NA,25,1,92,1,9.2,1,7.3,1,0.003,1,0.13,1,0.25,1,0.008,1,2,1,5.2,1,19.4,1
"09:45:00 14/03/2013",NA,NA,16,1,64,1,9,1,6.7,1,0.007,1,0.16,1,0.094,1,0.014,1,2,1,3.1,1,19.6,1
"09:45:00 17/12/2013",NA,NA,14,1,79,1,8.9,1,7,1,0.003,1,0.09,1,0.069,1,0.008,1,2,1,1.9,1,20.3,1
"09:45:00 23/10/2014",NA,NA,12,1,79,1,9.6,1,7.3,1,0.003,1,0.12,1,0.054,1,0.01,1,3,1,1.7,1,18.2,1
"09:49:00 29/01/2015",NA,NA,10,1,65,1,9.7,1,7.4,1,0.003,1,0.11,1,0.087,1,0.011,1,2,1,1.8,1,18.1,1
"09:50:00 20/03/2012",NA,NA,25,1,74,1,9.3,1,6.8,1,0.005,1,0.13,1,0.11,1,0.012,1,2,1,3.9,1,17.3,1
"09:50:00 23/12/2010",NA,NA,30,1,74,1,8.9,1,7.3,1,0.003,1,0.16,1,0.093,1,0.016,1,4,1,3.3,1,17.3,1
"09:55:00 18/05/2006",NA,NA,18,65,69,65,11.4,65,6.8,65,0.003,65,0.12,65,0.09,65,0.01,65,2,65,1.9,65,11.4,65
"09:55:00 26/02/2018",NA,NA,10,1,57,1,11.9,1,7.4,1,0.003,1,0.31,1,0.12,1,0.006,1,12,1,2.6,1,19,1
"10:00:00 12/04/2016",NA,NA,10,1,67,1,7.9,1,7.4,1,0.003,1,0.14,1,0.1,1,0.007,1,2,1,2.3,1,15.3,1
"10:00:00 20/07/2006",NA,NA,90,65,87,65,12.4,65,7,65,0.003,65,0.48,65,0.25,65,0.01,65,6,65,14,65,8.9,65
"10:00:00 23/11/2009",NA,NA,8,1,56.4,1,9,1,8.3,1,0.002,1,0.05,1,0.202,1,0.005,1,1,1,2.8,1,19,1
"10:00:00 26/11/2007",NA,NA,22,65,85,65,9.3,65,6.5,65,0.003,65,0.06,65,0.07,65,0.01,65,2,65,3.3,65,20.1,65
"10:00:00 27/06/2013",NA,NA,40,1,124,1,11.8,1,6.5,1,0.003,1,0.2,1,0.28,1,0.02,1,4,1,9.1,1,7.9,1
"10:00:00 27/07/2011",NA,NA,30,1,79,1,11.1,1,6.9,1,0.003,1,0.15,1,0.31,1,0.011,1,6,1,13.3,1,8.3,1
"10:00:00 31/01/2012",NA,NA,18,1,56,1,8.1,1,7.2,1,0.003,1,0.15,1,0.11,1,0.013,1,4,1,3.9,1,21.1,1
"10:05:00 22/01/2004",NA,NA,20,65,57,65,9.2,65,7.7,65,0.003,65,0.12,65,0.18,65,0.01,65,1,65,NA,NA,20.6,65
"10:08:00 19/02/2004",NA,NA,18,65,67,65,8.4,65,7.3,65,0.003,65,0.15,65,0.1,65,0.01,65,3,65,3.2,65,21,65
"10:10:00 18/12/2003",NA,NA,30,65,60,65,8.4,65,7.5,65,0.003,65,0.13,65,0.12,65,0.007,65,2,65,NA,NA,21.8,65
"10:10:00 20/01/2005",NA,NA,11,65,57,65,9.3,65,6.5,65,0.003,65,0.13,65,0.08,65,0.007,65,1,65,1.5,65,20.9,65
"10:10:00 20/07/2010",NA,NA,16,1,74,1,10.8,1,7.4,1,0.003,1,0.08,1,0.12,1,0.008,1,2,1,3.4,1,6.2,1
"10:10:00 25/06/2012",NA,NA,60,1,74,1,11.2,1,6.9,1,0.003,1,0.18,1,0.19,1,0.036,1,16,1,42,1,9.5,1
"10:10:00 25/11/2004",NA,NA,20,65,69,65,8.9,65,7.1,65,0.003,65,0.13,65,0.08,65,0.005,65,2,65,2.3,65,18.7,65
"10:10:00 26/10/2015",NA,NA,12,1,68,1,9.1,1,6.9,1,0.003,1,0.11,1,0.1,1,0.008,1,2,1,2.3,1,17.5,1
"10:10:00 30/09/2009",NA,NA,50,1,91.6,1,11.1,1,6.9,1,0.009,1,0.1,1,0.418,1,0.005,1,11,1,29.2,1,11.5,1
"10:15:00 08/04/2010",NA,NA,15,1,57.7,1,8.7,1,7.4,1,0.008,1,0.07,1,0.113,1,0.005,1,1,1,2.8,1,18,1
"10:15:00 09/01/2003",0.09,65,10,65,59,65,9.8,65,7.6,65,0.008,65,0.93,65,0.09,65,0.01,65,2,65,0.9,65,19.7,65
"10:15:00 17/05/2010",NA,NA,17,1,53.2,1,9.8,1,7.5,1,0.009,1,0.11,1,0.109,1,0.062,1,5,1,6.3,1,12,1
"10:15:00 19/09/2019",NA,NA,25,1,103.6,1,11.43,1,7.39,1,0.003,1,0.08,1,0.34,1,0.013,1,2,1,5,1,10.5,1
"10:15:00 22/09/2008",NA,NA,12,65,90,65,9.8,65,7.4,65,0.003,65,0.11,65,0.08,65,0.005,65,2,65,2.5,65,13.4,65
"10:15:00 23/05/2019",NA,NA,8,1,54.1,1,11.5,1,7.4,1,0.003,1,0.11,1,0.13,1,0.006,1,7,1,2.7,1,9.6,1
"10:15:00 23/07/2012",NA,NA,14,1,77,1,11.4,1,7.2,1,0.003,1,0.06,1,0.1,1,0.005,1,2,1,2.9,1,8.3,1
"10:15:00 23/07/2020",NA,NA,18,1,91,1,11.7,1,7.1,1,0.003,1,0.09,1,0.18,1,0.005,1,2,1,5.7,1,8.9,1
"10:15:00 24/02/2005",NA,NA,14,65,66,65,8,65,7.4,65,0.003,65,0.14,65,0.04,65,0.01,65,2,65,1.5,65,21.7,65
"10:15:00 24/03/2005",NA,NA,8,65,65,65,9.8,65,7,65,0.003,65,0.23,65,0.13,65,0.01,65,3,65,NA,NA,16.5,65
"10:15:00 24/08/2006",NA,NA,16,65,58,65,11.4,65,6.8,65,0.003,65,0.09,65,0.12,65,0.005,65,2,65,1.7,65,9.5,65
"10:15:00 28/05/2012",NA,NA,50,1,97,1,10.5,1,6.1,1,0.003,1,0.22,1,0.45,1,0.016,1,5,1,16.2,1,10.6,1
"10:15:00 29/04/2008",NA,NA,8,65,58,65,9.6,65,7.2,65,0.003,65,0.01,65,0.12,65,0.005,65,2,65,2.1,65,11.2,65
"10:20:00 22/06/2006",NA,NA,18,65,65,65,12.4,65,7.1,65,0.003,65,0.13,65,0.1,65,0.009,65,2,65,1.7,65,7.5,65
"10:20:00 22/07/2013",NA,NA,55,1,85,1,11.8,1,7.1,1,0.003,1,0.18,1,0.37,1,0.026,1,10,1,22.9,1,8.8,1
"10:20:00 25/08/2011",NA,NA,14,1,80,1,11.9,1,6.8,1,0.003,1,0.08,1,0.18,1,0.013,1,2,1,3.9,1,9.7,1
"10:20:00 28/06/2011",NA,NA,20,1,73,1,11.7,1,6.3,1,0.003,1,0.09,1,0.17,1,0.006,1,2,1,6,1,7.3,1
"10:20:00 28/08/2013",NA,NA,18,1,74,1,11.1,1,6.8,1,0.003,1,0.11,1,0.16,1,0.008,1,2,1,5.2,1,12.1,1
"10:20:00 30/04/2013",NA,NA,18,1,52,1,10,1,7.2,1,0.003,1,0.11,1,0.12,1,0.015,1,2,1,3.4,1,13.7,1
"10:21:00 14/12/2015",NA,NA,10,1,86,1,8.6,1,7.4,1,0.007,1,0.16,1,0.1,1,0.008,1,2,1,2.2,1,20.5,1
"10:25:00 04/02/2003",0.03,65,10,65,58,65,9.6,65,7.7,65,0.003,65,0.4,65,0.08,65,0.005,65,2,65,1.3,65,19.7,65
"10:25:00 18/01/2011",NA,NA,20,1,73,1,8.9,1,7.3,1,0.003,1,0.14,1,0.076,1,0.034,1,2,1,1.6,1,20.9,1
"10:25:00 25/03/2008",NA,NA,12,65,50,65,8.4,65,6.3,65,0.003,65,0.14,65,0.17,65,0.007,65,2,65,2.2,65,18.6,65
"10:30:00 05/01/2009",NA,NA,13,65,91,65,7.9,65,7.3,65,0.003,65,0.15,65,0.04,65,0.01,65,2,65,1.2,65,21.6,65
"10:30:00 14/05/2020",NA,NA,18,1,84,1,11.6,1,6.9,1,0.003,1,0.17,1,0.11,1,0.009,1,5,1,4.1,1,9.1,1
"10:30:00 15/02/2011",NA,NA,18,1,74,1,8.5,1,7.4,1,0.003,1,0.13,1,0.041,1,0.013,1,2,1,2.4,1,21.3,1
"10:30:00 15/04/2014",NA,NA,50,1,91,1,9.7,1,6,1,0.003,1,0.22,1,0.33,1,0.019,1,5,1,10.5,1,14.9,1
"10:30:00 17/08/2010",NA,NA,18,1,89,1,11.8,1,7.2,1,0.003,1,0.11,1,0.17,1,0.005,1,2,1,4.1,1,8.7,1
"10:30:00 21/08/2019",NA,NA,25,1,95.9,1,11.39,1,7.27,1,0.003,1,0.15,1,0.27,1,0.005,1,2,1,3.5,1,9.8,1
"10:30:00 23/03/2004",NA,NA,14,65,58,65,9.7,65,7.3,65,0.003,65,0.12,65,0.09,65,0.006,65,2,65,1.5,65,16.5,65
"10:30:00 23/06/2014",NA,NA,16,1,82,1,11.4,1,7,1,0.003,1,0.09,1,0.12,1,0.009,1,5,1,2.9,1,9.5,1
"10:30:00 23/07/2019",NA,NA,20,1,74.6,1,12.4,1,7.3,1,0.003,1,0.11,1,0.16,1,0.005,1,2,1,3.2,1,7,1
"10:30:00 24/09/2013",NA,NA,18,1,95,1,9.6,1,7.3,1,0.003,1,0.11,1,0.18,1,0.005,1,2,1,2.9,1,15.5,1
"10:30:00 27/03/2014",NA,NA,12,1,59,1,9.2,1,6.8,1,0.003,1,0.1,1,0.11,1,0.005,1,2,1,2.1,1,18.2,1
"10:30:00 28/05/2009",NA,NA,10,65,92,65,9.1,65,8.7,65,0.003,65,0.1,65,0.13,65,0.006,65,2,65,2.2,65,10.8,65
"10:30:00 30/04/2015",NA,NA,NA,180,62,1,10.9,1,6.9,1,0.003,1,0.15,1,0.11,1,0.006,1,2,1,2.6,1,13.7,1
"10:30:00 30/05/2013",NA,NA,14,1,80,1,11.3,1,6.8,1,0.003,1,0.1,1,0.13,1,0.007,1,3,1,1.7,1,10.3,1
"10:31:00 17/11/2015",NA,NA,24,1,67,1,9.1,1,7,1,0.038,1,0.33,1,0.12,1,0.041,1,54,1,200,1,18.3,1
"10:32:00 06/03/2003",0.01,65,12,65,67,65,10.2,65,7.7,65,0.003,65,0.17,65,0.09,65,0.005,65,2,65,1,65,18.5,65
"10:34:00 28/09/2015",NA,NA,12,1,73,1,9.5,1,7,1,0.004,1,0.1,1,0.077,1,0.007,1,2,1,2.3,1,13.1,1
"10:35:00 25/09/2014",NA,NA,12,1,72,1,10.5,1,7.2,1,0.003,1,0.08,1,0.088,1,0.005,1,3,1,1.9,1,14.3,1
"10:35:00 28/01/2014",NA,NA,14,1,74,1,8.7,1,7.2,1,0.003,1,0.14,1,0.084,1,0.009,1,4,1,2.1,1,22.7,1
"10:40:00 22/05/2003",0.002,65,8,65,65,65,10.1,65,7.4,65,0.003,65,0.18,65,0.12,65,0.006,65,2,65,NA,NA,11.8,65
"10:40:00 23/10/2003",NA,NA,50,65,92,65,11.3,65,7.1,65,0.003,65,0.19,65,0.14,65,0.009,65,5,65,NA,NA,12.5,65
"10:40:00 27/10/2011",NA,NA,14,1,89,1,10.3,1,7.5,1,0.004,1,0.1,1,0.092,1,0.005,1,2,1,2.2,1,16.8,1
"10:40:00 29/01/2013",NA,NA,16,1,52,1,9.2,1,7.4,1,0.003,1,0.15,1,0.12,1,0.006,1,4,1,2.7,1,19.3,1
"10:45:00 04/06/2007",NA,NA,35,65,82,65,8.9,65,6.9,65,0.003,65,0.28,65,0.25,65,0.01,65,11,65,23.4,65,8.4,65
"10:45:00 21/10/2013",NA,NA,14,1,86,1,9.6,1,7.7,1,0.003,1,0.12,1,0.11,1,0.009,1,2,1,2.8,1,17.7,1
"10:45:00 23/07/2014",NA,NA,20,1,77,1,11.6,1,6.8,1,0.003,1,0.1,1,0.14,1,0.008,1,4,1,3.8,1,7.6,1
"10:45:00 25/08/2014",NA,NA,NA,180,75,1,11.9,1,7.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,1,9.6,1
"10:45:00 26/02/2015",NA,NA,12,1,68,1,9.2,1,7.6,1,0.003,1,0.14,1,0.074,1,0.011,1,2,1,1.5,1,21,1
"10:45:00 26/08/2014",NA,NA,20,1,NA,NA,NA,NA,NA,NA,0.003,1,0.16,1,0.21,1,0.008,1,2,1,NA,NA,NA,NA
"10:50:00 09/12/2020",NA,NA,12,1,67,1,7.5,1,7.48,1,0.003,1,0.1,1,0.12,1,0.008,1,2,1,2.9,1,17.5,1
"10:50:00 20/06/2018",NA,NA,24,1,61,1,11.3,1,7,1,0.003,1,0.12,1,0.17,1,0.007,1,2,1,3.2,1,8.4,1
"10:50:00 23/09/2004",NA,NA,40,65,65,65,10.6,65,6.5,65,0.003,65,0.1,65,0.06,65,0.005,65,4,65,2.2,65,12.5,65
"10:50:00 26/04/2012",NA,NA,30,1,54,1,10.1,1,7,1,0.003,1,0.21,1,0.14,1,0.013,1,5,1,7,1,14.6,1
"10:52:00 18/08/2005",NA,NA,20,65,64,65,12.3,65,7.3,65,0.003,65,0.11,65,0.07,65,0.005,65,2,65,4.1,65,NA,NA
"10:52:00 18/09/2003",NA,NA,60,65,71,65,10.8,65,7.4,65,0.003,65,0.18,65,0.05,65,0.01,65,2,65,NA,NA,11.1,65
"10:52:00 21/08/2003",NA,NA,30,65,71,65,12.1,65,7.2,65,0.005,65,0.14,65,0.17,65,0.01,65,4,65,NA,NA,6.5,65
"10:54:00 23/05/2016",NA,NA,12,1,58,1,11.5,1,6.9,1,0.004,1,0.07,1,0.13,1,0.005,1,2,1,3.7,1,10.9,1
"10:55:00 22/09/2005",NA,NA,28,65,70,65,11,65,7.3,65,0.003,65,0.1,65,0.08,65,0.009,65,2,65,4.3,65,NA,NA
"10:55:00 23/08/2016",NA,NA,16,1,70,1,10.6,1,7.5,1,0.003,1,0.07,1,0.04,1,0.006,1,2,1,2.3,1,9.9,1
"10:57:00 16/08/2018",NA,NA,20,1,60,1,11.4,1,7.8,1,0.003,1,0.07,1,0.071,1,0.005,1,2,1,3.6,1,9.4,1
"10:58:00 19/07/2018",NA,NA,12,1,75,1,13.2,1,7.2,1,0.003,1,0.08,1,0.096,1,0.005,1,2,1,1.8,1,6.2,1
"11:00:00 16/09/2010",NA,NA,16,1,70,1,12.2,1,7,1,0.003,1,0.09,1,0.14,1,0.006,1,2,1,4.3,1,10.8,1
"11:00:00 17/10/2007",NA,NA,16,65,80,65,8.9,65,7.1,65,0.003,65,0.14,65,0.12,65,0.005,65,3,65,2,65,14.8,65
"11:00:00 21/10/2004",NA,NA,20,65,68,65,9.6,65,7.3,65,0.003,65,0.13,65,0.08,65,0.005,65,3,65,2.9,65,16.3,65
"11:00:00 22/06/2009",NA,NA,10,65,87,65,11.5,65,7.1,65,0.003,65,0.07,65,0.15,65,0.01,65,2,65,2.3,65,8.1,65
"11:00:00 24/08/2020",NA,NA,60,1,99.2,1,11.7,1,7,1,0.004,1,0.28,1,0.19,1,0.029,1,10,1,25.9,1,8.8,1
"11:00:00 26/05/2005",NA,NA,10,65,59,65,11.1,65,7.5,65,0.003,65,0.1,65,0.1,65,0.005,65,2,65,1.1,65,NA,NA
"11:00:00 27/05/2014",NA,NA,14,1,67,1,11,1,6.7,1,0.003,1,0.09,1,0.11,1,0.016,1,2,1,2,1,13.5,1
"11:02:00 10/04/2003",0.002,65,10,65,60,65,10.8,65,8.1,65,0.003,65,0.13,65,0.1,65,0.009,65,2,65,0.5,65,15,65
"11:05:00 04/03/2010",NA,NA,12,1,67.4,1,8.6,1,7.4,1,0.002,1,0.07,1,0.046,1,0.005,1,2,1,2.8,1,21.6,1
"11:05:00 19/06/2003",0.008,65,25,65,76,65,10.7,65,7.4,65,0.003,65,0.17,65,0.13,65,0.008,65,3,65,NA,NA,9.3,65
"11:05:00 24/06/2004",NA,NA,45,65,91,65,11.7,65,7.6,65,0.003,65,0.23,65,0.15,65,0.01,65,4,65,8.3,65,8.3,65
"11:09:00 22/08/2017",NA,NA,36,1,71,1,12,1,7.4,1,0.013,1,0.21,1,0.16,1,0.012,1,3,1,13,1,7.7,1
"11:10:00 09/07/2009",NA,NA,30,1,79.6,1,12.7,1,7.1,1,0.004,1,0.05,1,0.314,1,0.005,1,2,1,4.3,1,6.2,1
"11:10:00 17/10/2018",NA,NA,12,1,63,1,9.75,1,7.5,1,0.003,1,0.13,1,0.13,1,0.009,1,5,1,2.2,1,16.5,1
"11:10:00 18/12/2007",NA,NA,16,65,70,65,9.2,65,7.3,65,0.003,65,0.12,65,0.11,65,0.005,65,2,65,3.4,65,19.2,65
"11:10:00 21/04/2005",NA,NA,8,65,65,65,10.3,65,7.4,65,0.003,65,0.15,65,0.08,65,0.007,65,1,65,NA,NA,NA,NA
"11:10:00 22/04/2004",NA,NA,16,65,56,65,10.1,65,7.1,65,0.004,65,0.13,65,0.09,65,0.005,65,1,65,1.3,65,13,65
"11:10:00 29/05/2018",NA,NA,8,1,53,1,13.9,1,7.1,1,0.003,1,0.12,1,0.13,1,0.006,1,2,1,2,1,10.5,1
"11:11:00 13/07/2015",NA,NA,8,1,69,1,11.2,1,7.1,1,0.003,1,0.07,1,0.11,1,0.005,1,2,1,2,1,8.8,1
"11:12:00 17/07/2003",0.003,65,20,65,68,65,11.9,65,7.9,65,0.003,65,0.15,65,0.12,65,0.006,65,2,65,NA,NA,7.5,65
"11:13:00 05/12/2002",0.02,65,10,65,71,65,9.9,65,7.6,65,0.004,65,0.24,65,0.09,65,0.01,65,1,65,1.7,65,17.9,65
"11:14:00 29/06/2017",NA,NA,12,1,70,1,11.8,1,7.8,1,0.006,1,0.14,1,0.16,1,0.005,1,2,1,1.7,1,8.3,1
"11:15:00 03/02/2010",NA,NA,12,1,57.9,1,7.6,1,7.4,1,0.003,1,0.11,1,0.107,1,0.012,1,2,1,2.3,1,25.1,1
"11:15:00 19/08/2004",NA,NA,25,65,67,65,11.8,65,7,65,0.003,65,0.13,65,0.09,65,0.005,65,3,65,5.1,65,7.9,65
"11:15:00 20/10/2005",NA,NA,12,65,72,65,10.5,65,7.8,65,0.003,65,0.09,65,0.06,65,0.009,65,1,65,2.1,65,NA,NA
"11:15:00 22/07/2004",NA,NA,20,65,66,65,11.7,65,6.8,65,0.003,65,0.09,65,0.09,65,0.005,65,3,65,2.1,65,5.8,65
"11:15:00 23/04/2018",NA,NA,8,1,30,1,9.6,1,7.5,1,0.003,1,0.17,1,0.096,1,0.006,1,6,1,4.8,1,15.5,1
"11:19:00 28/09/2016",NA,NA,14,1,78,1,11,1,7.7,1,0.01,1,0.08,1,0.062,1,0.005,1,2,1,2.2,1,12.9,1
"11:20:00 10/09/2018",NA,NA,16,1,63.2,1,11.3,1,7.5,1,0.003,1,0.09,1,0.07,1,0.006,1,3,1,2.7,1,10.9,1
"11:20:00 21/07/2005",NA,NA,20,65,72,65,12.9,65,7.2,65,0.003,65,0.1,65,0.11,65,0.007,65,3,65,2,65,NA,NA
"11:20:00 23/06/2005",NA,NA,14,65,59,65,11.5,65,7.4,65,0.005,65,0.09,65,0.11,65,0.007,65,2,65,2.2,65,NA,NA
"11:25:00 20/05/2004",NA,NA,15,65,67,65,11.1,65,7.2,65,0.003,65,0.15,65,0.1,65,0.006,65,4,65,3.8,65,10.3,65
"11:28:00 27/04/2017",NA,NA,20,1,55,1,11.1,1,7.1,1,0.003,1,0.12,1,0.15,1,0.006,1,3,1,5.8,1,13.9,1
"11:30:00 02/12/2008",NA,NA,20,65,90,65,9.3,65,6.4,65,0.003,65,0.14,65,0.25,65,0.009,65,2,65,3.2,65,18.2,65
