"Date","AmmoniaasN","AmmoniaasN_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"08:10:00 29/11/2012",NA,NA,18,1,70,1,9,1,7.2,1,0.003,1,0.15,1,0.14,1,0.01,1,2,1,3.5,1,19.6,1
"08:25:00 30/01/2006",NA,NA,18,65,64,65,7.6,65,6.2,65,0.003,65,0.1,65,0.07,65,0.006,65,2,65,1.3,65,25,65
"08:30:00 23/10/2008",NA,NA,12,65,62,65,9.9,65,7.4,65,0.003,65,0.1,65,0.12,65,0.005,65,2,65,1.5,65,13,65
"08:37:00 22/11/2016",NA,NA,10,1,71,1,7.7,1,7.4,1,0.003,1,0.14,1,0.11,1,0.03,1,2,1,3.2,1,21.4,1
"08:40:00 23/02/2006",NA,NA,15,65,58,65,7.9,65,7,65,0.003,65,0.11,65,0.06,65,0.005,65,3,65,2.5,65,21.4,65
"08:40:00 23/11/2006",NA,NA,10,65,50,65,9.5,65,7,65,0.004,65,0.08,65,0.11,65,0.008,65,2,65,2.6,65,18.8,65
"08:45:00 22/12/2005",NA,NA,18,65,58,65,9.3,65,6.8,65,0.003,65,0.16,65,0.07,65,0.02,65,1,65,2.1,65,NA,NA
"08:48:00 31/03/2015",NA,NA,12,1,58,1,9.2,1,6.5,1,0.003,1,0.14,1,0.11,1,0.008,1,2,1,3.4,1,16.1,1
"08:50:00 29/03/2011",NA,NA,45,1,99,1,9,1,6.7,1,0.003,1,0.21,1,0.38,1,0.01,1,2,1,5.9,1,17,1
"08:55:00 17/11/2005",NA,NA,20,65,77,65,9.7,65,7,65,0.003,65,0.14,65,0.11,65,0.01,65,2,65,3.6,65,NA,NA
"08:55:00 21/10/2020",NA,NA,20,1,87,1,10.3,1,7.5,1,0.005,1,0.09,1,0.18,1,0.029,1,2,1,5.8,1,14.1,1
"08:55:00 23/03/2006",NA,NA,15,65,52,65,9.4,65,7,65,0.003,65,0.05,65,0.07,65,0.01,65,2,65,2.1,65,18.2,65
"09:00:00 12/03/2009",NA,NA,18,65,53,65,8.6,65,6.1,65,0.003,65,0.13,65,0.05,65,0.01,65,2,65,0.8,65,19.8,65
"09:00:00 16/12/2004",NA,NA,40,65,100,65,9.6,65,7.7,65,0.006,65,0.28,65,0.2,65,0.01,65,3,65,6.7,65,16.6,65
