"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual"
"07:30:00 17/10/2017",NA,NA,0.001,1,2e-04,1,0.001,1,24,1,335,1,0.001,1,9.7,1,7.1,1,0.004,1,0.19,1,0.001,1,1e-04,1,0.001,1,0.14,1,0.01,1,2,1,6.4,1,12.5,1,0.005,1
"07:45:00 16/11/2011",NA,NA,0.001,1,2e-04,1,0.002,1,64,1,260,1,0.001,1,9.4,1,7.3,1,0.006,1,0.37,1,0.001,1,1e-04,1,0.003,1,0.31,1,0.029,1,14,1,24,1,15,1,0.002,1
"07:45:00 21/03/2017",NA,NA,0.001,1,2e-04,1,0.001,1,40,1,426,1,0.001,1,8.3,1,7.1,1,0.016,1,0.27,1,0.001,1,1e-04,1,0.001,1,0.15,1,0.023,1,NA,NA,8,1,18,1,0.001,1
"07:50:00 14/12/2006",NA,NA,0.001,65,2e-04,65,0.001,65,35,65,477,65,0.001,65,7.4,65,7,65,0.003,65,0.38,65,0.001,65,1e-04,65,0.003,65,0.04,65,0.01,65,3,65,4.6,65,14.9,65,0.002,65
"07:50:00 17/11/2010",NA,NA,0.001,1,2e-04,1,0.002,1,50,1,329,1,0.001,1,10.2,1,7.1,1,0.004,1,0.35,1,0.001,1,1e-04,1,0.003,1,0.19,1,0.026,1,6,1,17.1,1,12.3,1,0.002,1
"07:55:00 20/02/2007",NA,NA,0.001,65,2e-04,65,0.001,65,55,65,552,65,0.001,65,5.5,65,6.9,65,0.01,65,0.38,65,0.001,65,1e-04,65,0.003,65,0.13,65,0.01,65,5,65,NA,NA,20.5,65,0.002,65
"08:00:00 10/03/2010",NA,NA,0.001,1,1e-04,1,0.001,1,93,1,360.8,1,0.001,1,9.1,1,7.1,1,0.004,1,0.37,1,0.001,1,2e-04,1,0.004,1,0.115,1,0.033,1,13,1,31,1,14,1,0.002,1
"08:00:00 17/01/2017",NA,NA,0.001,1,2e-04,1,0.001,1,56,1,391,1,0.001,1,8.5,1,7.3,1,0.012,1,0.31,1,0.001,1,1e-04,1,0.002,1,0.1,1,0.017,1,NA,NA,7.5,1,18,1,0.001,1
"08:00:00 22/10/2013",NA,NA,0.001,1,2e-04,1,0.001,1,50,1,295,1,0.001,1,10.1,1,7.2,1,0.003,1,0.2,1,0.001,1,1e-04,1,0.002,1,0.25,1,0.016,1,3,1,11.9,1,13,1,0.002,1
"08:00:00 23/02/2017",NA,NA,0.001,1,2e-04,1,0.001,1,50,1,378,1,0.001,1,8.4,1,7.2,1,0.006,1,0.28,1,0.001,1,1e-04,1,0.002,1,0.085,1,0.013,1,3,1,12.5,1,15,1,0.003,1
"08:00:00 26/09/2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,180,NA,NA,NA,180,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,180,NA,NA
"08:05:00 12/12/2017",NA,NA,0.001,1,2e-04,1,0.001,1,56,1,303,1,0.001,1,8.9,1,7.5,1,0.005,1,0.31,1,0.001,1,1e-04,1,0.002,1,0.32,1,0.027,1,4,1,12.5,1,16,1,0.001,1
"08:10:00 21/10/2014",NA,NA,0.001,1,2e-04,1,0.001,1,45,1,305,1,0.001,1,10.6,1,7.3,1,0.003,1,0.21,1,0.001,1,1e-04,1,0.002,1,0.26,1,0.019,1,5,1,12,1,12,1,0.002,1
"08:10:00 21/11/2017",NA,NA,0.001,1,2e-04,1,0.001,1,36,1,377,1,0.001,1,8.6,1,7.5,1,0.004,1,0.31,1,0.001,1,1e-04,1,0.002,1,0.14,1,0.019,1,4,1,9.2,1,17,1,0.001,1
"08:10:00 22/01/2014",NA,NA,0.001,1,2e-04,1,0.001,1,50,1,385,1,0.001,1,8.3,1,7.5,1,0.003,1,0.34,1,0.001,1,1e-04,1,0.002,1,0.11,1,0.025,1,10,1,12.8,1,17,1,0.002,1
"08:15:00 26/10/2011",NA,NA,0.001,1,2e-04,1,0.002,1,70,1,320,1,0.001,1,10.6,1,7.3,1,0.01,1,0.36,1,0.001,1,1e-04,1,0.003,1,0.3,1,0.028,1,6,1,24,1,11.5,1,0.004,1
"08:20:00 06/12/2007",NA,NA,0.001,65,2e-04,65,0.001,65,80,65,323,65,0.002,65,8.4,65,7.5,65,0.003,65,0.2,65,0.001,65,1e-04,65,0.003,65,0.12,65,0.01,65,5,65,10,65,16.4,65,0.005,65
"08:20:00 15/12/2015",NA,NA,0.001,1,2e-04,1,0.001,1,40,1,372,1,0.001,1,9.7,1,7.4,1,0.007,1,0.21,1,0.001,1,1e-04,1,0.002,1,0.11,1,0.015,1,2,1,6.6,1,16.5,1,0.001,1
