"Date","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","IronasFe","IronasFe_Qual","ManganeseasMn","ManganeseasMn_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"10:00:00 05/02/1998",NA,NA,90,1,8.1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,5,1,0.049,1,5,1,NA,NA,NA,NA,7.68,1
"10:00:00 22/01/1998",NA,NA,105,1,7.46,1,NA,NA,NA,NA,1.2,1,0.2,1,0.9,1,13,1,0.082,1,50,1,NA,NA,NA,NA,6.91,1
"10:20:00 13/02/1990",75,65,NA,NA,NA,NA,9.2,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,65,18,65,NA,NA
"10:30:00 04/03/1998",NA,NA,84,1,9.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026,1,NA,NA,NA,NA,NA,NA,7.41,1
"10:45:00 14/05/1990",39,65,NA,NA,NA,NA,9.2,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,9,65,NA,NA
"10:50:00 06/07/1990",32,65,NA,NA,NA,NA,11.5,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,65,6,65,NA,NA
"11:00:00 08/02/1998",NA,NA,94,1,8.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.786,1,NA,NA,NA,NA,NA,NA,8.03,1
"11:00:00 15/03/1990",63,65,NA,NA,NA,NA,9.2,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,18,65,NA,NA
"11:30:00 09/04/1990",67,65,NA,NA,NA,NA,8.7,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,65,18.5,65,NA,NA
"11:35:00 07/05/1998",NA,NA,78,1,9.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068,1,NA,NA,NA,NA,NA,NA,7.33,1
"12:00:00 02/04/1998",NA,NA,82,1,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107,1,NA,NA,NA,NA,NA,NA,7.61,1
"12:00:00 08/01/1990",46,65,NA,NA,NA,NA,8.8,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,21,65,NA,NA
"12:00:00 14/06/1990",37,65,NA,NA,NA,NA,10.2,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,65,8,65,NA,NA
"13:00:00 15/01/1998",NA,NA,138,1,4.9,1,NA,NA,NA,NA,790,1,32,1,74,1,1400,1,12,1,30000,1,NA,NA,NA,NA,6.73,1
