"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"13:50:00 15/11/1977",NA,NA,64,65,10.8,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,65,11,65
"13:50:00 17/06/1996",37,65,76,65,11.4,65,7,65,0.009,65,0.28,65,0.45,65,0.02,65,14,65,5.6,65,8.8,65
"13:50:00 18/10/1979",NA,NA,58,65,9.9,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,65,10.5,65
"13:53:00 13/12/1993",50,65,58,65,9,65,6.9,65,0.01,65,0.4,65,0.35,65,0.04,65,25,65,13,65,15,65
"13:56:00 11/07/1989",NA,NA,64,65,NA,180,5.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,65,8.5,65
"13:58:00 03/05/1994",35,65,55,65,9.8,65,6.9,65,0.01,65,0.3,65,0.38,65,0.03,65,13,65,5.6,65,11,65
"14:00:00 07/02/1995",80,65,66,65,8.8,65,6.6,65,0.01,65,0.5,65,0.31,65,0.05,65,20,65,11,65,15,65
"14:00:00 08/09/1986",NA,NA,53,65,10.8,65,5.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,65,8.5,65
"14:05:00 18/02/1986",NA,NA,61,65,9.2,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,65,12.5,65
"14:09:00 16/02/1988",NA,NA,66,65,10.6,65,5.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,12,65
"14:10:00 08/06/1993",45,65,51,65,10.1,65,6.5,65,0.04,65,0.4,65,0.36,65,0.06,65,15,65,10,65,10.5,65
"14:10:00 16/06/1998",65,65,64,65,10.9,65,7.2,65,0.005,65,0.4,65,0.33,65,0.04,65,10,65,4.9,65,9.4,65
"14:15:00 12/04/1989",NA,NA,73,65,8.6,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,65,13,65
"14:20:00 07/07/1987",NA,NA,62,65,11,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,65,7.5,65
"14:20:00 13/10/1997",47,65,64,65,9.7,65,7.4,65,0.007,65,0.43,65,0.32,65,0.04,65,14,65,4.2,65,12,65
"14:20:00 15/07/1986",NA,NA,61,65,11.2,65,5.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,65,7.5,65
"14:22:00 02/08/1994",80,65,40,65,10.8,65,6.8,65,0.008,65,0.7,65,0.39,65,0.07,65,42,65,21,65,8,65
"14:23:00 07/09/1993",30,65,48,65,11.8,65,6.7,65,0.003,65,0.4,65,0.47,65,0.02,65,15,65,12,65,10,65
"14:24:00 09/01/1990",NA,NA,57,65,8.9,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,65,17,65
"14:25:00 28/02/1983",NA,NA,98,65,9.1,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,65,15.7,65
"14:30:00 06/03/1986",NA,NA,62,65,8.4,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,65,16.8,65
"14:30:00 08/05/1986",NA,NA,44,65,11.4,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,65,8.5,65
"14:30:00 18/08/1998",65,65,58,65,11.1,65,6.3,65,0.01,65,0.29,65,0.38,65,0.03,65,8,65,5.1,65,10.1,65
"14:33:00 06/07/1993",45,65,49,65,10.4,65,6.6,65,0.02,65,0.4,65,0.4,65,0.04,65,16,65,11,65,8.5,65
"14:35:00 06/05/1987",NA,NA,62,65,10.8,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,65,11,65
"14:50:00 03/10/1994",40,65,46,65,11.2,65,6.8,65,0.006,65,0.4,65,0.46,65,0.04,65,16,65,12,65,9.5,65
"14:50:00 13/12/1988",NA,NA,59,65,8.1,65,6.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,65,15,65
"14:50:00 14/02/1989",NA,NA,61,65,9,65,6.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,18,65
"14:53:00 08/11/1994",80,65,47,65,11,65,6.8,65,0.007,65,0.8,65,0.32,65,0.06,65,23,65,8.4,65,9,65
"14:55:00 06/08/1986",NA,NA,54,65,9.6,65,6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,65,8,65
"14:55:00 15/11/1988",NA,NA,58,65,10.8,65,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,65,12,65
"14:56:00 05/12/1989",NA,NA,58,65,10.7,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,65,15,65
"14:56:00 11/07/1995",55,65,84,65,10.4,65,6.7,65,0.007,65,0.3,65,0.5,65,0.03,65,20,65,15,65,7.5,65
"14:58:00 15/03/1989",NA,NA,68,65,8.9,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,65,14,65
"15:00:00 15/10/1996",40,65,160,65,8.4,65,6.9,65,0.003,65,0.33,65,0.54,65,0.03,65,10,65,8.5,65,13,65
"15:04:00 06/12/1994",45,65,52,65,10.4,65,6.3,65,0.007,65,0.6,65,0.35,65,0.07,65,24,65,7.7,65,18.5,65
"15:04:00 11/04/1994",70,65,53,65,10.2,65,6.7,65,0.008,65,0.6,65,0.32,65,0.06,65,46,65,22,65,11.5,65
"15:05:00 22/12/1982",NA,NA,64,65,9.3,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,14.5,65
"15:06:00 06/06/1994",35,65,52,65,11,65,7,65,0.01,65,0.4,65,0.38,65,0.03,65,9,65,5,65,10.5,65
"15:15:00 06/09/1995",60,65,73,65,11.6,65,6,65,0.003,65,0.4,65,0.47,65,0.02,65,NA,NA,10,65,6.5,65
"15:15:00 10/04/1986",NA,NA,62,65,9.3,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,65,12,65
"15:15:00 13/09/1988",NA,NA,58,65,10.2,65,5.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,65,8.5,65
"15:37:00 09/05/1989",NA,NA,71,65,8.7,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,65,11.5,65
"15:40:00 06/10/1986",NA,NA,55,65,NA,180,5.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,65,10,65
"16:05:00 01/06/1987",NA,NA,60,65,10.9,65,6.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,65,10,65
"16:05:00 11/10/1988",NA,NA,58,65,9.6,65,6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,65,11.5,65
"16:10:00 25/05/1988",NA,NA,65,65,7.8,65,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,65,11,65
