"Date","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"13:25:00 08/01/1986",NA,NA,NA,NA,NA,NA,100,65,10,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,18,65
"13:25:00 12/08/1985",3.2,65,10,65,70,65,75,65,11.7,65,NA,180,20,65,0.95,65,0.25,65,2.6,65,0.02,65,0.1,65,0.8,65,8.8,65,6.6,65,4.4,65,17,65,47,65,2,65,0.01,65,5,65,NA,180,8,65
"13:26:00 08/07/1986",NA,NA,NA,NA,NA,NA,65,65,11.5,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,65,6.5,65
"13:30:00 01/06/1981",NA,NA,NA,NA,NA,NA,70,65,10.4,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,65,10,65
"13:30:00 01/09/1981",NA,NA,NA,NA,NA,NA,60,65,11,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,65,9.5,65
"13:30:00 04/08/1980",NA,NA,NA,NA,NA,NA,49,65,13,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,65,8.5,65
"13:30:00 05/02/1985",5.2,65,6,65,20,65,110,65,9.3,65,7.7,65,32,65,0.33,65,0.35,65,4.7,65,0.03,65,0.1,65,0.9,65,6.8,65,5.8,65,22,65,16,65,69,65,4,65,0.08,65,4,65,3.4,65,20,65
"13:30:00 05/07/1984",NA,NA,NA,NA,NA,NA,83,65,11,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,65,7,65
"13:30:00 07/11/1988",3.5,65,6,65,10,65,64,65,9.2,65,6.9,65,18,65,0.23,65,0.4,65,2.5,65,0.01,65,0.04,65,0.9,65,7.2,65,5.5,65,3.3,65,18,65,36,65,3,65,0.01,65,4,65,1.6,65,16.5,65
"13:30:00 09/03/1989",NA,NA,NA,NA,NA,NA,110,65,8.6,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,65,20,65
"13:35:00 03/02/1982",NA,NA,NA,NA,NA,NA,72,65,9,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,65,19,65
"13:35:00 05/07/1990",NA,NA,NA,NA,NA,NA,63,65,11,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,65,8.5,65
"13:35:00 09/04/1986",NA,NA,NA,NA,NA,NA,78,65,9.3,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,65,13.5,65
"13:40:00 01/02/1979",NA,NA,NA,NA,NA,NA,52,65,8.8,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,25,65
"13:40:00 01/08/1979",NA,NA,NA,NA,NA,NA,62,65,12.4,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,65,7,65
"13:40:00 02/01/1985",NA,NA,NA,NA,NA,NA,89,65,9.4,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,65,19.5,65
"13:45:00 03/06/1980",NA,NA,NA,NA,NA,NA,51,65,11,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,65,8,65
"13:45:00 04/02/1980",NA,NA,NA,NA,NA,NA,59,65,9.2,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,65,21,65
"13:45:00 04/03/1985",NA,NA,NA,NA,NA,NA,100,65,10.2,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,65,14.5,65
"13:45:00 05/09/1984",NA,NA,NA,NA,NA,NA,72,65,11,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,65,10,65
"13:50:00 01/12/1983",NA,NA,NA,NA,NA,NA,84,65,9.8,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,14,65
"13:50:00 02/03/1981",NA,NA,NA,NA,NA,NA,71,65,8.6,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,65,21.5,65
"14:00:00 03/03/1988",NA,NA,NA,NA,NA,NA,75,65,8.7,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,20.5,65
"14:00:00 14/07/1987",NA,NA,NA,NA,NA,NA,81,65,11.6,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,7,65
"14:00:00 16/05/1988",4.1,65,8,65,10,65,79,65,8.1,65,7.6,65,21,65,0.13,65,0.2,65,3.1,65,0.01,65,0.05,65,0.9,65,6.8,65,6.3,65,8,65,20,65,55,65,2,65,0.01,65,3,65,2,65,12.7,65
"14:05:00 01/07/1985",NA,NA,NA,NA,NA,NA,82,65,11.9,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,65,9,65
"14:05:00 01/09/1980",1.8,65,6.4,65,60,65,51,65,11,65,7.2,65,11,65,0.69,65,0.15,65,1.2,65,0.02,65,0.03,65,0.7,65,6,65,4.1,65,2,65,10,65,27,65,2,65,0.02,65,13,65,8.5,65,10,65
"14:05:00 08/08/1989",2.8,65,8,65,40,65,72,65,9.8,65,7,65,18,65,0.68,65,0.2,65,2.6,65,0.01,65,0.08,65,0.8,65,9.1,65,6.7,65,2.1,65,19,65,55,65,1,65,0.01,65,2,65,7,65,8,65
"14:08:00 09/09/1986",NA,NA,NA,NA,NA,NA,82,65,11.2,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,65,10,65
"14:10:00 02/02/1981",NA,NA,NA,NA,NA,NA,78,65,8.2,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,65,23.5,65
"14:10:00 13/04/1989",NA,NA,NA,NA,NA,NA,84,65,9.5,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,14,65
"14:15:00 20/02/1978",NA,NA,NA,NA,NA,NA,58,65,8.5,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,65,22.5,65
"14:20:00 01/04/1985",NA,NA,NA,NA,NA,NA,97,65,10.8,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,65,14,65
"14:20:00 02/01/1980",NA,NA,NA,NA,NA,NA,57,65,8.2,65,8.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,65,24,65
"14:20:00 03/05/1989",3.6,65,7,65,10,65,81,65,9.8,65,6.6,65,20,65,0.21,65,0.2,65,2.8,65,0.01,65,0.05,65,0.8,65,6.6,65,5.9,65,3.9,65,22,65,46,65,4,65,0.006,65,1,65,1.4,65,15,65
"14:20:00 07/06/1989",NA,NA,NA,NA,NA,NA,96,65,10.2,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,65,9,65
"14:20:00 07/08/1984",3.4,65,7.9,65,30,65,74,65,12,65,7.4,65,25,65,0.32,65,0.25,65,3.1,65,0.01,65,0.06,65,1.3,65,8.3,65,7.1,65,5.5,65,22,65,52,65,2,65,0.01,65,4,65,5,65,10,65
"14:20:00 27/07/1977",NA,NA,NA,NA,NA,NA,62,65,11.4,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,65,6.5,65
"14:30:00 01/03/1979",NA,NA,NA,NA,NA,NA,61,65,9.3,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,65,22,65
"14:30:00 06/05/1987",4.4,65,6,65,20,65,74,65,10.5,65,7.2,65,22,65,0.21,65,0.1,65,3.2,65,0.03,65,0.03,65,0.9,65,5.8,65,5.6,65,9.4,65,17,65,NA,NA,2,65,0.01,65,1,65,1.5,65,12,65
"14:30:00 06/10/1987",NA,NA,NA,NA,NA,NA,64,65,10,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,65,14,65
"14:40:00 24/07/1989",NA,NA,NA,NA,NA,NA,77,65,11.3,65,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,65,7.5,65
"14:45:00 30/04/1984",NA,NA,NA,NA,NA,NA,87,65,10.8,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,12,65
"14:50:00 04/11/1981",NA,NA,NA,NA,NA,NA,52,65,10.4,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,65,17,65
"14:50:00 09/03/1982",NA,NA,NA,NA,NA,NA,68,65,NA,180,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,18,65
"14:55:00 02/04/1979",2.3,65,6.4,65,30,65,50,65,11.2,65,7.6,65,16,65,0.61,65,0.25,65,1.7,65,0.02,65,0.01,65,0.7,65,9.3,65,5,65,1,65,15,65,46,65,4,65,0.01,65,1,65,3.4,65,16,65
"15:00:00 01/07/1977",NA,NA,NA,NA,NA,NA,46,65,13.5,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,65,7,65
"15:00:00 01/07/1981",2.7,65,6.2,65,70,65,56,65,11.6,65,7.1,65,16,65,1.14,65,0.15,65,2.2,65,0.02,65,0.06,65,0.9,65,7.7,65,5.3,65,4,65,15,65,45,65,4,65,0.02,65,15,65,11,65,8,65
"15:00:00 03/10/1978",1.6,65,5.8,65,25,65,44,65,10.9,65,6.2,65,11,65,0.32,65,0.15,65,1.4,65,0.02,65,0.03,65,0.6,65,7.8,65,4.3,65,3,65,11,65,37,65,2,65,0.007,65,6,65,4,65,12,65
"15:00:00 09/05/1990",2.7,65,7,65,20,65,65,65,9.2,65,6.7,65,16,65,1.4,65,0.2,65,2.3,65,0.03,65,0.06,65,1.3,65,7.6,65,5,65,3.1,65,17,65,47,65,2,65,0.07,65,35,65,9.8,65,12.5,65
"15:00:00 19/03/1987",NA,NA,NA,NA,NA,NA,80,65,9.8,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,65,17.5,65
"15:10:00 01/05/1979",NA,NA,NA,NA,NA,NA,27,65,10.5,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,65,11.5,65
"15:10:00 02/04/1980",NA,NA,NA,NA,NA,NA,54,65,9.8,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,65,14,65
"15:10:00 05/06/1979",NA,NA,NA,NA,NA,NA,53,65,10.2,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,65,7.5,65
"15:15:00 01/12/1978",NA,NA,NA,NA,NA,NA,48,65,10.4,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,65,17,65
"15:15:00 02/11/1978",NA,NA,NA,NA,NA,NA,48,65,10.2,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,65,12.8,65
"15:20:00 03/03/1980",NA,NA,NA,NA,NA,NA,60,65,9.4,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,65,20.5,65
"15:20:00 03/07/1979",3.9,65,11,65,100,65,61,65,11.8,65,7.1,65,20,65,NA,NA,0.45,65,2.7,65,NA,NA,0.1,65,NA,NA,9.7,65,6.5,65,3,65,18,65,53,65,3,65,0.04,65,50,65,51,65,7,65
"15:30:00 03/11/1976",NA,NA,NA,NA,NA,NA,59,65,10.4,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,65,11,65
"15:30:00 19/09/1978",NA,NA,NA,NA,NA,NA,63,65,10.2,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,65,10,65
"15:40:00 10/01/1977",NA,NA,NA,NA,NA,NA,68,65,NA,180,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,65,21,65
"16:00:00 01/04/1981",2.8,65,4.1,65,50,65,57,65,10,65,7.5,65,16,65,0.14,65,0.3,65,1.8,65,0.02,65,0.01,65,0.7,65,9.5,65,5,65,4,65,15,65,49,65,3,65,0.01,65,4,65,6.1,65,18.5,65
"16:00:00 01/05/1980",NA,NA,NA,NA,NA,NA,63,65,10.8,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,65,11.5,65
"16:00:00 01/08/1978",NA,NA,NA,NA,NA,NA,52,65,10.2,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,65,7.5,65
"16:00:00 03/05/1977",NA,NA,NA,NA,NA,NA,48,65,9.9,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,65,10,65
"16:00:00 09/01/1980",19,65,7.6,65,60,65,NA,180,NA,180,NA,180,68,65,0.77,65,0.35,65,4.8,65,0.03,65,0.01,65,1.5,65,13,65,7.6,65,7,65,68,65,100,65,7,65,0.04,65,8,65,NA,180,NA,180
"16:20:00 02/12/1976",NA,NA,NA,NA,NA,NA,48,65,9,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,65,14.5,65
