"Date","AluminiumasAl","AluminiumasAl_Qual","AmmoniaasN","AmmoniaasN_Qual","BicarbonateAlkalinityasCaCO3","BicarbonateAlkalinityasCaCO3_Qual","CadmiumasCd","CadmiumasCd_Qual","CalciumasCa","CalciumasCa_Qual","CarbonateAlkalinityasCaCO3","CarbonateAlkalinityasCaCO3_Qual","ChlorideasCl","ChlorideasCl_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","HydroxideAlkalinityasCaCO3","HydroxideAlkalinityasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","MercuryasHg","MercuryasHg_Qual","MolybdenumasMo","MolybdenumasMo_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","NitrateNitrogen","NitrateNitrogen_Qual","NitriteNitrogen","NitriteNitrogen_Qual","PotassiumasK","PotassiumasK_Qual","SeleniumasSe","SeleniumasSe_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual","pHLab","pHLab_Qual"
"08:29:00 23/01/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,65,NA,NA,NA,NA,NA,NA,5.4,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:30:00 05/06/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,1,NA,NA,5.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085,1,NA,NA,NA,NA,NA,NA,NA,NA,6.86,1
"08:30:00 06/11/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,65,NA,NA,NA,NA,NA,NA,NA,NA,8.3,65,7.2,65,0.003,65,NA,NA,NA,NA,0.33,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,11,65,NA,NA,17.9,65,NA,NA,NA,NA
"08:30:00 28/11/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,162,65,NA,NA,NA,NA,NA,NA,7.3,65,6.4,65,0.02,65,NA,NA,NA,NA,0.46,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,65,11,65,NA,NA,NA,NA,NA,NA,NA,NA
"08:35:00 15/03/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,240,65,NA,NA,NA,NA,NA,NA,6.6,65,7.2,65,0.05,65,NA,NA,NA,NA,0.45,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,65,12,65,NA,NA,20.5,65,NA,NA,NA,NA
"08:35:00 21/12/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,65,150,65,NA,NA,NA,NA,NA,NA,7.1,65,7.2,65,0.02,65,NA,NA,NA,NA,0.39,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,65,15,65,NA,NA,19.9,65,NA,NA,NA,NA
"08:35:00 25/09/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,208,65,NA,NA,NA,NA,NA,NA,8.5,65,6.8,65,0.006,65,NA,NA,NA,NA,0.34,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,14,65,NA,NA,14.1,65,NA,NA,NA,NA
"08:36:00 28/12/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,92,65,NA,NA,NA,NA,NA,NA,6.7,65,6.4,65,0.02,65,NA,NA,NA,NA,0.33,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,10,65,NA,NA,NA,NA,NA,NA,NA,NA
"08:40:00 03/11/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,150,65,NA,NA,NA,NA,NA,NA,7.2,65,7.1,65,0.01,65,NA,NA,NA,NA,0.42,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,23,65,NA,NA,16.9,65,NA,NA,NA,NA
"08:40:00 04/01/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,130,65,NA,NA,NA,NA,NA,NA,7.4,65,7.3,65,0.01,65,NA,NA,NA,NA,0.32,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,12,65,NA,NA,19.9,65,NA,NA,NA,NA
"08:40:00 26/02/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,65,948,65,NA,NA,NA,NA,NA,NA,5.7,65,6.7,65,0.003,65,NA,NA,NA,NA,0.49,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,10,65,NA,NA,23.9,65,NA,NA,NA,NA
"08:40:00 27/03/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,65,130,65,NA,NA,NA,NA,NA,NA,6.8,65,6.6,65,0.01,65,NA,NA,NA,NA,0.21,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,15,65,NA,NA,19.6,65,NA,NA,NA,NA
"08:42:00 17/05/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187,1,NA,NA,8.95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,1,0.15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:43:00 30/01/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,118,65,NA,NA,NA,NA,NA,NA,5.3,65,6.4,65,0.01,65,NA,NA,NA,NA,0.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,65,16,65,NA,NA,24.9,65,NA,NA,NA,NA
"08:45:00 02/01/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,883,65,NA,NA,NA,NA,NA,NA,8.1,65,6.7,65,0.005,65,NA,NA,NA,NA,0.39,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,14,65,NA,NA,21.3,65,NA,NA,NA,NA
"08:45:00 04/10/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,91,65,NA,NA,NA,NA,NA,NA,8.8,65,7.4,65,0.01,65,NA,NA,NA,NA,0.29,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,17,65,NA,NA,13.8,65,NA,NA,NA,NA
"08:45:00 06/07/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,1,NA,NA,8.53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,1,0.069,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08:45:00 14/03/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,65,NA,NA,NA,NA,NA,NA,5.3,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7,65,NA,NA,NA,NA
"08:45:00 21/11/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,65,146,65,NA,NA,NA,NA,NA,NA,6.6,65,6.6,65,0.04,65,NA,NA,NA,NA,0.48,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,65,14,65,NA,NA,NA,NA,NA,NA,NA,NA
"08:45:00 24/02/2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,67,1,NA,NA,NA,NA,NA,NA,6.2,1,7.2,1,0.021,1,NA,NA,NA,NA,0.31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.089,1,18,1,22.9,1,20,1,NA,NA,NA,NA
"08:45:00 27/02/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,140,65,NA,NA,NA,NA,NA,NA,4.7,65,6.6,65,0.005,65,NA,NA,NA,NA,0.36,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,18,65,NA,NA,21.8,65,NA,NA,NA,NA
"08:45:00 29/12/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,65,180,65,NA,NA,NA,NA,NA,NA,7.3,65,7.1,65,0.01,65,NA,NA,NA,NA,0.49,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,65,16,65,NA,NA,19.4,65,NA,NA,NA,NA
"08:50:00 07/02/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,65,140,65,NA,NA,NA,NA,NA,NA,5.5,65,6.7,65,0.05,65,NA,NA,NA,NA,1.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,65,26,65,NA,NA,17,65,NA,NA,NA,NA
"08:50:00 13/02/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,171,65,NA,NA,NA,NA,NA,NA,9.4,65,6.9,65,0.009,65,NA,NA,NA,NA,0.25,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,17,65,NA,NA,20.2,65,NA,NA,NA,NA
"08:50:00 29/01/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,65,NA,NA,NA,NA,NA,NA,NA,NA,8.3,65,7.1,65,0.004,65,NA,NA,NA,NA,0.19,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,11,65,NA,NA,19.4,65,NA,NA,NA,NA
"08:50:00 29/11/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,120,65,NA,NA,NA,NA,NA,NA,6.9,65,6.5,65,0.02,65,NA,NA,NA,NA,0.31,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,16,65,NA,NA,21.2,65,NA,NA,NA,NA
"08:50:00 31/10/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,150,65,NA,NA,NA,NA,NA,NA,6.6,65,6.6,65,0.04,65,NA,NA,NA,NA,0.38,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,65,13,65,NA,NA,NA,NA,NA,NA,NA,NA
"08:55:00 12/02/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,65,NA,NA,NA,NA,NA,NA,NA,NA,6.3,65,7.1,65,0.003,65,NA,NA,NA,NA,0.27,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,22,65,NA,NA,21.7,65,NA,NA,NA,NA
"08:55:00 12/12/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,65,149,65,NA,NA,NA,NA,NA,NA,7,65,6.8,65,0.02,65,NA,NA,NA,NA,0.45,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,65,12,65,NA,NA,NA,NA,NA,NA,NA,NA
"08:56:00 20/03/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,246,65,NA,NA,NA,NA,NA,NA,6.8,65,6.8,65,0.006,65,NA,NA,NA,NA,0.31,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,25,65,NA,NA,18.6,65,NA,NA,NA,NA
"09:00:00 06/12/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,150,65,NA,NA,NA,NA,NA,NA,8.9,65,7,65,0.003,65,NA,NA,NA,NA,0.42,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,65,14,65,NA,NA,20.4,65,NA,NA,NA,NA
"09:00:00 09/01/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,113,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,0.24,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,9,65,NA,NA,NA,NA,NA,NA,NA,NA
"09:00:00 16/01/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,122,65,NA,NA,NA,NA,NA,NA,6.5,65,6.6,65,0.02,65,NA,NA,NA,NA,0.47,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,65,12,65,NA,NA,NA,NA,NA,NA,NA,NA
"09:00:00 21/02/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,65,210,65,NA,NA,NA,NA,NA,NA,6.7,65,7.1,65,0.04,65,NA,NA,NA,NA,0.81,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,65,31,65,NA,NA,19.9,65,NA,NA,NA,NA
"09:00:00 22/11/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,80,65,NA,NA,NA,NA,NA,NA,7.7,65,7,65,0.009,65,NA,NA,NA,NA,0.26,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,13,65,NA,NA,18,65,NA,NA,NA,NA
"09:00:00 24/01/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,140,65,NA,NA,NA,NA,NA,NA,6.8,65,7,65,0.01,65,NA,NA,NA,NA,0.34,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,14,65,NA,NA,22.4,65,NA,NA,NA,NA
"09:05:00 05/12/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,65,140,65,NA,NA,NA,NA,NA,NA,7.3,65,6.5,65,0.06,65,NA,NA,NA,NA,0.63,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,65,19,65,NA,NA,NA,NA,NA,NA,NA,NA
"09:05:00 06/03/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,108,65,NA,NA,NA,NA,NA,NA,6.3,65,6.6,65,0.003,65,NA,NA,NA,NA,0.31,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,16,65,NA,NA,22.2,65,NA,NA,NA,NA
"09:05:00 07/11/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,154,65,NA,NA,NA,NA,NA,NA,7.2,65,6.7,65,0.04,65,NA,NA,NA,NA,0.51,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,65,11,65,NA,NA,NA,NA,NA,NA,NA,NA
"09:05:00 08/11/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,140,65,NA,NA,NA,NA,NA,NA,7.8,65,7,65,0.06,65,NA,NA,NA,NA,0.45,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,65,11,65,NA,NA,17.1,65,NA,NA,NA,NA
"09:05:00 20/02/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,119,65,NA,NA,NA,NA,NA,NA,5.1,65,6.6,65,0.004,65,NA,NA,NA,NA,0.36,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,13,65,NA,NA,22,65,NA,NA,NA,NA
"09:10:00 10/11/2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,1,90,1,NA,NA,NA,NA,NA,NA,6.8,1,7,1,0.029,1,NA,NA,NA,NA,0.49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,1,58,1,70.6,1,18.4,1,NA,NA,NA,NA
"09:10:00 20/11/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,149,65,NA,NA,NA,NA,NA,NA,8.7,65,6.7,65,0.003,65,NA,NA,NA,NA,0.36,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,12,65,NA,NA,18.2,65,NA,NA,NA,NA
"09:10:00 21/03/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,65,178,65,NA,NA,NA,NA,NA,NA,6.7,65,7.2,65,0.02,65,NA,NA,NA,NA,0.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,65,NA,NA,0.12,65,13,65,NA,NA,18.6,65,NA,NA,NA,NA
"09:12:00 11/05/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236,1,NA,NA,8.33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,1,0.13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09:15:00 06/02/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,65,140,65,NA,NA,NA,NA,NA,NA,8.1,65,6.7,65,0.01,65,NA,NA,NA,NA,0.56,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,65,15,65,NA,NA,22.1,65,NA,NA,NA,NA
"09:15:00 07/03/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,200,65,NA,NA,NA,NA,NA,NA,6.6,65,7.1,65,0.02,65,NA,NA,NA,NA,0.49,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,65,14,65,NA,NA,18.7,65,NA,NA,NA,NA
"09:15:00 09/10/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,NA,NA,NA,NA,NA,NA,NA,NA,8.9,65,6.6,65,0.003,65,NA,NA,NA,NA,0.26,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,52,65,NA,NA,15.2,65,NA,NA,NA,NA
"09:15:00 10/01/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,120,65,NA,NA,NA,NA,NA,NA,NA,NA,6.1,65,0.008,65,NA,NA,NA,NA,0.36,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,8,65,NA,NA,19.6,65,NA,NA,NA,NA
