"Date","AmmoniaasN","AmmoniaasN_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"00:00:00 04/04/2015",NA,NA,NA,180,NA,180,NA,180,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,180
"00:00:00 04/05/2015",NA,NA,NA,180,NA,180,NA,180,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,180
"07:05:00 12/03/2003",0.008,65,60,65,110,65,8.7,65,7,65,0.003,65,0.44,65,0.22,65,0.03,65,18,65,6.1,65,16.3,65
"07:20:00 14/01/2004",NA,NA,90,65,73,65,8.4,65,7.3,65,0.006,65,0.3,65,0.2,65,0.03,65,8,65,NA,NA,17.5,65
"07:25:00 15/01/2003",0.01,65,40,65,84,65,8.2,65,6.9,65,0.004,65,0.34,65,0.12,65,0.03,65,10,65,3.3,65,18.3,65
"07:44:00 08/12/2016",NA,NA,48,1,77,1,9.7,1,7.2,1,0.006,1,0.31,1,0.28,1,0.029,1,15,1,11.6,1,16.5,1
"07:50:00 08/02/1996",NA,NA,55,65,74,65,8.9,65,6.8,65,0.003,65,0.2,65,0.3,65,0.03,65,9,65,4.5,65,17.5,65
"07:51:00 10/11/2016",NA,NA,48,1,77,1,9.5,1,7.2,1,0.011,1,0.23,1,0.31,1,0.022,1,14,1,9.6,1,14,1
"07:53:00 02/12/2015",NA,NA,48,1,95,1,9.5,1,7.3,1,0.01,1,0.35,1,0.19,1,0.03,1,12,1,10.3,1,15.6,1
"07:55:00 07/08/2008",NA,NA,50,65,103,65,9,65,6.8,65,0.003,65,0.32,65,0.36,65,0.03,65,8,65,9.5,65,6.8,65
"07:56:00 11/11/2015",NA,NA,40,1,96,1,9.5,1,7.1,1,0.011,1,0.29,1,0.3,1,0.032,1,15,1,12.7,1,14,1
"08:10:00 11/09/2007",NA,NA,40,65,NA,NA,NA,NA,NA,NA,0.003,65,0.38,65,0.3,65,0.03,65,24,65,NA,NA,NA,NA
"08:10:00 12/09/2007",NA,NA,NA,NA,172,65,9.2,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.6,65,10.8,65
"08:25:00 09/09/2003",NA,NA,40,65,91,65,9.9,65,7.1,65,0.007,65,0.25,65,0.45,65,0.03,65,9,65,NA,NA,8,65
"08:30:00 06/05/2010",NA,NA,58,1,94.1,1,9.5,1,7.3,1,0.006,1,0.05,1,0.223,1,0.005,1,28,1,27.7,1,11.6,1
"08:30:00 17/11/2004",NA,NA,80,65,93,65,10.1,65,6.7,65,0.005,65,0.43,65,0.46,65,0.03,65,19,65,18,65,13.6,65
"08:31:00 05/10/2016",NA,NA,130,1,104,1,10.6,1,6.5,1,0.013,1,1.3,1,0.37,1,0.18,1,120,1,62.6,1,10.2,1
"08:35:00 08/02/1990",NA,NA,NA,NA,75,65,8.8,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,65,17.5,65
"08:40:00 10/12/2003",NA,NA,80,65,70,65,8.9,65,7,65,0.003,65,0.36,65,0.27,65,0.02,65,12,65,NA,NA,19.4,65
"08:45:00 11/12/1995",NA,NA,40,65,95,65,8.7,65,7.2,65,0.004,65,0.4,65,0.45,65,0.16,65,20,65,6,65,15,65
"08:54:00 07/09/2016",NA,NA,64,1,100,1,10.4,1,7.1,1,0.003,1,0.37,1,0.38,1,0.028,1,16,1,11.7,1,10.4,1
"08:55:00 03/12/2019",NA,NA,50,1,97,1,10.1,1,6.9,1,0.003,1,0.61,1,0.25,1,0.059,1,56,1,26.4,1,12,1
"08:55:00 11/05/2017",NA,NA,60,1,108,1,10.9,1,7.3,1,0.01,1,0.25,1,0.24,1,0.02,1,9,1,7.6,1,9.4,1
"09:00:00 05/05/2020",NA,NA,80,1,103.9,1,10.8,1,6.4,1,0.003,1,0.52,1,0.53,1,0.047,1,41,1,20.1,1,10.4,1
"09:00:00 11/01/1995",NA,NA,50,65,97,65,7.1,65,6.7,65,0.006,65,0.4,65,0.26,65,0.04,65,33,65,8.3,65,19,65
"09:03:00 13/04/2016",NA,NA,50,1,109,1,9.8,1,7.2,1,0.013,1,0.24,1,0.23,1,0.026,1,10,1,6.5,1,13.8,1
"09:07:00 17/12/1990",NA,NA,50,65,73,65,11.4,65,6.4,65,0.02,65,0.3,65,0.28,65,0.04,65,13,65,6.4,65,17,65
"09:08:00 20/03/1997",NA,NA,46,65,79,65,8.6,65,6.8,65,0.007,65,0.34,65,0.31,65,0.04,65,16,65,6.4,65,13.9,65
"09:13:00 03/08/2017",NA,NA,48,1,104,1,11.5,1,7.3,1,0.006,1,0.23,1,0.34,1,0.021,1,7,1,7.7,1,6.2,1
"09:20:00 06/02/2003",0.02,65,55,65,110,65,6.6,65,7.3,65,0.004,65,0.43,65,0.12,65,0.04,65,8,65,3.6,65,19.6,65
"09:20:00 22/03/1995",NA,NA,50,65,79,65,8,65,6.2,65,0.03,65,0.2,65,0.22,65,0.06,65,11,65,2.5,65,15,65
"09:21:00 05/09/2018",NA,NA,50,1,107,1,11.6,1,7.2,1,0.005,1,0.25,1,0.41,1,0.023,1,12,1,7.1,1,7.2,1
"09:23:00 09/01/1996",NA,NA,50,65,99,65,8.6,65,6.3,65,0.004,65,0.4,65,0.35,65,0.04,65,14,65,4.3,65,18,65
"09:25:00 06/03/1996",NA,NA,55,65,91,65,9.7,65,6.9,65,0.005,65,0.2,65,0.26,65,0.08,65,10,65,5.5,65,16.5,65
"09:25:00 08/01/2009",NA,NA,38,65,70,65,9.9,65,7.2,65,0.003,65,0.26,65,0.13,65,0.02,65,8,65,9.6,65,17,65
"09:25:00 15/05/2003",0.01,65,45,65,95,65,9.8,65,7.1,65,0.003,65,0.26,65,0.23,65,0.01,65,4,65,2.4,65,10.6,65
"09:28:00 14/12/1994",NA,NA,40,65,85,65,8.8,65,6.6,65,0.005,65,0.3,65,0.27,65,0.03,65,21,65,12,65,18.5,65
"09:37:00 13/09/2017",NA,NA,40,1,117,1,10.8,1,6.7,1,0.005,1,0.52,1,0.46,1,0.042,1,23,1,14.6,1,10,1
"09:45:00 05/01/2005",NA,NA,40,65,78,65,NA,NA,6.7,65,0.003,65,0.32,65,0.27,65,0.02,65,10,65,8.8,65,16.5,65
"09:45:00 14/02/2006",NA,NA,70,65,98,65,9.4,65,7.2,65,0.003,65,0.28,65,0.16,65,0.02,65,9,65,12,65,17.3,65
"09:45:00 15/12/2004",NA,NA,60,65,81,65,9.5,65,7,65,0.003,65,0.38,65,0.31,65,0.03,65,13,65,14,65,15,65
"09:45:00 23/01/2007",NA,NA,70,65,89,65,8,65,7.1,65,0.004,65,0.29,65,0.12,65,0.02,65,14,65,13,65,19.8,65
"09:50:00 16/11/2005",NA,NA,80,65,80,65,9.5,65,6.7,65,0.003,65,0.71,65,0.33,65,0.07,65,76,65,65,65,NA,NA
"09:50:00 20/08/1990",NA,NA,60,65,86,65,11.1,65,7.7,65,0.003,65,0.5,65,0.48,65,0.03,65,19,65,17,65,9,65
"09:53:00 03/08/2016",NA,NA,120,1,99.4,1,11.1,1,7.2,1,0.024,1,0.79,1,0.44,1,0.076,1,47,1,33.9,1,9.1,1
"09:53:00 11/12/2002",0.009,65,60,65,74,65,8.8,65,7,65,0.004,65,0.39,65,0.24,65,0.04,65,13,65,5,65,13.6,65
"09:55:00 15/12/2005",NA,NA,50,65,81,65,9.4,65,6.6,65,0.003,65,0.51,65,0.26,65,0.07,65,15,65,14,65,NA,NA
"09:56:00 08/03/1990",NA,NA,NA,NA,84,65,7,65,5.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,65,16,65
"09:57:00 12/04/1990",NA,NA,NA,NA,90,65,8.5,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,65,17,65
"10:00:00 08/10/2015",NA,NA,32,1,93,1,10,1,7.2,1,0.003,1,0.26,1,0.35,1,0.029,1,16,1,9.9,1,13.7,1
"10:00:00 09/07/1996",NA,NA,60,65,79,65,11.9,65,6.9,65,0.003,65,0.3,65,0.44,65,0.02,65,14,65,7.2,65,6.5,65
"10:00:00 15/11/1995",NA,NA,55,65,92,65,11,65,6.7,65,0.004,65,0.4,65,0.45,65,0.04,65,34,65,9.7,65,12.5,65
"10:00:00 18/03/2004",NA,NA,50,65,78,65,9.7,65,6.6,65,0.005,65,0.25,65,0.18,65,0.02,65,12,65,7.7,65,15.1,65
"10:00:00 25/11/2003",NA,NA,50,65,74,65,11,65,6.7,65,0.003,65,0.4,65,0.32,65,0.03,65,12,65,NA,NA,15,65
"10:03:00 14/04/2005",NA,NA,50,65,816,65,7.5,65,7.2,65,0.003,65,0.28,65,0.22,65,0.02,65,6,65,5.2,65,NA,NA
"10:04:00 19/05/2005",NA,NA,40,65,NA,NA,NA,NA,NA,NA,0.003,65,0.2,65,0.31,65,0.01,65,3,65,NA,NA,NA,NA
"10:05:00 09/02/2005",NA,NA,70,65,130,65,9.1,65,6.1,65,0.006,65,0.54,65,0.27,65,0.04,65,37,65,39,65,15.3,65
"10:05:00 15/02/1995",NA,NA,50,65,75,65,7.2,65,6.7,65,0.003,65,0.5,65,0.29,65,0.04,65,16,65,10,65,19.5,65
"10:05:00 16/11/2006",NA,NA,90,65,NA,NA,10.8,65,6.6,65,0.005,65,0.74,65,0.23,65,0.04,65,30,65,22,65,11.4,65
"10:07:00 15/01/1992",NA,NA,45,65,62,65,9.7,65,6.2,65,0.04,65,0.4,65,0.24,65,0.06,65,11,65,7.1,65,15.5,65
"10:08:00 22/10/1990",NA,NA,55,65,84,65,11,65,6.7,65,0.01,65,0.6,65,0.34,65,0.06,65,38,65,26,65,11,65
"10:10:00 08/02/2017",NA,NA,120,1,89,1,8.5,1,6.8,1,0.005,1,0.77,1,0.23,1,0.071,1,36,1,24.8,1,18.1,1
"10:10:00 14/09/2006",NA,NA,70,65,112,65,11.1,65,7,65,0.003,65,0.23,65,0.34,65,0.02,65,10,65,8.3,65,11.1,65
"10:10:00 17/03/2005",NA,NA,45,65,80,65,9.1,65,7.2,65,0.005,65,0.25,65,0.22,65,0.02,65,9,65,6.3,65,15.1,65
"10:10:00 17/09/1990",NA,NA,30,65,79,65,11.2,65,NA,180,0.003,65,0.3,65,0.44,65,0.02,65,16,65,12,65,10,65
"10:14:00 16/11/1994",NA,NA,35,65,61,65,8.4,65,6.6,65,0.005,65,0.6,65,0.35,65,0.07,65,22,65,12,65,12.5,65
"10:15:00 06/11/1991",NA,NA,90,65,61,65,10,65,6.3,65,0.004,65,0.7,65,0.27,65,0.19,65,32,65,20,65,13.5,65
"10:15:00 08/01/2019",NA,NA,48,1,82,1,8.2,1,7.2,1,0.004,1,0.2,1,0.076,1,0.029,1,9,1,5.4,1,20.3,1
"10:15:00 12/02/2004",NA,NA,50,65,100,65,10.6,65,6.7,65,0.007,65,0.31,65,0.18,65,0.03,65,18,65,15,65,17.4,65
"10:15:00 22/02/2007",NA,NA,70,65,88,65,7.7,65,6.2,65,0.003,65,0.26,65,0.06,65,0.01,65,7,65,NA,NA,24.1,65
"10:18:00 03/11/1993",NA,NA,55,65,61,65,10,65,6.9,65,0.006,65,0.5,65,0.36,65,0.08,65,34,65,28,65,11.5,65
"10:18:00 05/06/1990",NA,NA,NA,NA,92,65,10.9,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,65,10,65
"10:18:00 05/07/1990",NA,NA,NA,NA,110,65,11.3,65,5.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,65,8,65
"10:18:00 11/11/1992",NA,NA,75,65,66,65,10.6,65,6.5,65,0.02,65,0.6,65,0.29,65,0.07,65,36,65,22,65,10.5,65
"10:20:00 07/08/2003",0.005,65,60,65,91,65,11.5,65,7.1,65,0.007,65,0.38,65,0.48,65,0.03,65,14,65,NA,NA,8.7,65
"10:25:00 12/06/2003",0.006,65,60,65,100,65,10.1,65,7,65,0.003,65,0.28,65,0.26,65,0.03,65,7,65,NA,NA,8.5,65
"10:25:00 16/10/2003",NA,NA,70,65,110,65,9.9,65,6.6,65,0.003,65,0.43,65,0.39,65,0.03,65,14,65,NA,NA,11.6,65
"10:25:00 19/11/1990",NA,NA,40,65,68,65,10.2,65,6.7,65,0.02,65,0.4,65,0.31,65,0.04,65,19,65,6.6,65,13.5,65
"10:26:00 09/11/2017",NA,NA,40,1,86,1,10.2,1,6.5,1,0.004,1,0.3,1,0.29,1,0.027,1,13,1,6.3,1,13.1,1
"10:29:00 23/02/2016",NA,NA,40,1,92,1,9.4,1,7.2,1,0.005,1,0.35,1,0.16,1,0.03,1,12,1,8.9,1,18.5,1
"10:30:00 15/05/1991",NA,NA,45,65,95,65,10.6,65,7.1,65,0.005,65,0.3,65,0.23,65,0.02,65,5,65,3.1,65,10,65
"10:35:00 14/12/2006",NA,NA,45,65,89,65,8.6,65,6.7,65,0.003,65,0.2,65,0.02,65,0.005,65,5,65,5.6,65,20.5,65
"10:35:00 17/08/2006",NA,NA,50,65,107,65,9.9,65,7.1,65,0.004,65,0.26,65,0.36,65,0.008,65,6,65,5.8,65,9.5,65
"10:35:00 24/01/2006",NA,NA,80,65,88,65,6.8,65,7.2,65,0.003,65,0.73,65,0.12,65,0.06,65,10,65,16,65,NA,NA
"10:37:00 10/02/1992",NA,NA,30,65,80,65,8.5,65,6.7,65,0.03,65,0.3,65,0.2,65,0.06,65,6,65,3,65,17,65
"10:40:00 07/10/1996",NA,NA,90,65,92,65,6.4,65,6.7,65,0.003,65,0.27,65,0.44,65,0.04,65,28,65,20,65,11.5,65
"10:41:00 08/08/2018",NA,NA,48,1,94,1,10.2,1,6.8,1,0.004,1,0.25,1,0.33,1,0.02,1,6,1,5.7,1,8.4,1
"10:41:00 16/12/1991",NA,NA,45,65,NA,180,8.8,65,6.5,65,0.003,65,0.3,65,0.29,65,0.06,65,28,65,NA,180,16,65
"10:45:00 06/04/2004",NA,NA,50,65,82,65,7.7,65,6.9,65,0.004,65,0.28,65,0.18,65,0.02,65,7,65,3.2,65,15.6,65
"10:45:00 11/08/2004",NA,NA,50,65,100,65,11.8,65,6.9,65,0.005,65,0.38,65,0.38,65,0.03,65,10,65,11,65,9.2,65
"10:45:00 12/02/1997",NA,NA,75,65,83,65,8.8,65,7,65,0.006,65,0.09,65,0.27,65,0.05,65,17,65,3.7,65,18.7,65
"10:45:00 19/11/1996",NA,NA,90,65,92,65,10.3,65,6.9,65,0.003,65,0.54,65,0.35,65,0.07,65,55,65,230,65,11.8,65
"10:46:00 17/05/1990",NA,NA,NA,NA,84,65,11.2,65,6.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,65,10,65
"10:50:00 09/07/2003",0.002,65,55,65,100,65,10.1,65,7.1,65,0.008,65,0.32,65,0.34,65,0.02,65,7,65,NA,NA,7.6,65
"10:50:00 12/07/2017",NA,NA,60,1,102,1,12,1,6.8,1,0.006,1,0.28,1,0.31,1,0.021,1,9,1,9,1,6.1,1
"10:52:00 03/07/2008",NA,NA,75,65,97,65,9.1,65,6.9,65,0.003,65,0.39,65,0.29,65,0.03,65,18,65,20.2,65,8.8,65
"10:53:00 08/03/2017",NA,NA,50,1,82,1,8.8,1,7,1,0.006,1,0.35,1,0.13,1,0.033,1,9,1,7.9,1,18.1,1
"10:53:00 15/01/1991",NA,NA,60,65,75,65,8.2,65,6.2,65,0.03,65,0.4,65,0.21,65,0.06,65,11,65,5,65,19.5,65
"10:54:00 10/02/1993",NA,NA,55,65,74,65,8.7,65,6.2,65,0.03,65,0.3,65,0.26,65,0.11,65,19,65,12,65,16.5,65
"10:55:00 14/06/2006",NA,NA,40,65,99,65,12.6,65,7,65,0.003,65,0.22,65,0.33,65,0.01,65,7,65,6.8,65,7.4,65
"10:57:00 16/06/2005",NA,NA,55,65,87,65,10.2,65,7.5,65,0.008,65,0.29,65,0.32,65,0.02,65,10,65,8.3,65,NA,NA
"10:57:00 19/04/1995",NA,NA,70,65,120,65,11.2,65,7,65,0.02,65,0.5,65,0.26,65,0.07,65,24,65,5.7,65,11,65
"11:00:00 01/04/2019",NA,NA,50,1,86,1,9.83,1,7.08,1,0.003,1,0.56,1,0.086,1,0.026,1,50,1,26,1,14.1,1
"11:00:00 08/06/1992",NA,NA,40,65,77,65,10,65,6.7,65,0.003,65,0.4,65,0.26,65,0.06,65,28,65,14,65,9.5,65
"11:00:00 09/06/2004",NA,NA,50,65,99,65,10.9,65,7.2,65,0.005,65,0.22,65,0.31,65,0.01,65,4,65,4.4,65,8.1,65
"11:00:00 11/05/1995",NA,NA,45,65,250,65,11.8,65,6.1,65,0.003,65,0.2,65,0.33,65,0.02,65,10,65,4.7,65,11.5,65
"11:00:00 12/04/2010",NA,NA,47,1,139.7,1,9.3,1,7.2,1,0.002,1,0.11,1,0.179,1,0.022,1,10,1,11.1,1,13.8,1
"11:00:00 16/12/1992",NA,NA,60,65,72,65,8.5,65,6.7,65,0.02,65,0.4,65,0.29,65,0.07,65,19,65,13,65,15,65
"11:00:00 18/05/2006",NA,NA,70,65,102,65,10.9,65,6.9,65,0.003,65,0.23,65,0.24,65,0.03,65,8,65,5.8,65,10.8,65
"11:00:00 24/10/2006",NA,NA,45,65,NA,NA,10.7,65,6.6,65,0.006,65,0.25,65,0.23,65,0.01,65,3,65,4.4,65,15.7,65
"11:00:00 25/07/2006",NA,NA,50,65,113,65,11.3,65,6.7,65,0.007,65,0.36,65,0.37,65,0.02,65,8,65,7.5,65,8.1,65
"11:00:00 26/04/2006",NA,NA,80,65,95,65,11.6,65,6.3,65,0.003,65,0.34,65,0.25,65,0.02,65,6,65,6.8,65,10.5,65
"11:02:00 12/02/1991",NA,NA,50,65,210,65,8.7,65,6.6,65,0.01,65,0.3,65,0.2,65,0.04,65,9,65,5,65,19,65
"11:04:00 19/05/2005",NA,NA,NA,NA,85,65,9.6,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,65,NA,NA
"11:07:00 09/10/1991",NA,NA,45,65,63,65,10.6,65,6.6,65,0.02,65,0.4,65,0.4,65,0.04,65,18,65,12,65,12,65
"11:10:00 05/12/2018",NA,NA,100,1,96,1,9.5,1,7,1,0.003,1,0.36,1,0.18,1,0.024,1,19,1,10.7,1,15.6,1
"11:10:00 12/10/2005",NA,NA,70,65,915,65,13.9,65,7.2,65,0.003,65,0.37,65,0.36,65,0.02,65,14,65,15,65,NA,NA
"11:10:00 14/04/1992",NA,NA,40,65,74,65,11,65,6.6,65,0.03,65,0.2,65,0.22,65,0.05,65,9,65,3.5,65,13.5,65
"11:10:00 14/07/2005",NA,NA,55,65,103,65,NA,180,7,65,0.004,65,0.37,65,0.34,65,0.02,65,10,65,8.7,65,NA,NA
"11:10:00 15/09/2004",NA,NA,75,65,110,65,11.2,65,6.8,65,0.008,65,0.53,65,0.47,65,0.03,65,16,65,20,65,9.7,65
"11:10:00 15/09/2005",NA,NA,120,65,103,65,9.8,65,7.1,65,0.003,65,0.59,65,0.53,65,0.05,65,30,65,28,65,NA,NA
"11:11:00 11/08/1993",NA,NA,40,65,63,65,10.4,65,6.6,65,0.01,65,0.6,65,0.38,65,0.04,65,38,65,22,65,9,65
"11:12:00 11/05/1992",NA,NA,40,65,75,65,10.2,65,6.7,65,0.04,65,0.4,65,0.21,65,0.07,65,18,65,13,65,11,65
"11:15:00 07/01/2021",NA,NA,100,1,82.4,1,9.4,1,6.8,1,0.004,1,0.66,1,0.29,1,0.06,1,56,1,34.8,1,15.5,1
"11:15:00 12/05/2004",NA,NA,45,65,93,65,10.4,65,7.4,65,0.003,65,0.23,65,0.28,65,0.02,65,6,65,5.7,65,10,65
"11:17:00 15/07/1992",NA,NA,55,65,69,65,9.8,65,6.8,65,0.008,65,0.3,65,0.32,65,0.03,65,15,65,10,65,7.5,65
"11:18:00 11/03/1992",NA,NA,50,65,77,65,8.2,65,7.1,65,0.003,65,0.3,65,0.21,65,0.04,65,16,65,4.3,65,18.5,65
"11:20:00 09/08/2005",NA,NA,70,65,90,65,9.7,65,6.9,65,0.003,65,0.36,65,0.33,65,0.02,65,16,65,16,65,NA,NA
"11:20:00 09/10/2018",NA,NA,30,1,80.7,1,9.9,1,7,1,0.003,1,0.25,1,0.27,1,0.022,1,10,1,6.2,1,13.4,1
"11:20:00 10/07/1991",NA,NA,55,65,120,65,11.5,65,6.4,65,0.01,65,0.5,65,0.4,65,0.06,65,19,65,7.5,65,9,65
"11:20:00 14/10/1997",NA,NA,42,65,88,65,10.9,65,7,65,0.003,65,0.34,65,0.26,65,0.05,65,33,65,2.9,65,12.3,65
"11:20:00 19/02/2015",NA,NA,75,1,129,1,8.8,1,7.2,1,0.032,1,0.46,1,0.21,1,0.055,1,22,1,9.9,1,20.7,1
"11:22:00 11/08/1992",NA,NA,45,65,66,65,9.8,65,6.8,65,0.02,65,0.3,65,0.31,65,0.05,65,17,65,12,65,8,65
"11:22:00 12/05/1993",NA,NA,40,65,71,65,9.4,65,6.1,65,0.02,65,0.3,65,0.29,65,0.04,65,12,65,10,65,10,65
"11:24:00 09/03/1993",NA,NA,80,65,77,65,8.1,65,6,65,0.04,65,0.5,65,0.21,65,0.09,65,40,65,16,65,15.5,65
"11:24:00 15/04/1991",NA,NA,40,65,91,65,9.4,65,7.1,65,0.01,65,0.2,65,0.24,65,0.04,65,4,65,3.4,65,13.5,65
"11:25:00 13/10/1992",NA,NA,75,65,70,65,8.8,65,6.6,65,0.24,65,0.5,65,0.4,65,0.3,65,40,65,24,65,11.5,65
"11:25:00 14/07/2004",NA,NA,60,65,100,65,11.4,65,6.5,65,0.003,65,0.42,65,0.35,65,0.05,65,12,65,15,65,8.8,65
"11:25:00 14/09/1994",NA,NA,35,65,64,65,10.6,65,6.7,65,0.005,65,0.4,65,0.36,65,0.05,65,16,65,12,65,10.5,65
"11:25:00 15/04/2003",0.01,65,80,65,92,65,10.1,65,7.4,65,0.005,65,0.89,65,0.37,65,0.09,65,70,65,26,65,13.6,65
"11:25:00 15/09/1993",NA,NA,200,65,84,65,10.6,65,6.5,65,0.08,65,2.9,65,0.2,65,0.38,65,250,65,155,65,10.5,65
"11:28:00 13/07/1994",NA,NA,20,65,57,65,11.8,65,6.8,65,0.006,65,0.3,65,0.39,65,0.02,65,14,65,5.8,65,8,65
"11:28:00 13/10/1993",NA,NA,55,65,61,65,10.8,65,6.8,65,0.005,65,0.4,65,0.4,65,0.02,65,19,65,18,65,10,65
"11:30:00 01/02/2012",NA,NA,70,1,81,1,9,1,7.2,1,0.008,1,0.43,1,0.25,1,0.045,1,22,1,19.1,1,16.2,1
"11:30:00 02/06/2009",NA,NA,43,65,90,65,12.3,65,6.6,65,0.003,65,0.23,65,0.17,65,0.02,65,3,65,3.9,65,8.9,65
"11:30:00 06/09/1995",NA,NA,80,65,110,65,12,65,7.3,65,0.003,65,0.7,65,0.41,65,0.05,65,36,65,17,65,6,65
