"Date","AmmoniaasN","AmmoniaasN_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"10:50:00 15/07/1998",NA,NA,NA,NA,NA,NA,62,1,12.77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10:50:00 17/08/2006",NA,NA,20,65,66,65,NA,NA,NA,NA,12.1,65,7,65,0.003,65,0.12,65,0.01,65,0.005,65,1,65,0.9,65,9.8,65,NA,NA
"10:53:00 28/03/2006",NA,NA,10,65,110,65,NA,NA,NA,NA,10.2,65,7.4,65,0.003,65,0.14,65,0.01,65,0.01,65,2,65,1,65,20.5,65,NA,NA
"10:55:00 29/08/1989",NA,NA,NA,NA,68,65,NA,NA,NA,NA,11.3,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,65,8.5,65,NA,NA
"11:00:00 02/06/1982",NA,NA,NA,NA,100,65,NA,NA,NA,NA,11.4,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,65,10,65,NA,NA
"11:00:00 07/12/1981",NA,NA,NA,NA,71,65,NA,NA,NA,NA,NA,180,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,65,22,65,NA,NA
"11:00:00 08/05/2014",NA,NA,8,1,80,1,NA,NA,NA,NA,9.2,1,7.5,1,0.003,1,0.08,1,0.003,1,0.005,1,2,1,3.3,1,11.8,1,NA,NA
"11:00:00 09/12/2010",NA,NA,30,1,84,1,NA,NA,NA,NA,8.2,1,7.1,1,0.003,1,0.3,1,0.006,1,0.018,1,4,1,8.5,1,18.9,1,NA,NA
"11:00:00 14/05/2013",NA,NA,6,1,81,1,NA,NA,NA,NA,9.6,1,7.1,1,0.003,1,0.07,1,0.005,1,0.006,1,2,1,1,1,11.4,1,NA,NA
"11:00:00 20/07/1990",NA,NA,NA,NA,81,65,NA,NA,NA,NA,11.6,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,65,8,65,NA,NA
"11:00:00 26/06/1990",NA,NA,NA,NA,82,65,NA,NA,NA,NA,11.6,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,8.5,65,NA,NA
"11:10:00 04/05/1987",NA,NA,NA,NA,100,65,NA,NA,NA,NA,9.6,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,15,65,NA,NA
"11:15:00 01/03/1979",NA,NA,NA,NA,84,65,NA,NA,NA,NA,9.8,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,65,23.5,65,NA,NA
"11:15:00 03/05/1976",NA,NA,NA,NA,94,65,NA,NA,NA,NA,NA,180,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,13,65,NA,NA
"11:15:00 27/07/2006",NA,NA,35,65,78,65,NA,NA,NA,NA,11.6,65,7,65,0.006,65,0.17,65,0.08,65,0.005,65,1,65,1.7,65,9.5,65,NA,NA
"11:25:00 01/06/2006",NA,NA,35,65,72,65,NA,NA,NA,NA,11.1,65,7,65,0.003,65,0.16,65,0.009,65,0.005,65,1,65,1.2,65,10.6,65,NA,NA
"11:25:00 04/08/1986",NA,NA,NA,NA,87,65,NA,NA,NA,NA,11.6,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,65,9.5,65,NA,NA
"11:25:00 05/03/2007",NA,NA,70,65,158,65,NA,NA,NA,NA,8,65,7.1,65,0.01,65,0.96,65,0.36,65,0.09,65,36,65,72,65,22.4,65,NA,NA
"11:25:00 07/03/1985",NA,NA,NA,NA,120,65,NA,NA,NA,NA,8,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,65,20.5,65,NA,NA
"11:30:00 01/04/1976",NA,NA,NA,NA,94,65,NA,NA,NA,NA,NA,180,8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,18,65,NA,NA
"11:30:00 01/05/1984",NA,NA,NA,NA,84,65,NA,NA,NA,NA,NA,180,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,65,12,65,NA,NA
"11:30:00 02/02/1987",NA,NA,NA,NA,97,65,NA,NA,NA,NA,7.8,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,65,24.5,65,NA,NA
"11:30:00 03/06/1985",NA,NA,NA,NA,81,65,NA,NA,NA,NA,12,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,65,8,65,NA,NA
"11:30:00 21/01/2009",NA,NA,13,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,65,0.38,65,0.01,65,0.01,65,7,65,NA,NA,NA,NA,NA,NA
"11:30:00 22/01/2009",NA,NA,NA,NA,92,65,NA,NA,NA,NA,7.9,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,65,25.4,65,NA,NA
"11:35:00 01/03/1977",NA,NA,NA,NA,96,65,NA,NA,NA,NA,NA,180,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,65,19.5,65,NA,NA
"11:35:00 11/04/1989",NA,NA,NA,NA,85,65,NA,NA,NA,NA,9.4,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,65,17.5,65,NA,NA
"11:35:00 27/09/2006",NA,NA,25,65,64,65,NA,NA,NA,NA,10.4,65,6.6,65,0.003,65,0.12,65,0.009,65,0.005,65,1,65,0.5,65,NA,NA,NA,NA
"11:40:00 01/10/1976",NA,NA,NA,NA,60,65,NA,NA,NA,NA,9.9,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,65,13.5,65,NA,NA
"11:40:00 02/01/1980",NA,NA,NA,NA,130,65,NA,NA,NA,NA,8.8,65,8.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,65,25,65,NA,NA
"11:40:00 02/09/1986",NA,NA,NA,NA,71,65,NA,NA,NA,NA,10,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,65,13.5,65,NA,NA
"11:40:00 27/05/2010",NA,NA,1,1,77.8,1,NA,NA,NA,NA,9.8,1,7.5,1,0.003,1,0.04,1,0.007,1,0.009,1,1,1,1.3,1,13,1,NA,NA
"11:50:00 11/11/1985",NA,NA,NA,NA,67,65,NA,NA,NA,NA,10,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,65,16,65,NA,NA
"11:50:00 31/05/2007",NA,NA,NA,NA,103,65,NA,NA,NA,NA,11.2,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,65,10.7,65,NA,NA
"11:55:00 11/01/1990",NA,NA,NA,NA,84,65,NA,NA,NA,NA,7.8,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,25.5,65,NA,NA
"11:55:00 27/01/2011",NA,NA,12,1,74,1,NA,NA,NA,NA,8.6,1,7.7,1,0.003,1,0.16,1,0.006,1,0.007,1,2,1,2.7,1,24.4,1,NA,NA
"11:55:00 30/05/2007",NA,NA,20,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,65,0.15,65,0.01,65,0.01,65,1,65,NA,NA,NA,NA,NA,NA
"12:00:00 03/08/1981",NA,NA,NA,NA,71,65,NA,NA,NA,NA,12,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,65,7.5,65,NA,NA
"12:00:00 04/03/1983",NA,NA,NA,NA,140,65,NA,NA,NA,NA,7.3,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,27.5,65,NA,NA
"12:00:00 04/11/1987",NA,NA,NA,NA,75,65,NA,NA,NA,NA,9.2,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,65,20,65,NA,NA
"12:00:00 09/03/1990",NA,NA,NA,NA,79,65,NA,NA,NA,NA,8.8,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,65,22,65,NA,NA
"12:00:00 15/11/2012",NA,NA,10,1,79,1,NA,NA,NA,NA,8.6,1,7.7,1,0.003,1,0.11,1,0.003,1,0.008,1,2,1,1.1,1,20.7,1,NA,NA
"12:05:00 03/12/1987",NA,NA,NA,NA,92,65,NA,NA,NA,NA,10,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,65,14.5,65,NA,NA
"12:15:00 01/05/1980",NA,NA,NA,NA,110,65,NA,NA,NA,NA,9.9,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,65,14,65,NA,NA
"12:15:00 07/01/1987",NA,NA,NA,NA,76,65,NA,NA,NA,NA,NA,180,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,19,65,NA,NA
"12:20:00 02/12/1986",NA,NA,NA,NA,67,65,NA,NA,NA,NA,9,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,65,22,65,NA,NA
"12:20:00 09/02/1989",NA,NA,NA,NA,130,65,NA,NA,NA,NA,6.2,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,65,25,65,NA,NA
"12:25:00 06/12/1988",NA,NA,NA,NA,79,65,NA,NA,NA,NA,10,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,19,65,NA,NA
"12:30:00 01/11/1982",NA,NA,NA,NA,80,65,NA,NA,NA,NA,9.3,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,65,19,65,NA,NA
"12:30:00 01/12/1978",NA,NA,NA,NA,65,65,NA,NA,NA,NA,9,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,65,20,65,NA,NA
"12:30:00 02/03/1987",NA,NA,NA,NA,82,65,NA,NA,NA,NA,NA,180,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,18.5,65,NA,NA
"12:30:00 02/11/1979",NA,NA,NA,NA,74,65,NA,NA,NA,NA,8.3,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,65,18.5,65,NA,NA
"12:30:00 11/10/1984",NA,NA,NA,NA,21,65,NA,NA,NA,NA,NA,180,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,65,17,65,NA,NA
"12:30:00 15/03/1982",NA,NA,NA,NA,110,65,NA,NA,NA,NA,8.2,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,21,65,NA,NA
"12:30:00 17/03/1989",NA,NA,NA,NA,88,65,NA,NA,NA,NA,9,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,65,21,65,NA,NA
"12:30:00 17/11/1989",NA,NA,NA,NA,70,65,NA,NA,NA,NA,10.2,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,19,65,NA,NA
"12:30:00 21/02/1985",NA,NA,NA,NA,120,65,NA,NA,NA,NA,7.4,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,65,24,65,NA,NA
"12:40:00 22/11/2007",NA,NA,25,65,84,65,NA,NA,NA,NA,9.2,65,6.8,65,0.003,65,0.12,65,0.01,65,0.006,65,2,65,2,65,18.5,65,NA,NA
"12:45:00 01/10/1987",NA,NA,NA,NA,26,65,NA,NA,NA,NA,10,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,15,65,NA,NA
"12:45:00 04/10/1988",NA,NA,NA,NA,66,65,NA,NA,NA,NA,9.8,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,17,65,NA,NA
"12:45:00 09/09/1985",NA,NA,NA,NA,NA,180,NA,NA,NA,NA,10.4,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,13,65,NA,NA
"12:45:00 13/11/2013",NA,NA,35,1,58,1,NA,NA,NA,NA,9.9,1,7.3,1,0.003,1,0.22,1,0.2,1,0.012,1,7,1,8.8,1,15,1,NA,NA
"12:45:00 22/03/2011",NA,NA,14,1,72,1,NA,NA,NA,NA,8.9,1,7.4,1,0.003,1,0.16,1,0.008,1,0.006,1,2,1,3.5,1,22,1,NA,NA
"12:50:00 03/02/1986",NA,NA,NA,NA,92,65,NA,NA,NA,NA,8,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,65,23.5,65,NA,NA
"12:50:00 03/07/2007",NA,NA,25,65,93,65,NA,NA,NA,NA,10.3,65,6.6,65,0.003,65,0.12,65,0.74,65,0.02,65,18,65,13,65,10.5,65,NA,NA
"12:50:00 09/01/1986",NA,NA,NA,NA,79,65,NA,NA,NA,NA,NA,180,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,65,20,65,NA,NA
"12:55:00 14/12/1989",NA,NA,NA,NA,71,65,NA,NA,NA,NA,9,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,20,65,NA,NA
"13:00:00 01/03/1988",NA,NA,NA,NA,110,65,NA,NA,NA,NA,8.2,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,65,22,65,NA,NA
"13:00:00 01/08/1988",NA,NA,NA,NA,81,65,NA,NA,NA,NA,11.4,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,10.5,65,NA,NA
"13:00:00 01/12/1983",NA,NA,NA,NA,69,65,NA,NA,NA,NA,7.8,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,19.5,65,NA,NA
"13:00:00 02/04/1984",NA,NA,NA,NA,88,65,NA,NA,NA,NA,9.1,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,65,19,65,NA,NA
"13:00:00 02/06/1980",NA,NA,NA,NA,110,65,NA,NA,NA,NA,10.3,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,12,65,NA,NA
"13:00:00 02/06/1989",NA,NA,NA,NA,81,65,NA,NA,NA,NA,11,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,65,8,65,NA,NA
"13:00:00 02/07/1981",NA,NA,NA,NA,63,65,NA,NA,NA,NA,11.3,65,8.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,65,8,65,NA,NA
"13:00:00 03/12/1979",NA,NA,NA,NA,150,65,NA,NA,NA,NA,8.2,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,65,26,65,NA,NA
"13:00:00 04/11/1975",NA,NA,NA,NA,79,65,NA,NA,NA,NA,9,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,16,65,NA,NA
"13:00:00 15/02/1990",NA,NA,NA,NA,120,65,NA,NA,NA,NA,9.2,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,20,65,NA,NA
"13:00:00 16/02/1983",NA,NA,NA,NA,120,65,NA,NA,NA,NA,7.8,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,65,27.5,65,NA,NA
"13:00:00 25/02/1998",NA,NA,NA,NA,NA,NA,112,1,8.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,1,NA,NA,NA,NA,NA,NA,8.1,1
"13:01:00 25/02/1998",NA,NA,NA,NA,NA,NA,111,1,8.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,7.58,1
"13:05:00 03/10/1985",NA,NA,NA,NA,71,65,NA,NA,NA,NA,10.4,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,14,65,NA,NA
"13:10:00 01/12/1977",NA,NA,NA,NA,100,65,NA,NA,NA,NA,8.4,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,65,24.5,65,NA,NA
"13:10:00 02/03/1978",NA,NA,NA,NA,95,65,NA,NA,NA,NA,8.5,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,65,24.5,65,NA,NA
"13:10:00 02/06/1987",NA,NA,NA,NA,67,65,NA,NA,NA,NA,12,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,8,65,NA,NA
"13:10:00 02/11/1981",NA,NA,NA,NA,58,65,NA,NA,NA,NA,9,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,65,20,65,NA,NA
"13:10:00 04/02/1980",NA,NA,NA,NA,83,65,NA,NA,NA,NA,8.2,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,23.5,65,NA,NA
"13:10:00 06/01/1981",NA,NA,NA,NA,79,65,NA,NA,NA,NA,7.7,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,24.5,65,NA,NA
"13:10:00 07/10/1981",NA,NA,NA,NA,56,65,NA,NA,NA,NA,9.1,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,65,18,65,NA,NA
"13:15:00 01/05/1985",NA,NA,NA,NA,75,65,NA,NA,NA,NA,10.6,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,65,NA,180,NA,NA
"13:15:00 06/04/1990",NA,NA,NA,NA,86,65,NA,NA,NA,NA,8.6,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,65,19.5,65,NA,NA
"13:15:00 11/02/2009",NA,NA,32,65,112,65,NA,NA,NA,NA,8.2,65,6.5,65,0.003,65,0.3,65,0.02,65,0.02,65,2,65,2.7,65,19.2,65,NA,NA
"13:15:00 13/10/2008",NA,NA,10,65,62,65,NA,NA,NA,NA,8.4,65,6.4,65,0.003,65,0.13,65,0.01,65,0.008,65,2,65,2.2,65,20.4,65,NA,NA
"13:15:00 16/05/1989",NA,NA,NA,NA,75,65,NA,NA,NA,NA,10.6,65,8.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,13.5,65,NA,NA
"13:15:00 27/08/2007",NA,NA,16,65,82,65,NA,NA,NA,NA,9.7,65,7.1,65,0.05,65,0.12,65,0.02,65,0.01,65,2,65,0.7,65,13.6,65,NA,NA
"13:20:00 02/11/1978",NA,NA,NA,NA,73,65,NA,NA,NA,NA,10,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,18,65,NA,NA
"13:20:00 07/01/1982",NA,NA,NA,NA,53,65,NA,NA,NA,NA,8.2,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,65,23,65,NA,NA
"13:20:00 10/03/2009",NA,NA,11,65,106,65,NA,NA,NA,NA,8.9,65,8,65,0.003,65,0.18,65,0.009,65,0.01,65,2,65,1.8,65,24,65,NA,NA
"13:20:00 12/04/1988",NA,NA,NA,NA,98,65,NA,NA,NA,NA,10.2,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,65,17,65,NA,NA
"13:20:00 15/08/1984",NA,NA,NA,NA,69,65,NA,NA,NA,NA,10,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,65,10,65,NA,NA
"13:25:00 01/07/1985",NA,NA,NA,NA,74,65,NA,NA,NA,NA,11,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,65,9,65,NA,NA
"13:25:00 05/08/1987",NA,NA,NA,NA,71,65,NA,NA,NA,NA,11.2,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,65,8,65,NA,NA
"13:25:00 05/11/1986",NA,NA,NA,NA,69,65,NA,NA,NA,NA,8.8,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,65,23,65,NA,NA
"13:30:00 01/08/1979",NA,NA,NA,NA,92,65,NA,NA,NA,NA,9,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,65,9,65,NA,NA
"13:30:00 01/09/1981",NA,NA,NA,NA,66,65,NA,NA,NA,NA,10.8,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,65,10,65,NA,NA
"13:30:00 02/04/1980",NA,NA,NA,NA,120,65,NA,NA,NA,NA,9.4,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,65,17.5,65,NA,NA
"13:30:00 04/05/1981",NA,NA,NA,NA,130,65,NA,NA,NA,NA,9.8,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,65,14,65,NA,NA
"13:30:00 07/01/1985",NA,NA,NA,NA,81,65,NA,NA,NA,NA,7.8,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,25.5,65,NA,NA
"13:30:00 07/04/1982",NA,NA,NA,NA,79,65,NA,NA,NA,NA,9.2,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,18,65,NA,NA
"13:30:00 08/11/1984",NA,NA,NA,NA,75,65,NA,NA,NA,NA,NA,180,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,65,20,65,NA,NA
"13:30:00 19/06/1984",NA,NA,NA,NA,88,65,NA,NA,NA,NA,9.6,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,65,9,65,NA,NA
"13:30:00 20/12/2011",NA,NA,12,1,78,1,NA,NA,NA,NA,8.8,1,7.4,1,0.003,1,0.13,1,0.014,1,0.006,1,2,1,2.2,1,21.9,1,NA,NA
"13:30:00 28/03/2012",NA,NA,14,1,73,1,NA,NA,NA,NA,8.9,1,7.5,1,0.003,1,0.12,1,0.003,1,0.005,1,2,1,1.3,1,18.9,1,NA,NA
"13:35:00 02/02/1982",NA,NA,NA,NA,81,65,NA,NA,NA,NA,8.2,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,65,23.5,65,NA,NA
"13:40:00 01/02/1978",NA,NA,NA,NA,110,65,NA,NA,NA,NA,NA,180,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,65,22,65,NA,NA
"13:40:00 01/10/1979",NA,NA,NA,NA,87,65,NA,NA,NA,NA,9.3,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,16,65,NA,NA
"13:40:00 02/07/1979",NA,NA,NA,NA,91,65,NA,NA,NA,NA,11.9,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,65,9,65,NA,NA
"13:40:00 03/05/1982",NA,NA,NA,NA,80,65,NA,NA,NA,NA,10.2,65,7.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,13,65,NA,NA
"13:40:00 04/04/1986",NA,NA,NA,NA,110,65,NA,NA,NA,NA,8.6,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,65,21,65,NA,NA
"13:40:00 05/09/1984",NA,NA,NA,NA,58,65,NA,NA,NA,NA,10.2,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,65,10.5,65,NA,NA
"13:42:00 23/08/2012",NA,NA,12,1,68,1,NA,NA,NA,NA,12.3,1,7.2,1,0.003,1,0.08,1,0.003,1,0.005,1,2,1,1.1,1,11.7,1,NA,NA
"13:45:00 01/02/1979",NA,NA,NA,NA,90,65,NA,NA,NA,NA,8.5,65,8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,29,65,NA,NA
"13:45:00 01/04/1981",NA,NA,NA,NA,98,65,NA,NA,NA,NA,9.2,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,22,65,NA,NA
"13:45:00 01/07/1980",NA,NA,NA,NA,96,65,NA,NA,NA,NA,11.6,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,65,8,65,NA,NA
"13:45:00 02/02/1981",NA,NA,NA,NA,95,65,NA,NA,NA,NA,8.4,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,25,65,NA,NA
"13:45:00 02/05/1983",NA,NA,NA,NA,99,65,NA,NA,NA,NA,9.5,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,16.5,65,NA,NA
"13:45:00 02/09/1987",NA,NA,NA,NA,55,65,NA,NA,NA,NA,11.8,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,65,11,65,NA,NA
"13:45:00 04/01/1978",NA,NA,NA,NA,150,65,NA,NA,NA,NA,7.6,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,20,65,NA,NA
"13:50:00 03/09/1979",NA,NA,NA,NA,72,65,NA,NA,NA,NA,11,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,10.5,65,NA,NA
"13:50:00 04/10/1983",NA,NA,NA,NA,66,65,NA,NA,NA,NA,11.4,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,65,13,65,NA,NA
"13:50:00 06/06/1983",NA,NA,NA,NA,78,65,NA,NA,NA,NA,10.8,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,7,65,NA,NA
"13:52:00 02/03/1981",NA,NA,NA,NA,210,65,NA,NA,NA,NA,8,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,65,24,65,NA,NA
"14:00:00 01/05/1979",NA,NA,NA,NA,71,65,NA,NA,NA,NA,10.9,65,7.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,65,15.5,65,NA,NA
"14:00:00 01/08/1978",NA,NA,NA,NA,92,65,NA,NA,NA,NA,12.8,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,65,7.5,65,NA,NA
"14:00:00 01/10/1980",NA,NA,NA,NA,65,65,NA,NA,NA,NA,9.5,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,65,20,65,NA,NA
"14:00:00 01/12/1980",NA,NA,NA,NA,83,65,NA,NA,NA,NA,8.4,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,25,65,NA,NA
"14:00:00 02/09/1980",NA,NA,NA,NA,67,65,NA,NA,NA,NA,10.8,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,65,13,65,NA,NA
"14:00:00 13/05/1988",NA,NA,NA,NA,100,65,NA,NA,NA,NA,10.8,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,65,13,65,NA,NA
