"Date","AmmoniaasN","AmmoniaasN_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"08:57:00 09/11/2006",NA,NA,9,65,NA,NA,NA,NA,NA,NA,9.5,65,7.8,65,0.003,65,0.13,65,0.02,65,0.008,65,1,65,1.6,65,16.6,65,NA,NA
"09:00:00 03/04/2014",NA,NA,8,1,92,1,NA,NA,NA,NA,8.2,1,7.5,1,0.003,1,0.12,1,0.022,1,0.018,1,2,1,1.7,1,19.4,1,NA,NA
"09:00:00 04/02/2008",NA,NA,NA,NA,85,65,NA,NA,NA,NA,7,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,65,23.6,65,NA,NA
"09:00:00 05/02/2008",NA,NA,30,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,65,0.05,65,0.01,65,0.009,65,2,65,NA,NA,NA,NA,NA,NA
"09:00:00 10/02/2014",NA,NA,8,1,88,1,NA,NA,NA,NA,7.9,1,7.5,1,0.003,1,0.13,1,0.009,1,0.007,1,2,1,1.2,1,22.3,1,NA,NA
"09:00:00 11/11/2010",NA,NA,14,1,59,1,NA,NA,NA,NA,8.5,1,7.2,1,0.003,1,0.11,1,0.004,1,0.007,1,2,1,1.8,1,20.9,1,NA,NA
"09:00:00 13/10/2010",NA,NA,12,1,75,1,NA,NA,NA,NA,8.5,1,7.2,1,0.003,1,0.12,1,0.01,1,0.012,1,5,1,1.5,1,18.5,1,NA,NA
"09:00:00 22/11/2011",NA,NA,35,1,93,1,NA,NA,NA,NA,8.9,1,7.4,1,0.003,1,0.18,1,0.003,1,0.009,1,4,1,3,1,18.5,1,NA,NA
"09:00:00 23/02/2011",NA,NA,14,1,75,1,NA,NA,NA,NA,8.3,1,7,1,0.003,1,0.16,1,0.003,1,0.012,1,2,1,2.4,1,19.4,1,NA,NA
"09:00:00 23/02/2012",NA,NA,14,1,98,1,NA,NA,NA,NA,8.1,1,7.4,1,0.005,1,0.12,1,0.011,1,0.005,1,2,1,1.1,1,17.9,1,NA,NA
"09:00:00 24/11/2005",NA,NA,20,65,65,65,NA,NA,NA,NA,9.8,65,7.2,65,0.003,65,0.14,65,0.01,65,0.007,65,2,65,1.9,65,NA,NA,NA,NA
"09:00:00 26/11/2009",NA,NA,15,1,72.5,1,NA,NA,NA,NA,8.2,1,7,1,0.001,1,0.08,1,0.017,1,0.005,1,1,1,1.2,1,22.5,1,NA,NA
"09:00:00 27/07/2010",NA,NA,8,1,71,1,NA,NA,NA,NA,10.5,1,7.3,1,0.003,1,0.07,1,0.003,1,0.005,1,2,1,0.8,1,6.5,1,NA,NA
"09:00:00 28/04/2011",NA,NA,12,1,97,1,NA,NA,NA,NA,9.9,1,7.5,1,0.003,1,0.08,1,0.005,1,0.005,1,2,1,1.8,1,12.6,1,NA,NA
"09:05:00 23/03/2010",NA,NA,15,1,66.5,1,NA,NA,NA,NA,9.3,1,7,1,0.004,1,0.13,1,0.032,1,0.005,1,1,1,2.3,1,19.1,1,NA,NA
"09:07:00 21/02/2007",NA,NA,45,65,199,65,NA,NA,NA,NA,6.7,65,7.4,65,0.003,65,0.51,65,0.01,65,0.02,65,8,65,NA,NA,24.9,65,NA,NA
"09:10:00 07/01/2010",NA,NA,10,1,89.6,1,NA,NA,NA,NA,7.8,1,7.5,1,0.001,1,0.12,1,0.014,1,0.008,1,3,1,1.8,1,22.9,1,NA,NA
"09:10:00 17/11/2008",NA,NA,2,65,83,65,NA,NA,NA,NA,8.5,65,7.2,65,0.003,65,0.19,65,0.02,65,0.009,65,2,65,1.8,65,19.2,65,NA,NA
