"Date","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual"
"12:40:00 18/03/2019",NA,NA,NA,NA,NA,NA,12,1,108,1,NA,NA,8.33,1,7.45,1,0.003,1,0.24,1,NA,NA,NA,NA,NA,NA,0.003,1,0.005,1,2,1,2.1,1,18.2,1,NA,NA
"12:40:00 26/02/2008",NA,NA,NA,NA,NA,NA,25,65,73,65,NA,NA,9.5,65,7.5,65,0.003,65,0.15,65,NA,NA,NA,NA,NA,NA,0.04,65,0.005,65,2,65,3.5,65,18.5,65,NA,NA
"12:45:00 26/10/2015",NA,NA,NA,NA,NA,NA,8,1,73,1,NA,NA,10,1,7.3,1,0.003,1,0.07,1,NA,NA,NA,NA,NA,NA,0.003,1,0.006,1,2,1,2.7,1,17,1,NA,NA
"12:55:00 30/08/2007",NA,NA,NA,NA,NA,NA,20,65,66,65,NA,NA,11.5,65,7,65,0.003,65,0.09,65,NA,NA,NA,NA,NA,NA,0.02,65,0.005,65,2,65,2.9,65,10.7,65,NA,NA
"13:00:00 18/03/2009",NA,NA,NA,NA,NA,NA,25,65,72,65,NA,NA,8.6,65,7.3,65,0.003,65,0.14,65,NA,NA,NA,NA,NA,NA,0.01,65,0.009,65,2,65,3.7,65,16.5,65,NA,NA
"13:00:00 20/12/2011",NA,NA,NA,NA,NA,NA,12,1,68,1,NA,NA,8.7,1,7.4,1,0.003,1,0.09,1,NA,NA,NA,NA,NA,NA,0.02,1,0.005,1,2,1,2.3,1,20,1,NA,NA
"13:00:00 22/07/2013",NA,NA,NA,NA,NA,NA,34,1,70,1,NA,NA,9.6,1,7.2,1,0.003,1,0.11,1,NA,NA,NA,NA,NA,NA,0.3,1,0.019,1,8,1,16.3,1,8,1,NA,NA
"13:10:00 13/03/2007",NA,NA,NA,NA,NA,NA,80,65,144,65,NA,NA,8.1,65,7.3,65,NA,NA,0.42,65,NA,NA,NA,NA,NA,NA,0.1,65,0.04,65,4,65,9.1,65,20,65,NA,NA
"13:10:00 16/03/2015",NA,NA,NA,NA,NA,NA,8,1,91,1,NA,NA,10.1,1,7.4,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.007,1,0.005,1,2,1,2.2,1,18.5,1,NA,NA
"13:10:00 19/06/2008",NA,NA,NA,NA,NA,NA,11,65,78,65,NA,NA,11,65,7,65,0.003,65,0.08,65,NA,NA,NA,NA,NA,NA,0.03,65,0.005,65,2,65,2.3,65,8,65,NA,NA
"13:15:00 03/06/1992",NA,NA,NA,NA,NA,NA,10,65,69,65,NA,NA,11,65,7.2,65,NA,NA,0.1,65,NA,NA,NA,NA,NA,NA,0.004,65,0.01,65,8,65,8.4,65,7,65,NA,NA
"13:15:00 13/10/2020",NA,NA,NA,NA,NA,NA,18,1,54,1,NA,NA,10.39,1,7.28,1,0.003,1,0.04,1,NA,NA,NA,NA,NA,NA,0.034,1,0.006,1,2,1,5.7,1,13.2,1,NA,NA
"13:15:00 18/01/2011",NA,NA,NA,NA,NA,NA,16,1,85,1,NA,NA,8.7,1,7.4,1,0.003,1,0.12,1,NA,NA,NA,NA,NA,NA,0.014,1,0.01,1,2,1,3,1,21.5,1,NA,NA
"13:15:00 19/10/2010",NA,NA,NA,NA,NA,NA,35,1,69,1,NA,NA,10.1,1,7.2,1,0.003,1,0.13,1,NA,NA,NA,NA,NA,NA,0.048,1,0.019,1,2,1,9.1,1,12,1,NA,NA
"13:20:00 10/03/2020",NA,NA,NA,NA,NA,NA,12,1,78,1,NA,NA,9.18,1,7.06,1,0.003,1,0.09,1,NA,NA,NA,NA,NA,NA,0.003,1,0.011,1,2,1,1.7,1,18.3,1,NA,NA
"13:25:00 09/03/2010",NA,NA,NA,NA,NA,NA,50,1,75,1,NA,NA,9.9,1,6.9,1,0.004,1,0.15,1,NA,NA,NA,NA,NA,NA,0.004,1,0.013,1,6,1,15.6,1,18,1,NA,NA
"13:30:00 11/08/2020",NA,NA,NA,NA,NA,NA,30,1,66,1,NA,NA,11.57,1,7.27,1,0.004,1,0.09,1,NA,NA,NA,NA,NA,NA,0.067,1,0.008,1,3,1,9.9,1,8.3,1,NA,NA
"13:30:00 13/11/2007",NA,NA,NA,NA,NA,NA,20,65,NA,NA,NA,NA,NA,NA,NA,NA,0.003,65,0.11,65,NA,NA,NA,NA,NA,NA,0.22,65,0.01,65,5,65,NA,NA,NA,NA,NA,NA
"13:30:00 15/12/2014",NA,NA,NA,NA,NA,NA,12,1,75,1,NA,NA,9.1,1,7.2,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.009,1,0.006,1,2,1,3,1,23,1,NA,NA
"13:30:00 20/01/2015",NA,NA,NA,NA,NA,NA,10,1,85,1,NA,NA,9.5,1,7.4,1,0.003,1,0.09,1,NA,NA,NA,NA,NA,NA,0.005,1,0.015,1,2,1,2.8,1,21,1,NA,NA
"13:30:00 20/03/2012",NA,NA,NA,NA,NA,NA,16,1,69,1,NA,NA,9.8,1,7.2,1,0.003,1,0.12,1,NA,NA,NA,NA,NA,NA,0.065,1,0.006,1,2,1,3,1,16.5,1,NA,NA
"13:30:00 21/01/2019",NA,NA,NA,NA,NA,NA,10,1,95,1,NA,NA,7.23,1,8.91,1,0.003,1,0.17,1,NA,NA,NA,NA,NA,NA,0.003,1,0.005,1,2,1,1.3,1,28.5,1,NA,NA
"13:35:00 11/12/2007",NA,NA,NA,NA,NA,NA,27,65,76,65,NA,NA,8.6,65,7.2,65,0.003,65,0.13,65,NA,NA,NA,NA,NA,NA,0.01,65,0.006,65,6,65,6.6,65,19,65,NA,NA
"13:40:00 07/08/1997",NA,NA,NA,NA,NA,NA,10,65,63,65,NA,NA,12.2,65,7.7,65,0.004,65,0.11,65,NA,NA,NA,NA,NA,NA,0.005,65,0.006,65,2,65,1.5,65,6.5,65,NA,NA
"13:40:00 11/12/2012",NA,NA,NA,NA,NA,NA,16,1,75,1,NA,NA,9,1,7.2,1,0.003,1,0.13,1,NA,NA,NA,NA,NA,NA,0.017,1,0.009,1,2,1,2.5,1,22,1,NA,NA
"13:40:00 17/01/2012",NA,NA,NA,NA,NA,NA,12,1,73,1,NA,NA,8.6,1,7.4,1,0.004,1,0.1,1,NA,NA,NA,NA,NA,NA,0.018,1,0.005,1,2,1,2.8,1,23.5,1,NA,NA
"13:40:00 18/08/2014",NA,NA,NA,NA,NA,NA,16,1,58,1,NA,NA,12.3,1,6.8,1,0.003,1,0.07,1,NA,NA,NA,NA,NA,NA,0.093,1,0.005,1,4,1,6.7,1,8.5,1,NA,NA
"13:40:00 19/01/2016",NA,NA,NA,NA,NA,NA,10,1,93,1,NA,NA,8.3,1,7.8,1,0.004,1,0.09,1,NA,NA,NA,NA,NA,NA,0.005,1,0.005,1,3,1,3,1,25.5,1,NA,NA
"13:40:00 20/07/2015",NA,NA,NA,NA,NA,NA,18,1,65,1,NA,NA,12.8,1,6.9,1,0.003,1,0.06,1,NA,NA,NA,NA,NA,NA,0.13,1,0.005,1,2,1,6.4,1,5,1,NA,NA
"13:45:00 05/07/1993",NA,NA,NA,NA,NA,NA,5,65,64,65,NA,NA,11.6,65,7.4,65,0.003,65,0.2,65,NA,NA,NA,NA,NA,NA,0.009,65,0.005,65,1,65,2.2,65,6.5,65,NA,NA
"13:45:00 14/05/2007",NA,NA,NA,NA,NA,NA,40,65,101,65,NA,NA,10,65,7.4,65,0.003,65,0.14,65,NA,NA,NA,NA,NA,NA,0.14,65,0.03,65,6,65,7.1,65,10.5,65,NA,NA
"13:45:00 18/11/2019",NA,NA,NA,NA,NA,NA,NA,NA,63,1,NA,NA,9.18,1,7.43,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1,19,1,NA,NA
"13:45:00 19/11/2014",0.002,1,2e-04,1,0.001,1,8,1,77,1,0.001,1,9.2,1,7.4,1,0.003,1,0.07,1,0.001,1,1e-04,1,0.001,1,0.005,1,0.005,1,2,1,4.5,1,21,1,0.002,1
"13:45:00 19/11/2019",NA,NA,NA,NA,NA,NA,12,1,NA,NA,NA,NA,NA,NA,NA,NA,0.003,1,0.09,1,NA,NA,NA,NA,NA,NA,0.003,1,0.005,1,2,1,NA,NA,NA,NA,NA,NA
"13:50:00 16/10/2007",NA,NA,NA,NA,NA,NA,17,65,67,65,NA,NA,10.3,65,6.9,65,0.003,65,0.06,65,NA,NA,NA,NA,NA,NA,0.05,65,0.005,65,2,65,1.8,65,14,65,NA,NA
"13:50:00 22/02/2017",NA,NA,NA,NA,NA,NA,6,1,88,1,NA,NA,9.8,1,7.3,1,0.003,1,0.07,1,NA,NA,NA,NA,NA,NA,0.008,1,0.005,1,2,1,1.9,1,20.5,1,NA,NA
"13:55:00 14/10/2008",NA,NA,NA,NA,NA,NA,13,65,64,65,NA,NA,10,65,7.4,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.05,65,0.005,65,2,65,2.4,65,15.5,65,NA,NA
"13:55:00 17/08/2010",NA,NA,NA,NA,NA,NA,16,1,62,1,NA,NA,11,1,7.2,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.17,1,0.005,1,2,1,5.8,1,8,1,NA,NA
"14:00:00 04/06/1996",NA,NA,NA,NA,NA,NA,13,65,72,65,NA,NA,12.8,65,7.2,65,0.003,65,0.09,65,NA,NA,NA,NA,NA,NA,0.004,65,0.006,65,3,65,2.5,65,8.5,65,NA,NA
"14:00:00 11/02/2020",NA,NA,NA,NA,NA,NA,30,1,101,1,NA,NA,8.44,1,7.27,1,0.003,1,0.16,1,NA,NA,NA,NA,NA,NA,0.005,1,0.008,1,2,1,3.1,1,21.1,1,NA,NA
"14:00:00 11/12/2017",NA,NA,NA,NA,NA,NA,16,1,58,1,NA,NA,8.5,1,7.3,1,0.005,1,0.1,1,NA,NA,NA,NA,NA,NA,0.003,1,0.007,1,2,1,3.2,1,21.5,1,NA,NA
"14:00:00 15/02/2016",NA,NA,NA,NA,NA,NA,12,1,90,1,NA,NA,9,1,7.4,1,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.009,1,0.005,1,2,1,2.9,1,23,1,NA,NA
"14:00:00 18/06/2018",NA,NA,NA,NA,NA,NA,32,1,50,1,NA,NA,11.5,1,7.2,1,0.003,1,0.16,1,NA,NA,NA,NA,NA,NA,0.004,1,0.019,1,7,1,22,1,8,1,NA,NA
"14:00:00 19/03/2014",NA,NA,NA,NA,NA,NA,10,1,94,1,NA,NA,9.4,1,7.4,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.011,1,0.005,1,2,1,2.7,1,18.5,1,NA,NA
"14:00:00 20/07/2010",NA,NA,NA,NA,NA,NA,12,1,59,1,NA,NA,11.8,1,7.1,1,0.003,1,0.07,1,NA,NA,NA,NA,NA,NA,0.099,1,0.005,1,2,1,2.3,1,6,1,NA,NA
"14:00:00 20/10/2014",NA,NA,NA,NA,NA,NA,8,1,71,1,NA,NA,9.6,1,7,1,0.003,1,0.07,1,NA,NA,NA,NA,NA,NA,0.006,1,0.005,1,2,1,3.2,1,17,1,NA,NA
"14:00:00 21/02/2012",NA,NA,NA,NA,NA,NA,16,1,75,1,NA,NA,8.7,1,7,1,0.004,1,0.09,1,NA,NA,NA,NA,NA,NA,0.019,1,0.005,1,2,1,1.4,1,20.2,1,NA,NA
"14:00:00 24/02/2014",NA,NA,NA,NA,NA,NA,8,1,92,1,NA,NA,8.5,1,7,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.017,1,0.013,1,2,1,2.6,1,21,1,NA,NA
"14:05:00 14/10/2019",NA,NA,NA,NA,NA,NA,10,1,66,1,NA,NA,10.04,1,7.4,1,0.003,1,0.06,1,NA,NA,NA,NA,NA,NA,0.003,1,0.005,1,2,1,1.1,1,14.9,1,NA,NA
"14:10:00 10/12/2019",NA,NA,NA,NA,NA,NA,8,1,69,1,NA,NA,8.29,1,7.42,1,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.004,1,0.005,1,2,1,1.7,1,23.2,1,NA,NA
"14:10:00 16/04/2013",NA,NA,NA,NA,NA,NA,16,1,111,1,NA,NA,9.9,1,7.1,1,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.01,1,0.006,1,2,1,2.4,1,15.5,1,NA,NA
"14:10:00 17/02/2009",NA,NA,NA,NA,NA,NA,19,65,104,65,NA,NA,8.8,65,7.5,65,0.003,65,0.13,65,NA,NA,NA,NA,NA,NA,0.01,65,0.01,65,2,65,2.2,65,22,65,NA,NA
"14:10:00 21/01/2014",NA,NA,NA,NA,NA,NA,12,1,90,1,NA,NA,8.5,1,7.5,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.025,1,0.009,1,2,1,2.3,1,23.5,1,NA,NA
"14:15:00 10/04/2007",NA,NA,NA,NA,NA,NA,NA,NA,107,65,NA,NA,10.2,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,65,15,65,NA,NA
"14:15:00 11/04/2007",NA,NA,NA,NA,NA,NA,70,65,NA,NA,NA,NA,NA,NA,NA,NA,0.006,65,0.33,65,NA,NA,NA,NA,NA,NA,0.04,65,0.03,65,6,65,NA,NA,NA,NA,NA,NA
"14:15:00 16/02/2015",NA,NA,NA,NA,NA,NA,2,1,85,1,NA,NA,9.2,1,7.4,1,0.003,1,0.01,1,NA,NA,NA,NA,NA,NA,0.004,1,0.005,1,2,1,2.4,1,24,1,NA,NA
"14:15:00 16/12/2020",NA,NA,NA,NA,NA,NA,14,1,80,1,NA,NA,8.4,1,7.49,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.012,1,0.006,1,2,1,1.8,1,21.4,1,NA,NA
"14:15:00 19/01/2021",NA,NA,NA,NA,NA,NA,NA,NA,83,1,NA,NA,9.27,1,7.53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,1,20.8,1,NA,NA
"14:15:00 25/09/2012",NA,NA,NA,NA,NA,NA,10,1,62,1,NA,NA,9.8,1,7.3,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.037,1,0.005,1,2,1,2.9,1,12,1,NA,NA
"14:15:00 25/10/2011",NA,NA,NA,NA,NA,NA,NA,180,67,1,NA,NA,9.9,1,7.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,1,15,1,NA,NA
"14:20:00 14/12/2015",NA,NA,NA,NA,NA,NA,10,1,90,1,NA,NA,8.2,1,7.4,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.012,1,0.005,1,2,1,2.2,1,23.5,1,NA,NA
"14:20:00 15/04/2019",NA,NA,NA,NA,NA,NA,6,1,98,1,NA,NA,10.2,1,7.53,1,0.003,1,0.06,1,NA,NA,NA,NA,NA,NA,0.003,1,0.005,1,2,1,0.5,1,15.9,1,NA,NA
"14:20:00 15/09/2009",NA,NA,NA,NA,NA,NA,15,1,56,1,NA,NA,10.8,1,7.1,1,0.001,1,0.13,1,NA,NA,NA,NA,NA,NA,0.128,1,0.008,1,1,1,2.1,1,11,1,NA,NA
"14:20:00 22/01/2008",NA,NA,NA,NA,NA,NA,35,65,85,65,NA,NA,9.1,65,7.6,65,0.003,65,0.15,65,NA,NA,NA,NA,NA,NA,0.16,65,0.01,65,4,65,4.5,65,19.5,65,NA,NA
"14:25:00 08/01/2018",NA,NA,NA,NA,NA,NA,16,1,70,1,NA,NA,8.6,1,7.5,1,0.003,1,0.09,1,NA,NA,NA,NA,NA,NA,0.014,1,0.007,1,2,1,2.7,1,23.5,1,NA,NA
"14:30:00 12/12/2016",NA,NA,NA,NA,NA,NA,16,1,65,1,NA,NA,8.9,1,7.3,1,0.003,1,0.06,1,NA,NA,NA,NA,NA,NA,0.011,1,0.005,1,2,1,2.8,1,23,1,NA,NA
"14:30:00 14/12/2010",NA,NA,NA,NA,NA,NA,16,1,63,1,NA,NA,9.2,1,6.9,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.031,1,0.027,1,2,1,2.1,1,20,1,NA,NA
"14:30:00 15/10/2012",NA,NA,NA,NA,NA,NA,12,1,62,1,NA,NA,10,1,7.2,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.053,1,0.007,1,2,1,5,1,13,1,NA,NA
"14:30:00 16/01/2017",NA,NA,NA,NA,NA,NA,14,1,79,1,NA,NA,8,1,7.3,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.011,1,0.006,1,4,1,3.2,1,24.5,1,NA,NA
"14:30:00 16/10/2017",NA,NA,NA,NA,NA,NA,16,1,63,1,NA,NA,10,1,7,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.008,1,0.005,1,2,1,3.4,1,18,1,NA,NA
"14:30:00 16/12/2013",NA,NA,NA,NA,NA,NA,10,1,73,1,NA,NA,8.5,1,7.6,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.044,1,0.01,1,2,1,3.4,1,23,1,NA,NA
"14:30:00 17/11/2020",NA,NA,NA,NA,NA,NA,12,1,67,1,NA,NA,9.14,1,7.35,1,0.003,1,0.07,1,NA,NA,NA,NA,NA,NA,0.003,1,0.007,1,3,1,2.1,1,20.1,1,NA,NA
"14:30:00 19/02/2013",NA,NA,NA,NA,NA,NA,20,1,118,1,NA,NA,8.5,1,7.2,1,0.003,1,0.19,1,NA,NA,NA,NA,NA,NA,0.015,1,0.011,1,2,1,2.3,1,24.5,1,NA,NA
"14:30:00 20/03/2017",NA,NA,NA,NA,NA,NA,8,1,97,1,NA,NA,10.1,1,7.5,1,0.003,1,0.23,1,NA,NA,NA,NA,NA,NA,0.007,1,0.012,1,2,1,1.7,1,21,1,NA,NA
"14:35:00 17/06/2019",NA,NA,NA,NA,NA,NA,20,1,71,1,NA,NA,11.75,1,7.66,1,0.003,1,0.11,1,NA,NA,NA,NA,NA,NA,0.009,1,0.009,1,2,1,2.7,1,7.8,1,NA,NA
"14:40:00 14/04/2014",NA,NA,NA,NA,NA,NA,40,1,80,1,NA,NA,10.3,1,7.2,1,0.003,1,0.22,1,NA,NA,NA,NA,NA,NA,0.32,1,0.021,1,4,1,10.1,1,14,1,NA,NA
"14:40:00 15/06/2015",NA,NA,NA,NA,NA,NA,2,1,65,1,NA,NA,12.1,1,7.4,1,0.003,1,0.04,1,NA,NA,NA,NA,NA,NA,0.075,1,0.005,1,2,1,2.1,1,5.5,1,NA,NA
"14:40:00 17/12/2018",NA,NA,NA,NA,NA,NA,12,1,72,1,NA,NA,8.41,1,7.69,1,0.003,1,0.09,1,NA,NA,NA,NA,NA,NA,0.008,1,0.005,1,2,1,1.5,1,22.1,1,NA,NA
"14:40:00 20/05/2009",NA,NA,NA,NA,NA,NA,12,65,77,65,NA,NA,10.7,65,7.2,65,0.003,65,0.06,65,NA,NA,NA,NA,NA,NA,0.01,65,0.01,65,2,65,1.6,65,8.5,65,NA,NA
"14:40:00 20/05/2015",NA,NA,NA,NA,NA,NA,10,1,64,1,NA,NA,10.4,1,7.3,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.019,1,0.057,1,2,1,2.6,1,10,1,NA,NA
"14:40:00 21/06/2017",NA,NA,NA,NA,NA,NA,6,1,80,1,NA,NA,13.6,1,7,1,0.003,1,0.05,1,NA,NA,NA,NA,NA,NA,0.003,1,0.005,1,2,1,1.7,1,6,1,NA,NA
"14:40:00 22/11/2016",NA,NA,NA,NA,NA,NA,10,1,68,1,NA,NA,8.6,1,7.3,1,0.003,1,0.05,1,NA,NA,NA,NA,NA,NA,0.01,1,0.005,1,2,1,2.5,1,20,1,NA,NA
"14:45:00 07/01/2020",NA,NA,NA,NA,NA,NA,16,1,85,1,NA,NA,8.17,1,7.12,1,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.021,1,0.006,1,2,1,1.8,1,21.6,1,NA,NA
"14:45:00 19/02/2018",NA,NA,NA,NA,NA,NA,8,1,74,1,NA,NA,7.8,1,7.5,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.02,1,0.005,1,2,1,2.3,1,20,1,NA,NA
"14:45:00 19/03/2018",NA,NA,NA,NA,NA,NA,6,1,85,1,NA,NA,10.2,1,7.8,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.004,1,0.005,1,2,1,1.7,1,20,1,NA,NA
"14:45:00 19/04/2010",NA,NA,NA,NA,NA,NA,17,1,63.8,1,NA,NA,10.6,1,7.2,1,0.006,1,0.04,1,NA,NA,NA,NA,NA,NA,0.007,1,0.008,1,1,1,2.8,1,15.3,1,NA,NA
"14:50:00 11/05/2020",NA,NA,NA,NA,NA,NA,18,1,58,1,NA,NA,10.96,1,7.52,1,0.003,1,0.07,1,NA,NA,NA,NA,NA,NA,0.008,1,0.005,1,2,1,2.9,1,10.5,1,NA,NA
"14:50:00 16/05/2016",NA,NA,NA,NA,NA,NA,12,1,79,1,NA,NA,10.5,1,7.2,1,0.003,1,0.14,1,NA,NA,NA,NA,NA,NA,0.17,1,0.005,1,4,1,2,1,12,1,NA,NA
"14:50:00 17/05/2011",NA,NA,NA,NA,NA,NA,18,1,103,1,NA,NA,11.8,1,7.3,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.003,1,0.005,1,2,1,3.7,1,8,1,NA,NA
"14:50:00 19/07/2017",NA,NA,NA,NA,NA,NA,8,1,76,1,NA,NA,11.7,1,7,1,0.003,1,0.04,1,NA,NA,NA,NA,NA,NA,0.003,1,0.005,1,2,1,1.6,1,6.5,1,NA,NA
"14:50:00 20/05/2014",NA,NA,NA,NA,NA,NA,8,1,80,1,NA,NA,10.8,1,7.1,1,0.003,1,0.06,1,NA,NA,NA,NA,NA,NA,0.006,1,0.005,1,2,1,1.9,1,13,1,NA,NA
"14:50:00 21/03/2016",NA,NA,NA,NA,NA,NA,10,1,91,1,NA,NA,8.9,1,7.1,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.009,1,0.005,1,2,1,3.7,1,17.2,1,NA,NA
"14:50:00 21/10/2013",NA,NA,NA,NA,NA,NA,10,1,72,1,NA,NA,9.6,1,7.3,1,0.003,1,0.09,1,NA,NA,NA,NA,NA,NA,0.076,1,0.1,1,2,1,3.1,1,17,1,NA,NA
"14:55:00 16/02/2010",NA,NA,NA,NA,NA,NA,100,1,73.4,1,NA,NA,9.5,1,7,1,0.002,1,0.25,1,NA,NA,NA,NA,NA,NA,0.123,1,0.026,1,17,1,38,1,19,1,NA,NA
"14:55:00 16/06/2020",NA,NA,NA,NA,NA,NA,14,1,60,1,NA,NA,11.45,1,7.5,1,0.003,1,0.06,1,NA,NA,NA,NA,NA,NA,0.005,1,0.008,1,2,1,14.8,1,9.2,1,NA,NA
"14:55:00 20/04/2015",NA,NA,NA,NA,NA,NA,NA,180,84,1,NA,NA,9.3,1,7.3,1,0.003,1,0.06,1,NA,NA,NA,NA,NA,NA,0.009,1,0.007,1,2,1,2.5,1,11.5,1,NA,NA
"14:59:00 19/04/2017",NA,NA,NA,NA,NA,NA,10,1,84,1,NA,NA,10,1,7,1,0.003,1,0.05,1,NA,NA,NA,NA,NA,NA,0.004,1,0.005,1,2,1,1.6,1,14.7,1,NA,NA
"15:00:00 15/02/2011",NA,NA,NA,NA,NA,NA,18,1,73,1,NA,NA,9,1,7.6,1,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.009,1,0.01,1,2,1,2.5,1,22.5,1,NA,NA
"15:00:00 16/06/2009",NA,NA,NA,NA,NA,NA,11,65,75,65,NA,NA,13,65,7.1,65,0.003,65,0.03,65,NA,NA,NA,NA,NA,NA,0.009,65,0.005,65,2,65,1.7,65,7.5,65,NA,NA
"15:00:00 16/09/2014",NA,NA,NA,NA,NA,NA,8,1,65,1,NA,NA,11.8,1,7.3,1,0.003,1,0.07,1,NA,NA,NA,NA,NA,NA,0.027,1,0.005,1,2,1,2.5,1,12,1,NA,NA
"15:00:00 17/09/2013",NA,NA,NA,NA,NA,NA,12,1,73,1,NA,NA,10.8,1,7.2,1,0.003,1,0.11,1,NA,NA,NA,NA,NA,NA,0.099,1,0.01,1,2,1,5.2,1,12,1,NA,NA
"15:00:00 19/04/2011",NA,NA,NA,NA,NA,NA,18,1,74,1,NA,NA,10.3,1,7.3,1,0.003,1,0.09,1,NA,NA,NA,NA,NA,NA,0.003,1,0.005,1,2,1,2.2,1,13,1,NA,NA
"15:00:00 19/06/2012",NA,NA,NA,NA,NA,NA,14,1,60,1,NA,NA,11.7,1,7,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.11,1,0.005,1,2,1,6,1,8,1,NA,NA
"15:00:00 19/07/2011",NA,NA,NA,NA,NA,NA,16,1,58,1,NA,NA,11.7,1,7.1,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.14,1,0.005,1,2,1,4.7,1,7.5,1,NA,NA
"15:00:00 20/03/2013",NA,NA,NA,NA,NA,NA,16,1,134,1,NA,NA,9.2,1,7.2,1,0.003,1,0.12,1,NA,NA,NA,NA,NA,NA,0.013,1,0.006,1,2,1,3.1,1,19,1,NA,NA
"15:00:00 22/09/2010",NA,NA,NA,NA,NA,NA,12,1,60,1,NA,NA,9.7,1,7.2,1,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.092,1,0.009,1,2,1,3.8,1,11.5,1,NA,NA
"15:00:00 22/09/2015",NA,NA,NA,NA,NA,NA,8,1,65,1,NA,NA,11.9,1,7.1,1,0.003,1,0.04,1,NA,NA,NA,NA,NA,NA,0.023,1,0.007,1,2,1,2,1,10.5,1,NA,NA
"15:05:00 19/11/2018",NA,NA,NA,NA,NA,NA,12,1,70,1,NA,NA,8.48,1,7.6,1,0.003,1,0.06,1,NA,NA,NA,NA,NA,NA,0.018,1,0.006,1,2,1,2.2,1,22.6,1,NA,NA
"15:05:00 21/04/2009",NA,NA,NA,NA,NA,NA,18,65,82,65,NA,NA,10.7,65,7.4,65,0.003,65,0.13,65,NA,NA,NA,NA,NA,NA,0.01,65,0.008,65,2,65,1.8,65,13.5,65,NA,NA
"15:10:00 10/09/2018",NA,NA,NA,NA,NA,NA,10,1,52,1,NA,NA,11.6,1,7.4,1,0.003,1,0.06,1,NA,NA,NA,NA,NA,NA,0.005,1,0.005,1,2,1,3.7,1,10.5,1,NA,NA
"15:10:00 14/06/2016",NA,NA,NA,NA,NA,NA,20,1,65,1,NA,NA,12.3,1,7,1,0.003,1,0.1,1,NA,NA,NA,NA,NA,NA,0.003,1,0.02,1,4,1,10,1,7.5,1,NA,NA
"15:10:00 14/08/2012",NA,NA,NA,NA,NA,NA,32,1,61,1,NA,NA,11.4,1,7.2,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.099,1,0.011,1,2,1,10.7,1,8,1,NA,NA
