"Date","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual"
"10:00:00 06/01/1998",NA,NA,NA,NA,NA,NA,5,65,91,65,NA,NA,7.2,65,6.9,65,0.006,65,0.06,65,NA,NA,NA,NA,NA,NA,0.1,65,0.03,65,2,65,1.1,65,20,65,NA,NA
"10:00:00 06/11/1996",NA,NA,NA,NA,NA,NA,12,65,61,65,NA,NA,10,65,7,65,0.003,65,0.11,65,NA,NA,NA,NA,NA,NA,0.01,65,0.01,65,2,65,1.2,65,12.5,65,NA,NA
"10:00:00 07/08/1995",NA,NA,NA,NA,NA,NA,50,65,68,65,NA,NA,11.8,65,7.5,65,0.003,65,0.3,65,NA,NA,NA,NA,NA,NA,0.03,65,0.02,65,34,65,21,65,5.8,65,NA,NA
"10:00:00 13/11/1997",NA,NA,NA,NA,NA,NA,17,65,59,65,NA,NA,9,65,7.4,65,0.003,65,0.13,65,NA,NA,NA,NA,NA,NA,0.02,65,0.01,65,2,65,3,65,16,65,NA,NA
"10:00:00 14/09/2005",NA,NA,NA,NA,NA,NA,100,65,70,65,NA,NA,10.6,65,7,65,0.003,65,0.21,65,NA,NA,NA,NA,NA,NA,0.05,65,0.02,65,4,65,19,65,NA,NA,NA,NA
"10:10:00 01/12/1991",NA,NA,NA,NA,NA,NA,10,65,81,65,NA,NA,11.4,65,7.5,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.01,65,0.006,65,1,65,1,65,17.5,65,NA,NA
"10:10:00 12/11/1990",NA,NA,NA,NA,NA,NA,20,65,67,65,NA,NA,9.4,65,6.8,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.005,65,0.006,65,3,65,2.5,65,12.5,65,NA,NA
"10:15:00 01/06/1993",NA,NA,NA,NA,NA,NA,10,65,75,65,NA,NA,12,65,7.2,65,0.004,65,0.1,65,NA,NA,NA,NA,NA,NA,0.003,65,0.005,65,2,65,4.7,65,8,65,NA,NA
"10:15:00 01/10/1996",NA,NA,NA,NA,NA,NA,40,65,53,65,NA,NA,10.4,65,6.7,65,0.003,65,0.49,65,NA,NA,NA,NA,NA,NA,0.02,65,0.09,65,23,65,10,65,9.5,65,NA,NA
"10:15:00 02/04/1990",NA,NA,NA,NA,NA,NA,NA,NA,92,65,NA,NA,8.6,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,65,15,65,NA,NA
"10:15:00 02/11/1992",NA,NA,NA,NA,NA,NA,20,65,65,65,NA,NA,10.8,65,6.9,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.003,65,0.005,65,1,65,3,65,10.5,65,NA,NA
"10:15:00 03/07/1996",NA,NA,NA,NA,NA,NA,14,65,59,65,NA,NA,12.1,65,7,65,0.005,65,0.16,65,NA,NA,NA,NA,NA,NA,0.03,65,0.04,65,2,65,2.5,65,5,65,NA,NA
"10:15:00 06/03/1995",NA,NA,NA,NA,NA,NA,15,65,89,65,NA,NA,8.8,65,7.3,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.05,65,0.007,65,2,65,3.8,65,18,65,NA,NA
"10:15:00 06/04/1993",NA,NA,NA,NA,NA,NA,5,65,85,65,NA,NA,9.8,65,7.6,65,0.005,65,0.1,65,NA,NA,NA,NA,NA,NA,0.006,65,0.009,65,1,65,1.8,65,14.5,65,NA,NA
"10:20:00 01/08/1994",NA,NA,NA,NA,NA,NA,25,65,56,65,NA,NA,11.8,65,6.9,65,NA,NA,0.1,65,NA,NA,NA,NA,NA,NA,0.02,65,0.005,65,2,65,2,65,5.5,65,NA,NA
"10:20:00 04/09/1990",NA,NA,NA,NA,NA,NA,80,65,65,65,NA,NA,11,65,6.6,65,0.003,65,0.4,65,NA,NA,NA,NA,NA,NA,0.03,65,0.05,65,42,65,3.5,65,7.5,65,NA,NA
"10:20:00 07/07/1998",NA,NA,NA,NA,NA,NA,70,65,170,65,NA,NA,11.4,65,7.6,65,0.006,65,0.25,65,NA,NA,NA,NA,NA,NA,0.09,65,0.02,65,7,65,6.8,65,7,65,NA,NA
"10:25:00 04/05/1992",NA,NA,NA,NA,NA,NA,15,65,81,65,NA,NA,10.8,65,7.3,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.004,65,0.005,65,4,65,0.6,65,10.5,65,NA,NA
"10:30:00 01/10/1991",NA,NA,NA,NA,NA,NA,10,65,57,65,NA,NA,10.8,65,6.5,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.01,65,0.006,65,1,65,3.5,65,10,65,NA,NA
"10:30:00 02/09/1991",NA,NA,NA,NA,NA,NA,40,65,55,65,NA,NA,11.9,65,6.7,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.03,65,0.01,65,7,65,1.3,65,7,65,NA,NA
"10:30:00 02/09/1996",NA,NA,NA,NA,NA,NA,12,65,56,65,NA,NA,11.2,65,6.9,65,0.004,65,0.12,65,NA,NA,NA,NA,NA,NA,0.06,65,0.005,65,2,65,2.8,65,8.5,65,NA,NA
"10:30:00 03/05/1993",NA,NA,NA,NA,NA,NA,15,65,79,65,NA,NA,9.8,65,6.9,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.006,65,0.005,65,1,65,0.8,65,11.5,65,NA,NA
"10:30:00 03/07/1997",NA,NA,NA,NA,NA,NA,35,65,66,65,NA,NA,11.6,65,7.2,65,0.003,65,0.16,65,NA,NA,NA,NA,NA,NA,0.11,65,0.01,65,2,65,4,65,7,65,NA,NA
"10:30:00 04/04/1995",NA,NA,NA,NA,NA,NA,10,65,88,65,NA,NA,10,65,7.3,65,0.003,65,0.5,65,NA,NA,NA,NA,NA,NA,0.02,65,0.007,65,4,65,1.6,65,11,65,NA,NA
"10:30:00 04/09/1995",NA,NA,NA,NA,NA,NA,NA,NA,71,65,NA,NA,11.2,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,6.5,65,NA,NA
"10:30:00 07/05/1991",NA,NA,NA,NA,NA,NA,5,65,98,65,NA,NA,12.2,65,6.3,65,NA,NA,0.1,65,NA,NA,NA,NA,NA,NA,0.006,65,0.005,65,2,65,0.8,65,9.5,65,NA,NA
