"Date","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"07:00:00 08/03/2007",NA,NA,NA,NA,18,65,73,65,9.7,65,6.9,65,0.01,65,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,0.16,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,3,65,4.9,65,15.2,65
"07:30:00 11/04/2007",NA,NA,NA,NA,12,65,NA,NA,NA,NA,NA,NA,0.003,65,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,0.13,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,3,65,NA,NA,NA,NA
"07:30:00 12/04/2007",NA,NA,NA,NA,NA,NA,75,65,9.5,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,65,14.3,65
"07:50:00 05/06/2008",NA,NA,NA,NA,18,65,73,65,9.7,65,6.9,65,0.003,65,NA,NA,NA,NA,0.17,65,NA,NA,NA,NA,0.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,65,3,65,3,65,12.3,65
"08:11:00 08/02/1990",NA,NA,NA,NA,NA,NA,69,65,8.8,65,6.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,15,65
"09:00:00 02/11/1982",NA,NA,NA,NA,NA,NA,51,65,13.1,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,65,13,65
"09:00:00 05/01/2011",NA,NA,NA,NA,20,1,98,1,9.2,1,7.1,1,0.003,1,NA,NA,NA,NA,0.15,1,NA,NA,NA,NA,0.14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,1,2,1,3.9,1,16,1
"09:00:00 07/03/2012",NA,NA,NA,NA,35,1,91,1,8.6,1,7.2,1,0.02,1,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,0.24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,1,3,1,2.8,1,15.4,1
"09:23:00 12/04/1990",NA,NA,NA,NA,NA,NA,70,65,9.4,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,16.5,65
"09:30:00 01/02/2012",NA,NA,NA,NA,40,1,81,1,9,1,7.5,1,NA,NA,NA,NA,NA,NA,0.22,1,NA,NA,NA,NA,0.27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1,2,1,3.1,1,14.9,1
"09:30:00 01/12/2010",NA,NA,NA,NA,20,1,111,1,8.1,1,7.1,1,0.003,1,NA,NA,NA,NA,0.18,1,NA,NA,NA,NA,0.14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,1,2,1,3.2,1,16,1
"09:30:00 04/10/2011",NA,NA,NA,NA,30,1,94,1,9.9,1,7.1,1,0.005,1,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,0.24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,1,4,1,5.1,1,11.4,1
"09:30:00 08/03/1990",NA,NA,NA,NA,NA,NA,67,65,8,65,5.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,16.5,65
"09:38:00 05/06/1990",NA,NA,NA,NA,NA,NA,73,65,11.2,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,65,11.5,65
"09:40:00 01/04/2009",NA,NA,NA,NA,18,65,61,65,9,65,6.4,65,0.003,65,NA,NA,NA,NA,0.17,65,NA,NA,NA,NA,0.07,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,65,3,65,3.4,65,17.2,65
"09:40:00 03/11/2009",NA,NA,NA,NA,20,1,81.1,1,10.9,1,6.7,1,0.001,1,NA,NA,NA,NA,0.05,1,NA,NA,NA,NA,0.186,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,2,1,7.8,1,13.3,1
"09:40:00 05/07/1990",NA,NA,NA,NA,NA,NA,95,65,11.3,65,5.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,65,9,65
"09:40:00 06/10/2010",NA,NA,NA,NA,45,1,72,1,9.5,1,7.3,1,0.003,1,NA,NA,NA,NA,0.16,1,NA,NA,NA,NA,0.16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,1,3,1,6.5,1,11.8,1
"09:45:00 05/01/2010",NA,NA,NA,NA,15,1,66,1,9.5,1,6.8,1,0.002,1,NA,NA,NA,NA,0.09,1,NA,NA,NA,NA,0.214,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,1,1,1,4.3,1,15.5,1
"09:45:00 13/01/1989",NA,NA,NA,NA,NA,NA,79,65,8.8,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,65,18.5,65
"09:45:00 15/11/1977",NA,NA,NA,NA,NA,NA,63,65,10.2,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,65,13,65
"09:50:00 07/11/2011",NA,NA,NA,NA,30,1,147,1,9.3,1,6.8,1,0.003,1,NA,NA,NA,NA,0.22,1,NA,NA,NA,NA,0.24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016,1,3,1,3.6,1,16.2,1
"09:50:00 09/01/1986",NA,NA,NA,NA,NA,NA,76,65,9.8,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,65,17,65
"09:54:00 11/01/1990",NA,NA,NA,NA,NA,NA,67,65,10.1,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,18.5,65
"09:55:00 07/02/1989",2.3,65,13,65,30,65,75,65,7.4,65,6.8,65,NA,NA,14,65,0.39,65,0.3,65,2.3,65,0.02,65,0.08,65,1.1,65,NA,NA,8.2,65,0.3,65,13,65,46,65,7,65,0.007,65,5,65,5.4,65,18.5,65
"10:00:00 01/03/1985",NA,NA,NA,NA,NA,NA,86,65,8.6,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,65,17,65
"10:00:00 02/03/2010",NA,NA,NA,NA,17,1,71.4,1,8.5,1,7.1,1,0.002,1,NA,NA,NA,NA,0.12,1,NA,NA,NA,NA,0.165,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,3,1,4.3,1,15.9,1
"10:00:00 03/11/2010",NA,NA,NA,NA,20,1,90,1,12,1,7.4,1,0.004,1,NA,NA,NA,NA,0.22,1,NA,NA,NA,NA,0.14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,1,2,1,4.6,1,14.4,1
"10:00:00 04/01/2012",NA,NA,NA,NA,35,1,77,1,8.9,1,6.9,1,0.003,1,NA,NA,NA,NA,0.29,1,NA,NA,NA,NA,0.24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017,1,5,1,5,1,16.9,1
"10:00:00 04/05/2011",NA,NA,NA,NA,30,1,84,1,8.3,1,7.2,1,0.003,1,NA,NA,NA,NA,0.18,1,NA,NA,NA,NA,0.16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1,3,1,5,1,13.6,1
"10:00:00 05/10/2009",NA,NA,NA,NA,19,1,73.9,1,10,1,7.3,1,0.006,1,NA,NA,NA,NA,0.08,1,NA,NA,NA,NA,0.155,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,1,1,1,8.8,1,12.3,1
"10:00:00 06/12/1985",NA,NA,NA,NA,NA,NA,92,65,9.6,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,65,18,65
"10:00:00 06/12/2011",NA,NA,NA,NA,45,1,107,1,10.1,1,7.2,1,0.007,1,NA,NA,NA,NA,0.23,1,NA,NA,NA,NA,0.33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,1,3,1,5.1,1,12.4,1
"10:00:00 07/01/1987",NA,NA,NA,NA,NA,NA,75,65,8.6,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,65,20.5,65
"10:00:00 07/05/2012",NA,NA,NA,NA,25,1,77,1,9.2,1,7.4,1,0.003,1,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,0.22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,1,3,1,2.4,1,12.8,1
"10:00:00 07/08/2012",NA,NA,NA,NA,45,1,78,1,8.7,1,7.5,1,0.003,1,NA,NA,NA,NA,0.24,1,NA,NA,NA,NA,0.32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,1,2,1,6.6,1,9.9,1
"10:00:00 08/03/2011",NA,NA,NA,NA,25,1,73,1,9.3,1,7.3,1,0.003,1,NA,NA,NA,NA,0.19,1,NA,NA,NA,NA,0.13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1,2,1,3.6,1,16.5,1
"10:00:00 23/01/2007",NA,NA,NA,NA,19,65,79,65,9.2,65,7,65,0.003,65,NA,NA,NA,NA,0.13,65,NA,NA,NA,NA,0.15,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,4,65,3.9,65,17.7,65
"10:10:00 02/11/1988",2.6,65,13,65,40,65,77,65,9.8,65,6.3,65,NA,NA,16,65,0.86,65,0.2,65,2.3,65,0.06,65,0.18,65,0.8,65,7.4,65,8.5,65,2.2,65,11,65,46,65,4,65,0.01,65,8,65,4.4,65,13,65
"10:10:00 16/11/2005",NA,NA,NA,NA,25,65,76,65,7.3,65,6.8,65,0.003,65,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,2,65,3.2,65,NA,NA
"10:15:00 03/03/1987",NA,NA,NA,NA,NA,NA,74,65,9.4,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,65,16,65
"10:15:00 15/12/2005",NA,NA,NA,NA,25,65,75,65,10.3,65,6.7,65,0.003,65,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,2,65,2.7,65,NA,NA
"10:15:00 30/03/1982",2.4,65,15,65,90,65,96,65,9.5,65,6.4,65,NA,NA,18,65,2.6,65,0.55,65,2.2,65,0.09,65,0.1,65,1.2,65,9.2,65,7.5,65,2,65,9.6,65,71,65,15,65,0.04,65,52,65,NA,180,14,65
"10:20:00 03/09/1980",NA,NA,NA,NA,NA,NA,74,65,11.2,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,65,9.5,65
"10:20:00 14/02/2006",NA,NA,NA,NA,25,65,87,65,9.2,65,7.1,65,0.003,65,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,0.15,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,3,65,5.1,65,18.6,65
"10:20:00 15/07/1980",1.8,65,13,65,50,65,69,65,12,65,7.4,65,NA,NA,12,65,0.54,65,0.2,65,1.9,65,0.02,65,0.17,65,0.8,65,7.7,65,3.6,65,3,65,2.5,65,39,65,3,65,0.01,65,5,65,4.1,65,7.2,65
"10:25:00 04/02/1985",2.7,65,16,65,80,65,88,65,8.8,65,7.1,65,NA,NA,18,65,1.3,65,0.65,65,2.7,65,0.03,65,0.23,65,1.2,65,6.8,65,9.3,65,2.2,65,14,65,69,65,6,65,0.02,65,6,65,10,65,18,65
"10:25:00 17/05/1990",NA,NA,NA,NA,NA,NA,66,65,11.5,65,6.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,65,13,65
"10:30:00 01/02/2011",NA,NA,NA,NA,16,1,90,1,9.7,1,7.2,1,0.003,1,NA,NA,NA,NA,0.18,1,NA,NA,NA,NA,0.13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.064,1,2,1,2.7,1,18.8,1
"10:30:00 01/06/2011",NA,NA,NA,NA,25,1,83,1,9.9,1,7.1,1,0.003,1,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,0.17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,1,2,1,6.4,1,10.8,1
"10:30:00 02/06/2010",NA,NA,NA,NA,17,1,74,1,8.9,1,7.3,1,0.007,1,NA,NA,NA,NA,0.02,1,NA,NA,NA,NA,0.115,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,1,1,4.4,1,12.9,1
"10:30:00 03/02/1986",2.3,65,12,65,60,65,91,65,9.2,65,6.6,65,NA,NA,52,65,1.1,65,0.45,65,2,65,0.02,65,0.11,65,1.2,65,6.2,65,7.7,65,2.2,65,14,65,58,65,7,65,0.09,65,8,65,5.2,65,19,65
"10:30:00 03/04/2012",NA,NA,NA,NA,32,1,95,1,8.9,1,7.3,1,0.003,1,NA,NA,NA,NA,0.23,1,NA,NA,NA,NA,0.23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,1,2,1,2.5,1,17.5,1
"10:30:00 03/07/2012",NA,NA,NA,NA,40,1,80,1,10.6,1,7.4,1,0.003,1,NA,NA,NA,NA,0.23,1,NA,NA,NA,NA,0.29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,1,3,1,5.7,1,10.8,1
"10:30:00 03/08/2011",NA,NA,NA,NA,35,1,77,1,10.7,1,7.2,1,0.003,1,NA,NA,NA,NA,0.18,1,NA,NA,NA,NA,0.24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,1,2,1,6.2,1,9.4,1
"10:30:00 04/08/2010",NA,NA,NA,NA,20,1,125,1,9.4,1,6.9,1,0.003,1,NA,NA,NA,NA,0.16,1,NA,NA,NA,NA,0.15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,1,3,1,5.4,1,10.3,1
"10:30:00 04/09/1984",NA,NA,NA,NA,NA,NA,100,65,10.6,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,65,10,65
"10:30:00 05/04/2011",NA,NA,NA,NA,25,1,76,1,9.2,1,7.2,1,0.003,1,NA,NA,NA,NA,0.24,1,NA,NA,NA,NA,0.18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,2,1,4.1,1,14.8,1
"10:30:00 05/09/2011",NA,NA,NA,NA,30,1,89,1,10.2,1,7,1,0.003,1,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,0.23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,1,4,1,5.1,1,12.3,1
"10:30:00 06/07/2009",NA,NA,NA,NA,25,1,74.3,1,10,1,6.5,1,0.001,1,NA,NA,NA,NA,0.05,1,NA,NA,NA,NA,0.181,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,4,1,4.8,1,10.7,1
"10:30:00 06/07/2011",NA,NA,NA,NA,30,1,124,1,10.8,1,7.1,1,0.003,1,NA,NA,NA,NA,0.15,1,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,1,3,1,7,1,9.4,1
"10:30:00 07/01/1985",NA,NA,NA,NA,NA,NA,84,65,9.2,65,8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,65,16,65
"10:30:00 07/01/1988",NA,NA,NA,NA,NA,NA,81,65,9.2,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,18.5,65
"10:30:00 07/07/2010",NA,NA,NA,NA,18,1,74,1,10.1,1,7.2,1,0.003,1,NA,NA,NA,NA,0.16,1,NA,NA,NA,NA,0.13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,3,1,4.7,1,10.2,1
"10:30:00 10/02/1987",2.6,65,12,65,40,65,75,65,8.9,65,6.5,65,NA,NA,15,65,0.87,65,0.4,65,2.1,65,0.03,65,0.1,65,1.1,65,7.1,65,7.8,65,1.5,65,12,65,54,65,5,65,0.25,65,6,65,2.9,65,17.5,65
"10:30:00 10/05/1984",3.9,65,19,65,70,65,110,65,9.3,65,7,65,NA,NA,24,65,2.3,65,0.55,65,3.7,65,0.13,65,0.18,65,1.9,65,7.7,65,10,65,2,65,19,65,85,65,8,65,0.05,65,6,65,13,65,12,65
"10:30:00 11/01/1982",2,65,10,65,40,65,74,65,8,65,7.1,65,NA,NA,14,65,0.42,65,0.3,65,1.6,65,0.01,65,0.03,65,0.8,65,9.6,65,5.8,65,3,65,10,65,40,65,4,65,0.01,65,3,65,3.5,65,22.5,65
"10:30:00 13/11/1985",2.5,65,12,65,50,65,75,65,9.2,65,NA,180,NA,NA,16,65,1.3,65,0.45,65,2.4,65,0.02,65,0.2,65,1.3,65,2.3,65,7.9,65,1.5,65,14,65,56,65,8,65,0.02,65,4,65,4.5,65,16.5,65
"10:30:00 16/11/2006",NA,NA,NA,NA,25,65,NA,NA,8.8,65,6.6,65,0.003,65,NA,NA,NA,NA,0.36,65,NA,NA,NA,NA,0.15,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,4,65,4.1,65,14.2,65
"10:35:00 04/09/2012",NA,NA,NA,NA,45,1,82,1,10.7,1,7.2,1,0.003,1,NA,NA,NA,NA,0.21,1,NA,NA,NA,NA,0.34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1,4,1,4.6,1,12.8,1
"10:35:00 14/09/2006",NA,NA,NA,NA,30,65,78,65,11.2,65,6.6,65,0.003,65,NA,NA,NA,NA,0.13,65,NA,NA,NA,NA,0.23,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,65,2,65,4.6,65,12.9,65
"10:35:00 22/02/2007",NA,NA,NA,NA,20,65,74,65,9.5,65,6.1,65,0.003,65,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,0.17,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,3,65,NA,NA,16.4,65
"10:40:00 03/02/2010",NA,NA,NA,NA,18,1,71.5,1,10.4,1,6.9,1,0.003,1,NA,NA,NA,NA,0.21,1,NA,NA,NA,NA,0.148,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,1,4,1,5.6,1,17.3,1
"10:40:00 03/10/1985",NA,NA,NA,NA,NA,NA,75,65,10.4,65,6.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,65,14,65
"10:45:00 07/08/1985",4.2,65,23,65,140,65,140,65,11,65,6.5,65,NA,NA,29,65,4,65,0.65,65,4.3,65,0.09,65,0.25,65,2.2,65,6.7,65,11,65,3.7,65,19,65,110,65,12,65,0.13,65,47,65,NA,180,10,65
"10:50:00 02/02/1988",3,65,13,65,30,65,77,65,9.2,65,6.9,65,NA,NA,14,65,0.63,65,0.4,65,2.9,65,0.03,65,0.16,65,1.3,65,6.9,65,8.1,65,1.6,65,11,65,NA,NA,4,65,0.03,65,2,65,1.8,65,16,65
"10:50:00 03/10/1988",NA,NA,NA,NA,NA,NA,85,65,9.8,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,65,12.5,65
"10:50:00 06/08/1986",2.3,65,13,65,60,65,79,65,10.8,65,6.9,65,NA,NA,16,65,1.4,65,0.35,65,2.2,65,0.09,65,0.22,65,1.1,65,7,65,7.5,65,1.5,65,12,65,60,65,5,65,0.06,65,4,65,4.6,65,9.5,65
"11:00:00 02/10/1984",NA,NA,NA,NA,NA,NA,97,65,10.2,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,65,11.5,65
"11:00:00 02/12/1987",NA,NA,NA,NA,NA,NA,110,65,10.2,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,65,14.5,65
"11:00:00 05/08/2009",NA,NA,NA,NA,25,1,70.4,1,9,1,6.7,1,0.002,1,NA,NA,NA,NA,0.05,1,NA,NA,NA,NA,0.183,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,2,1,8.1,1,11.3,1
"11:00:00 06/05/1986",2.4,65,13,65,50,65,84,65,9.4,65,7,65,NA,NA,13,65,0.75,65,0.5,65,2.3,65,0.01,65,0.1,65,0.8,65,6.7,65,7.6,65,1.7,65,13,65,57,65,4,65,0.08,65,4,65,1.6,65,13.5,65
"11:00:00 13/02/1984",NA,NA,NA,NA,NA,NA,85,65,7.6,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,65,18,65
"11:00:00 17/04/1979",2.3,65,14,65,35,65,67,65,10.5,65,6.9,65,NA,NA,20,65,0.45,65,0.45,65,2.1,65,0.02,65,0.1,65,0.7,65,8.8,65,6.5,65,1,65,9.9,65,39,65,9,65,0.01,65,5,65,2,65,11.5,65
"11:00:00 17/08/2006",NA,NA,NA,NA,35,65,74,65,10.3,65,6.9,65,0.003,65,NA,NA,NA,NA,0.19,65,NA,NA,NA,NA,0.16,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,2,65,4.6,65,11.3,65
"11:00:00 22/08/1979",NA,NA,NA,NA,NA,NA,87,65,11.1,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,65,8.3,65
"11:05:00 02/04/1985",NA,NA,NA,NA,NA,NA,86,65,9.6,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,65,17,65
"11:05:00 05/09/1988",NA,NA,NA,NA,NA,NA,85,65,10.8,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,65,11,65
"11:05:00 09/11/1987",2.9,65,15,65,40,65,82,65,9.2,65,7.4,65,NA,NA,19,65,0.85,65,0.2,65,2.8,65,0.03,65,0.14,65,1.1,65,6.1,65,9,65,1.8,65,16,65,71,65,4,65,0.02,65,7,65,4.3,65,15,65
