"Date","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"13:10:00 12/09/1983",NA,NA,NA,NA,NA,NA,91,65,10.9,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,65,8.5,65
"13:13:00 02/07/1986",NA,NA,NA,NA,NA,NA,88,65,11.6,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,65,9,65
"13:15:00 04/04/1989",NA,NA,NA,NA,NA,NA,95,65,9.2,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,65,17.5,65
"13:15:00 04/07/1989",NA,NA,NA,NA,NA,NA,93,65,12.2,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,65,11,65
"13:15:00 06/04/1981",2.6,65,14,65,60,65,72,65,8.8,65,7.5,65,NA,NA,21,65,0.64,65,0.3,65,2.5,65,0.02,65,0.01,65,0.9,65,9.5,65,6.9,65,2,65,12,65,41,65,5,65,0.02,65,1,65,3.6,65,19,65
"13:15:00 07/03/1988",NA,NA,NA,NA,NA,NA,73,65,9.6,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,65,16.5,65
"13:15:00 15/07/1981",1.8,65,13,65,50,65,65,65,11.8,65,6.9,65,NA,NA,14,65,0.64,65,0.2,65,2,65,0.02,65,0.25,65,0.8,65,7.8,65,7.2,65,2,65,7.2,65,56,65,4,65,0.01,65,3,65,4.5,65,6,65
"13:20:00 05/09/1989",NA,NA,NA,NA,NA,NA,78,65,10.8,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,65,13,65
"13:25:00 14/10/1980",1.8,65,14,65,40,65,62,65,10.4,65,7.4,65,NA,NA,12,65,0.8,65,0.2,65,1.7,65,0.02,65,0.08,65,0.8,65,7.6,65,5.6,65,2,65,7.6,65,40,65,4,65,0.02,65,15,65,7.1,65,13,65
"13:25:00 18/08/1981",NA,NA,NA,NA,NA,NA,72,65,11.5,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,65,8.5,65
