"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"07:15:00 17/11/2004",80,65,270,65,8.2,65,6.5,65,0.03,65,0.83,65,0.83,65,0.09,65,20,65,38,65,15,65
"07:30:00 06/12/2017",64,1,425,1,8.4,1,7.3,1,0.02,1,0.56,1,1.3,1,0.11,1,44,1,55,1,16.5,1
"07:40:00 09/10/2013",60,1,400,1,9,1,7.1,1,0.018,1,0.84,1,0.67,1,0.12,1,22,1,43,1,13,1
"08:10:00 05/01/2017",72,1,350,1,7.4,1,7.3,1,0.024,1,0.56,1,0.16,1,0.078,1,40,1,45,1,23,1
"08:14:00 14/02/2006",45,65,NA,NA,NA,NA,NA,NA,0.01,65,0.38,65,0.12,65,0.04,65,16,65,NA,NA,NA,NA
"08:15:00 14/04/2005",35,65,492,65,7.2,65,7.5,65,0.004,65,0.4,65,0.27,65,0.03,65,14,65,18,65,NA,NA
"08:15:00 15/12/2005",45,65,259,65,10.5,65,7.1,65,0.01,65,0.36,65,0.27,65,0.08,65,28,65,33,65,NA,NA
"08:20:00 23/01/2007",35,65,675,65,7.3,65,7.2,65,0.003,65,0.32,65,0.24,65,0.01,65,27,65,33,65,20.9,65
"08:30:00 03/04/2008",25,65,493,65,8.6,65,7.4,65,0.003,65,0.49,65,0.09,65,0.05,65,15,65,21,65,12.4,65
"08:30:00 05/01/2005",40,65,440,65,NA,NA,7.6,65,0.003,65,0.51,65,0.42,65,0.05,65,22,65,29,65,18.6,65
"08:30:00 14/09/2006",45,65,296,65,10.5,65,6.8,65,0.003,65,0.33,65,0.6,65,0.03,65,19,65,24,65,10.7,65
"08:30:00 14/12/2006",30,65,720,65,8.2,65,7,65,0.01,65,0.95,65,0.009,65,0.14,65,17,65,30,65,18.4,65
"08:30:00 16/11/2006",35,65,NA,NA,9,65,6.9,65,0.01,65,0.61,65,0.37,65,0.07,65,21,65,45,65,11.5,65
"08:35:00 16/11/2005",50,65,293,65,8.5,65,7.2,65,0.006,65,0.5,65,0.27,65,0.06,65,26,65,29,65,NA,NA
"08:35:00 17/03/2005",45,65,421,65,8.6,65,7.6,65,0.004,65,0.38,65,0.24,65,0.04,65,14,65,17,65,16.9,65
"08:45:00 09/02/2005",55,65,290,65,8.3,65,7.2,65,0.008,65,0.89,65,0.83,65,0.12,65,48,65,67,65,16.3,65
"08:45:00 15/12/2004",45,65,330,65,9,65,7.2,65,0.01,65,0.61,65,0.84,65,0.07,65,34,65,44,65,17,65
