"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"09:30:00 04/11/1993",20,65,36,65,11.2,65,6.9,65,0.005,65,0.2,65,0.08,65,0.01,65,8,65,5.5,65,7,65
"09:50:00 03/03/1993",NA,NA,31,65,10.8,65,7.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,65,9,65
"09:55:00 02/11/1994",30,65,42,65,11,65,7.2,65,0.003,65,0.1,65,0.06,65,0.01,65,5,65,2.6,65,8,65
"10:00:00 04/02/1993",NA,NA,33,65,9.1,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,65,15.3,65
"10:00:00 21/02/1994",25,65,34,65,10.2,65,6.9,65,0.003,65,0.2,65,0.04,65,0.01,65,3,65,3,65,13,65
"10:10:00 05/01/1993",NA,NA,37,65,10.4,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,65,9.5,65
"10:30:00 12/12/1991",NA,NA,35,65,10.6,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,10,65
"10:45:00 02/12/1992",NA,NA,39,65,10.2,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,65,10,65
"10:45:00 03/08/1994",35,65,39,65,12.1,65,6.9,65,0.003,65,0.2,65,0.18,65,0.01,65,4,65,2.3,65,4.5,65
"10:45:00 15/04/1994",15,65,35,65,10.8,65,6.7,65,0.004,65,0.2,65,0.04,65,0.01,65,NA,NA,0.6,65,9,65
"10:50:00 20/02/1992",NA,NA,39,65,9.4,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,13,65
"11:00:00 02/08/1991",NA,NA,45,65,11.4,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,6,65
"11:00:00 03/09/1992",NA,NA,41,65,11.4,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,65,6.5,65
"11:00:00 05/08/1992",NA,NA,34,65,11.4,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,65,5.5,65
"11:00:00 06/05/1993",NA,NA,37,65,11.2,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,65,7,65
"11:00:00 06/06/1991",NA,NA,42,65,13,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,4.5,65
"11:00:00 09/03/1994",60,65,43,65,10.2,65,6.9,65,0.006,65,0.2,65,0.07,65,0.01,65,6,65,3.5,65,12,65
"11:00:00 09/05/1991",NA,NA,36,65,12.4,65,6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,65,6.5,65
"11:00:00 28/01/1992",NA,NA,37,65,10.6,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,65,11,65
"11:10:00 01/06/1992",NA,NA,52,65,11.4,65,8.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,65,7.5,65
"11:10:00 05/10/1994",15,65,44,65,11.6,65,6.6,65,0.003,65,0.1,65,0.15,65,0.01,65,5,65,3.2,65,7,65
"11:10:00 07/05/1992",NA,NA,33,65,10.6,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,65,8,65
"11:15:00 03/08/1993",NA,NA,36,65,11.8,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,65,5.5,65
"11:15:00 03/11/1992",NA,NA,40,65,11.2,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,65,7.5,65
"11:15:00 04/01/1994",20,65,58,65,9.2,65,6.6,65,0.004,65,0.2,65,0.03,65,0.06,65,6,65,0.6,65,11,65
"11:15:00 06/10/1992",NA,NA,30,65,10.8,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,7.5,65
"11:15:00 11/03/1992",NA,NA,36,65,9.5,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,65,13,65
