"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalReactivePhosphorus","TotalReactivePhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"09:15:00 03/08/2011",25,1,143,1,10.5,1,6.8,1,0.003,1,0.4,1,1.8,1,0.065,1,NA,NA,23,1,60,1,9,1
"09:15:00 05/05/2010",55,1,214.5,1,9.7,1,6.6,1,0.007,1,0.27,1,0.268,1,0.033,1,NA,NA,10,1,20,1,11.7,1
"09:15:00 16/11/2006",25,65,NA,NA,10.5,65,6.7,65,0.006,65,1.2,65,0.24,65,0.12,65,NA,NA,10,65,11,65,11.4,65
"09:16:00 14/12/2006",NA,NA,405,65,9.2,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,65,17.1,65
"09:20:00 08/06/2011",45,1,200,1,10.8,1,7.5,1,0.005,1,0.71,1,1.1,1,0.096,1,NA,NA,35,1,75,1,7.5,1
"09:25:00 22/02/2007",30,65,343,65,6.5,65,6.6,65,0.003,65,0.25,65,0.08,65,0.01,65,NA,NA,4,65,NA,NA,22.2,65
"09:30:00 05/06/2008",20,65,246,65,8.9,65,6.8,65,0.003,65,0.11,65,0.37,65,0.01,65,NA,NA,7,65,10.3,65,11.5,65
"09:30:00 07/09/2011",25,1,194,1,11.1,1,6.9,1,0.003,1,0.39,1,1.5,1,0.07,1,NA,NA,25,1,67,1,10,1
"09:35:00 17/08/2006",30,65,238,65,10.2,65,7.3,65,0.003,65,0.36,65,0.76,65,0.01,65,NA,NA,28,65,31,65,10.1,65
"09:40:00 24/01/2006",60,65,346,65,7.1,65,6.8,65,0.003,65,0.31,65,0.16,65,0.02,65,NA,NA,9,65,17,65,NA,NA
"09:42:00 06/03/2007",30,65,323,65,7.9,65,6.7,65,0.003,65,0.29,65,0.06,65,0.02,65,NA,NA,6,65,6.2,65,17.7,65
"09:50:00 06/12/2007",50,65,233,65,9,65,7.3,65,0.003,65,0.16,65,0.22,65,0.03,65,NA,NA,13,65,13.5,65,19.6,65
"09:55:00 10/07/2007",45,65,253,65,10.9,65,6.6,65,0.006,65,0.64,65,1.5,65,0.04,65,NA,NA,9,65,22.8,65,8.7,65
"09:55:00 14/02/2006",NA,NA,351,65,8.8,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,65,17.5,65
"10:00:00 14/06/2006",25,65,261,65,11.1,65,7.1,65,0.003,65,0.19,65,0.71,65,0.01,65,NA,NA,2,65,6.4,65,8.2,65
"10:00:00 24/10/2006",20,65,NA,NA,10.6,65,7.1,65,0.004,65,0.15,65,0.33,65,0.02,65,NA,NA,4,65,6.8,65,14.6,65
"10:00:00 25/07/2006",30,65,229,65,10.5,65,6.8,65,0.004,65,0.35,65,0.66,65,0.03,65,NA,NA,14,65,20,65,9.9,65
"10:10:00 18/05/2006",45,65,229,65,10.5,65,6.9,65,0.003,65,0.27,65,0.05,65,0.03,65,NA,NA,8,65,14,65,11.3,65
"10:10:00 26/04/2006",35,65,213,65,11.5,65,6.5,65,0.003,65,0.29,65,0.4,65,0.03,65,NA,NA,5,65,10,65,12,65
"10:15:00 20/02/2008",35,65,294,65,6.5,65,7.1,65,0.003,65,0.21,65,0.12,65,0.02,65,NA,NA,7,65,9.3,65,19.2,65
"10:20:00 12/10/2005",35,65,176,65,13.6,65,7.3,65,0.003,65,0.39,65,0.8,65,0.05,65,NA,NA,31,65,39,65,NA,NA
"10:30:00 15/03/2006",45,65,346,65,8.9,65,7.4,65,0.01,65,0.27,65,0.23,65,0.03,65,NA,NA,6,65,18,65,NA,NA
"10:40:00 12/03/2008",20,65,445,65,8.2,65,6.4,65,0.003,65,0.17,65,0.08,65,0.01,65,NA,NA,9,65,8.3,65,18.4,65
"10:40:00 13/11/2007",38,65,196,65,9.8,65,6.9,65,0.003,65,0.32,65,0.43,65,0.05,65,NA,NA,19,65,19.2,65,16.5,65
"11:00:00 23/04/2007",17,65,300,65,9.3,65,6.8,65,0.003,65,0.14,65,0.05,65,0.01,65,NA,NA,1,65,3.5,65,14.4,65
"11:04:00 15/05/2007",18,65,303,65,8.1,65,6.9,65,0.003,65,0.01,65,0.09,65,0.06,65,NA,NA,3,65,4,65,13.6,65
"11:08:00 05/06/2007",18,65,300,65,8.3,65,6.8,65,0.003,65,0.15,65,0.25,65,0.005,65,NA,NA,1,65,2.7,65,8.8,65
"11:50:00 13/12/2011",35,1,182,1,9.7,1,7.1,1,0.01,1,0.58,1,0.91,1,0.12,1,NA,NA,56,1,53,1,15.5,1
"12:12:00 09/01/2008",35,65,317,65,8.9,65,7,65,0.003,65,0.23,65,0.15,65,0.03,65,NA,NA,8,65,10.4,65,21.4,65
"12:45:00 07/10/2010",30,1,181,1,9.9,1,6.9,1,0.004,1,0.44,1,0.76,1,0.054,1,NA,NA,31,1,36,1,13,1
"12:45:00 08/07/2009",35,1,230.5,1,8.9,1,6.9,1,0.006,1,0.1,1,0.707,1,0.006,1,NA,NA,2,1,8.7,1,8.3,1
"12:47:00 08/08/2007",35,65,235,65,11.3,65,6.9,65,0.003,65,0.36,65,1.2,65,0.08,65,NA,NA,13,65,20.6,65,10.7,65
"12:50:00 19/09/2007",35,65,221,65,10.8,65,6.5,65,0.003,65,0.41,65,0.61,65,0.04,65,NA,NA,17,65,18.3,65,11,65
"13:00:00 04/07/2007",30,65,241,65,8.6,65,7,65,0.005,65,0.48,65,1.1,65,0.02,65,NA,NA,5,65,29,65,9.5,65
"13:00:00 07/05/2009",16,65,184,65,11.2,65,6.9,65,0.003,65,0.21,65,0.23,65,0.02,65,NA,NA,6,65,6.3,65,11,65
"13:20:00 07/06/2010",32,1,245,1,10.6,1,6.9,1,0.02,1,0.04,1,0.502,1,0.045,1,NA,NA,4,1,12.4,1,10.5,1
"14:05:00 03/11/2010",40,1,183,1,9,1,6.9,1,0.009,1,0.47,1,0.77,1,0.07,1,NA,NA,27,1,31,1,14,1
"14:12:00 10/10/2007",35,65,176,65,9.5,65,7.1,65,0.003,65,0.34,65,0.6,65,0.03,65,NA,NA,13,65,15.9,65,15.3,65
"14:45:00 10/08/2010",32,1,185,1,10.6,1,6.6,1,0.021,1,1.3,1,0.97,1,0.048,1,NA,NA,14,1,32,1,8,1
