"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"10:00:00 19/12/2012",40,1,120,1,NA,NA,NA,NA,7.4,1,6.9,1,0.09,1,0.64,1,0.11,1,NA,NA,0.22,1,17,1,19.3,1,21.8,1,NA,NA
"10:00:00 26/07/1999",NA,NA,NA,NA,189,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:00:00 28/08/2014",16,1,60,1,NA,NA,NA,NA,10.2,1,7.2,1,0.003,1,0.24,1,0.043,1,NA,NA,0.016,1,8,1,11.3,1,10.1,1,NA,NA
"10:00:00 29/09/2010",32,1,156,1,NA,NA,NA,NA,9.6,1,7,1,0.015,1,0.52,1,0.25,1,NA,NA,0.13,1,26,1,48.1,1,12.4,1,NA,NA
"10:00:00 30/04/2008",NA,NA,150,65,NA,NA,NA,NA,7.9,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6,65,12.2,65,NA,NA
"10:00:00 31/03/1998",NA,NA,NA,NA,145,1,7.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.117,1,NA,NA,NA,NA,NA,NA,7.43,1
"10:02:00 09/03/1999",NA,NA,NA,NA,140,1,5.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:04:00 16/03/1999",NA,NA,NA,NA,154,1,6.29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1,0.26,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:05:00 03/04/2007",30,65,245,65,NA,NA,NA,NA,6.2,65,7.3,65,0.004,65,0.52,65,0.04,65,NA,NA,0.04,65,10,65,7.8,65,18.2,65,NA,NA
"10:05:00 15/02/1999",NA,NA,NA,NA,188,1,5.19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,1,0.8,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:05:00 16/05/1999",NA,NA,NA,NA,124,1,9.07,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1,0.4,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:05:00 29/06/2009",10,65,146,65,NA,NA,NA,NA,10.2,65,7.2,65,0.003,65,0.55,65,0.3,65,NA,NA,0.04,65,11,65,13.5,65,8.9,65,NA,NA
"10:05:00 31/05/1999",NA,NA,NA,NA,161,1,8.62,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,1,0.22,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:10:00 05/07/1999",NA,NA,NA,NA,160,1,9.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,1,0.063,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:12:00 16/08/2006",25,65,260,65,NA,NA,NA,NA,9.8,65,7.2,65,0.005,65,0.49,65,0.49,65,NA,NA,0.03,65,6,65,8,65,9.7,65,NA,NA
"10:12:00 18/04/2013",10,1,90,1,NA,NA,NA,NA,8.6,1,7.3,1,0.003,1,0.2,1,0.014,1,NA,NA,0.027,1,12,1,13.6,1,16.2,1,NA,NA
"10:14:00 15/12/1998",NA,NA,NA,NA,110,1,7.14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,1,0.3,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:15:00 05/05/2011",14,1,56,1,NA,NA,NA,NA,9.8,1,6.9,1,0.009,1,0.24,1,0.056,1,NA,NA,0.038,1,11,1,12,1,15.2,1,NA,NA
"10:15:00 08/06/2011",14,1,60,1,NA,NA,NA,NA,10.9,1,7.2,1,0.003,1,0.19,1,0.033,1,NA,NA,0.024,1,6,1,10.7,1,9.4,1,NA,NA
"10:16:00 05/01/1999",NA,NA,NA,NA,156,1,6.06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,1,0.19,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:17:00 23/08/1999",NA,NA,NA,NA,115,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,1,0.17,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:18:00 10/05/2006",25,65,108,65,NA,NA,NA,NA,9.9,65,6.6,65,0.01,65,0.37,65,0.11,65,NA,NA,0.05,65,12,65,15,65,12.7,65,NA,NA
"10:19:00 23/03/1999",NA,NA,NA,NA,122,1,6.49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1,0.39,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:20:00 01/12/1998",NA,NA,NA,NA,84,1,8.62,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,1,0.082,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:20:00 17/11/1998",NA,NA,NA,NA,69,1,7.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,1,0.11,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:20:00 23/02/1999",NA,NA,NA,NA,127,1,5.95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1,0.19,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:20:00 28/06/1999",NA,NA,NA,NA,176,1,8.74,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,1,0.096,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:22:00 25/10/2006",16,65,NA,NA,NA,NA,NA,NA,9.2,65,7.2,65,0.005,65,0.26,65,0.05,65,NA,NA,0.03,65,11,65,9,65,17.6,65,NA,NA
"10:25:00 15/06/2006",25,65,141,65,NA,NA,NA,NA,11.3,65,7.4,65,0.01,65,0.35,65,0.06,65,NA,NA,0.03,65,4,65,6.7,65,8.3,65,NA,NA
"10:25:00 26/07/2006",18,65,173,65,NA,NA,NA,NA,10.7,65,7.1,65,0.004,65,0.32,65,0.51,65,NA,NA,0.04,65,8,65,9.8,65,10.8,65,NA,NA
"10:25:00 28/09/2006",25,65,180,65,NA,NA,NA,NA,8.7,65,6.7,65,0.007,65,0.3,65,0.1,65,NA,NA,0.02,65,6,65,5.8,65,NA,NA,NA,NA
"10:26:00 24/03/1998",NA,NA,NA,NA,133,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:28:00 27/10/1998",NA,NA,NA,NA,53,1,9.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,1,0.057,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:30:00 09/02/1999",NA,NA,NA,NA,142,1,6.28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:30:00 13/10/2005",30,65,73,65,NA,NA,NA,NA,8.6,65,6.9,65,0.04,65,0.39,65,0.08,65,NA,NA,0.09,65,8,65,13,65,NA,NA,NA,NA
"10:30:00 21/06/1999",NA,NA,NA,NA,195,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,1,0.11,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:30:00 29/06/2010",17,1,118,1,NA,NA,NA,NA,10,1,7.9,1,0.019,1,0.41,1,0.101,1,NA,NA,0.034,1,4,1,13.8,1,8.2,1,NA,NA
"10:30:00 30/04/2008",45,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,0.62,65,0.39,65,NA,NA,0.13,65,20,65,NA,NA,NA,NA,NA,NA
"10:32:00 16/08/1999",NA,NA,NA,NA,157,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,1,0.24,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:33:00 24/11/1998",NA,NA,NA,NA,77,1,8.49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,1,0.07,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:35:00 30/04/1997",NA,NA,NA,NA,152,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,1,NA,NA,NA,NA,NA,NA,7.04,1
"10:40:00 10/08/2005",35,65,209,65,NA,NA,NA,NA,9.7,65,7.4,65,0.003,65,0.39,65,0.53,65,NA,NA,0.06,65,12,65,15,65,NA,NA,NA,NA
"10:40:00 27/04/2006",25,65,104,65,NA,NA,NA,NA,10.6,65,7.1,65,0.05,65,0.36,65,0.12,65,NA,NA,0.11,65,6,65,9.5,65,14,65,NA,NA
"10:45:00 05/12/2007",65,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,65,0.43,65,0.52,65,NA,NA,0.06,65,48,65,NA,NA,NA,NA,NA,NA
