"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"11:40:00 14/07/1998",NA,NA,NA,NA,450,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,1,0.57,1,NA,NA,NA,NA,NA,NA,NA,NA
"11:40:00 27/02/1997",NA,NA,NA,NA,140,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,1,NA,NA,NA,NA,NA,NA,6.99,1
"11:40:00 28/08/1997",NA,NA,NA,NA,483,1,7.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.202,1,NA,NA,NA,NA,NA,NA,7.49,1
"11:43:00 13/04/1999",NA,NA,NA,NA,158,1,7.44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1,0.22,1,NA,NA,NA,NA,NA,NA,NA,NA
"11:50:00 09/06/1998",NA,NA,NA,NA,1146,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11:50:00 18/06/1997",NA,NA,NA,NA,241,1,8.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052,1,NA,NA,NA,NA,NA,NA,7.65,1
"11:50:00 26/06/1997",NA,NA,NA,NA,222,1,7.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,1,NA,NA,NA,NA,NA,NA,7.13,1
"11:55:00 25/05/1999",NA,NA,NA,NA,142,1,8.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1,0.24,1,NA,NA,NA,NA,NA,NA,NA,NA
"11:56:00 20/10/1998",NA,NA,NA,NA,54,1,9.18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12:00:00 04/08/1998",NA,NA,NA,NA,296,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,1,0.28,1,NA,NA,NA,NA,NA,NA,NA,NA
"12:00:00 07/01/2009",25,65,83,65,NA,NA,NA,NA,6.6,65,7,65,0.003,65,0.33,65,0.008,65,NA,NA,0.05,65,14,65,15.9,65,19.1,65,NA,NA
