"Date","AmmoniaasN","AmmoniaasN_Qual","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"08:35:00 15/01/2003",0.002,65,NA,NA,NA,NA,35,65,75,65,NA,NA,NA,NA,9,65,6.4,65,0.003,65,NA,NA,NA,NA,0.23,65,NA,NA,NA,NA,0.23,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,6,65,2.1,65,13.3,65,NA,NA
"08:35:00 19/11/1997",NA,NA,1.2,65,11,65,60,65,59,65,60,65,NA,NA,13.4,65,7.2,65,0.003,65,NA,NA,NA,NA,0.25,65,0.9,65,NA,NA,0.24,65,1.8,65,NA,NA,7.6,65,1,65,8,65,NA,NA,NA,NA,0.01,65,11,65,3.5,65,11.8,65,6.8,65
"08:35:00 25/09/1996",NA,NA,0.9,65,10,65,50,65,70,65,53,65,NA,NA,10.2,65,6.1,65,0.003,65,NA,NA,NA,NA,0.21,65,0.8,65,NA,NA,0.41,65,1.5,65,NA,NA,6.6,65,1.2,65,6,65,NA,NA,NA,NA,0.02,65,11,65,6.4,65,7.1,65,6.6,65
"08:35:00 28/06/2001",NA,NA,1.2,65,11,65,60,65,61,65,46,65,NA,NA,11.6,65,6.7,65,0.003,65,NA,NA,NA,NA,0.26,65,0.9,65,NA,NA,0.32,65,1.8,65,NA,NA,7.6,65,2,65,8,65,NA,NA,NA,NA,0.01,65,20,65,6.8,65,5.9,65,6.7,65
"08:37:00 07/12/1981",NA,NA,NA,NA,NA,NA,NA,NA,54,65,NA,NA,NA,NA,10.7,65,7.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,65,10.8,65,NA,NA
"08:38:00 06/10/1993",NA,NA,NA,NA,NA,NA,NA,NA,44,65,NA,NA,NA,NA,10.4,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,65,10,65,NA,NA
"08:40:00 12/05/2009",NA,NA,NA,NA,NA,NA,35,65,69,65,NA,NA,NA,NA,12.2,65,6.4,65,0.003,65,NA,NA,NA,NA,0.16,65,NA,NA,NA,NA,0.24,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,65,2,65,4,65,8.5,65,NA,NA
"08:40:00 13/01/2009",NA,NA,NA,NA,NA,NA,45,65,55,65,NA,NA,NA,NA,12.8,65,6.8,65,0.003,65,NA,NA,NA,NA,0.16,65,NA,NA,NA,NA,0.24,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,4,65,3.2,65,12.5,65,NA,NA
"08:40:00 15/10/1998",NA,NA,1.1,65,11,65,80,65,56,65,58,65,NA,NA,10.4,65,7.2,65,0.004,65,NA,NA,NA,NA,0.35,65,0.9,65,NA,NA,0.23,65,1.9,65,NA,NA,6.9,65,1,65,8,65,NA,NA,NA,NA,0.02,65,10,65,2.8,65,12.8,65,6.5,65
"08:43:00 07/08/1991",NA,NA,NA,NA,NA,NA,NA,NA,56,65,NA,NA,NA,NA,10.9,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,65,8.5,65,NA,NA
"08:43:00 17/07/1991",NA,NA,NA,NA,NA,NA,NA,NA,51,65,NA,NA,NA,NA,9.5,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,65,8,65,NA,NA
"08:45:00 03/03/2010",NA,NA,NA,NA,NA,NA,45,1,79.2,1,NA,NA,NA,NA,9.7,1,5.9,1,0.001,1,NA,NA,NA,NA,0.14,1,NA,NA,NA,NA,0.216,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011,1,6,1,3.3,1,12.3,1,NA,NA
"08:45:00 04/09/2007",NA,NA,NA,NA,NA,NA,60,65,63,65,NA,NA,NA,NA,11.7,65,6.7,65,0.003,65,NA,NA,NA,NA,0.21,65,NA,NA,NA,NA,0.24,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,8,65,4.5,65,7.3,65,NA,NA
"08:45:00 07/01/1986",NA,NA,NA,NA,NA,NA,NA,NA,70,65,NA,NA,NA,NA,9,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,65,12.2,65,NA,NA
"08:45:00 08/12/2009",NA,NA,NA,NA,NA,NA,45,1,64.9,1,NA,NA,NA,NA,10.3,1,6.9,1,0.002,1,NA,NA,NA,NA,0.24,1,NA,NA,NA,NA,0.239,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,1,10,1,8.9,1,13,1,NA,NA
"08:45:00 12/08/2008",NA,NA,NA,NA,NA,NA,100,65,76,65,NA,NA,NA,NA,10.1,65,6.2,65,0.003,65,NA,NA,NA,NA,0.39,65,NA,NA,NA,NA,0.33,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,6,65,8.5,65,6.9,65,NA,NA
"08:46:00 08/04/1992",NA,NA,NA,NA,NA,NA,NA,NA,52,65,NA,NA,NA,NA,11.6,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,65,11.5,65,NA,NA
"08:47:00 12/06/1991",NA,NA,NA,NA,NA,NA,NA,NA,68,65,NA,NA,NA,NA,10.4,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,65,11,65,NA,NA
"08:48:00 03/06/1992",NA,NA,NA,NA,NA,NA,NA,NA,46,65,NA,NA,NA,NA,10.6,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,65,8.5,65,NA,NA
"08:48:00 04/08/1993",NA,NA,NA,NA,NA,NA,NA,NA,42,65,NA,NA,NA,NA,12.2,65,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,65,6.5,65,NA,NA
"08:49:00 05/05/1993",NA,NA,NA,NA,NA,NA,NA,NA,47,65,NA,NA,NA,NA,9.6,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,65,10,65,NA,NA
"08:49:00 17/04/1991",NA,NA,NA,NA,NA,NA,NA,NA,61,65,NA,NA,NA,NA,10.2,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,65,10,65,NA,NA
"08:50:00 02/04/2014",NA,NA,NA,NA,NA,NA,60,1,61,1,NA,NA,NA,NA,9.6,1,4.4,1,0.003,1,NA,NA,NA,NA,0.38,1,NA,NA,NA,NA,0.22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038,1,4,1,6.1,1,14.9,1,NA,NA
"08:50:00 04/12/1985",NA,NA,NA,NA,NA,NA,NA,NA,55,65,NA,NA,NA,NA,10.3,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,65,13.3,65,NA,NA
"08:50:00 20/09/2001",NA,NA,1.1,65,11,65,50,65,65,65,70,65,NA,NA,10.6,65,6.9,65,0.02,65,NA,NA,NA,NA,0.16,65,0.8,65,NA,NA,0.3,65,1.7,65,NA,NA,7.2,65,1,65,10,65,NA,NA,NA,NA,0.04,65,6,65,1.7,65,9.9,65,8.3,65
"08:53:00 09/12/1999",NA,NA,1.1,65,12,65,55,65,69,65,61,65,NA,NA,9.4,65,6.7,65,0.003,65,NA,NA,NA,NA,0.33,65,0.8,65,NA,NA,0.24,65,1.8,65,NA,NA,7.6,65,1,65,9,65,NA,NA,NA,NA,0.01,65,6,65,2.4,65,14.6,65,6.7,65
"08:54:00 15/10/1991",NA,NA,NA,NA,NA,NA,NA,NA,57,65,NA,NA,NA,NA,9.4,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,65,12,65,NA,NA
"08:55:00 02/02/1984",NA,NA,NA,NA,NA,NA,NA,NA,65,65,NA,NA,NA,NA,11,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,65,9.4,65,NA,NA
"08:55:00 07/06/2007",NA,NA,NA,NA,NA,NA,40,65,58,65,NA,NA,NA,NA,10.6,65,6.8,65,0.003,65,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,0.26,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,3,65,3.2,65,7.7,65,NA,NA
"08:55:00 09/01/1985",NA,NA,NA,NA,NA,NA,NA,NA,99,65,NA,NA,NA,NA,9.3,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,12.5,65,NA,NA
"08:56:00 06/09/1994",NA,NA,NA,NA,NA,NA,35,65,51,65,NA,NA,NA,NA,11.8,65,6.3,65,0.003,65,NA,NA,NA,NA,0.4,65,NA,NA,NA,NA,0.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,15,65,11,65,9,65,NA,NA
"08:56:00 14/07/1992",NA,NA,NA,NA,NA,NA,NA,NA,44,65,NA,NA,NA,NA,10,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,65,7,65,NA,NA
"08:58:00 14/12/1992",NA,NA,NA,NA,NA,NA,NA,NA,56,65,NA,NA,NA,NA,8.7,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,65,13.5,65,NA,NA
"09:00:00 01/08/2007",NA,NA,NA,NA,NA,NA,70,65,57,65,NA,NA,NA,NA,11.8,65,6.8,65,0.003,65,NA,NA,NA,NA,0.27,65,NA,NA,NA,NA,0.28,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,5,65,3.7,65,7.7,65,NA,NA
"09:00:00 02/05/2007",NA,NA,NA,NA,NA,NA,NA,NA,62,65,NA,NA,NA,NA,10.5,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,65,11.8,65,NA,NA
"09:00:00 07/10/1992",NA,NA,NA,NA,NA,NA,NA,NA,43,65,NA,NA,NA,NA,11.4,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,65,9,65,NA,NA
"09:00:00 08/04/2008",NA,NA,NA,NA,NA,NA,40,65,61,65,NA,NA,NA,NA,10.3,65,6.9,65,0.003,65,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,65,2,65,4.7,65,10.4,65,NA,NA
"09:00:00 11/07/2007",NA,NA,NA,NA,NA,NA,80,65,57,65,NA,NA,NA,NA,10.8,65,6.9,65,0.003,65,NA,NA,NA,NA,0.27,65,NA,NA,NA,NA,0.31,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,3,65,3.3,65,6.5,65,NA,NA
"09:00:00 17/11/1998",NA,NA,1.1,65,9,65,65,65,56,65,59,65,NA,NA,8.6,65,7.6,65,0.003,65,NA,NA,NA,NA,0.24,65,0.9,65,NA,NA,0.28,65,1.7,65,NA,NA,7.6,65,1,65,8,65,NA,NA,NA,NA,0.01,65,6,65,2.1,65,12.6,65,7.2,65
"09:00:00 19/02/2001",NA,NA,1.1,65,12,65,60,65,56,65,63,65,NA,NA,10,65,6.5,65,0.02,65,NA,NA,NA,NA,0.18,65,0.9,65,NA,NA,0.22,65,1.9,65,NA,NA,8,65,1,65,10,65,NA,NA,NA,NA,0.03,65,5,65,1.3,65,15,65,7.3,65
"09:00:00 21/10/1999",NA,NA,1.1,65,11,65,65,65,55,65,58,65,NA,NA,11.6,65,6.9,65,0.005,65,NA,NA,NA,NA,0.25,65,0.9,65,NA,NA,0.27,65,1.8,65,NA,NA,7.5,65,1,65,9,65,NA,NA,NA,NA,0.007,65,9,65,2.3,65,10.3,65,7.1,65
"09:00:00 27/12/1979",NA,NA,NA,NA,NA,NA,NA,NA,60,65,NA,NA,NA,NA,9.9,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,65,11.6,65,NA,NA
"09:05:00 15/01/2004",NA,NA,NA,NA,NA,NA,80,65,60,65,NA,NA,NA,NA,10.2,65,7.5,65,0.003,65,NA,NA,NA,NA,0.19,65,NA,NA,NA,NA,0.25,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,4,65,NA,NA,13.2,65,NA,NA
"09:05:00 15/02/2000",NA,NA,1.1,65,11,65,55,65,58,65,59,65,NA,NA,10.3,65,6.7,65,0.003,65,NA,NA,NA,NA,0.16,65,0.8,65,NA,NA,0.39,65,1.6,65,NA,NA,7.1,65,1,65,8,65,NA,NA,NA,NA,0.01,65,6,65,2.9,65,12.8,65,6.8,65
"09:08:00 09/09/1992",NA,NA,NA,NA,NA,NA,NA,NA,60,65,NA,NA,NA,NA,11.2,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,65,7,65,NA,NA
"09:10:00 10/12/1986",NA,NA,NA,NA,NA,NA,NA,NA,65,65,NA,NA,NA,NA,10,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,65,12,65,NA,NA
"09:10:00 11/03/1987",NA,NA,NA,NA,NA,NA,NA,NA,61,65,NA,NA,NA,NA,10.6,65,7.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,65,10.5,65,NA,NA
"09:10:00 15/04/1980",NA,NA,1.1,65,11,65,60,65,60,65,NA,NA,NA,NA,9.6,65,6.8,65,NA,NA,14,65,0.66,65,0.65,65,0.8,65,0.02,65,0.26,65,1.7,65,18,65,7.9,65,2,65,8.8,65,72,65,5,65,0.02,65,6,65,1.3,65,9.8,65,NA,NA
"09:12:00 07/02/1994",NA,NA,NA,NA,NA,NA,50,65,57,65,NA,NA,NA,NA,9.4,65,6.8,65,0.03,65,NA,NA,NA,NA,0.3,65,NA,NA,NA,NA,0.26,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,19,65,4.6,65,15.5,65,NA,NA
"09:15:00 10/11/1983",NA,NA,11,65,9.3,65,120,65,50,65,NA,NA,NA,NA,11.2,65,7.1,65,NA,NA,38,65,0.56,65,0.45,65,1.3,65,0.02,65,0.42,65,1.9,65,10,65,6.7,65,2,65,14,65,66,65,12,65,0.01,65,12,65,6.9,65,8,65,NA,NA
"09:15:00 11/09/2000",NA,NA,1.2,65,11,65,90,65,46,65,51,65,NA,NA,10.6,65,6.7,65,0.004,65,NA,NA,NA,NA,0.4,65,1,65,NA,NA,0.35,65,1.8,65,NA,NA,6.8,65,2,65,6,65,NA,NA,NA,NA,0.02,65,21,65,12,65,7.3,65,6.2,65
"09:15:00 13/03/1996",NA,NA,NA,NA,NA,NA,55,65,65,65,NA,NA,NA,NA,10.2,65,6.6,65,0.003,65,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,0.39,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,12,65,3.2,65,13,65,NA,NA
"09:15:00 17/02/1998",NA,NA,1.3,65,11,65,90,65,62,65,62,65,NA,NA,10.6,65,6.6,65,0.005,65,NA,NA,NA,NA,0.47,65,0.9,65,NA,NA,0.22,65,2.4,65,NA,NA,7.5,65,2,65,8,65,NA,NA,NA,NA,0.02,65,20,65,7.1,65,11.5,65,6.6,65
"09:15:00 29/11/1978",NA,NA,NA,NA,NA,NA,NA,NA,57,65,NA,NA,NA,NA,9.6,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,65,14.8,65,NA,NA
"09:17:00 06/03/1991",NA,NA,NA,NA,NA,NA,NA,NA,61,65,NA,NA,NA,NA,10,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,65,13.5,65,NA,NA
"09:20:00 01/10/1982",NA,NA,NA,NA,NA,NA,NA,NA,62,65,NA,NA,NA,NA,11,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,65,8.2,65,NA,NA
"09:20:00 04/01/1995",NA,NA,NA,NA,NA,NA,45,65,62,65,NA,NA,NA,NA,8,65,6.7,65,0.003,65,NA,NA,NA,NA,0.3,65,NA,NA,NA,NA,0.25,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,14,65,4.3,65,14.5,65,NA,NA
"09:20:00 04/02/2014",NA,NA,NA,NA,NA,NA,50,1,59,1,NA,NA,NA,NA,9.9,1,5.2,1,0.003,1,NA,NA,NA,NA,0.27,1,NA,NA,NA,NA,0.24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017,1,6,1,6.2,1,14.1,1,NA,NA
"09:20:00 11/06/1980",NA,NA,NA,NA,NA,NA,NA,NA,55,65,NA,NA,NA,NA,11,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,65,7.2,65,NA,NA
"09:20:00 12/01/2010",NA,NA,NA,NA,NA,NA,50,1,59,1,NA,NA,NA,NA,8,1,6.6,1,0.001,1,NA,NA,NA,NA,0.17,1,NA,NA,NA,NA,0.255,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,1,4,1,3.5,1,17,1,NA,NA
"09:20:00 12/11/2002",NA,NA,1.1,65,11,65,40,65,44,65,61,65,NA,NA,9.8,65,6.5,65,0.003,65,NA,NA,NA,NA,0.28,65,0.8,65,NA,NA,0.29,65,1.5,65,NA,NA,7.8,65,1,65,9,65,NA,NA,NA,NA,0.02,65,8,65,3.5,65,7.6,65,7,65
"09:20:00 14/08/2002",NA,NA,1.4,65,10,65,100,65,68,65,58,65,NA,NA,9,65,6.6,65,0.003,65,NA,NA,NA,NA,0.46,65,1,65,NA,NA,0.39,65,2.1,65,NA,NA,7.2,65,2,65,6,65,NA,NA,NA,NA,0.01,65,16,65,19,65,6.3,65,6.4,65
"09:20:00 15/09/1998",NA,NA,1.2,65,11,65,100,65,57,65,58,65,NA,NA,11.2,65,7.4,65,0.005,65,NA,NA,NA,NA,0.34,65,0.9,65,NA,NA,0.31,65,1.8,65,NA,NA,7.6,65,1,65,9,65,NA,NA,NA,NA,0.02,65,14,65,2.8,65,8,65,6.5,65
"09:20:00 21/11/2000",NA,NA,1.9,65,12,65,70,65,66,65,63,65,NA,NA,9.6,65,6.7,65,0.005,65,NA,NA,NA,NA,0.23,65,1,65,NA,NA,0.27,65,2.2,65,NA,NA,8.1,65,2,65,9,65,NA,NA,NA,NA,0.02,65,22,65,1.2,65,11.6,65,6.9,65
"09:20:00 22/11/1999",NA,NA,1.1,65,11,65,50,65,50,65,58,65,NA,NA,10.6,65,6.7,65,0.003,65,NA,NA,NA,NA,0.28,65,0.9,65,NA,NA,0.25,65,1.6,65,NA,NA,7.2,65,1,65,8,65,NA,NA,NA,NA,0.02,65,14,65,4.4,65,11.7,65,6.6,65
"09:22:00 12/01/1994",NA,NA,NA,NA,NA,NA,35,65,52,65,NA,NA,NA,NA,9.4,65,6.8,65,0.003,65,NA,NA,NA,NA,0.3,65,NA,NA,NA,NA,0.29,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,16,65,3.7,65,13,65,NA,NA
"09:25:00 12/03/2003",0.002,65,NA,NA,NA,NA,60,65,79,65,NA,NA,NA,NA,8.7,65,7.1,65,0.003,65,NA,NA,NA,NA,0.23,65,NA,NA,NA,NA,0.19,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,65,7,65,1.7,65,13.5,65,NA,NA
"09:25:00 12/12/2000",NA,NA,1.2,65,11,65,45,65,57,65,58,65,NA,NA,10.2,65,6.7,65,0.003,65,NA,NA,NA,NA,0.21,65,0.9,65,NA,NA,0.26,65,2,65,NA,NA,7.9,65,2,65,8,65,NA,NA,NA,NA,0.01,65,10,65,3.9,65,14.6,65,6.7,65
"09:30:00 03/10/1985",NA,NA,NA,NA,NA,NA,NA,NA,58,65,NA,NA,NA,NA,9.2,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,65,9,65,NA,NA
"09:30:00 08/03/1988",NA,NA,NA,NA,NA,NA,NA,NA,59,65,NA,NA,NA,NA,9.4,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,65,12.5,65,NA,NA
"09:30:00 15/10/2007",NA,NA,NA,NA,NA,NA,50,65,57,65,NA,NA,NA,NA,10.1,65,6.9,65,0.003,65,NA,NA,NA,NA,0.23,65,NA,NA,NA,NA,0.26,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,3,65,2.7,65,9.2,65,NA,NA
"09:35:00 06/06/1983",NA,NA,NA,NA,NA,NA,NA,NA,48,65,NA,NA,NA,NA,10.5,65,8.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,5,65,NA,NA
"09:40:00 11/02/1983",NA,NA,NA,NA,NA,NA,NA,NA,64,65,NA,NA,NA,NA,5.4,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,65,12,65,NA,NA
"09:40:00 25/03/1998",NA,NA,1.3,65,11,65,60,65,60,65,65,65,NA,NA,10.6,65,6.9,65,0.009,65,NA,NA,NA,NA,0.41,65,0.9,65,NA,NA,0.19,65,2.1,65,NA,NA,8.4,65,1,65,9,65,NA,NA,NA,NA,0.01,65,6,65,2.6,65,10.7,65,7,65
"09:45:00 04/04/1985",NA,NA,NA,NA,NA,NA,NA,NA,67,65,NA,NA,NA,NA,10.8,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,65,12,65,NA,NA
"09:45:00 07/04/1987",NA,NA,NA,NA,NA,NA,NA,NA,57,65,NA,NA,NA,NA,9.8,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,65,13,65,NA,NA
