"Date","AmmoniaasN","AmmoniaasN_Qual","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"15:15:00 19/10/1978",NA,NA,NA,NA,NA,NA,NA,NA,51,65,NA,NA,NA,NA,9.5,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,65,9,65,NA,NA
"15:24:00 11/07/1995",NA,NA,NA,NA,NA,NA,60,65,84,65,NA,NA,NA,NA,11.3,65,6.8,65,0.008,65,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,0.34,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,8,65,15,65,8,65,NA,NA
"15:25:00 03/10/1994",NA,NA,NA,NA,NA,NA,35,65,45,65,NA,NA,NA,NA,10.6,65,6.8,65,0.003,65,NA,NA,NA,NA,0.3,65,NA,NA,NA,NA,0.32,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,8,65,4.4,65,10,65,NA,NA
"15:29:00 06/06/1994",NA,NA,NA,NA,NA,NA,30,65,48,65,NA,NA,NA,NA,10.2,65,7,65,0.003,65,NA,NA,NA,NA,0.3,65,NA,NA,NA,NA,0.29,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,6,65,3.7,65,10.5,65,NA,NA
"15:30:00 06/12/1994",NA,NA,NA,NA,NA,NA,45,65,49,65,NA,NA,NA,NA,7.6,65,6.4,65,0.003,65,NA,NA,NA,NA,0.4,65,NA,NA,NA,NA,0.26,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,13,65,4.1,65,17,65,NA,NA
"15:30:00 11/04/1994",NA,NA,NA,NA,NA,NA,80,65,42,65,NA,NA,NA,NA,9.2,65,6.7,65,0.003,65,NA,NA,NA,NA,0.5,65,NA,NA,NA,NA,0.22,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,25,65,14,65,11,65,NA,NA
"15:30:00 13/02/1996",NA,NA,NA,NA,NA,NA,60,65,50,65,NA,NA,NA,NA,10.2,65,6.2,65,0.003,65,NA,NA,NA,NA,0.4,65,NA,NA,NA,NA,0.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,28,65,4.3,65,12,65,NA,NA
"15:45:00 06/09/1995",NA,NA,NA,NA,NA,NA,60,65,69,65,NA,NA,NA,NA,11.7,65,6,65,0.003,65,NA,NA,NA,NA,0.3,65,NA,NA,NA,NA,0.31,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,NA,NA,36,65,6.5,65,NA,NA
"15:45:00 17/01/1996",NA,NA,NA,NA,NA,NA,55,65,55,65,NA,NA,NA,NA,6.4,65,6.4,65,0.004,65,NA,NA,NA,NA,0.5,65,NA,NA,NA,NA,0.32,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,10,65,5.2,65,17,65,NA,NA
"15:50:00 02/10/2013",NA,NA,NA,NA,NA,NA,90,1,55,1,NA,NA,NA,NA,10.2,1,5.2,1,0.003,1,NA,NA,NA,NA,0.42,1,NA,NA,NA,NA,0.28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018,1,9,1,11.6,1,9.9,1,NA,NA
"15:50:00 19/11/2007",NA,NA,NA,NA,NA,NA,NA,NA,190,65,NA,NA,NA,NA,8.4,65,8.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1,65,22,65,NA,NA
