"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual"
"10:00:00 09/11/1999",NA,NA,NA,NA,NA,NA,NA,NA,70,65,480,65,NA,NA,9,65,7.6,65,0.02,65,0.89,65,NA,NA,NA,NA,NA,NA,0.92,65,0.19,65,37,65,37.5,65,14.5,65,NA,NA
"10:00:00 14/07/1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450,65,NA,NA,11.2,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,65,8,65,NA,NA
"10:00:00 16/09/1999",NA,NA,NA,NA,NA,NA,NA,NA,45,65,460,65,NA,NA,9.8,65,7.3,65,0.04,65,0.86,65,NA,NA,NA,NA,NA,NA,1.4,65,0.17,65,35,65,32,65,13.5,65,NA,NA
"10:02:00 19/01/1994",NA,NA,NA,NA,NA,NA,NA,NA,65,65,320,65,NA,NA,8.9,65,6.8,65,0.07,65,0.6,65,NA,NA,NA,NA,NA,NA,0.7,65,0.2,65,51,65,52,65,18.5,65,NA,NA
"10:05:00 06/03/1996",NA,NA,NA,NA,NA,NA,NA,NA,55,65,550,65,NA,NA,9.8,65,7.3,65,0.02,65,0.6,65,NA,NA,NA,NA,NA,NA,0.88,65,0.13,65,33,65,30,65,19.5,65,NA,NA
"10:05:00 17/08/2006",NA,NA,0.001,65,2e-04,65,0.002,65,35,65,491,65,0.003,65,10,65,7.4,65,0.01,65,0.62,65,0.001,65,1e-04,65,0.002,65,0.88,65,0.05,65,18,65,28,65,10.4,65,0.01,65
"10:06:00 19/04/1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410,65,NA,NA,9.2,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,65,13,65,NA,NA
"10:10:00 11/04/2002",NA,NA,NA,NA,NA,NA,NA,NA,45,65,NA,NA,NA,NA,8.5,65,7,65,0.02,65,0.58,65,NA,NA,NA,NA,NA,NA,0.38,65,0.12,65,49,65,NA,NA,12.5,65,NA,NA
"10:10:00 11/08/2004",NA,NA,0.001,65,2e-04,65,0.004,65,60,65,470,65,0.006,65,10.8,65,6.8,65,0.03,65,1.5,65,0.003,65,1e-04,65,0.005,65,1.5,65,0.18,65,74,65,91,65,10.1,65,0.02,65
"10:10:00 15/03/2001",NA,NA,NA,NA,NA,NA,NA,NA,35,65,550,65,NA,NA,8.6,65,7.1,65,0.007,65,0.66,65,NA,NA,NA,NA,NA,NA,0.32,65,0.1,65,65,65,30,65,17,65,NA,NA
"10:10:00 24/01/2006",NA,NA,0.001,65,2e-04,65,0.003,65,60,65,473,65,0.005,65,6.7,65,7,65,0.003,65,0.93,65,0.002,65,1e-04,65,0.004,65,0.02,65,0.09,65,68,65,89,65,NA,NA,0.03,65
"10:15:00 03/04/2001",NA,NA,NA,NA,NA,NA,NA,NA,35,65,490,65,NA,NA,9.6,65,7.1,65,0.008,65,0.76,65,NA,NA,NA,NA,NA,NA,0.68,65,0.13,65,43,65,31,65,14,65,NA,NA
"10:15:00 09/07/2003",0.002,65,0.001,65,2e-04,65,0.001,65,30,65,600,65,0.005,65,9.4,65,7.2,65,0.03,65,0.59,65,0.001,65,1e-04,65,0.002,65,0.95,65,0.06,65,23,65,NA,NA,7.7,65,0.01,65
"10:15:00 10/09/2002",NA,NA,NA,NA,NA,NA,NA,NA,30,65,410,65,NA,NA,8.7,65,7.4,65,0.05,65,0.53,65,NA,NA,NA,NA,NA,NA,0.93,65,0.12,65,17,65,18,65,7.4,65,NA,NA
"10:16:00 10/05/2018",NA,NA,0.001,1,2e-04,1,0.002,1,32,1,394,1,0.002,1,10,1,7.1,1,0.017,1,0.5,1,0.001,1,1e-04,1,0.002,1,1,1,0.093,1,36,1,48.3,1,11.3,1,0.005,1
"10:18:00 04/06/1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,65,NA,NA,9.6,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,65,12.5,65,NA,NA
"10:19:00 05/12/2017",NA,NA,0.001,1,2e-04,1,0.003,1,96,1,502,1,0.004,1,8.3,1,7,1,0.058,1,1.3,1,0.002,1,1e-04,1,0.004,1,1.3,1,0.21,1,79,1,84,1,16.2,1,0.01,1
"10:20:00 05/11/2008",NA,NA,0.001,65,2e-04,65,0.004,65,56,65,365,65,0.005,65,8.3,65,7.3,65,0.003,65,1,65,0.001,65,1e-04,65,0.003,65,0.91,65,0.15,65,40,65,49.7,65,15.1,65,0.01,65
"10:20:00 06/04/2004",NA,NA,0.001,65,2e-04,65,0.004,65,30,65,500,65,0.005,65,7.6,65,7.1,65,0.006,65,0.6,65,0.002,65,1e-04,65,0.003,65,0.49,65,0.07,65,51,65,51.2,65,16.6,65,0.01,65
"10:20:00 08/11/2017",NA,NA,0.001,1,2e-04,1,0.001,1,64,1,480,1,0.001,1,9.2,1,7,1,0.027,1,0.81,1,0.001,1,1e-04,1,0.002,1,1.3,1,0.12,1,28,1,37.2,1,14.8,1,0.003,1
"10:25:00 09/06/2004",NA,NA,0.001,65,2e-04,65,0.002,65,25,65,520,65,0.003,65,10.2,65,7.2,65,0.01,65,0.62,65,0.001,65,1e-04,65,0.002,65,0.8,65,0.06,65,18,65,23,65,7.8,65,0.01,65
"10:25:00 18/05/2006",NA,NA,0.001,65,2e-04,65,0.002,65,55,65,429,65,0.009,65,10.5,65,7.1,65,0.02,65,0.58,65,0.001,65,1e-04,65,0.003,65,0.09,65,0.09,65,26,65,35,65,11.9,65,0.01,65
"10:25:00 25/07/2006",NA,NA,0.001,65,2e-04,65,0.005,65,55,65,447,65,0.005,65,10.3,65,7.1,65,0.05,65,1.5,65,0.002,65,1e-04,65,0.004,65,1.8,65,0.22,65,58,65,83,65,10,65,0.02,65
"10:26:00 16/06/2005",NA,NA,0.001,65,2e-04,65,0.002,65,40,65,494,65,0.002,65,NA,180,7.3,65,0.01,65,0.55,65,0.002,65,1e-04,65,0.002,65,0.68,65,0.07,65,20,65,33,65,NA,NA,0.009,65
"10:29:00 09/11/2015",NA,NA,0.001,1,2e-04,1,0.003,1,60,1,426,1,0.004,1,9,1,6.9,1,0.036,1,0.75,1,0.001,1,1e-04,1,0.003,1,0.82,1,0.13,1,64,1,70.2,1,15.7,1,0.009,1
"10:30:00 02/07/2019",NA,NA,0.001,1,2e-04,1,0.001,1,30,1,545,1,0.002,1,10.63,1,7.22,1,0.027,1,0.75,1,0.001,1,1e-04,1,0.002,1,1.4,1,0.1,1,36,1,36.1,1,8.5,1,0.011,1
"10:30:00 04/11/2010",NA,NA,0.001,1,2e-04,1,0.002,1,100,1,394,1,0.003,1,8.2,1,7.3,1,0.032,1,0.93,1,0.001,1,1e-04,1,0.003,1,1,1,0.12,1,36,1,59.3,1,15,1,0.01,1
"10:30:00 07/12/2000",NA,NA,NA,NA,NA,NA,NA,NA,60,65,390,65,NA,NA,7.8,65,7.3,65,0.01,65,0.83,65,NA,NA,NA,NA,NA,NA,0.84,65,0.16,65,48,65,32,65,20,65,NA,NA
"10:30:00 10/05/2001",NA,NA,NA,NA,NA,NA,NA,NA,40,65,460,65,NA,NA,10.2,65,7.1,65,0.01,65,0.6,65,NA,NA,NA,NA,NA,NA,0.92,65,0.11,65,24,65,19,65,11,65,NA,NA
"10:30:00 10/08/2000",NA,NA,NA,NA,NA,NA,NA,NA,60,65,440,65,NA,NA,11.2,65,7.4,65,0.03,65,1.3,65,NA,NA,NA,NA,NA,NA,1.2,65,0.21,65,44,65,42,65,10,65,NA,NA
"10:30:00 12/02/2001",NA,NA,NA,NA,NA,NA,NA,NA,40,65,450,65,NA,NA,7.6,65,7.1,65,0.008,65,0.74,65,NA,NA,NA,NA,NA,NA,0.24,65,0.13,65,83,65,38,65,20,65,NA,NA
"10:30:00 13/12/2007",NA,NA,0.001,65,2e-04,65,0.002,65,70,65,443,65,0.003,65,8.6,65,6.7,65,0.005,65,0.64,65,0.002,65,1e-04,65,0.003,65,0.31,65,0.1,65,48,65,65.9,65,19.2,65,0.01,65
"10:30:00 24/10/2006",NA,NA,0.001,65,2e-04,65,0.003,65,40,65,NA,NA,0.003,65,9.8,65,7.3,65,0.03,65,0.57,65,0.001,65,1e-04,65,0.002,65,0.63,65,0.07,65,21,65,45,65,17.2,65,0.007,65
"10:30:00 26/04/2006",NA,NA,0.001,65,2e-04,65,0.003,65,45,65,470,65,0.004,65,11.1,65,6.8,65,0.01,65,0.71,65,0.001,65,1e-04,65,0.002,65,1.1,65,0.07,65,27,65,43,65,12.1,65,0.01,65
"10:31:00 19/05/2005",NA,NA,0.001,65,2e-04,65,0.002,65,40,65,509,65,0.003,65,10.5,65,7.3,65,0.009,65,0.45,65,0.001,65,1e-04,65,0.002,65,0.61,65,0.05,65,18,65,27,65,NA,NA,0.007,65
"10:32:00 12/10/1994",NA,NA,NA,NA,NA,NA,NA,NA,75,65,260,65,NA,NA,10.7,65,6.7,65,0.03,65,1,65,NA,NA,NA,NA,NA,NA,1.4,65,0.15,65,9,65,71,65,13.5,65,NA,NA
"10:34:00 12/04/2016",NA,NA,0.001,1,2e-04,1,0.002,1,24,1,626,1,0.002,1,8.7,1,7.4,1,0.012,1,0.61,1,0.001,1,1e-04,1,0.002,1,0.53,1,0.088,1,NA,NA,55,1,15.6,1,0.006,1
"10:35:00 06/01/2021",NA,NA,0.001,1,2e-04,1,0.002,1,70,1,441,1,0.003,1,8.2,1,7.3,1,0.017,1,0.6,1,0.002,1,1e-04,1,0.003,1,0.52,1,0.15,1,74,1,85.4,1,18.9,1,0.007,1
"10:35:00 10/05/2000",NA,NA,NA,NA,NA,NA,NA,NA,40,65,590,65,NA,NA,10.2,65,7.1,65,0.003,65,0.79,65,NA,NA,NA,NA,NA,NA,1,65,0.12,65,34,65,26,65,13,65,NA,NA
"10:35:00 14/06/2006",NA,NA,0.001,65,2e-04,65,0.002,65,25,65,504,65,0.003,65,11.2,65,7.2,65,0.009,65,0.85,65,0.001,65,1e-04,65,0.002,65,2.1,65,0.05,65,24,65,29,65,8.2,65,0.01,65
"10:35:00 14/07/2004",NA,NA,0.001,65,2e-04,65,0.002,65,50,65,480,65,0.006,65,11.3,65,6.7,65,0.02,65,1.2,65,0.001,65,1e-04,65,0.004,65,1.7,65,0.12,65,41,65,48,65,9.7,65,0.01,65
"10:35:00 14/07/2005",NA,NA,0.001,65,2e-04,65,0.003,65,40,65,539,65,0.002,65,NA,180,7.5,65,0.01,65,0.62,65,0.001,65,1e-04,65,0.002,65,0.85,65,0.07,65,30,65,42,65,NA,NA,0.009,65
