"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual"
"11:02:00 09/04/2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,180,526,1,NA,NA,9.3,1,7.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8,1,15.3,1,NA,NA
"11:02:00 09/04/2015",NA,NA,0.001,1,2e-04,1,0.001,1,65,1,NA,NA,0.002,1,NA,NA,NA,NA,0.029,1,1,1,0.001,1,1e-04,1,0.002,1,0.65,1,0.14,1,36,1,NA,NA,NA,NA,0.007,1
"11:04:00 15/05/1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530,65,NA,NA,10.4,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,65,11,65,NA,NA
"11:06:00 02/08/2017",NA,NA,0.001,1,2e-04,1,0.001,1,40,1,521,1,0.002,1,10.7,1,7.4,1,0.021,1,0.64,1,0.001,1,1e-04,1,0.002,1,1.1,1,0.067,1,23,1,33.1,1,8.1,1,0.005,1
"11:10:00 03/12/1998",NA,NA,NA,NA,NA,NA,NA,NA,48,65,440,65,NA,NA,8.4,65,7.3,65,0.02,65,0.96,65,NA,NA,NA,NA,NA,NA,0.73,65,0.16,65,48,65,18,65,19,65,NA,NA
"11:10:00 07/09/2020",NA,NA,0.001,1,2e-04,1,0.001,1,60,1,375.5,1,0.002,1,10.4,1,7.14,1,0.013,1,0.38,1,0.001,1,1e-04,1,0.002,1,1.4,1,0.1,1,46,1,46,1,11.9,1,0.005,1
"11:10:00 10/06/1998",NA,NA,NA,NA,NA,NA,NA,NA,40,65,440,65,NA,NA,10.6,65,7.3,65,0.11,65,1.2,65,NA,NA,NA,NA,NA,NA,1.2,65,0.21,65,23,65,130,65,10.1,65,NA,NA
"11:15:00 06/03/2013",NA,NA,0.001,1,2e-04,1,0.003,1,55,1,471,1,0.002,1,8.2,1,7.3,1,0.015,1,0.82,1,0.002,1,1e-04,1,0.003,1,0.43,1,0.13,1,73,1,102,1,21.5,1,0.009,1
"11:15:00 07/05/2013",NA,NA,0.001,1,2e-04,1,0.002,1,30,1,512,1,0.001,1,11,1,7.4,1,0.011,1,0.47,1,0.001,1,1e-04,1,0.001,1,0.51,1,0.087,1,31,1,47.3,1,9.6,1,0.003,1
"11:21:00 21/03/1994",NA,NA,NA,NA,NA,NA,NA,NA,50,65,380,65,NA,NA,8.4,65,6.9,65,0.03,65,0.8,65,NA,NA,NA,NA,NA,NA,0.73,65,0.13,65,37,65,43,65,17.5,65,NA,NA
