"Date","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"07:30:00 23/12/1992",NA,NA,NA,NA,NA,NA,89,65,NA,NA,9.4,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,65,15.5,65,NA,NA
"07:40:00 10/11/1993",NA,NA,NA,NA,15,65,67,65,NA,NA,9.8,65,7.2,65,NA,NA,0.2,65,NA,NA,0.11,65,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,23,65,10,65,13,65,NA,NA
"07:45:00 23/02/1993",NA,NA,NA,NA,NA,NA,92,65,NA,NA,9.6,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1,65,14.5,65,NA,NA
"08:00:00 09/11/1994",NA,NA,NA,NA,80,65,130,65,NA,NA,10.2,65,7.1,65,0.05,65,0.7,65,NA,NA,0.16,65,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,73,65,32,65,11.5,65,NA,NA
"08:00:00 12/12/1994",NA,NA,NA,NA,30,65,92,65,NA,NA,8.6,65,6.8,65,0.005,65,0.2,65,NA,NA,0.11,65,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,16,65,3.5,65,20.5,65,NA,NA
"08:00:00 14/12/1995",NA,NA,NA,NA,25,65,110,65,NA,NA,8.9,65,6.8,65,0.003,65,0.2,65,NA,NA,0.12,65,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,28,65,7.5,65,15.5,65,NA,NA
"08:00:00 15/02/1995",NA,NA,NA,NA,30,65,110,65,NA,NA,7.3,65,7.1,65,0.005,65,0.4,65,NA,NA,0.11,65,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,28,65,2.9,65,20,65,NA,NA
"08:05:00 27/10/2009",NA,NA,NA,NA,18,1,102.5,1,NA,NA,8.7,1,7.3,1,0.003,1,0.14,1,NA,NA,0.083,1,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1,3,1,8.9,1,14,1,NA,NA
"08:10:00 26/03/1997",3,65,11,65,32,65,99,65,96,65,8.8,65,6.3,65,0.003,65,0.21,65,2.9,65,0.07,65,0.7,65,8.7,65,3,65,24,65,0.02,65,4,65,3,65,16,65,7.3,65
"08:15:00 13/02/2008",NA,NA,NA,NA,35,65,119,65,NA,NA,8.2,65,6.9,65,0.003,65,0.13,65,NA,NA,0.12,65,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,11,65,16,65,19.2,65,NA,NA
"08:15:00 18/12/1991",NA,NA,NA,NA,NA,NA,82,65,NA,NA,8.6,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,65,16.5,65,NA,NA
