"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual","pHLab","pHLab_Qual"
"12:54:00 13/12/2016",NA,NA,0.001,1,2e-04,1,0.001,1,24,1,179,1,0.001,1,8.2,1,7.7,1,0.008,1,0.3,1,0.001,1,1e-04,1,0.001,1,0.013,1,0.016,1,NA,NA,4.8,1,23.9,1,0.007,1,NA,NA
"12:55:00 14/10/1999",NA,NA,NA,NA,NA,NA,NA,NA,14,65,190,65,NA,NA,9.6,65,7.4,65,0.004,65,0.23,65,NA,NA,NA,NA,NA,NA,0.14,65,0.02,65,6,65,4.3,65,21,65,NA,NA,NA,NA
"12:56:00 04/04/2019",NA,NA,0.001,1,2e-04,1,0.001,1,8,1,536,1,0.001,1,9,1,7.8,1,0.003,1,0.21,1,0.001,1,1e-04,1,0.002,1,0.004,1,0.011,1,6,1,4.6,1,18.8,1,0.003,1,NA,NA
"13:00:00 04/03/1999",NA,NA,NA,NA,NA,NA,NA,NA,55,65,120,65,NA,NA,8,65,6.9,65,0.23,65,0.65,65,NA,NA,NA,NA,NA,NA,0.11,65,0.33,65,20,65,19,65,24,65,NA,NA,NA,NA
"13:00:00 07/02/2019",NA,NA,0.001,1,2e-04,1,0.001,1,10,1,467,1,0.001,1,7.8,1,7.5,1,0.003,1,0.27,1,0.001,1,1e-04,1,0.002,1,0.007,1,0.005,1,4,1,5.3,1,26,1,0.006,1,NA,NA
"13:00:00 10/09/1997",NA,NA,NA,NA,NA,NA,NA,NA,25,65,230,65,NA,NA,10.2,65,7.4,65,0.003,65,0.12,65,NA,NA,NA,NA,NA,NA,0.06,65,0.01,65,5,65,11,65,16.5,65,NA,NA,NA,NA
"13:00:00 12/11/2015",NA,NA,0.001,1,2e-04,1,0.001,1,20,1,140,1,0.001,1,8,1,7.2,1,0.008,1,0.2,1,0.001,1,1e-04,1,0.001,1,0.082,1,0.019,1,6,1,7.7,1,19.2,1,0.008,1,NA,NA
"13:00:00 13/03/2007",NA,NA,0.001,65,2e-04,65,0.004,65,16,65,438,65,0.002,65,8.2,65,7.3,65,0.003,65,0.33,65,0.001,65,1e-04,65,0.001,65,0.009,65,0.03,65,5,65,6,65,22.9,65,0.003,65,NA,NA
"13:00:00 13/03/2014",NA,NA,0.001,1,2e-04,1,0.001,1,8,1,402,1,0.001,1,7.9,1,7.5,1,0.003,1,0.2,1,0.001,1,1e-04,1,0.001,1,0.003,1,0.016,1,10,1,8.3,1,22,1,0.003,1,NA,NA
"13:00:00 14/05/2015",NA,NA,0.001,1,2e-04,1,0.001,1,18,1,149,1,0.002,1,9.8,1,7.2,1,0.004,1,0.2,1,0.001,1,1e-04,1,0.001,1,0.23,1,0.04,1,6,1,11.5,1,12.2,1,0.017,1,NA,NA
"13:00:00 19/01/2005",NA,NA,0.001,65,2e-04,65,0.001,65,15,65,290,65,0.001,65,9.1,65,7.5,65,0.003,65,0.21,65,0.001,65,1e-04,65,0.001,65,0.008,65,0.01,65,2,65,3,65,26.3,65,0.003,65,NA,NA
"13:00:00 20/02/2002",NA,NA,NA,NA,NA,NA,NA,NA,25,65,120,65,NA,NA,9,65,6.6,65,0.003,65,0.21,65,NA,NA,NA,NA,NA,NA,0.04,65,0.02,65,4,65,3.5,65,23.5,65,NA,NA,NA,NA
"13:00:00 22/08/2002",NA,NA,NA,NA,NA,NA,NA,NA,10,65,230,65,NA,NA,10.8,65,6.9,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.3,65,0.01,65,2,65,5.8,65,13.3,65,NA,NA,NA,NA
"13:00:00 23/07/2009",NA,NA,0.001,1,1e-04,1,0.001,1,8,1,348.5,1,0.001,1,9.4,1,7.4,1,0.002,1,0.05,1,0.001,1,1e-04,1,0.001,1,0.187,1,0.009,1,1,1,5.8,1,10.8,1,0.002,1,NA,NA
"13:00:00 25/05/2017",NA,NA,0.001,1,2e-04,1,0.001,1,18,1,348,1,0.001,1,9.1,1,7.6,1,0.016,1,0.14,1,0.001,1,1e-04,1,0.001,1,0.37,1,0.009,1,4,1,5.2,1,13.9,1,0.002,1,NA,NA
