"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual","pHLab","pHLab_Qual"
"14:00:00 10/11/1993",NA,NA,NA,NA,NA,NA,NA,NA,15,65,170,65,NA,NA,9.2,65,7.4,65,0.004,65,0.2,65,NA,NA,NA,NA,NA,NA,0.1,65,0.01,65,2,65,6.4,65,18.5,65,NA,NA,NA,NA
"14:00:00 11/05/1995",NA,NA,NA,NA,NA,NA,NA,NA,20,65,230,65,NA,NA,9.8,65,6.7,65,0.006,65,0.3,65,NA,NA,NA,NA,NA,NA,0.41,65,0.03,65,7,65,1,65,15,65,NA,NA,NA,NA
"14:00:00 14/01/2015",NA,NA,0.001,1,2e-04,1,0.001,1,25,1,140,1,0.001,1,8,1,7.5,1,0.003,1,0.37,1,0.001,1,1e-04,1,0.001,1,0.028,1,0.016,1,8,1,7.3,1,23.1,1,0.004,1,NA,NA
"14:00:00 14/11/2013",NA,NA,0.001,1,2e-04,1,0.001,1,12,1,132,1,0.001,1,9,1,7.2,1,0.003,1,0.18,1,0.001,1,1e-04,1,0.001,1,0.13,1,0.019,1,8,1,10,1,16.9,1,0.003,1,NA,NA
"14:00:00 17/12/2003",NA,NA,0.001,65,2e-04,65,0.001,65,45,65,190,65,0.003,65,7.8,65,NA,NA,0.009,65,0.24,65,0.001,65,1e-04,65,0.001,65,0.01,65,0.01,65,3,65,NA,NA,30.3,65,0.006,65,7.2,65
"14:00:00 18/02/2004",NA,NA,0.002,65,2e-04,65,0.001,65,19,65,320,65,0.002,65,7.4,65,7.1,65,0.005,65,0.24,65,0.001,65,1e-04,65,0.001,65,0.01,65,0.01,65,2,65,4.2,65,27.9,65,0.003,65,NA,NA
"14:00:00 20/11/2003",NA,NA,0.001,65,2e-04,65,0.001,65,25,65,200,65,0.001,65,8.9,65,7.2,65,0.003,65,0.24,65,0.001,65,1e-04,65,0.001,65,0.009,65,0.02,65,2,65,NA,NA,25.7,65,0.007,65,NA,NA
"14:00:00 21/01/2004",NA,NA,0.001,65,2e-04,65,0.001,65,18,65,340,65,0.002,65,8.8,65,7.8,65,0.005,65,0.22,65,0.001,65,1e-04,65,0.001,65,0.01,65,0.01,65,4,65,NA,NA,25.9,65,0.003,65,NA,NA
"14:00:00 24/06/2002",NA,NA,NA,NA,NA,NA,NA,NA,35,65,130,65,NA,NA,9.9,65,7.2,65,0.003,65,0.22,65,NA,NA,NA,NA,NA,NA,0.16,65,0.01,65,2,65,4.7,65,11,65,NA,NA,NA,NA
"14:00:00 24/06/2009",NA,NA,0.001,65,2e-04,65,0.001,65,6,65,350,65,0.001,65,10.1,65,7.2,65,0.003,65,0.22,65,0.001,65,1e-04,65,0.001,65,0.05,65,0.01,65,2,65,4.3,65,11.5,65,0.002,65,NA,NA
"14:00:00 27/06/1995",NA,NA,NA,NA,NA,NA,NA,NA,23,65,170,65,NA,NA,10.5,65,7.1,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.15,65,0.01,65,7,65,5.9,65,10,65,NA,NA,NA,NA
"14:00:00 28/02/1995",NA,NA,NA,NA,NA,NA,NA,NA,20,65,370,65,NA,NA,7.4,65,6.6,65,0.003,65,0.3,65,NA,NA,NA,NA,NA,NA,0.007,65,0.03,65,5,65,4.8,65,22.5,65,NA,NA,NA,NA
"14:00:00 28/03/2011",NA,NA,0.001,1,2e-04,1,0.001,1,25,1,114,1,0.001,1,7.8,1,7.3,1,0.003,1,1.1,1,0.001,1,1e-04,1,0.001,1,0.003,1,0.11,1,2,1,6.8,1,20.1,1,0.003,1,NA,NA
"14:00:00 28/06/2001",NA,NA,NA,NA,NA,NA,NA,NA,10,65,220,65,NA,NA,11.8,65,7,65,0.003,65,0.14,65,NA,NA,NA,NA,NA,NA,0.08,65,0.01,65,2,65,3,65,11,65,NA,NA,NA,NA
"14:00:00 29/04/2013",NA,NA,0.001,1,2e-04,1,0.001,1,8,1,364,1,0.001,1,9.1,1,7.3,1,0.003,1,0.19,1,0.001,1,1e-04,1,0.002,1,0.25,1,0.014,1,3,1,6.1,1,16.8,1,0.011,1,NA,NA
"14:01:00 28/06/2017",NA,NA,0.001,1,2e-04,1,0.001,1,12,1,370,1,0.001,1,10.9,1,7.3,1,0.01,1,0.22,1,0.001,1,1e-04,1,0.002,1,0.48,1,0.005,1,3,1,7.9,1,10.8,1,0.002,1,NA,NA
"14:05:00 19/10/2005",NA,NA,0.001,65,2e-04,65,0.001,65,20,65,174,65,0.003,65,9.6,65,6.7,65,0.003,65,0.17,65,0.001,65,4e-04,65,0.001,65,0.01,65,0.007,65,4,65,NA,NA,NA,NA,0.003,65,NA,NA
"14:10:00 20/09/2006",NA,NA,0.001,65,2e-04,65,0.001,65,30,65,111,65,0.001,65,9.5,65,6.5,65,0.003,65,0.22,65,0.001,65,1e-04,65,0.001,65,0.02,65,0.006,65,2,65,3.1,65,16.9,65,0.004,65,NA,NA
"14:10:00 23/08/2006",NA,NA,0.001,65,2e-04,65,0.002,65,25,65,176,65,0.002,65,10.4,65,6.7,65,0.003,65,0.12,65,0.006,65,1e-04,65,0.001,65,0.02,65,0.009,65,4,65,2.8,65,13.1,65,0.02,65,NA,NA
"14:10:00 26/10/2000",NA,NA,NA,NA,NA,NA,NA,NA,16,65,190,65,NA,NA,9.2,65,7,65,0.003,65,0.24,65,NA,NA,NA,NA,NA,NA,0.02,65,0.04,65,14,65,12,65,19.6,65,NA,NA,NA,NA
"14:10:00 29/04/2009",NA,NA,0.001,65,2e-04,65,0.001,65,7,65,434,65,0.001,65,8.1,65,6.9,65,0.003,65,0.16,65,0.001,65,1e-04,65,0.001,65,0.004,65,0.01,65,2,65,3.3,65,13.8,65,0.003,65,NA,NA
"14:10:00 29/06/2007",NA,NA,0.002,65,2e-04,65,0.01,65,90,65,98,65,0.01,65,15.7,65,6.7,65,0.004,65,1,65,0.006,65,1e-04,65,0.008,65,0.73,65,0.15,65,250,65,568,65,11.1,65,0.03,65,NA,NA
"14:15:00 03/02/2000",NA,NA,NA,NA,NA,NA,NA,NA,10,65,300,65,NA,NA,8,65,7.2,65,0.003,65,0.19,65,NA,NA,NA,NA,NA,NA,0.02,65,0.01,65,2,65,3,65,29,65,NA,NA,NA,NA
"14:15:00 14/07/1993",NA,NA,NA,NA,NA,NA,NA,NA,15,65,230,65,NA,NA,10.8,65,7.3,65,0.005,65,0.2,65,NA,NA,NA,NA,NA,NA,0.36,65,0.01,65,6,65,6.5,65,10,65,NA,NA,NA,NA
"14:15:00 18/05/2000",NA,NA,NA,NA,NA,NA,NA,NA,30,65,240,65,NA,NA,10,65,7.1,65,0.003,65,0.24,65,NA,NA,NA,NA,NA,NA,0.01,65,0.02,65,4,65,1.6,65,13.5,65,NA,NA,NA,NA
"14:15:00 18/10/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,65,21.9,65,NA,NA,NA,NA
"14:15:00 19/03/1997",NA,NA,NA,NA,NA,NA,NA,NA,18,65,290,65,NA,NA,8.6,65,7.4,65,0.003,65,0.2,65,NA,NA,NA,NA,NA,NA,0.003,65,0.02,65,4,65,4.6,65,22,65,NA,NA,NA,NA
"14:15:00 20/04/2005",NA,NA,0.001,65,2e-04,65,0.001,65,12,65,341,65,0.001,65,7,65,6.9,65,0.003,65,0.2,65,0.001,65,1e-04,65,0.001,65,0.02,65,0.01,65,4,65,3.5,65,NA,NA,0.003,65,NA,NA
"14:15:00 22/12/2009",NA,NA,0.001,1,1e-04,1,0.001,1,17,1,179.6,1,0.001,1,7.2,1,6.8,1,0.001,1,0.13,1,0.001,1,1e-04,1,0.001,1,0.004,1,0.015,1,2,1,3.8,1,25.7,1,0.005,1,NA,NA
"14:20:00 11/02/1998",NA,NA,NA,NA,NA,NA,NA,NA,12,65,500,65,NA,NA,8.6,65,7.7,65,0.003,65,0.24,65,NA,NA,NA,NA,NA,NA,0.004,65,0.005,65,4,65,3.2,65,28,65,NA,NA,NA,NA
"14:20:00 12/04/2006",NA,NA,0.001,65,2e-04,65,0.001,65,10,65,463,65,0.006,65,10,65,7.4,65,0.003,65,0.22,65,0.001,65,1e-04,65,0.002,65,0.006,65,0.01,65,3,65,3.1,65,18.4,65,0.003,65,NA,NA
"14:20:00 13/10/2016",NA,NA,0.001,1,2e-04,1,0.001,1,18,1,127,1,0.004,1,10.6,1,7.3,1,0.021,1,0.24,1,0.001,1,1e-04,1,0.001,1,0.14,1,0.021,1,NA,NA,8.7,1,17.3,1,0.038,1,NA,NA
"14:20:00 16/01/2014",NA,NA,0.001,1,2e-04,1,0.001,1,12,1,291,1,0.001,1,8.4,1,7.3,1,0.003,1,0.24,1,0.001,1,1e-04,1,0.001,1,0.007,1,0.012,1,4,1,5.4,1,30.9,1,0.004,1,NA,NA
"14:20:00 21/03/1995",NA,NA,NA,NA,NA,NA,NA,NA,20,65,320,65,NA,NA,8.7,65,6.9,65,0.003,65,0.3,65,NA,NA,NA,NA,NA,NA,0.01,65,0.03,65,9,65,6,65,20,65,NA,NA,NA,NA
"14:20:00 22/05/2007",NA,NA,0.001,65,2e-04,65,0.001,65,20,65,237,65,0.004,65,7.4,65,7,65,0.003,65,0.16,65,0.001,65,1e-04,65,0.001,65,0.01,65,0.005,65,1,65,3.8,65,13.5,65,0.007,65,NA,NA
"14:20:00 23/03/2010",NA,NA,0.001,1,1e-04,1,0.001,1,28,1,178,1,0.002,1,7.6,1,6.8,1,0.002,1,0.2,1,0.058,1,1e-04,1,0.001,1,0.009,1,0.005,1,4,1,8,1,22,1,0.019,1,NA,NA
"14:20:00 30/05/2013",NA,NA,0.001,1,2e-04,1,0.001,1,12,1,357,1,0.001,1,10.4,1,6.9,1,0.003,1,0.18,1,0.001,1,1e-04,1,0.002,1,0.32,1,0.011,1,5,1,4.4,1,12.2,1,0.01,1,NA,NA
"14:21:00 19/01/2017",NA,NA,0.001,1,2e-04,1,0.001,1,24,1,342,1,0.004,1,7.7,1,7.3,1,0.019,1,0.96,1,0.001,1,1e-04,1,0.002,1,0.013,1,0.021,1,NA,NA,7.5,1,28.5,1,0.032,1,NA,NA
"14:22:00 19/07/2006",NA,NA,0.001,65,2e-04,65,0.001,65,18,65,121,65,0.002,65,11.6,65,7,65,0.003,65,0.2,65,0.001,65,1e-04,65,0.001,65,0.06,65,0.008,65,4,65,5.4,65,10.6,65,0.008,65,NA,NA
"14:30:00 04/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,7,65,500,65,NA,NA,8.4,65,7.5,65,0.003,65,0.22,65,NA,NA,NA,NA,NA,NA,0.003,65,0.01,65,4,65,4.4,65,24,65,NA,NA,NA,NA
"14:30:00 07/06/1994",NA,NA,NA,NA,NA,NA,NA,NA,5,65,280,65,NA,NA,11.2,65,7.3,65,0.003,65,0.2,65,NA,NA,NA,NA,NA,NA,0.45,65,0.01,65,6,65,7.2,65,12,65,NA,NA,NA,NA
"14:30:00 08/10/2014",NA,NA,0.001,1,2e-04,1,0.001,1,16,1,155,1,0.001,1,10.4,1,7.4,1,0.003,1,0.15,1,0.001,1,1e-04,1,0.001,1,0.048,1,0.012,1,4,1,5.6,1,11.2,1,0.002,1,NA,NA
"14:30:00 08/10/2015",NA,NA,0.001,1,2e-04,1,0.001,1,16,1,157,1,0.001,1,9.5,1,7.2,1,0.003,1,0.23,1,0.001,1,1e-04,1,0.002,1,0.051,1,0.018,1,5,1,7.2,1,20.2,1,0.005,1,NA,NA
"14:30:00 10/05/2016",NA,NA,0.001,1,2e-04,1,0.001,1,14,1,211,1,0.001,1,8.9,1,6.9,1,0.01,1,0.15,1,0.001,1,1e-04,1,0.001,1,0.32,1,0.01,1,NA,NA,4.9,1,14.8,1,0.003,1,NA,NA
"14:30:00 11/01/1994",NA,NA,NA,NA,NA,NA,NA,NA,5,65,360,65,NA,NA,9.4,65,7.3,65,0.003,65,0.4,65,NA,NA,NA,NA,NA,NA,0.003,65,0.02,65,6,65,3.6,65,25,65,NA,NA,NA,NA
"14:30:00 12/09/2002",NA,NA,NA,NA,NA,NA,NA,NA,12,65,230,65,NA,NA,10.8,65,6.9,65,0.003,65,0.26,65,NA,NA,NA,NA,NA,NA,0.15,65,0.02,65,6,65,4,65,14.8,65,NA,NA,NA,NA
"14:30:00 13/09/2011",NA,NA,0.001,1,2e-04,1,0.001,1,20,1,156,1,0.002,1,10.1,1,7.2,1,0.003,1,0.19,1,0.001,1,1e-04,1,0.001,1,0.3,1,0.012,1,6,1,6.7,1,15.5,1,0.017,1,NA,NA
"14:30:00 17/05/2001",NA,NA,NA,NA,NA,NA,NA,NA,16,65,300,65,NA,NA,10,65,6.8,65,0.006,65,0.27,65,NA,NA,NA,NA,NA,NA,0.02,65,0.05,65,6,65,5,65,15,65,NA,NA,NA,NA
"14:30:00 17/05/2006",NA,NA,0.001,65,2e-04,65,0.001,65,17,65,415,65,0.002,65,9.9,65,6.9,65,0.003,65,0.17,65,0.001,65,1e-04,65,0.001,65,0.006,65,0.01,65,2,65,2.9,65,14.5,65,0.003,65,NA,NA
"14:30:00 18/12/2000",NA,NA,NA,NA,NA,NA,NA,NA,30,65,230,65,NA,NA,8,65,7.4,65,0.003,65,0.21,65,NA,NA,NA,NA,NA,NA,0.007,65,0.02,65,2,65,3.6,65,27,65,NA,NA,NA,NA
"14:30:00 18/12/2013",NA,NA,0.001,1,2e-04,1,0.001,1,30,1,145,1,0.001,1,8.4,1,7.2,1,0.003,1,0.24,1,0.001,1,1e-04,1,0.001,1,0.01,1,0.014,1,5,1,7,1,25.1,1,0.005,1,NA,NA
"14:30:00 20/04/2017",NA,NA,0.001,1,2e-04,1,0.001,1,10,1,410,1,0.001,1,8.3,1,7.2,1,0.006,1,0.17,1,0.001,1,1e-04,1,0.002,1,0.29,1,0.009,1,3,1,4.3,1,19.5,1,0.005,1,NA,NA
"14:30:00 20/07/2005",NA,NA,0.001,65,2e-04,65,0.001,65,30,65,124,65,0.001,65,11.4,65,7,65,0.003,65,0.22,65,0.001,65,1e-04,65,0.001,65,0.13,65,0.01,65,2,65,4.6,65,NA,NA,0.006,65,NA,NA
"14:30:00 21/11/2001",NA,NA,NA,NA,NA,NA,NA,NA,25,65,93,65,NA,NA,8.6,65,7,65,0.003,65,0.18,65,NA,NA,NA,NA,NA,NA,0.01,65,0.01,65,2,65,6,65,20,65,NA,NA,NA,NA
"14:30:00 24/07/2012",NA,NA,0.001,1,2e-04,1,0.001,1,14,1,152,1,0.001,1,10,1,7.2,1,0.003,1,0.14,1,0.001,1,1e-04,1,0.001,1,0.42,1,0.007,1,4,1,8.6,1,11.8,1,0.003,1,NA,NA
"14:30:00 25/05/2005",NA,NA,0.001,65,2e-04,65,0.001,65,20,65,278,65,0.001,65,10,65,7.3,65,0.003,65,0.27,65,0.001,65,1e-04,65,0.001,65,0.05,65,0.01,65,4,65,4.6,65,NA,NA,0.002,65,NA,NA
"14:30:00 25/06/1996",NA,NA,NA,NA,NA,NA,NA,NA,7,65,220,65,NA,NA,10.8,65,7.3,65,0.003,65,0.16,65,NA,NA,NA,NA,NA,NA,0.45,65,0.01,65,6,65,4.9,65,12,65,NA,NA,NA,NA
"14:30:00 26/10/2011",NA,NA,0.001,1,2e-04,1,0.001,1,20,1,134,1,0.001,1,8.7,1,7,1,0.006,1,0.22,1,0.001,1,1e-04,1,0.001,1,0.086,1,0.018,1,6,1,4.8,1,19.9,1,0.003,1,NA,NA
"14:30:00 27/03/2013",NA,NA,0.001,1,2e-04,1,0.001,1,8,1,491,1,0.001,1,9.2,1,7.5,1,0.003,1,0.25,1,0.001,1,1e-04,1,0.001,1,0.006,1,0.015,1,8,1,7.3,1,23.5,1,0.003,1,NA,NA
"14:30:00 27/07/1995",NA,NA,NA,NA,NA,NA,NA,NA,12,65,190,65,NA,NA,11.6,65,6.7,65,0.004,65,0.1,65,NA,NA,NA,NA,NA,NA,0.14,65,0.01,65,3,65,4.2,65,10,65,NA,NA,NA,NA
"14:30:00 27/09/2000",NA,NA,NA,NA,NA,NA,NA,NA,20,65,170,65,NA,NA,9.4,65,7.1,65,0.01,65,0.26,65,NA,NA,NA,NA,NA,NA,0.03,65,0.05,65,8,65,7.5,65,16.5,65,NA,NA,NA,NA
"14:30:00 28/08/2012",NA,NA,0.001,1,2e-04,1,0.001,1,16,1,120,1,0.001,1,9.8,1,7.4,1,0.003,1,0.15,1,0.001,1,1e-04,1,0.001,1,0.26,1,0.013,1,4,1,6,1,13.5,1,0.002,1,NA,NA
"14:35:00 10/08/2000",NA,NA,NA,NA,NA,NA,NA,NA,14,65,260,65,NA,NA,11.1,65,7.6,65,0.003,65,0.12,65,NA,NA,NA,NA,NA,NA,0.01,65,0.01,65,4,65,4.8,65,11,65,NA,NA,NA,NA
"14:35:00 17/08/2005",NA,NA,0.001,65,2e-04,65,0.001,65,20,65,114,65,0.002,65,8.6,65,7,65,0.003,65,0.13,65,0.001,65,2e-04,65,0.001,65,0.05,65,0.01,65,2,65,2.7,65,NA,NA,0.003,65,NA,NA
"14:35:00 17/09/2009",NA,NA,0.001,1,1e-04,1,0.001,1,10,1,212.3,1,0.001,1,9.3,1,7,1,0.001,1,0.23,1,0.001,1,1e-04,1,0.001,1,0.004,1,0.049,1,2,1,4.5,1,16.3,1,0.022,1,NA,NA
"14:35:00 22/06/2005",NA,NA,0.001,65,2e-04,65,0.001,65,10,65,381,65,0.001,65,10.8,65,7.1,65,0.003,65,0.19,65,0.001,65,1e-04,65,0.001,65,0.11,65,0.01,65,4,65,4.2,65,NA,NA,0.01,65,NA,NA
"14:40:00 05/07/2001",NA,NA,NA,NA,NA,NA,NA,NA,10,65,220,65,NA,NA,11.2,65,7.1,65,0.003,65,0.15,65,NA,NA,NA,NA,NA,NA,0.2,65,0.01,65,2,65,3.5,65,9.5,65,NA,NA,NA,NA
"14:40:00 18/09/1995",NA,NA,NA,NA,NA,NA,NA,NA,19,65,340,65,NA,NA,10.6,65,7.4,65,0.003,65,0.2,65,NA,NA,NA,NA,NA,NA,0.003,65,0.02,65,6,65,4,65,18.5,65,NA,NA,NA,NA
"14:40:00 19/09/2001",NA,NA,NA,NA,NA,NA,NA,NA,16,65,120,65,NA,NA,10,65,7,65,0.003,65,0.29,65,NA,NA,NA,NA,NA,NA,0.04,65,0.01,65,4,65,4.6,65,17,65,NA,NA,NA,NA
"14:40:00 22/06/2011",NA,NA,0.001,1,2e-04,1,0.001,1,14,1,83,1,0.001,1,9.9,1,7,1,0.003,1,0.12,1,0.001,1,1e-04,1,0.001,1,0.008,1,0.008,1,2,1,4.4,1,10.7,1,0.006,1,NA,NA
"14:40:00 24/09/2012",NA,NA,0.001,1,2e-04,1,0.001,1,19,1,157,1,0.001,1,9,1,7.4,1,0.003,1,0.21,1,0.001,1,1e-04,1,0.001,1,0.28,1,0.014,1,8,1,9.1,1,15.5,1,0.002,1,NA,NA
"14:42:00 03/07/2007",NA,NA,0.001,65,2e-04,65,0.002,65,40,65,127,65,0.002,65,10.8,65,6.3,65,0.003,65,0.4,65,0.001,65,1e-04,65,0.002,65,0.86,65,0.02,65,19,65,26.9,65,11.4,65,0.007,65,NA,NA
"14:43:00 05/03/2003",0.008,65,0.001,65,2e-04,65,0.001,65,10,65,530,65,0.002,65,9.3,65,7.7,65,0.003,65,0.32,65,0.001,65,1e-04,65,0.002,65,0.1,65,0.005,65,6,65,5,65,22.3,65,0.01,65,NA,NA
"14:45:00 08/12/2015",NA,NA,0.001,1,2e-04,1,0.001,1,12,1,194,1,0.001,1,7,1,7.1,1,0.003,1,0.25,1,0.001,1,1e-04,1,0.001,1,0.005,1,0.018,1,6,1,5.6,1,22.6,1,0.01,1,NA,NA
"14:45:00 11/08/2015",NA,NA,0.001,1,2e-04,1,0.001,1,12,1,121,1,0.001,1,11.2,1,7.2,1,0.003,1,0.12,1,0.001,1,1e-04,1,0.001,1,0.18,1,0.01,1,3,1,4.8,1,10.3,1,0.004,1,NA,NA
"14:45:00 13/03/2001",NA,NA,NA,NA,NA,NA,NA,NA,20,65,190,65,NA,NA,8.2,65,7.1,65,0.003,65,0.26,65,NA,NA,NA,NA,NA,NA,0.01,65,0.01,65,6,65,5.2,65,21.5,65,NA,NA,NA,NA
"14:48:00 21/05/2003",0.003,65,0.001,65,2e-04,65,0.001,65,10,65,320,65,0.002,65,8.6,65,7.4,65,0.003,65,0.19,65,0.001,65,1e-04,65,0.01,65,0.01,65,0.01,65,5,65,NA,NA,13.8,65,0.003,65,NA,NA
"14:50:00 02/07/1997",NA,NA,NA,NA,NA,NA,NA,NA,70,65,98,65,NA,NA,9.8,65,6.3,65,0.003,65,0.39,65,NA,NA,NA,NA,NA,NA,0.16,65,0.03,65,15,65,6.8,65,11.5,65,NA,NA,NA,NA
"14:50:00 08/09/2016",NA,NA,0.001,1,2e-04,1,0.001,1,60,1,115,1,0.001,1,10,1,7.1,1,0.009,1,0.32,1,0.001,1,1e-04,1,0.001,1,0.17,1,0.028,1,NA,NA,13.3,1,17.2,1,0.002,1,NA,NA
"14:50:00 15/10/1997",NA,NA,NA,NA,NA,NA,NA,NA,11,65,340,65,NA,NA,10.3,65,7.5,65,0.003,65,0.23,65,NA,NA,NA,NA,NA,NA,0.003,65,0.02,65,8,65,4.1,65,18.5,65,NA,NA,NA,NA
"14:55:00 18/08/2004",NA,NA,0.001,65,2e-04,65,0.001,65,12,65,260,65,0.002,65,11.3,65,7.2,65,0.003,65,0.14,65,0.001,65,1e-04,65,0.001,65,0.03,65,0.005,65,2,65,2.5,65,12.2,65,0.004,65,NA,NA
"14:55:00 21/04/2004",NA,NA,0.001,65,2e-04,65,0.001,65,17,65,450,65,0.001,65,9.7,65,7.2,65,0.006,65,0.19,65,0.001,65,1e-04,65,0.001,65,0.01,65,0.006,65,2,65,2.9,65,19.4,65,0.004,65,NA,NA
"14:55:00 21/09/2005",NA,NA,0.001,65,2e-04,65,0.001,65,18,65,122,65,0.001,65,10.1,65,7.1,65,0.01,65,0.12,65,0.001,65,1e-04,65,0.001,65,0.04,65,0.01,65,3,65,2.9,65,NA,NA,0.005,65,NA,NA
"15:00:00 05/04/2016",NA,NA,0.001,1,2e-04,1,0.001,1,12,1,109,1,0.001,1,9.1,1,7,1,0.006,1,0.14,1,0.001,1,1e-04,1,0.001,1,0.23,1,0.011,1,NA,NA,4.1,1,21.1,1,0.005,1,NA,NA
"15:00:00 07/09/2015",NA,NA,0.001,1,2e-04,1,0.003,1,28,1,78,1,0.004,1,10.7,1,7.5,1,0.003,1,0.22,1,0.001,1,1e-04,1,0.001,1,0.072,1,0.011,1,5,1,6.9,1,11.8,1,0.005,1,NA,NA
"15:00:00 11/04/2000",NA,NA,NA,NA,NA,NA,NA,NA,12,65,330,65,NA,NA,8.6,65,7.4,65,0.003,65,0.21,65,NA,NA,NA,NA,NA,NA,0.01,65,0.009,65,2,65,4.6,65,21,65,NA,NA,NA,NA
"15:00:00 11/09/2008",NA,NA,NA,NA,NA,NA,NA,NA,12,65,140,65,NA,NA,9.8,65,7.4,65,0.003,65,0.14,65,NA,NA,NA,NA,NA,NA,0.14,65,0.01,65,5,65,5.2,65,17.4,65,NA,NA,NA,NA
"15:00:00 12/10/1994",NA,NA,NA,NA,NA,NA,NA,NA,10,65,250,65,NA,NA,11.2,65,7.1,65,0.003,65,0.2,65,NA,NA,NA,NA,NA,NA,0.03,65,0.009,65,2,65,4.6,65,17,65,NA,NA,NA,NA
"15:00:00 13/08/2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,65,NA,NA,9.9,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,65,11.9,65,NA,NA,NA,NA
"15:00:00 15/09/2010",NA,NA,0.001,1,2e-04,1,0.001,1,16,1,98,1,0.001,1,9.4,1,7.4,1,0.003,1,0.18,1,0.001,1,1e-04,1,0.001,1,0.003,1,0.016,1,4,1,4.7,1,14.7,1,0.004,1,NA,NA
"15:00:00 16/07/2003",0.002,65,0.001,65,2e-04,65,0.001,65,18,65,250,65,0.002,65,11,65,7.7,65,0.003,65,0.15,65,0.001,65,1e-04,65,0.002,65,0.08,65,0.01,65,2,65,NA,NA,11.2,65,0.003,65,NA,NA
"15:00:00 17/06/2010",NA,NA,0.001,1,1e-04,1,0.001,1,22,1,135,1,0.001,1,9.9,1,7.4,1,0.01,1,0.11,1,0.001,1,1e-04,1,0.001,1,0.013,1,0.01,1,2,1,4.5,1,11,1,0.007,1,NA,NA
"15:00:00 17/09/2003",NA,NA,0.001,65,2e-04,65,0.001,65,25,65,190,65,0.002,65,9.9,65,7.4,65,0.005,65,0.18,65,0.001,65,1e-04,65,0.001,65,0.01,65,0.01,65,4,65,NA,NA,14.7,65,0.003,65,NA,NA
"15:00:00 19/05/2004",NA,NA,0.001,65,2e-04,65,0.001,65,20,65,300,65,0.001,65,9.7,65,7,65,0.003,65,0.26,65,0.001,65,1e-04,65,0.002,65,0.04,65,0.02,65,6,65,4.3,65,13.2,65,0.003,65,NA,NA
"15:00:00 19/08/2010",NA,NA,0.001,1,2e-04,1,0.001,1,14,1,97,1,0.001,1,10.4,1,7.4,1,0.004,1,0.12,1,0.001,1,1e-04,1,0.001,1,0.007,1,0.006,1,3,1,4.2,1,11.8,1,0.003,1,NA,NA
"15:00:00 21/06/2006",NA,NA,0.001,65,2e-04,65,0.001,65,30,65,220,65,0.001,65,11.1,65,6.9,65,0.003,65,0.19,65,0.001,65,1e-04,65,0.001,65,0.05,65,0.005,65,2,65,1.9,65,10.3,65,0.003,65,NA,NA
"15:00:00 22/09/2004",NA,NA,0.001,65,2e-04,65,0.001,65,20,65,150,65,0.004,65,9.6,65,6.7,65,0.003,65,0.18,65,0.001,65,1e-04,65,0.001,65,0.01,65,0.01,65,3,65,4.7,65,16,65,0.006,65,NA,NA
"15:00:00 23/04/2007",NA,NA,0.001,65,2e-04,65,0.001,65,18,65,323,65,0.002,65,8.8,65,6.9,65,0.003,65,0.16,65,0.001,65,1e-04,65,0.001,65,0.009,65,0.02,65,8,65,3.9,65,17.8,65,0.002,65,NA,NA
"15:00:00 23/06/2004",NA,NA,0.001,65,2e-04,65,0.001,65,17,65,290,65,0.004,65,12.5,65,7.6,65,0.003,65,0.14,65,0.001,65,1e-04,65,0.002,65,0.12,65,0.01,65,4,65,3.6,65,10,65,0.007,65,NA,NA
"15:00:00 26/07/2011",NA,NA,0.001,1,2e-04,1,0.001,1,35,1,103,1,0.002,1,10.8,1,7.1,1,0.003,1,0.31,1,0.001,1,1e-04,1,0.001,1,0.4,1,0.022,1,5,1,14.9,1,10.1,1,0.008,1,NA,NA
"15:00:00 28/04/2010",NA,NA,0.001,1,2e-04,1,0.001,1,15,1,258.5,1,0.002,1,8.3,1,7.4,1,0.002,1,0.05,1,0.001,1,1e-04,1,0.001,1,0.083,1,0.012,1,5,1,5.8,1,16.4,1,0.002,1,NA,NA
