"Date","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"08:00:00 09/11/2006",NA,NA,NA,NA,18,65,NA,NA,NA,NA,8.7,65,7.2,65,0.003,65,0.17,65,NA,NA,0.005,65,NA,NA,NA,NA,NA,NA,NA,NA,0.008,65,1,65,0.7,65,13.8,65,NA,NA
"08:05:00 24/11/2005",NA,NA,NA,NA,30,65,108,65,NA,NA,9,65,7,65,0.003,65,0.18,65,NA,NA,0.006,65,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,1,65,1,65,NA,NA,NA,NA
"08:06:00 21/02/2007",NA,NA,NA,NA,25,65,248,65,NA,NA,6,65,7.7,65,0.003,65,0.31,65,NA,NA,0.007,65,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,1,65,NA,NA,21.6,65,NA,NA
"08:12:00 29/12/2005",NA,NA,NA,NA,30,65,119,65,NA,NA,7.3,65,6.9,65,0.003,65,0.22,65,NA,NA,0.003,65,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,2,65,1.2,65,NA,NA,NA,NA
"08:15:00 16/02/2006",NA,NA,NA,NA,25,65,168,65,NA,NA,6.2,65,6.8,65,0.003,65,0.14,65,NA,NA,0.006,65,NA,NA,NA,NA,NA,NA,NA,NA,0.008,65,1,65,1.3,65,NA,NA,NA,NA
"08:15:00 25/02/1992",NA,NA,NA,NA,NA,NA,130,65,NA,NA,9.2,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,17.5,65,NA,NA
"08:30:00 17/12/1992",NA,NA,NA,NA,NA,NA,75,65,NA,NA,9.2,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,65,15,65,NA,NA
"08:35:00 18/01/2007",NA,NA,NA,NA,25,65,257,65,NA,NA,5.6,65,7.3,65,0.003,65,0.33,65,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,0.03,65,3,65,2.2,65,22.1,65,NA,NA
"08:40:00 10/03/2016",NA,NA,NA,NA,25,1,120,1,NA,NA,6.7,1,6.3,1,0.003,1,0.17,1,NA,NA,0.015,1,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,4,1,2.7,1,23.5,1,NA,NA
"08:45:00 02/11/2017",NA,NA,NA,NA,16,1,174,1,NA,NA,8.9,1,6.8,1,0.003,1,0.16,1,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,0.006,1,2,1,1,1,15.5,1,NA,NA
