"Date","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"08:55:00 26/10/2006",NA,NA,NA,NA,16,65,NA,NA,NA,NA,9.8,65,7,65,0.003,65,0.14,65,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,0.006,65,1,65,0.7,65,15.2,65,NA,NA
"09:00:00 13/03/2014",NA,NA,NA,NA,14,1,191,1,NA,NA,7.9,1,7.4,1,0.003,1,0.18,1,NA,NA,0.004,1,NA,NA,NA,NA,NA,NA,NA,NA,0.014,1,6,1,1.1,1,17.1,1,NA,NA
"09:00:00 21/04/2006",NA,NA,NA,NA,18,65,230,65,NA,NA,9,65,7.2,65,0.003,65,0.12,65,NA,NA,0.006,65,NA,NA,NA,NA,NA,NA,NA,NA,0.007,65,1,65,0.9,65,12,65,NA,NA
"09:00:00 23/12/2010",NA,NA,NA,NA,20,1,112,1,NA,NA,8.5,1,7.5,1,0.003,1,0.13,1,NA,NA,0.004,1,NA,NA,NA,NA,NA,NA,NA,NA,0.014,1,2,1,1.3,1,18.4,1,NA,NA
"09:10:00 18/02/1997",16,65,15,65,12,65,190,65,180,65,7.8,65,7.1,65,0.003,65,0.36,65,5.4,65,0.03,65,1.4,65,10,65,1.6,65,76,65,0.01,65,2,65,3,65,22,65,7.7,65
"09:15:00 03/09/2020",NA,NA,NA,NA,16,1,102,1,NA,NA,10.8,1,7,1,0.006,1,0.11,1,NA,NA,0.011,1,NA,NA,NA,NA,NA,NA,NA,NA,0.007,1,2,1,0.9,1,10.6,1,NA,NA
"09:20:00 07/07/2020",NA,NA,NA,NA,14,1,106,1,NA,NA,12,1,7.3,1,0.003,1,0.1,1,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,0.008,1,2,1,0.8,1,6.6,1,NA,NA
"09:30:00 05/12/1991",NA,NA,NA,NA,NA,NA,180,65,NA,NA,9.4,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,65,17,65,NA,NA
"09:30:00 12/11/2015",NA,NA,NA,NA,16,1,97,1,NA,NA,8.7,1,7.3,1,0.009,1,0.13,1,NA,NA,0.005,1,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1,2,1,1.2,1,17.9,1,NA,NA
"09:30:00 14/11/2013",NA,NA,NA,NA,70,1,68,1,NA,NA,9.7,1,7.3,1,0.003,1,0.24,1,NA,NA,0.027,1,NA,NA,NA,NA,NA,NA,NA,NA,0.013,1,2,1,6.8,1,14.9,1,NA,NA
"09:30:00 19/12/1996",8.9,65,10,65,13,65,120,65,120,65,9.2,65,7,65,0.003,65,0.08,65,3.3,65,0.003,65,1.1,65,7.1,65,1.3,65,45,65,0.006,65,2,65,1.8,65,19,65,7.6,65
"09:30:00 28/03/2011",NA,NA,NA,NA,56,1,98,1,NA,NA,8.5,1,7.1,1,0.003,1,0.13,1,NA,NA,0.007,1,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,2,1,2.3,1,17.2,1,NA,NA
"09:30:00 28/11/1994",NA,NA,NA,NA,10,65,120,65,NA,NA,9,65,6.4,65,0.003,65,0.2,65,NA,NA,0.003,65,NA,NA,NA,NA,NA,NA,NA,NA,0.009,65,3,65,1.8,65,17,65,NA,NA
"09:35:00 02/11/1993",NA,NA,NA,NA,10,65,95,65,NA,NA,9.4,65,7.3,65,0.003,65,0.1,65,NA,NA,0.004,65,NA,NA,NA,NA,NA,NA,NA,NA,0.007,65,1,65,3,65,15.7,65,NA,NA
"09:40:00 02/04/2008",NA,NA,NA,NA,18,65,121,65,NA,NA,8.3,65,7.4,65,0.003,65,0.11,65,NA,NA,0.003,65,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,2,65,1.4,65,15.2,65,NA,NA
"09:40:00 11/12/2008",NA,NA,NA,NA,16,65,40,65,NA,NA,9.2,65,7.6,65,0.003,65,0.21,65,NA,NA,0.008,65,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,2,65,2,65,17.2,65,NA,NA
"09:40:00 17/07/1995",NA,NA,NA,NA,14,65,130,65,NA,NA,12,65,7.1,65,0.003,65,0.1,65,NA,NA,0.006,65,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,2,65,1.3,65,6.5,65,NA,NA
"09:40:00 24/01/2006",NA,NA,NA,NA,30,65,154,65,NA,NA,6.7,65,6.9,65,0.003,65,0.21,65,NA,NA,0.006,65,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,1,65,2.2,65,NA,NA,NA,NA
"09:45:00 06/11/1995",NA,NA,NA,NA,90,65,80,65,NA,NA,10.6,65,6.8,65,0.003,65,0.3,65,NA,NA,0.05,65,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,10,65,13,65,14,65,NA,NA
"09:45:00 11/05/2006",NA,NA,NA,NA,19,65,184,65,NA,NA,9.9,65,7.1,65,0.003,65,0.14,65,NA,NA,0.005,65,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,2,65,1.3,65,8.8,65,NA,NA
"09:45:00 17/08/2006",NA,NA,NA,NA,25,65,121,65,NA,NA,11.8,65,7.1,65,0.003,65,0.15,65,NA,NA,0.006,65,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,1,65,0.8,65,9.1,65,NA,NA
"09:48:00 28/03/2006",NA,NA,NA,NA,20,65,230,65,NA,NA,8.7,65,7.1,65,0.003,65,0.15,65,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,2,65,1,65,19.2,65,NA,NA
"09:50:00 11/01/1993",NA,NA,NA,NA,NA,NA,85,65,NA,NA,8.4,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,65,21,65,NA,NA
"09:50:00 11/11/1992",NA,NA,NA,NA,NA,NA,79,65,NA,NA,10,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,65,14,65,NA,NA
"09:50:00 28/01/2010",NA,NA,NA,NA,15,1,192.7,1,NA,NA,7.7,1,7.6,1,0.004,1,0.17,1,NA,NA,0.005,1,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,2,1,1,1,22.1,1,NA,NA
"10:00:00 04/07/1991",NA,NA,NA,NA,NA,NA,82,65,NA,NA,10.1,65,6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,7,65,NA,NA
"10:00:00 05/03/1998",26,65,24,65,9,65,280,65,290,65,7.8,65,7.7,65,0.003,65,0.23,65,8.9,65,0.03,65,0.6,65,17,65,2,65,110,65,0.005,65,2,65,2.1,65,18.5,65,7.8,65
"10:00:00 06/02/2020",NA,NA,NA,NA,30,1,324,1,NA,NA,7.8,1,7.3,1,0.003,1,0.32,1,NA,NA,0.004,1,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,2,1,0.9,1,21.2,1,NA,NA
"10:00:00 09/06/2016",NA,NA,NA,NA,12,1,114,1,NA,NA,10.6,1,7.9,1,0.014,1,0.29,1,NA,NA,0.005,1,NA,NA,NA,NA,NA,NA,NA,NA,0.05,1,5,1,1.6,1,8.9,1,NA,NA
"10:00:00 15/02/2010",NA,NA,NA,NA,27,1,168.2,1,NA,NA,7.5,1,7.5,1,0.002,1,0.29,1,NA,NA,0.029,1,NA,NA,NA,NA,NA,NA,NA,NA,0.034,1,4,1,9.4,1,21.2,1,NA,NA
"10:00:00 19/04/2018",NA,NA,NA,NA,12,1,221,1,NA,NA,9.1,1,7.8,1,0.003,1,0.13,1,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,2,1,1.4,1,12.5,1,NA,NA
"10:00:00 25/06/1997",16,65,13,65,12,65,170,65,180,65,11.6,65,7.7,65,0.003,65,0.2,65,5.2,65,0.06,65,1,65,9.6,65,3.2,65,63,65,0.005,65,2,65,1,65,8,65,7.7,65
"10:00:00 27/07/2006",NA,NA,NA,NA,45,65,95,65,NA,NA,11.4,65,7,65,0.003,65,0.22,65,NA,NA,0.05,65,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,2,65,1.5,65,9,65,NA,NA
"10:00:00 28/01/2009",NA,NA,NA,NA,18,65,140,65,NA,NA,7.7,65,7.1,65,0.003,65,0.19,65,NA,NA,0.006,65,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,2,65,1,65,25.1,65,NA,NA
"10:00:00 29/01/1996",NA,NA,NA,NA,20,65,80,65,NA,NA,8.4,65,7.1,65,0.003,65,0.1,65,NA,NA,0.03,65,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,3,65,1.8,65,21.5,65,NA,NA
"10:05:00 11/09/2013",NA,NA,NA,NA,12,1,107,1,NA,NA,8.6,1,7.5,1,0.003,1,0.11,1,NA,NA,0.004,1,NA,NA,NA,NA,NA,NA,NA,NA,0.013,1,2,1,1.5,1,13.2,1,NA,NA
"10:07:00 10/05/2018",NA,NA,NA,NA,8,1,224,1,NA,NA,7.1,1,7.5,1,0.003,1,0.03,1,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,0.008,1,2,1,1,1,10.3,1,NA,NA
"10:10:00 10/09/2014",NA,NA,NA,NA,2,1,90,1,NA,NA,10.1,1,7.3,1,0.003,1,0.01,1,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,2,1,1.9,1,13.2,1,NA,NA
"10:15:00 02/04/2020",NA,NA,NA,NA,20,1,157,1,NA,NA,8.4,1,7.1,1,0.003,1,0.21,1,NA,NA,0.016,1,NA,NA,NA,NA,NA,NA,NA,NA,0.015,1,2,1,1.9,1,17,1,NA,NA
"10:15:00 08/10/1991",NA,NA,NA,NA,NA,NA,100,65,NA,NA,11.9,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,65,16,65,NA,NA
"10:15:00 08/12/2016",NA,NA,NA,NA,24,1,91,1,NA,NA,9.5,1,7,1,0.013,1,0.28,1,NA,NA,0.007,1,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,2,1,2.8,1,21.1,1,NA,NA
"10:15:00 10/04/1997",16,65,14,65,18,65,190,65,180,65,10.2,65,7.2,65,0.003,65,0.31,65,5.4,65,0.42,65,1.6,65,10,65,2.4,65,67,65,0.006,65,4,65,0.8,65,16,65,7.7,65
"10:22:00 01/06/2006",NA,NA,NA,NA,20,65,140,65,NA,NA,10.5,65,7.2,65,0.004,65,0.13,65,NA,NA,0.007,65,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,1,65,0.6,65,10.1,65,NA,NA
"10:25:00 05/03/2007",NA,NA,NA,NA,19,65,214,65,NA,NA,8.5,65,7.5,65,0.003,65,0.38,65,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,1,65,1,65,21.1,65,NA,NA
"10:25:00 06/11/2007",NA,NA,NA,NA,60,65,84,65,NA,NA,5.2,65,6.4,65,0.003,65,0.32,65,NA,NA,0.53,65,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,3,65,16.5,65,13.2,65,NA,NA
"10:30:00 01/08/2019",NA,NA,NA,NA,10,1,187,1,NA,NA,11.2,1,7.6,1,0.003,1,0.08,1,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,0.006,1,2,1,0.6,1,8.5,1,NA,NA
"10:30:00 02/05/2019",NA,NA,NA,NA,10,1,295,1,NA,NA,8.8,1,7.62,1,0.003,1,0.19,1,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,0.006,1,2,1,1.3,1,13.9,1,NA,NA
"10:30:00 07/03/2018",NA,NA,NA,NA,16,1,202,1,NA,NA,7.4,1,7.3,1,0.003,1,0.29,1,NA,NA,0.004,1,NA,NA,NA,NA,NA,NA,NA,NA,0.008,1,2,1,0.8,1,17.5,1,NA,NA
"10:30:00 08/03/2017",NA,NA,NA,NA,16,1,173,1,NA,NA,8.2,1,7.5,1,0.003,1,0.19,1,NA,NA,0.004,1,NA,NA,NA,NA,NA,NA,NA,NA,0.006,1,2,1,1.1,1,19.5,1,NA,NA
"10:30:00 08/08/2017",NA,NA,NA,NA,8,1,151,1,NA,NA,11.8,1,7.3,1,0.003,1,0.14,1,NA,NA,0.011,1,NA,NA,NA,NA,NA,NA,NA,NA,0.11,1,2,1,0.8,1,7.3,1,NA,NA
"10:30:00 09/02/2017",NA,NA,NA,NA,40,1,153,1,NA,NA,8.9,1,7.4,1,0.003,1,0.32,1,NA,NA,0.006,1,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1,2,1,4.5,1,24,1,NA,NA
"10:30:00 11/08/1993",NA,NA,NA,NA,NA,NA,120,65,NA,NA,11.6,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,65,8.5,65,NA,NA
"10:30:00 14/05/2015",NA,NA,NA,NA,14,1,86,1,NA,NA,10.8,1,6.7,1,0.003,1,0.09,1,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,2,1,1.6,1,10.2,1,NA,NA
"10:30:00 15/11/2012",NA,NA,NA,NA,16,1,110,1,NA,NA,8.5,1,7.2,1,0.003,1,0.17,1,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,2,1,1.4,1,22,1,NA,NA
"10:30:00 16/02/1995",NA,NA,NA,NA,15,65,130,65,NA,NA,8.6,65,7.7,65,0.003,65,0.2,65,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,2,65,1.5,65,24,65,NA,NA
"10:30:00 23/07/1997",7.3,65,10,65,20,65,290,65,100,65,11.6,65,7.6,65,0.003,65,0.31,65,2.8,65,0.007,65,1.4,65,7.3,65,2.1,65,31,65,0.02,65,3,65,2.7,65,9,65,7.7,65
"10:30:00 24/11/1997",19,65,14,65,15,65,200,65,200,65,8.8,65,7.8,65,0.003,65,0.18,65,6,65,0.02,65,1.2,65,11,65,3,65,74,65,0.01,65,2,65,2.1,65,22.5,65,7.8,65
"10:30:00 27/08/1996",7.6,65,9,65,3,65,100,65,98,65,11.4,65,7.1,65,0.004,65,0.16,65,2.8,65,0.01,65,0.6,65,6,65,1.7,65,37,65,0.01,65,2,65,1.8,65,9,65,7.5,65
"10:30:00 28/03/2012",NA,NA,NA,NA,22,1,87,1,NA,NA,9,1,7.4,1,0.003,1,0.16,1,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,0.007,1,2,1,2.3,1,17,1,NA,NA
"10:35:00 06/01/2021",NA,NA,NA,NA,25,1,119,1,NA,NA,8.6,1,7.4,1,0.004,1,0.17,1,NA,NA,0.008,1,NA,NA,NA,NA,NA,NA,NA,NA,0.017,1,2,1,2.7,1,19.3,1,NA,NA
"10:35:00 27/09/2006",NA,NA,NA,NA,25,65,105,65,NA,NA,10.3,65,6.7,65,0.005,65,0.15,65,NA,NA,0.005,65,NA,NA,NA,NA,NA,NA,NA,NA,0.006,65,1,65,0.6,65,NA,NA,NA,NA
"10:40:00 01/11/2018",NA,NA,NA,NA,12,1,163,1,NA,NA,8.85,1,7.6,1,0.003,1,0.13,1,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,0.007,1,2,1,0.7,1,18.4,1,NA,NA
"10:45:00 08/02/1993",NA,NA,NA,NA,NA,NA,110,65,NA,NA,8,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,65,22.5,65,NA,NA
"10:45:00 10/05/2016",NA,NA,NA,NA,12,1,109,1,NA,NA,9.9,1,6.7,1,0.003,1,0.11,1,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,0.006,1,2,1,0.7,1,13.7,1,NA,NA
"10:45:00 16/12/2019",NA,NA,NA,NA,12,1,265,1,NA,NA,9,1,7.9,1,0.003,1,0.19,1,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,2,1,0.8,1,20.1,1,NA,NA
"10:45:00 28/01/1997",14,65,13,65,14,65,150,65,170,65,7.8,65,7.1,65,0.003,65,0.18,65,4.7,65,0.04,65,1.3,65,9.1,65,1.4,65,58,65,0.01,65,2,65,1.4,65,22.5,65,7.6,65
"10:50:00 05/03/2020",NA,NA,NA,NA,35,1,135.1,1,NA,NA,NA,NA,6.99,1,0.003,1,0.25,1,NA,NA,0.007,1,NA,NA,NA,NA,NA,NA,NA,NA,0.008,1,2,1,1.3,1,18,1,NA,NA
"10:50:00 11/08/2015",NA,NA,NA,NA,12,1,83,1,NA,NA,10.4,1,7.1,1,0.003,1,0.08,1,NA,NA,0.006,1,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,2,1,2.5,1,7.7,1,NA,NA
"10:50:00 18/04/1994",NA,NA,NA,NA,10,65,93,65,NA,NA,10.6,65,6.9,65,0.003,65,0.2,65,NA,NA,0.007,65,NA,NA,NA,NA,NA,NA,NA,NA,0.008,65,2,65,2.2,65,13.3,65,NA,NA
"10:50:00 23/03/2010",NA,NA,NA,NA,18,1,112.5,1,NA,NA,9.3,1,7.2,1,0.003,1,0.18,1,NA,NA,0.018,1,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,1,1,2.2,1,19.2,1,NA,NA
"10:55:00 13/03/2019",NA,NA,NA,NA,20,1,341,1,NA,NA,9.3,1,8.3,1,0.003,1,0.49,1,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,0.016,1,2,1,2.8,1,17.7,1,NA,NA
"10:58:00 06/01/2016",NA,NA,NA,NA,56,1,55,1,NA,NA,9.2,1,6.6,1,0.01,1,0.32,1,NA,NA,0.013,1,NA,NA,NA,NA,NA,NA,NA,NA,0.021,1,6,1,8.1,1,18.9,1,NA,NA
"11:00:00 03/09/2019",NA,NA,NA,NA,6,1,197,1,NA,NA,10.6,1,7.8,1,0.003,1,0.09,1,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,0.006,1,2,1,0.4,1,12.5,1,NA,NA
"11:00:00 03/12/2014",NA,NA,NA,NA,15,1,128,1,NA,NA,8.1,1,7.3,1,0.003,1,0.18,1,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,0.006,1,2,1,2.3,1,20.9,1,NA,NA
"11:00:00 04/11/2020",NA,NA,NA,NA,25,1,85,1,NA,NA,9.1,1,7,1,0.005,1,0.16,1,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,0.007,1,2,1,1.9,1,17.2,1,NA,NA
"11:00:00 08/09/2016",NA,NA,NA,NA,48,1,84,1,NA,NA,9.9,1,7.4,1,0.004,1,0.16,1,NA,NA,0.007,1,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1,2,1,6.1,1,13.2,1,NA,NA
"11:00:00 08/10/2015",NA,NA,NA,NA,12,1,101,1,NA,NA,9.7,1,7.2,1,0.003,1,0.14,1,NA,NA,0.004,1,NA,NA,NA,NA,NA,NA,NA,NA,0.013,1,2,1,1.9,1,16.3,1,NA,NA
"11:00:00 09/01/2019",NA,NA,NA,NA,16,1,202,1,NA,NA,7.65,1,7.62,1,0.003,1,0.2,1,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1,2,1,1.2,1,22.4,1,NA,NA
"11:00:00 09/06/1993",NA,NA,NA,NA,NA,NA,130,65,NA,NA,11.2,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,65,10,65,NA,NA
"11:00:00 11/02/2009",NA,NA,NA,NA,19,65,155,65,NA,NA,9.1,65,6.5,65,0.003,65,0.19,65,NA,NA,0.007,65,NA,NA,NA,NA,NA,NA,NA,NA,0.008,65,2,65,1.2,65,18.1,65,NA,NA
"11:00:00 11/04/2017",NA,NA,NA,NA,14,1,140,1,NA,NA,8.9,1,7.3,1,0.025,1,0.09,1,NA,NA,0.004,1,NA,NA,NA,NA,NA,NA,NA,NA,0.006,1,2,1,1.3,1,14.9,1,NA,NA
"11:00:00 12/01/1998",31,65,31,65,15,65,320,65,320,65,7,65,7.7,65,0.003,65,0.33,65,11,65,0.009,65,1.5,65,17,65,2,65,110,65,0.01,65,2,65,2.7,65,27,65,7.8,65
"11:00:00 13/03/1996",NA,NA,NA,NA,19,65,100,65,NA,NA,8.6,65,7.1,65,0.003,65,0.1,65,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,3,65,3.2,65,22,65,NA,NA
"11:00:00 14/06/2018",NA,NA,NA,NA,8,1,176,1,NA,NA,10.6,1,7.4,1,0.003,1,0.1,1,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,0.006,1,2,1,0.8,1,8.4,1,NA,NA
"11:00:00 14/10/1997",15,65,12,65,14,65,170,65,160,65,9.8,65,7.9,65,0.003,65,0.16,65,5.1,65,0.01,65,1.1,65,9.6,65,2.7,65,61,65,0.01,65,2,65,1.4,65,19,65,7.9,65
"11:00:00 15/07/2014",NA,NA,NA,NA,14,1,97,1,NA,NA,11.7,1,7.3,1,0.003,1,0.1,1,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,0.007,1,2,1,1.5,1,7,1,NA,NA
"11:00:00 16/08/1995",NA,NA,NA,NA,13,65,150,65,NA,NA,12,65,6.9,65,0.003,65,0.1,65,NA,NA,0.31,65,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,2,65,1.6,65,9,65,NA,NA
"11:00:00 23/04/1998",29,65,30,65,10,65,320,65,310,65,9.4,65,7.8,65,0.003,65,0.14,65,9.5,65,0.02,65,1.5,65,18,65,2,65,110,65,0.01,65,2,65,1.3,65,15,65,8,65
"11:00:00 23/10/1996",7.5,65,8,65,12,65,92,65,120,65,8.8,65,6.8,65,0.003,65,0.36,65,2.8,65,0.009,65,1.2,65,6.5,65,1.5,65,34,65,0.01,65,5,65,2.1,65,19.5,65,7.6,65
"11:00:00 25/06/1996",NA,NA,NA,NA,11,65,110,65,NA,NA,14.4,65,7.1,65,0.003,65,0.1,65,NA,NA,0.004,65,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,3,65,2,65,7,65,NA,NA
"11:00:00 26/10/1992",NA,NA,NA,NA,NA,NA,68,65,NA,NA,10.6,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,65,14.5,65,NA,NA
"11:00:00 27/04/1995",NA,NA,NA,NA,10,65,160,65,NA,NA,10,65,6.4,65,0.006,65,0.1,65,NA,NA,0.003,65,NA,NA,NA,NA,NA,NA,NA,NA,0.007,65,2,65,1.4,65,12,65,NA,NA
"11:05:00 18/11/2019",NA,NA,NA,NA,12,1,244,1,NA,NA,8.7,1,7.5,1,0.003,1,0.19,1,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,0.006,1,2,1,1.5,1,19,1,NA,NA
