"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual"
"08:35:00 20/11/2018",NA,NA,0.001,1,2e-04,1,0.001,1,36,1,44,1,0.001,1,9.2,1,7,1,0.003,1,0.17,1,0.001,1,1e-04,1,0.001,1,0.017,1,0.014,1,8,1,3.1,1,17,1,0.004,1
"08:40:00 16/06/2015",NA,NA,0.001,1,2e-04,1,0.001,1,25,1,45,1,0.001,1,11.7,1,6.8,1,0.003,1,0.09,1,0.001,1,1e-04,1,0.001,1,0.075,1,0.005,1,2,1,3,1,6.5,1,0.003,1
"08:40:00 17/06/2020",NA,NA,0.001,1,2e-04,1,0.001,1,40,1,45,1,0.001,1,11.6,1,6.8,1,0.003,1,0.13,1,0.001,1,1e-04,1,0.001,1,0.057,1,0.009,1,2,1,2.9,1,8.6,1,0.002,1
"08:40:00 19/11/2019",NA,NA,0.001,1,2e-04,1,0.001,1,25,1,40,1,0.001,1,10.51,1,6.57,1,0.003,1,0.15,1,0.001,1,1e-04,1,0.001,1,0.052,1,0.008,1,3,1,3.5,1,11.8,1,0.001,1
"08:40:00 20/03/2018",NA,NA,0.001,1,2e-04,1,0.001,1,32,1,49,1,0.001,1,9.6,1,7.1,1,0.003,1,0.17,1,0.001,1,1e-04,1,0.001,1,0.003,1,0.01,1,2,1,3.2,1,16,1,0.005,1
"08:45:00 14/10/2020",NA,NA,0.001,1,2e-04,1,0.001,1,30,1,46,1,0.001,1,10.88,1,6.79,1,0.004,1,0.08,1,0.001,1,1e-04,1,0.001,1,0.081,1,0.007,1,2,1,3.3,1,11.3,1,0.001,1
"08:45:00 16/04/2019",NA,NA,0.001,1,2e-04,1,0.001,1,35,1,43,1,0.001,1,10.16,1,7.23,1,0.003,1,0.15,1,0.001,1,1e-04,1,0.001,1,0.023,1,0.008,1,3,1,1.4,1,13.2,1,0.001,1
"08:45:00 18/11/2020",NA,NA,0.001,1,2e-04,1,0.001,1,30,1,52,1,0.001,1,10.01,1,6.92,1,0.003,1,0.14,1,0.001,1,1e-04,1,0.001,1,0.061,1,0.012,1,4,1,3.7,1,14.1,1,0.001,1
"08:45:00 19/01/2011",NA,NA,0.001,1,2e-04,1,0.001,1,45,1,50,1,0.001,1,9.6,1,6.8,1,0.003,1,0.21,1,0.001,1,1e-04,1,0.001,1,0.026,1,0.014,1,2,1,5.1,1,16.5,1,0.005,1
"08:45:00 20/07/2011",NA,NA,0.001,1,2e-04,1,0.002,1,45,1,68,1,0.002,1,11.8,1,6.9,1,0.003,1,0.26,1,0.001,1,1e-04,1,0.003,1,0.094,1,0.016,1,6,1,14.7,1,7.5,1,0.008,1
"08:50:00 17/04/2018",NA,NA,0.001,1,2e-04,1,0.001,1,32,1,49,1,0.001,1,9.6,1,7,1,0.003,1,0.17,1,0.001,1,1e-04,1,0.001,1,0.021,1,0.008,1,2,1,3.9,1,13,1,0.001,1
"08:50:00 18/08/2015",NA,NA,0.001,1,2e-04,1,0.007,1,64,1,45,1,0.002,1,13.2,1,6.8,1,0.003,1,0.31,1,0.001,1,1e-04,1,0.004,1,0.38,1,0.058,1,34,1,5.9,1,6,1,0.003,1
"08:50:00 19/02/2019",NA,NA,0.001,1,2e-04,1,0.001,1,40,1,47,1,0.001,1,9.09,1,7.08,1,0.003,1,0.16,1,0.001,1,1e-04,1,0.001,1,0.007,1,0.006,1,3,1,2.2,1,17.7,1,0.001,1
"08:50:00 20/10/2010",NA,NA,0.001,1,2e-04,1,0.001,1,50,1,37,1,0.001,1,11.3,1,6.6,1,0.003,1,0.21,1,0.001,1,1e-04,1,0.001,1,0.1,1,0.024,1,6,1,7.7,1,8,1,0.003,1
"08:50:00 23/09/2010",NA,NA,0.001,1,2e-04,1,0.001,1,25,1,39,1,0.001,1,11.2,1,6.8,1,0.003,1,0.11,1,0.001,1,1e-04,1,0.001,1,0.024,1,0.013,1,3,1,2.7,1,8.5,1,0.003,1
"09:00:00 06/12/2007",NA,NA,0.001,65,2e-04,65,0.001,65,40,65,49,65,0.001,65,9.6,65,6.9,65,0.003,65,0.03,65,0.001,65,1e-04,65,0.001,65,0.01,65,0.006,65,2,65,2.8,65,18.3,65,0.004,65
"09:00:00 12/08/2020",NA,NA,0.001,1,2e-04,1,0.001,1,35,1,55,1,0.001,1,11.95,1,6.67,1,0.003,1,0.18,1,0.001,1,1e-04,1,0.001,1,0.18,1,0.015,1,8,1,8.8,1,6.5,1,0.003,1
"09:00:00 15/10/2019",NA,NA,0.001,1,2e-04,1,0.001,1,30,1,39,1,0.001,1,10.85,1,6.51,1,0.003,1,0.16,1,0.001,1,1e-04,1,0.001,1,0.034,1,0.009,1,3,1,2.2,1,10.8,1,0.001,1
"09:00:00 16/11/2011",NA,NA,0.001,1,2e-04,1,0.001,1,40,1,60,1,0.001,1,9.8,1,6.9,1,0.003,1,0.33,1,0.001,1,1e-04,1,0.001,1,0.1,1,0.019,1,6,1,9.3,1,14.5,1,0.003,1
"09:00:00 17/01/2017",NA,NA,0.001,1,2e-04,1,0.001,1,48,1,49,1,0.001,1,9.2,1,6.5,1,0.004,1,0.2,1,0.001,1,1e-04,1,0.001,1,0.029,1,0.013,1,NA,NA,2.8,1,19,1,0.005,1
"09:00:00 20/12/2004",NA,NA,0.001,65,2e-04,65,0.001,65,35,65,65,65,0.002,65,9.6,65,7.3,65,0.003,65,0.16,65,0.001,65,1e-04,65,0.001,65,0.06,65,0.01,65,2,65,4.9,65,15,65,0.003,65
"09:00:00 21/07/2015",NA,NA,0.001,1,2e-04,1,0.001,1,35,1,52,1,0.001,1,14,1,7.2,1,0.003,1,0.11,1,0.001,1,1e-04,1,0.001,1,0.17,1,0.007,1,5,1,7.2,1,3.5,1,0.002,1
"09:00:00 21/11/2017",NA,NA,0.001,1,2e-04,1,0.001,1,36,1,41,1,0.001,1,9.3,1,6.7,1,0.003,1,0.19,1,0.001,1,1e-04,1,0.001,1,0.02,1,0.014,1,6,1,4.3,1,17,1,0.001,1
"09:10:00 15/04/2020",NA,NA,0.001,1,2e-04,1,0.001,1,35,1,38,1,0.002,1,10.84,1,6.71,1,0.003,1,0.17,1,0.001,1,1e-04,1,0.001,1,0.039,1,0.013,1,2,1,2.7,1,10.9,1,0.001,1
"09:10:00 20/02/2008",NA,NA,0.001,65,2e-04,65,0.001,65,40,65,46,65,0.001,65,8.3,65,6.8,65,0.003,65,0.16,65,0.001,65,1e-04,65,0.001,65,0.003,65,0.01,65,2,65,3.1,65,19,65,0.006,65
"09:15:00 17/06/2009",NA,NA,0.001,65,2e-04,65,0.001,65,30,65,46,65,0.001,65,12,65,7.1,65,0.003,65,0.1,65,0.001,65,1e-04,65,0.001,65,0.03,65,0.005,65,3,65,2.2,65,5.5,65,0.002,65
"09:20:00 10/03/2010",NA,NA,0.001,1,1e-04,1,0.001,1,70,1,38.3,1,0.001,1,9.6,1,7.1,1,0.001,1,0.2,1,0.001,1,1e-04,1,0.001,1,0.004,1,0.008,1,2,1,5.1,1,15,1,0.002,1
"09:20:00 19/06/2018",NA,NA,0.001,1,2e-04,1,0.002,1,80,1,50,1,0.001,1,11.2,1,6.4,1,0.004,1,0.54,1,0.001,1,1e-04,1,0.001,1,0.31,1,0.049,1,23,1,27,1,6,1,0.004,1
"09:20:00 19/07/2016",NA,NA,0.001,1,2e-04,1,0.001,1,32,1,45,1,0.001,1,11.3,1,6.6,1,0.003,1,0.11,1,0.001,1,1e-04,1,0.001,1,0.13,1,0.006,1,NA,NA,3.7,1,7.5,1,0.001,1
"09:20:00 21/03/2017",NA,NA,0.001,1,2e-04,1,0.001,1,40,1,48,1,0.001,1,9,1,6.6,1,0.007,1,0.19,1,0.001,1,1e-04,1,0.001,1,0.02,1,0.012,1,NA,NA,3.4,1,18.5,1,0.002,1
"09:30:00 15/09/2020",NA,NA,0.001,1,2e-04,1,0.001,1,30,1,44,1,0.001,1,11.59,1,6.7,1,0.004,1,0.09,1,0.001,1,1e-04,1,0.001,1,0.083,1,0.005,1,4,1,4.4,1,8.4,1,0.001,1
"09:30:00 15/12/2015",NA,NA,0.001,1,2e-04,1,0.001,1,48,1,48,1,0.001,1,9.7,1,6.8,1,0.003,1,0.16,1,0.001,1,1e-04,1,0.001,1,0.032,1,0.01,1,3,1,2.5,1,16.5,1,0.003,1
"09:30:00 17/07/2018",NA,NA,0.001,1,2e-04,1,0.001,1,25,1,45,1,0.001,1,11.9,1,6.8,1,0.005,1,0.13,1,0.001,1,1e-04,1,0.001,1,0.062,1,0.007,1,2,1,3.4,1,5,1,0.002,1
"09:30:00 18/08/2016",NA,NA,0.001,1,2e-04,1,0.001,1,24,1,47,1,0.001,1,12.1,1,6.6,1,0.003,1,0.11,1,0.001,1,1e-04,1,0.001,1,0.084,1,0.007,1,NA,NA,3.4,1,6.5,1,0.002,1
"09:30:00 19/04/2016",NA,NA,0.001,1,2e-04,1,0.001,1,32,1,47,1,0.001,1,10.9,1,6.6,1,0.006,1,0.13,1,0.001,1,1e-04,1,0.001,1,0.036,1,0.006,1,NA,NA,2.6,1,12.5,1,0.003,1
"09:30:00 21/03/2013",NA,NA,0.001,1,2e-04,1,0.001,1,60,1,55,1,0.001,1,9.7,1,6.7,1,0.003,1,0.2,1,0.001,1,1e-04,1,0.001,1,0.039,1,0.011,1,4,1,4.5,1,15.5,1,0.003,1
"09:30:00 21/05/2014",NA,NA,0.001,1,2e-04,1,0.001,1,30,1,47,1,0.001,1,10.6,1,6.7,1,0.003,1,0.13,1,0.001,1,1e-04,1,0.001,1,0.03,1,0.005,1,2,1,3.6,1,11.5,1,0.002,1
"09:30:00 21/05/2015",NA,NA,0.001,1,2e-04,1,0.001,1,30,1,39,1,0.001,1,11.3,1,6.7,1,0.003,1,0.2,1,0.001,1,1e-04,1,0.001,1,0.064,1,0.013,1,49,1,6.3,1,9,1,0.003,1
"09:30:00 26/09/2012",NA,NA,0.001,1,2e-04,1,0.001,1,32,1,52,1,0.001,1,9.8,1,6.8,1,0.003,1,0.17,1,0.001,1,1e-04,1,0.001,1,0.091,1,0.01,1,2,1,8.2,1,8,1,0.004,1
"09:35:00 18/06/2019",NA,NA,0.001,1,2e-04,1,0.001,1,32,1,36,1,0.001,1,12.03,1,6.74,1,0.003,1,0.14,1,0.001,1,1e-04,1,0.001,1,0.03,1,0.01,1,4,1,4.3,1,6.3,1,0.001,1
"09:37:00 17/11/2010",NA,NA,0.001,1,2e-04,1,0.001,1,50,1,47,1,0.001,1,9.8,1,6.8,1,0.003,1,0.24,1,0.001,1,1e-04,1,0.001,1,0.045,1,0.012,1,5,1,5.6,1,12.7,1,0.001,1
"09:40:00 14/07/2020",NA,NA,0.001,1,2e-04,1,0.002,1,40,1,44,1,0.001,1,11.66,1,6.26,1,0.003,1,1,1,0.001,1,1e-04,1,0.002,1,0.27,1,0.11,1,81,1,61,1,7.6,1,0.008,1
"09:40:00 22/01/2014",NA,NA,0.001,1,2e-04,1,0.001,1,40,1,55,1,0.001,1,8.9,1,7.1,1,0.003,1,0.2,1,0.001,1,1e-04,1,0.001,1,0.044,1,0.012,1,3,1,3.5,1,18,1,0.001,1
"09:40:00 22/04/2009",NA,NA,0.001,65,2e-04,65,0.001,65,36,65,44,65,0.001,65,10.6,65,7.1,65,0.003,65,0.12,65,0.001,65,1e-04,65,0.001,65,0.004,65,0.006,65,2,65,2.3,65,11,65,0.002,65
"09:40:00 26/10/2011",NA,NA,0.001,1,2e-04,1,0.001,1,48,1,59,1,0.001,1,10.7,1,7,1,0.004,1,0.24,1,0.001,1,1e-04,1,0.001,1,0.11,1,0.016,1,7,1,9.4,1,11,1,0.003,1
"09:45:00 12/03/2008",NA,NA,0.001,65,2e-04,65,0.001,65,25,65,71,65,0.001,65,9.4,65,5.6,65,0.003,65,0.12,65,0.001,65,1e-04,65,0.001,65,0.003,65,0.005,65,3,65,2.2,65,17.6,65,0.003,65
"09:45:00 16/01/2007",NA,NA,0.001,65,2e-04,65,0.001,65,40,65,43,65,0.001,65,8.6,65,6.4,65,0.003,65,0.23,65,0.001,65,1e-04,65,0.001,65,0.03,65,0.01,65,2,65,3.1,65,20.6,65,0.002,65
"09:45:00 20/10/2009",NA,NA,0.001,1,1e-04,1,0.001,1,30,1,35.1,1,0.001,1,11.8,1,7.1,1,0.001,1,0.09,1,0.001,1,1e-04,1,0.001,1,0.05,1,0.005,1,1,1,5.9,1,9.9,1,0.003,1
"09:45:00 23/02/2017",NA,NA,0.001,1,2e-04,1,0.001,1,60,1,41,1,0.001,1,9.3,1,6.5,1,0.003,1,0.22,1,0.001,1,1e-04,1,0.001,1,0.04,1,0.009,1,2,1,3.7,1,15.5,1,0.001,1
"09:50:00 11/09/2018",NA,NA,0.001,1,2e-04,1,0.001,1,25,1,39,1,0.001,1,11,1,6.7,1,0.003,1,0.13,1,0.001,1,1e-04,1,0.001,1,0.053,1,0.009,1,3,1,4.9,1,8.5,1,0.005,1
"09:50:00 12/12/2017",NA,NA,0.001,1,2e-04,1,0.001,1,40,1,40,1,0.001,1,9.2,1,6.6,1,0.003,1,0.19,1,0.001,1,1e-04,1,0.001,1,0.05,1,0.01,1,4,1,6.4,1,16,1,0.002,1
"09:50:00 13/11/2007",NA,NA,0.001,65,2e-04,65,0.001,65,30,65,53,65,0.001,65,10.8,65,6.4,65,0.003,65,0.08,65,0.001,65,1e-04,65,0.001,65,0.05,65,0.005,65,4,65,4.3,65,15,65,0.003,65
"09:50:00 16/09/2009",NA,NA,0.001,1,1e-04,1,0.001,1,30,1,32.6,1,0.001,1,10.4,1,7,1,0.005,1,0.05,1,0.001,1,1e-04,1,0.001,1,0.036,1,0.008,1,1,1,3.5,1,8,1,0.003,1
"09:50:00 22/10/2013",NA,NA,0.001,1,2e-04,1,0.001,1,30,1,52,1,0.001,1,10.3,1,6.7,1,0.003,1,0.11,1,0.001,1,1e-04,1,0.001,1,0.052,1,0.009,1,2,1,4.2,1,13,1,0.011,1
"09:51:00 23/05/2018",NA,NA,0.001,1,2e-04,1,0.004,1,56,1,32.2,1,0.002,1,10.6,1,6.5,1,0.006,1,0.84,1,0.001,1,1e-04,1,0.002,1,0.024,1,0.074,1,94,1,26.1,1,10.1,1,0.007,1
"10:00:00 12/05/2020",NA,NA,0.001,1,2e-04,1,0.001,1,35,1,44,1,0.001,1,11.55,1,6.81,1,0.003,1,0.15,1,0.001,1,1e-04,1,0.001,1,0.078,1,0.015,1,6,1,3.8,1,8,1,0.001,1
"10:00:00 13/12/2016",NA,NA,0.001,1,2e-04,1,0.001,1,32,1,45,1,0.001,1,10.4,1,6.6,1,0.003,1,0.15,1,0.001,1,1e-04,1,0.001,1,0.04,1,0.008,1,NA,NA,3.8,1,16,1,0.002,1
"10:00:00 17/10/2017",NA,NA,0.001,1,2e-04,1,0.001,1,24,1,36,1,0.001,1,10.4,1,6.3,1,0.003,1,0.14,1,0.001,1,1e-04,1,0.001,1,0.036,1,0.009,1,2,1,3.2,1,12.5,1,0.003,1
"10:00:00 21/10/2014",NA,NA,0.001,1,2e-04,1,0.001,1,35,1,43,1,0.001,1,10.7,1,6.7,1,0.003,1,0.14,1,0.001,1,1e-04,1,0.001,1,0.049,1,0.005,1,2,1,4.4,1,12,1,0.004,1
"10:00:00 22/02/2012",NA,NA,0.001,1,2e-04,1,0.001,1,50,1,64,1,0.001,1,8.9,1,7.1,1,0.004,1,0.2,1,0.001,1,1e-04,1,0.001,1,0.055,1,0.01,1,5,1,3.4,1,16.6,1,0.002,1
"10:00:00 23/11/2016",NA,NA,0.001,1,2e-04,1,0.001,1,24,1,43,1,0.001,1,8,1,6.7,1,0.008,1,0.13,1,0.001,1,1e-04,1,0.001,1,0.038,1,0.008,1,NA,NA,6.1,1,13.5,1,0.003,1
"10:00:00 24/09/2019",NA,NA,0.001,1,2e-04,1,0.001,1,35,1,43,1,0.001,1,11.84,1,6.54,1,0.003,1,0.15,1,0.001,1,1e-04,1,0.001,1,0.065,1,0.01,1,8,1,5.8,1,8.2,1,0.002,1
"10:00:00 25/05/2017",NA,NA,0.001,1,2e-04,1,0.001,1,28,1,47,1,0.001,1,10,1,6.5,1,0.005,1,0.09,1,0.001,1,1e-04,1,0.001,1,0.049,1,0.008,1,2,1,2.9,1,9,1,0.001,1
"10:05:00 30/03/2005",NA,NA,0.001,65,2e-04,65,0.001,65,30,65,48,65,0.001,65,10.2,65,7.3,65,0.003,65,0.12,65,0.001,65,1e-04,65,0.001,65,0.05,65,0.01,65,1,65,1.7,65,13.1,65,0.005,65
"10:10:00 17/05/2005",NA,NA,0.001,65,2e-04,65,0.001,65,25,65,55,65,0.001,65,11.1,65,7.3,65,0.003,65,0.09,65,0.001,65,1e-04,65,0.001,65,0.06,65,0.007,65,1,65,1.2,65,NA,NA,0.002,65
"10:10:00 21/05/2019",NA,NA,0.001,1,2e-04,1,0.001,1,25,1,41.2,1,0.001,1,11.59,1,7.21,1,0.003,1,0.29,1,0.001,1,1e-04,1,0.001,1,0.031,1,0.022,1,2,1,1.5,1,8.4,1,0.003,1
"10:10:00 26/09/2017",NA,NA,0.001,1,2e-04,1,0.002,1,24,1,30,1,0.001,1,12.8,1,6.3,1,0.003,1,0.44,1,0.001,1,1e-04,1,0.001,1,0.052,1,0.038,1,20,1,12.6,1,8.5,1,0.012,1
"10:15:00 12/04/2005",NA,NA,0.001,65,2e-04,65,0.001,65,35,65,54,65,0.001,65,11.2,65,6.6,65,0.003,65,0.11,65,0.001,65,1e-04,65,0.001,65,0.02,65,0.006,65,1,65,2.1,65,NA,NA,0.002,65
"10:15:00 20/04/2010",NA,NA,0.001,1,1e-04,1,0.001,1,40,1,34.1,1,0.001,1,10.2,1,6.9,1,0.003,1,0.05,1,0.001,1,1e-04,1,0.001,1,0.12,1,0.009,1,1,1,2.2,1,14.1,1,0.002,1
"10:20:00 29/12/2003",NA,NA,0.001,65,2e-04,65,0.001,65,35,65,43,65,0.002,65,10.5,65,7.4,65,0.003,65,0.22,65,0.001,65,1e-04,65,0.001,65,0.03,65,0.01,65,6,65,NA,NA,18.6,65,0.002,65
"10:30:00 01/12/2005",NA,NA,0.001,65,2e-04,65,0.001,65,70,65,41,65,0.003,65,10.2,65,6,65,0.003,65,0.29,65,0.001,65,2e-04,65,0.001,65,0.08,65,0.01,65,9,65,11,65,NA,NA,0.009,65
"10:30:00 12/02/2020",NA,NA,0.001,1,2e-04,1,0.001,1,80,1,39,1,0.001,1,9.4,1,6.52,1,0.004,1,0.31,1,0.001,1,1e-04,1,0.001,1,0.019,1,0.023,1,10,1,9,1,17.4,1,0.003,1
"10:30:00 15/03/2006",NA,NA,0.001,65,2e-04,65,0.001,65,70,65,48,65,0.007,65,9.2,65,6.8,65,0.03,65,0.16,65,0.001,65,1e-04,65,0.001,65,0.08,65,0.005,65,5,65,12,65,16.5,65,0.01,65
"10:30:00 16/06/2010",NA,NA,0.001,1,1e-04,1,0.001,1,37,1,39,1,0.001,1,12.2,1,6.8,1,0.001,1,0.05,1,0.001,1,1e-04,1,0.001,1,0.049,1,0.005,1,2,1,2.8,1,5.5,1,0.006,1
"10:30:00 18/05/2011",NA,NA,0.001,1,2e-04,1,0.001,1,45,1,85,1,0.002,1,11.2,1,6.9,1,0.003,1,0.16,1,0.001,1,1e-04,1,0.001,1,0.11,1,0.011,1,4,1,6.5,1,7.5,1,0.003,1
"10:30:00 18/12/2018",NA,NA,0.001,1,2e-04,1,0.001,1,60,1,43,1,0.001,1,9.11,1,6.92,1,0.003,1,0.19,1,0.001,1,1e-04,1,0.001,1,0.017,1,0.011,1,3,1,3.1,1,18,1,0.002,1
"10:30:00 23/08/2017",NA,NA,0.001,1,2e-04,1,0.001,1,24,1,56,1,0.001,1,11.8,1,6.7,1,0.003,1,0.18,1,0.001,1,1e-04,1,0.001,1,0.16,1,0.016,1,4,1,4,1,7,1,0.016,1
"10:30:00 28/06/2005",NA,NA,0.001,65,2e-04,65,0.001,65,35,65,42,65,0.001,65,12.6,65,7.1,65,0.003,65,0.14,65,0.001,65,1e-04,65,0.001,65,0.06,65,0.009,65,3,65,2.3,65,NA,NA,0.007,65
"10:34:00 20/04/2017",NA,NA,0.001,1,2e-04,1,0.001,1,32,1,45,1,0.001,1,9.7,1,6.5,1,0.003,1,0.13,1,0.001,1,1e-04,1,0.001,1,0.039,1,0.007,1,2,1,3.2,1,12.4,1,0.001,1
"10:35:00 02/11/2005",NA,NA,0.001,65,2e-04,65,0.001,65,40,65,47,65,0.003,65,10.7,65,6.4,65,0.003,65,0.09,65,0.001,65,2e-04,65,0.001,65,0.02,65,0.005,65,2,65,2.3,65,NA,NA,0.004,65
"10:40:00 09/01/2008",NA,NA,0.001,65,2e-04,65,0.001,65,50,65,47,65,0.001,65,9,65,6.5,65,0.003,65,0.13,65,0.001,65,1e-04,65,0.001,65,0.01,65,0.01,65,2,65,3.7,65,21.5,65,0.006,65
"10:40:00 17/01/2005",NA,NA,0.001,65,2e-04,65,0.001,65,25,65,45,65,0.002,65,11.9,65,7.5,65,0.003,65,0.15,65,0.001,65,1e-04,65,0.001,65,0.05,65,0.01,65,2,65,2.8,65,15.9,65,0.003,65
