"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual"
"07:30:00 11/03/2020",NA,NA,0.001,1,2e-04,1,0.001,1,40,1,39,1,0.002,1,9.95,1,6.51,1,0.003,1,0.16,1,0.001,1,1e-04,1,0.004,1,0.019,1,0.01,1,2,1,4.1,1,13.5,1,0.028,1
"07:35:00 11/12/2019",NA,NA,0.001,1,2e-04,1,0.001,1,25,1,41,1,0.001,1,9.87,1,6.62,1,0.003,1,0.14,1,0.001,1,1e-04,1,0.001,1,0.031,1,0.005,1,2,1,3,1,14.8,1,0.001,1
"07:40:00 15/12/2010",NA,NA,0.001,1,2e-04,1,0.001,1,56,1,53,1,0.001,1,9.7,1,6.9,1,0.003,1,0.24,1,0.001,1,1e-04,1,0.001,1,0.056,1,0.008,1,10,1,5,1,16,1,0.003,1
"07:40:00 17/12/2013",NA,NA,0.001,1,2e-04,1,0.001,1,35,1,43,1,0.001,1,9.8,1,7,1,0.003,1,0.15,1,0.001,1,1e-04,1,0.001,1,0.036,1,0.013,1,2,1,3.1,1,15.5,1,0.002,1
"07:45:00 21/12/2011",NA,NA,0.001,1,2e-04,1,0.001,1,40,1,53,1,0.001,1,9.9,1,6.9,1,0.003,1,0.16,1,0.001,1,1e-04,1,0.001,1,0.072,1,0.005,1,4,1,6.5,1,15,1,0.001,1
"07:50:00 20/01/2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,1,NA,NA,9.97,1,6.66,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,13.2,1,NA,NA
"07:50:00 22/01/2019",NA,NA,0.001,1,2e-04,1,0.001,1,50,1,46,1,0.001,1,8.24,1,7.01,1,0.003,1,0.25,1,0.001,1,1e-04,1,0.001,1,0.01,1,0.015,1,2,1,3.1,1,21.5,1,0.012,1
"08:20:00 14/12/2006",NA,NA,0.001,65,2e-04,65,0.001,65,25,65,42,65,0.002,65,9.3,65,6.6,65,0.003,65,0.2,65,0.001,65,1e-04,65,0.001,65,0.01,65,0.009,65,4,65,3.5,65,16.3,65,0.002,65
"08:20:00 20/02/2007",NA,NA,0.001,65,2e-04,65,0.001,65,55,65,43,65,0.002,65,8.3,65,6.8,65,0.005,65,0.2,65,0.001,65,1e-04,65,0.001,65,0.01,65,0.009,65,2,65,NA,NA,21,65,0.003,65
"08:25:00 23/10/2018",NA,NA,0.001,1,2e-04,1,0.001,1,50,1,39,1,0.001,1,10.3,1,6.8,1,0.003,1,0.21,1,0.001,1,1e-04,1,0.001,1,0.017,1,0.011,1,4,1,3.1,1,11.8,1,0.002,1
"08:30:00 08/01/2020",NA,NA,0.001,1,2e-04,1,0.001,1,35,1,50,1,0.001,1,9.51,1,6.72,1,0.003,1,0.18,1,0.001,1,1e-04,1,0.001,1,0.024,1,0.011,1,2,1,2.9,1,16.2,1,0.001,1
"08:30:00 09/01/2018",NA,NA,0.001,1,2e-04,1,0.001,1,32,1,46,1,0.001,1,8.8,1,6.9,1,0.003,1,0.17,1,0.001,1,1e-04,1,0.001,1,0.024,1,0.012,1,2,1,3.7,1,18.5,1,0.001,1
"08:30:00 15/11/2004",NA,NA,0.001,65,2e-04,65,0.003,65,75,65,63,65,0.002,65,11.8,65,6.3,65,0.003,65,0.37,65,0.001,65,1e-04,65,0.002,65,0.28,65,0.02,65,15,65,19,65,11.2,65,0.004,65
"08:30:00 17/12/2020",NA,NA,0.001,1,2e-04,1,0.001,1,25,1,48,1,0.001,1,9.08,1,6.93,1,0.003,1,0.13,1,0.001,1,1e-04,1,0.001,1,0.056,1,0.009,1,2,1,2.6,1,17.7,1,0.001,1
"08:30:00 18/08/2010",NA,NA,0.001,1,2e-04,1,0.001,1,45,1,49,1,0.001,1,11.2,1,6.8,1,0.003,1,0.2,1,0.001,1,1e-04,1,0.001,1,0.17,1,0.005,1,6,1,9.8,1,5.5,1,0.004,1
"08:30:00 19/01/2010",NA,NA,0.001,1,1e-04,1,0.001,1,48,1,41.3,1,0.001,1,9.1,1,7,1,0.004,1,0.08,1,0.001,1,1e-04,1,0.001,1,0.013,1,0.005,1,14,1,24,1,14.5,1,0.006,1
"08:30:00 19/03/2019",NA,NA,0.001,1,2e-04,1,0.001,1,40,1,47,1,0.001,1,9,1,7,1,0.003,1,0.16,1,0.001,1,1e-04,1,0.001,1,0.003,1,0.012,1,2,1,1.7,1,18.3,1,0.001,1
"08:30:00 19/10/2016",NA,NA,0.001,1,2e-04,1,0.003,1,80,1,48,1,0.001,1,11.2,1,6.4,1,0.01,1,0.43,1,0.001,1,1e-04,1,0.002,1,0.074,1,0.039,1,NA,NA,32,1,8,1,0.001,1
"08:30:00 20/02/2018",NA,NA,0.001,1,2e-04,1,0.001,1,24,1,47,1,0.001,1,8.9,1,6.9,1,0.003,1,0.17,1,0.001,1,1e-04,1,0.001,1,0.01,1,0.011,1,4,1,3.3,1,17,1,0.002,1
