"Date","Turbidity","Turbidity_Qual"
"14:25:00 26/03/2007",1.7,2
"14:26:00 26/03/2007",2,2
"14:27:00 26/03/2007",2,2
"14:28:00 26/03/2007",1.9,2
"14:29:00 26/03/2007",1.9,2
"14:30:00 26/03/2007",2,2
"14:31:00 26/03/2007",1.9,2
"14:32:00 26/03/2007",1.9,2
"14:33:00 26/03/2007",2.1,2
"14:34:00 26/03/2007",2.2,2
"14:35:00 26/03/2007",2.3,2
"14:36:00 26/03/2007",2.2,2
"14:37:00 26/03/2007",2.2,2
"14:38:00 26/03/2007",2.1,2
"14:39:00 26/03/2007",2.4,2
"14:40:00 26/03/2007",2.5,2
"14:41:00 26/03/2007",2.4,2
"14:42:00 26/03/2007",2.3,2
"14:43:00 26/03/2007",2.5,2
"14:44:00 26/03/2007",2.5,2
"14:45:00 26/03/2007",2.3,2
"14:46:00 26/03/2007",2.5,2
"14:47:00 26/03/2007",2.5,2
"14:48:00 26/03/2007",2.8,2
"14:49:00 26/03/2007",2.6,2
"14:50:00 26/03/2007",2.6,2
"14:51:00 26/03/2007",2.5,2
"14:52:00 26/03/2007",2.6,2
"14:57:00 26/03/2007",2.6,2
"14:58:00 26/03/2007",2.4,2
"14:59:00 26/03/2007",2.5,2
"15:00:00 26/03/2007",2.6,2
"15:02:00 26/03/2007",2.6,2
"15:03:00 26/03/2007",2.5,2
"15:04:00 26/03/2007",2.6,2
"15:05:00 26/03/2007",2.3,2
"15:06:00 26/03/2007",2.3,2
"15:07:00 26/03/2007",2.4,2
"15:08:00 26/03/2007",2.3,2
"15:09:00 26/03/2007",2.3,2
"15:10:00 26/03/2007",2,2
"15:11:00 26/03/2007",2.2,2
"15:12:00 26/03/2007",2.3,2
"15:13:00 26/03/2007",2,2
"15:14:00 26/03/2007",2.1,2
"15:15:00 26/03/2007",2.3,2
"15:16:00 26/03/2007",2.1,2
"15:17:00 26/03/2007",2.2,2
"15:18:00 26/03/2007",2.3,2
"15:19:00 26/03/2007",2,2
"15:20:00 26/03/2007",1.8,2
"15:21:00 26/03/2007",1.9,2
"15:22:00 26/03/2007",1.9,2
"15:23:00 26/03/2007",1.7,2
"15:24:00 26/03/2007",1.8,2
"15:25:00 26/03/2007",1.9,2
"15:26:00 26/03/2007",1.7,2
"15:31:00 26/03/2007",1.7,2
"15:45:00 26/03/2007",2.2,2
"16:00:00 26/03/2007",2.1,2
"16:30:00 26/03/2007",1.6,2
"19:15:00 26/03/2007",2.6,2
"19:30:00 26/03/2007",1.4,2
"20:00:00 26/03/2007",1.7,2
"20:45:00 26/03/2007",1.1,2
"00:00:00 27/03/2007",1.3,2
"00:30:00 27/03/2007",2.8,2
"00:45:00 27/03/2007",2.1,2
"01:15:00 27/03/2007",2.7,2
"01:30:00 27/03/2007",2.1,2
"02:00:00 27/03/2007",2.7,2
"02:30:00 27/03/2007",1.7,2
"04:00:00 27/03/2007",1.4,2
"04:15:00 27/03/2007",2,2
"04:30:00 27/03/2007",3.6,2
"04:45:00 27/03/2007",2.1,2
"05:15:00 27/03/2007",1.4,2
"06:15:00 27/03/2007",2,2
"07:30:00 27/03/2007",1.3,2
"08:00:00 27/03/2007",1.5,2
"09:30:00 27/03/2007",6.3,2
"09:45:00 27/03/2007",1.7,2
"12:00:00 27/03/2007",1.3,2
"15:00:00 27/03/2007",1.9,2
"15:15:00 27/03/2007",1.2,2
"16:00:00 27/03/2007",1.4,2
"16:30:00 27/03/2007",1.9,2
"17:00:00 27/03/2007",1.4,2
"20:00:00 27/03/2007",1.3,2
"21:00:00 27/03/2007",2.1,2
"21:15:00 27/03/2007",1.4,2
"00:00:00 28/03/2007",1.4,2
"04:00:00 28/03/2007",1.1,2
"06:45:00 28/03/2007",2,2
"07:00:00 28/03/2007",1.3,2
"08:00:00 28/03/2007",1.3,2
"08:30:00 28/03/2007",2.4,2
"08:45:00 28/03/2007",1.6,2
"10:00:00 28/03/2007",2.2,2
"10:45:00 28/03/2007",1.5,2
"12:00:00 28/03/2007",1.7,2
"16:00:00 28/03/2007",2.2,2
"20:00:00 28/03/2007",1.4,2
"21:15:00 28/03/2007",2.3,2
"21:45:00 28/03/2007",1.6,2
"00:00:00 29/03/2007",1.7,2
"00:45:00 29/03/2007",2.6,2
"01:00:00 29/03/2007",3.5,2
"01:15:00 29/03/2007",4.7,2
"01:30:00 29/03/2007",5.4,2
"01:45:00 29/03/2007",7,2
"02:00:00 29/03/2007",8.8,2
"02:45:00 29/03/2007",9.4,2
"03:15:00 29/03/2007",13.2,2
"03:30:00 29/03/2007",15.3,2
"03:45:00 29/03/2007",17.2,2
"04:00:00 29/03/2007",19.1,2
"04:15:00 29/03/2007",21,2
"04:30:00 29/03/2007",20.2,2
"04:45:00 29/03/2007",17.7,2
"05:15:00 29/03/2007",16,2
"05:30:00 29/03/2007",13.9,2
"05:45:00 29/03/2007",12.5,2
"06:00:00 29/03/2007",14.9,2
"06:15:00 29/03/2007",10.4,2
"06:30:00 29/03/2007",9.2,2
"06:45:00 29/03/2007",8.5,2
"07:00:00 29/03/2007",7.6,2
"07:30:00 29/03/2007",6.7,2
"08:00:00 29/03/2007",7.1,2
"09:00:00 29/03/2007",6.4,2
"09:30:00 29/03/2007",5.7,2
"10:00:00 29/03/2007",5.2,2
"10:15:00 29/03/2007",6.1,2
"10:45:00 29/03/2007",5.4,2
"11:00:00 29/03/2007",4.5,2
"12:00:00 29/03/2007",4.2,2
"12:15:00 29/03/2007",4.8,2
"12:45:00 29/03/2007",4.1,2
"13:30:00 29/03/2007",3.5,2
"14:30:00 29/03/2007",5.3,2
"14:45:00 29/03/2007",3.2,2
"15:45:00 29/03/2007",2.7,2
"16:00:00 29/03/2007",2.8,2
"17:45:00 29/03/2007",2.3,2
"20:00:00 29/03/2007",2,2
"00:00:00 30/03/2007",1.9,2
"04:00:00 30/03/2007",2,2
"05:00:00 30/03/2007",3.2,2
"05:15:00 30/03/2007",2.2,2
"07:00:00 30/03/2007",3,2
"08:00:00 30/03/2007",3.8,2
"11:00:00 30/03/2007",4.5,2
"12:00:00 30/03/2007",4.2,2
"13:15:00 30/03/2007",5.2,2
"13:30:00 30/03/2007",4.6,2
"14:15:00 30/03/2007",5.9,2
"14:30:00 30/03/2007",5.1,2
"14:45:00 30/03/2007",6.1,2
"15:15:00 30/03/2007",6.7,2
"15:30:00 30/03/2007",8.2,2
"16:00:00 30/03/2007",8.9,2
"16:15:00 30/03/2007",9.5,2
"17:00:00 30/03/2007",11.5,2
"17:15:00 30/03/2007",13.3,2
"17:45:00 30/03/2007",16.1,2
"18:00:00 30/03/2007",9,2
"18:15:00 30/03/2007",10.3,2
"18:30:00 30/03/2007",11.2,2
"18:45:00 30/03/2007",12.1,2
"19:15:00 30/03/2007",10.3,2
"19:30:00 30/03/2007",11,2
"19:45:00 30/03/2007",9.9,2
"20:00:00 30/03/2007",9.5,2
"20:15:00 30/03/2007",8.3,2
"20:45:00 30/03/2007",7.1,2
"21:00:00 30/03/2007",6.3,2
"21:45:00 30/03/2007",5.2,2
"22:15:00 30/03/2007",4.5,2
"22:45:00 30/03/2007",5.3,2
"23:00:00 30/03/2007",4.5,2
"23:45:00 30/03/2007",4,2
"00:00:00 31/03/2007",3.8,2
"01:00:00 31/03/2007",5.3,2
"01:15:00 31/03/2007",4.5,2
"01:30:00 31/03/2007",4,2
"02:00:00 31/03/2007",3.5,2
"02:15:00 31/03/2007",2.9,2
"04:00:00 31/03/2007",2.5,2
"04:30:00 31/03/2007",3.4,2
"05:15:00 31/03/2007",4,2
"05:30:00 31/03/2007",2.8,2
"06:15:00 31/03/2007",3.6,2
"06:30:00 31/03/2007",3.1,2
"06:45:00 31/03/2007",3.9,2
"07:15:00 31/03/2007",3.1,2
"08:00:00 31/03/2007",2.7,2
"09:30:00 31/03/2007",1.8,2
"12:00:00 31/03/2007",2,2
"14:45:00 31/03/2007",2.6,2
"15:00:00 31/03/2007",1.6,2
"15:45:00 31/03/2007",2.1,2
"16:00:00 31/03/2007",1.6,2
"17:00:00 31/03/2007",2.2,2
"17:30:00 31/03/2007",1.6,2
"20:00:00 31/03/2007",1.8,2
"21:45:00 31/03/2007",1.2,2
"00:00:00 01/04/2007",1.9,2
"00:15:00 01/04/2007",1.2,2
"04:00:00 01/04/2007",1.6,2
"08:00:00 01/04/2007",1.4,2
"11:15:00 01/04/2007",2.1,2
"12:00:00 01/04/2007",1.7,2
"16:00:00 01/04/2007",1.9,2
"17:15:00 01/04/2007",1.3,2
"18:00:00 01/04/2007",3,2
"18:15:00 01/04/2007",1.8,2
"20:00:00 01/04/2007",1.7,2
"20:15:00 01/04/2007",2.2,2
"21:45:00 01/04/2007",1.5,2
"00:00:00 02/04/2007",1.9,2
"01:15:00 02/04/2007",1.3,2
"02:15:00 02/04/2007",1.9,2
"04:00:00 02/04/2007",1.7,2
"07:45:00 02/04/2007",2.9,2
"08:00:00 02/04/2007",1.6,2
"09:45:00 02/04/2007",2.1,2
"10:30:00 02/04/2007",1.5,2
"12:00:00 02/04/2007",1.5,2
"14:45:00 02/04/2007",2.5,2
"15:00:00 02/04/2007",1.9,2
"16:00:00 02/04/2007",1.9,2
"20:00:00 02/04/2007",1.4,2
"23:30:00 02/04/2007",1.9,2
"00:00:00 03/04/2007",1.6,2
"01:30:00 03/04/2007",2.2,2
"01:45:00 03/04/2007",1.6,2
"04:00:00 03/04/2007",1.4,2
"08:00:00 03/04/2007",1.5,2
"12:00:00 03/04/2007",1.5,2
"16:00:00 03/04/2007",1.2,2
"20:00:00 03/04/2007",1.3,2
"00:00:00 04/04/2007",1.5,2
"01:45:00 04/04/2007",2,2
"03:30:00 04/04/2007",2.9,2
"04:00:00 04/04/2007",3,2
"04:30:00 04/04/2007",1.9,2
"08:00:00 04/04/2007",1.6,2
"12:00:00 04/04/2007",1.5,2
"16:00:00 04/04/2007",1.4,2
"20:00:00 04/04/2007",1.3,2
"00:00:00 05/04/2007",1.5,2
