"Date","AluminiumasAl","AluminiumasAl_Qual","AmmoniaasN","AmmoniaasN_Qual","BicarbonateAlkalinityasCaCO3","BicarbonateAlkalinityasCaCO3_Qual","CadmiumasCd","CadmiumasCd_Qual","CalciumasCa","CalciumasCa_Qual","CarbonateAlkalinityasCaCO3","CarbonateAlkalinityasCaCO3_Qual","ChlorideasCl","ChlorideasCl_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","HydroxideAlkalinityasCaCO3","HydroxideAlkalinityasCaCO3_Qual","IronasFe","IronasFe_Qual","LeadasPb","LeadasPb_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","MercuryasHg","MercuryasHg_Qual","MolybdenumasMo","MolybdenumasMo_Qual","NickelasNi","NickelasNi_Qual","NitrateNitrogen","NitrateNitrogen_Qual","NitriteNitrogen","NitriteNitrogen_Qual","PotassiumasK","PotassiumasK_Qual","SeleniumasSe","SeleniumasSe_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual"
"08:20:00 12/02/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,65,NA,NA,NA,NA,NA,NA
"08:30:00 02/02/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,120,65,NA,NA,9.1,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,65,14.5,65,20.2,65,NA,NA
"09:16:00 06/03/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,115,65,NA,NA,8.4,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,65,18.6,65,22,65,NA,NA
"09:30:00 13/06/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,204,65,NA,NA,11.2,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,65,11,65,9.5,65,NA,NA
"09:35:00 26/02/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,65,NA,NA,NA,NA,NA,NA
"09:38:00 26/02/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,65,NA,NA,8,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9,65,NA,NA
"09:46:00 20/03/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,118,65,NA,NA,8.8,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,65,17.4,65,19.6,65,NA,NA
"09:50:00 19/02/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,117,65,NA,NA,7.8,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,65,NA,NA,23.3,65,NA,NA
"09:55:00 13/03/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,65,NA,NA,9.4,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.1,65,20,65,NA,NA
"10:00:00 18/12/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,118,65,NA,NA,8.7,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,65,16,65,19.8,65,NA,NA
"10:00:00 27/03/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,148,65,NA,NA,9.1,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,65,21.5,65,19.8,65,NA,NA
"10:05:00 01/03/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,65,120,65,NA,NA,8.9,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,65,16,65,20,65,NA,NA
"10:05:00 10/01/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,120,65,NA,NA,9.9,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,65,18,65,18.9,65,NA,NA
"10:10:00 12/02/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,65,NA,NA,8.7,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7,65,NA,NA
"10:10:00 26/06/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,65,160,65,NA,NA,8.1,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,65,26.6,65,8.4,65,NA,NA
"10:15:00 28/12/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,65,130,65,NA,NA,8,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,65,18,65,NA,NA,NA,NA
"10:20:00 05/02/2007",0.37,65,0.01,65,16,65,2e-04,65,3.1,65,1,65,22,65,0.001,65,35,65,129,65,0.003,65,9.4,65,7.1,65,0.004,65,2,65,0.91,65,0.001,65,2.8,65,0.04,65,1e-04,65,0.001,65,0.002,65,0.009,65,0.007,65,1.6,65,0.001,65,2.6,65,12,65,3,65,16,65,0.05,65,12,65,16,65,24.5,65,0.007,65
"10:20:00 28/11/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,65,147,65,NA,NA,8.4,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,65,19,65,NA,NA,NA,NA
