"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"06:50:00 07/02/2013",45,1,346,1,6.4,1,7.5,1,0.036,1,0.82,1,0.62,1,0.16,1,41,1,53.4,1,18.6,1
"07:00:00 06/11/2012",50,1,405,1,7.8,1,7.4,1,0.049,1,0.84,1,1.6,1,0.17,1,31,1,28.4,1,18.2,1
"07:00:00 10/01/2013",55,1,469,1,7.4,1,7.7,1,0.23,1,1.2,1,1.2,1,0.36,1,28,1,33,1,16,1
"07:00:00 12/11/2014",45,1,290,1,9.1,1,7.5,1,0.011,1,0.57,1,0.93,1,0.057,1,12,1,23.8,1,13.6,1
"07:11:00 10/03/2016",48,1,448,1,5.2,1,7.4,1,0.014,1,0.78,1,1.5,1,0.13,1,66,1,89,1,20.8,1
"07:15:00 04/12/2014",50,1,294,1,7.6,1,7.1,1,0.012,1,0.55,1,0.72,1,0.084,1,22,1,24.9,1,18.8,1
"07:15:00 06/01/2011",60,1,324,1,7.4,1,7.3,1,0.008,1,0.66,1,0.73,1,0.062,1,18,1,23.1,1,18.1,1
"07:15:00 06/03/2013",50,1,346,1,6.5,1,7.4,1,0.02,1,0.7,1,0.56,1,0.11,1,38,1,47.5,1,17.9,1
"07:15:00 08/01/2015",50,1,340,1,7,1,7.4,1,0.016,1,0.76,1,0.72,1,0.11,1,22,1,30,1,22.7,1
"07:15:00 09/01/2014",60,1,326,1,9.2,1,7.3,1,0.025,1,0.61,1,0.77,1,0.1,1,14,1,20.9,1,15.4,1
"07:20:00 04/02/2010",40,1,429.8,1,6.1,1,7.3,1,0.02,1,0.71,1,0.239,1,0.132,1,33,1,42,1,22.1,1
"07:20:00 12/03/2014",40,1,345,1,6.6,1,7.1,1,0.022,1,0.62,1,0.64,1,0.16,1,30,1,38.8,1,18.2,1
"07:22:00 06/01/2016",40,1,339,1,7.1,1,6.6,1,0.02,1,1.1,1,1.8,1,0.09,1,29,1,37.3,1,17.1,1
"07:30:00 02/02/2012",NA,180,366,1,8,1,7.4,1,NA,NA,0.86,1,0.65,1,0.16,1,28,1,41.3,1,14.8,1
"07:30:00 02/12/2010",70,1,337,1,7.4,1,7.2,1,0.021,1,0.98,1,1,1,0.12,1,22,1,31.2,1,18.6,1
"07:30:00 04/11/2010",74,1,332,1,7.9,1,7.3,1,0.019,1,0.96,1,1.1,1,0.12,1,20,1,33.5,1,11.7,1
