"Date","AluminiumasAl","AluminiumasAl_Qual","AmmoniaasN","AmmoniaasN_Qual","BicarbonateAlkalinityasCaCO3","BicarbonateAlkalinityasCaCO3_Qual","CadmiumasCd","CadmiumasCd_Qual","CalciumasCa","CalciumasCa_Qual","CarbonateAlkalinityasCaCO3","CarbonateAlkalinityasCaCO3_Qual","ChlorideasCl","ChlorideasCl_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","FlourideasF","FlourideasF_Qual","HydroxideAlkalinityasCaCO3","HydroxideAlkalinityasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","MercuryasHg","MercuryasHg_Qual","MolybdenumasMo","MolybdenumasMo_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","NitrateNitrogen","NitrateNitrogen_Qual","NitriteNitrogen","NitriteNitrogen_Qual","PotassiumasK","PotassiumasK_Qual","SeleniumasSe","SeleniumasSe_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalReactivePhosphorus","TotalReactivePhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual","pHLab","pHLab_Qual"
"13:20:00 30/12/2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,316.2,1,NA,NA,NA,NA,NA,NA,7.7,1,6.8,1,0.018,1,NA,NA,NA,NA,NA,NA,0.35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083,1,NA,NA,28,1,43.7,1,25.3,1,NA,NA,NA,NA
"13:25:00 07/07/2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,1,143,1,NA,NA,NA,NA,NA,NA,10.3,1,6.8,1,0.009,1,NA,NA,NA,NA,NA,NA,0.56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.076,1,NA,NA,58,1,53.8,1,9.1,1,NA,NA,NA,NA
"13:30:00 07/10/2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,1,397,1,NA,NA,NA,NA,NA,NA,8.5,1,7.3,1,0.003,1,NA,NA,NA,NA,NA,NA,0.52,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.086,1,NA,NA,35,1,38.1,1,15.8,1,NA,NA,NA,NA
"13:30:00 11/08/2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,1,365.4,1,NA,NA,NA,NA,NA,NA,10.7,1,7.3,1,0.011,1,NA,NA,NA,NA,NA,NA,0.24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.937,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038,1,NA,NA,16,1,23,1,9.9,1,NA,NA,NA,NA
"13:30:00 12/05/2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,1,292.8,1,NA,NA,NA,NA,NA,NA,8.7,1,7.2,1,0.086,1,NA,NA,NA,NA,NA,NA,0.49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.198,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097,1,NA,NA,23,1,30.9,1,12.7,1,NA,NA,NA,NA
"13:30:00 15/07/2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,1,643,1,NA,NA,NA,NA,NA,NA,10.8,1,7.7,1,0.007,1,NA,NA,NA,NA,NA,NA,0.47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053,1,NA,NA,24,1,27.4,1,9.1,1,NA,NA,NA,NA
"13:30:00 19/07/2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,1,305,1,NA,NA,NA,NA,NA,NA,10.5,1,7,1,0.017,1,NA,NA,NA,NA,NA,NA,0.95,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,1,NA,NA,60,1,94.5,1,10.3,1,NA,NA,NA,NA
"13:30:00 20/12/2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,1,353,1,NA,NA,NA,NA,NA,NA,7,1,6.4,1,0.023,1,NA,NA,NA,NA,NA,NA,0.76,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,1,NA,NA,92,1,133,1,21.3,1,NA,NA,NA,NA
"13:30:00 27/03/2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,1,293,1,NA,NA,NA,NA,NA,NA,8,1,7.3,1,0.003,1,NA,NA,NA,NA,NA,NA,0.99,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,1,NA,NA,61,1,67,1,20.6,1,NA,NA,NA,NA
"13:30:00 30/05/2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,1,254,1,NA,NA,NA,NA,NA,NA,6.3,1,6.6,1,0.043,1,NA,NA,NA,NA,NA,NA,1.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,1,NA,NA,86,1,124,1,12,1,NA,NA,NA,NA
"13:32:00 15/04/2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,565,65,NA,NA,NA,NA,NA,NA,10.5,65,7.3,65,0.03,65,NA,NA,NA,NA,NA,NA,0.76,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,65,NA,NA,25,65,31.4,65,17.4,65,NA,NA,NA,NA
"13:35:00 14/02/2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,1,307,1,NA,NA,NA,NA,NA,NA,6.4,1,6.9,1,0.037,1,NA,NA,NA,NA,NA,NA,0.77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,1,NA,NA,58,1,64.6,1,21.3,1,NA,NA,NA,NA
"13:35:00 24/02/2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,1,347.3,1,NA,NA,NA,NA,NA,NA,9.3,1,8.1,1,0.01,1,NA,NA,NA,NA,NA,NA,0.35,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.037,1,NA,NA,27,1,41.1,1,24.5,1,NA,NA,NA,NA
"13:35:00 29/05/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,909,65,NA,NA,NA,NA,NA,NA,8,65,6.9,65,0.003,65,NA,NA,NA,NA,NA,NA,0.43,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,NA,NA,18,65,24.6,65,13,65,NA,NA,NA,NA
"13:40:00 03/08/2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,1,318,1,NA,NA,NA,NA,NA,NA,6.1,1,6.4,1,0.02,1,NA,NA,NA,NA,NA,NA,0.77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,1,NA,NA,17,1,42.2,1,10.8,1,NA,NA,NA,NA
"13:40:00 04/11/2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1,364.6,1,NA,NA,NA,NA,NA,NA,7.6,1,7.1,1,0.032,1,NA,NA,NA,NA,NA,NA,0.05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.839,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.089,1,NA,NA,33,1,36.3,1,19.6,1,NA,NA,NA,NA
"13:40:00 11/11/2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,65,337,65,NA,NA,NA,NA,NA,NA,9.3,65,7.5,65,0.02,65,NA,NA,NA,NA,NA,NA,0.58,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,65,NA,NA,26,65,36.1,65,21.4,65,NA,NA,NA,NA
"13:40:00 14/11/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,65,390,65,NA,NA,NA,NA,NA,NA,4.8,65,7,65,0.04,65,NA,NA,NA,NA,NA,NA,1.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,65,NA,NA,26,65,35.1,65,20.7,65,NA,NA,NA,NA
