"Date","AluminiumasAl","AluminiumasAl_Qual","AmmoniaasN","AmmoniaasN_Qual","BicarbonateAlkalinityasCaCO3","BicarbonateAlkalinityasCaCO3_Qual","CadmiumasCd","CadmiumasCd_Qual","CalciumasCa","CalciumasCa_Qual","CarbonateAlkalinityasCaCO3","CarbonateAlkalinityasCaCO3_Qual","ChlorideasCl","ChlorideasCl_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","FlourideasF","FlourideasF_Qual","HydroxideAlkalinityasCaCO3","HydroxideAlkalinityasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","MercuryasHg","MercuryasHg_Qual","MolybdenumasMo","MolybdenumasMo_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","NitrateNitrogen","NitrateNitrogen_Qual","NitriteNitrogen","NitriteNitrogen_Qual","PotassiumasK","PotassiumasK_Qual","SeleniumasSe","SeleniumasSe_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalReactivePhosphorus","TotalReactivePhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual","pHLab","pHLab_Qual"
"14:00:00 10/03/2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,701,65,NA,NA,NA,NA,NA,NA,8.9,65,7.6,65,0.006,65,NA,NA,NA,NA,NA,NA,0.61,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,NA,NA,21,65,27.5,65,20.2,65,NA,NA,NA,NA
"14:00:00 12/04/2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,396,1,NA,NA,NA,NA,NA,NA,8.4,1,6.8,1,0.024,1,NA,NA,NA,NA,NA,NA,0.87,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,1,NA,NA,65,1,67.7,1,15.9,1,NA,NA,NA,NA
"14:00:00 15/07/2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,379.1,1,NA,NA,NA,NA,NA,NA,9.9,1,7.5,1,0.01,1,NA,NA,NA,NA,NA,NA,0.08,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035,1,NA,NA,24,1,26.4,1,9.1,1,NA,NA,NA,NA
"14:05:00 01/05/2007",0.4,65,0.04,65,37,65,2e-04,65,12,65,1,65,130,65,0.002,65,30,65,749,65,NA,NA,0.002,65,NA,NA,8.4,65,6.7,65,0.005,65,0.09,65,2,65,0.78,65,0.36,65,0.001,65,9.9,65,0.07,65,1e-04,65,0.001,65,0.001,65,0.21,65,0.2,65,0.008,65,5.7,65,0.001,65,4.2,65,84,65,63,65,30,65,NA,NA,NA,NA,0.04,65,0.005,65,23,65,29.5,65,17.4,65,0.01,65,NA,NA
"14:05:00 07/08/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,439,65,NA,NA,NA,NA,NA,NA,11.7,65,7.9,65,0.008,65,NA,NA,NA,NA,NA,NA,0.59,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,NA,NA,58,65,67.4,65,10.1,65,NA,NA,NA,NA
"14:05:00 20/05/2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,65,410,65,NA,NA,NA,NA,NA,NA,7.4,65,7.2,65,0.02,65,NA,NA,NA,NA,NA,NA,0.48,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,NA,NA,24,65,31.3,65,12.1,65,NA,NA,NA,NA
"14:10:00 02/09/2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,457,65,NA,NA,NA,NA,NA,NA,10.3,65,7.4,65,0.006,65,NA,NA,NA,NA,NA,NA,0.61,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,NA,NA,34,65,41.1,65,12.2,65,NA,NA,NA,NA
"14:10:00 10/06/2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,423,65,NA,NA,NA,NA,NA,NA,8.6,65,7.3,65,0.005,65,NA,NA,NA,NA,NA,NA,0.41,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,NA,NA,20,65,24.9,65,12.5,65,NA,NA,NA,NA
"14:10:00 29/08/2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,1,317,1,NA,NA,NA,NA,NA,NA,7.2,1,7.2,1,0.009,1,NA,NA,NA,NA,NA,NA,0.76,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,1,NA,NA,24,1,89,1,11.5,1,NA,NA,NA,NA
"14:12:00 04/09/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,451,65,NA,NA,NA,NA,NA,NA,10.2,65,7.3,65,0.009,65,NA,NA,NA,NA,NA,NA,0.53,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,65,NA,NA,30,65,33.3,65,12.1,65,NA,NA,NA,NA
"14:12:00 09/07/2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,194,65,NA,NA,NA,NA,NA,NA,9.8,65,7.4,65,0.003,65,NA,NA,NA,NA,NA,NA,0.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,NA,NA,20,65,32.7,65,8.8,65,NA,NA,NA,NA
"14:13:00 15/05/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,781,65,NA,NA,NA,NA,NA,NA,7.2,65,6.9,65,0.003,65,NA,NA,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,NA,NA,24,65,33.7,65,14.6,65,NA,NA,NA,NA
"14:15:00 21/10/2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,1,331.1,1,NA,NA,NA,NA,NA,NA,6.2,1,6.9,1,0.008,1,NA,NA,NA,NA,NA,NA,1.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.204,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114,1,NA,NA,23,1,40.8,1,16.6,1,NA,NA,NA,NA
"14:15:00 24/09/2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,1,422.5,1,NA,NA,NA,NA,NA,NA,9.4,1,7,1,0.014,1,NA,NA,NA,NA,NA,NA,0.05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016,1,NA,NA,34,1,34.9,1,14.4,1,NA,NA,NA,NA
"14:16:00 12/05/2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,65,384,65,NA,NA,NA,NA,NA,NA,8.5,65,6.9,65,0.008,65,NA,NA,NA,NA,NA,NA,0.48,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,NA,NA,30,65,39.2,65,14.2,65,NA,NA,NA,NA
"14:20:00 18/09/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,282,65,NA,NA,NA,NA,NA,NA,10.2,65,6.6,65,0.003,65,NA,NA,NA,NA,NA,NA,0.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,NA,NA,41,65,39.3,65,12.8,65,NA,NA,NA,NA
"14:20:00 21/08/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,65,567,65,NA,NA,NA,NA,NA,NA,9.8,65,6.9,65,0.007,65,NA,NA,NA,NA,NA,NA,0.75,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,NA,NA,41,65,31,65,10.7,65,NA,NA,NA,NA
"14:20:00 30/09/2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,334,65,NA,NA,NA,NA,NA,NA,9.4,65,7.8,65,0.005,65,NA,NA,NA,NA,NA,NA,0.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,NA,NA,30,65,33.1,65,15,65,NA,NA,NA,NA
"14:30:00 08/06/2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1,346,1,NA,NA,NA,NA,NA,NA,9.8,1,7.1,1,0.01,1,NA,NA,NA,NA,NA,NA,0.78,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1,NA,NA,44,1,53.8,1,9.7,1,NA,NA,NA,NA
"14:30:00 22/01/2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,65,506,65,NA,NA,NA,NA,NA,NA,5.1,65,7.1,65,0.25,65,NA,NA,NA,NA,NA,NA,1.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,65,NA,NA,34,65,49.7,65,21.6,65,NA,NA,NA,NA
"14:30:00 25/10/2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,1,320,1,NA,NA,NA,NA,NA,NA,7.7,1,7.1,1,0.024,1,NA,NA,NA,NA,NA,NA,0.72,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,1,NA,NA,68,1,71.9,1,17.3,1,NA,NA,NA,NA
"14:30:00 30/04/2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,338,1,NA,NA,NA,NA,NA,NA,8.1,1,7.1,1,0.007,1,NA,NA,NA,NA,NA,NA,0.45,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.079,1,NA,NA,40,1,56.8,1,15.4,1,NA,NA,NA,NA
"14:35:00 10/02/2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,65,471,65,NA,NA,NA,NA,NA,NA,4.8,65,6.7,65,0.02,65,NA,NA,NA,NA,NA,NA,0.95,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,65,NA,NA,29,65,33.5,65,21.3,65,NA,NA,NA,NA
"14:35:00 26/05/2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,401,1,NA,NA,NA,NA,NA,NA,9.9,1,7.2,1,0.007,1,NA,NA,NA,NA,NA,NA,0.62,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.089,1,NA,NA,90,1,44,1,11.5,1,NA,NA,NA,NA
"14:40:00 09/09/2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,1,64,1,NA,NA,NA,NA,NA,NA,8.5,1,6.5,1,0.028,1,NA,NA,NA,NA,NA,NA,0.45,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.096,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,1,NA,NA,58,1,74.3,1,12.5,1,NA,NA,NA,NA
"14:45:00 27/02/2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,306,1,NA,NA,NA,NA,NA,NA,7.1,1,7.1,1,0.003,1,NA,NA,NA,NA,NA,NA,0.67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1,NA,NA,37,1,49.9,1,25.6,1,NA,NA,NA,NA
"14:50:00 04/06/2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,65,355,65,NA,NA,NA,NA,NA,NA,8.3,65,6.8,65,0.006,65,NA,NA,NA,NA,NA,NA,0.47,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,NA,NA,28,65,28.4,65,12.6,65,NA,NA,NA,NA
"14:50:00 26/08/2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,387,1,NA,NA,NA,NA,NA,NA,9.8,1,7,1,0.011,1,NA,NA,NA,NA,NA,NA,0.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,1,NA,NA,69,1,70.1,1,10.2,1,NA,NA,NA,NA
"14:55:00 15/10/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,388,65,NA,NA,NA,NA,NA,NA,8.5,65,7.6,65,0.01,65,NA,NA,NA,NA,NA,NA,0.63,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,65,NA,NA,2,65,48.1,65,16,65,NA,NA,NA,NA
"15:00:00 14/12/2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,240.5,1,NA,NA,NA,NA,NA,NA,7.5,1,7.3,1,0.093,1,NA,NA,NA,NA,NA,NA,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.182,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105,1,NA,NA,50,1,56.7,1,20.1,1,NA,NA,NA,NA
"15:10:00 05/05/2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,65,355,65,NA,NA,NA,NA,NA,NA,9.4,65,6.9,65,0.008,65,NA,NA,NA,NA,NA,NA,0.41,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,NA,NA,20,65,29.7,65,11.7,65,NA,NA,NA,NA
"15:15:00 26/06/2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,65,365,65,NA,NA,NA,NA,NA,NA,9.9,65,6.6,65,0.006,65,NA,NA,NA,NA,NA,NA,0.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,NA,NA,27,65,31.5,65,11.1,65,NA,NA,NA,NA
"15:25:00 12/05/2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1,354,1,NA,NA,NA,NA,NA,NA,8.4,1,6.8,1,0.009,1,NA,NA,NA,NA,NA,NA,0.53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,1,NA,NA,46,1,47.4,1,11.4,1,NA,NA,NA,NA
