"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"11:40:00 08/09/2015",40,1,71,1,11.6,1,6.7,1,0.003,1,0.16,1,0.12,1,NA,NA,0.007,1,2,1,8.7,1,10,1
"11:40:00 09/10/2013",55,1,88,1,9.6,1,7,1,0.003,1,0.17,1,0.16,1,NA,NA,0.014,1,3,1,6.6,1,14.5,1
"11:40:00 14/03/2012",50,1,78,1,8.9,1,7,1,0.003,1,0.29,1,0.057,1,NA,NA,0.018,1,5,1,10.3,1,20,1
"11:45:00 08/03/2017",NA,NA,69,1,8,1,6.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,1,20,1
"11:45:00 28/11/2006",30,65,95,65,7.8,65,6.9,65,0.003,65,0.25,65,0.003,65,NA,NA,0.009,65,2,65,3,65,20.7,65
"11:50:00 11/04/2018",NA,NA,63,1,9.2,1,7,1,0.003,1,0.21,1,0.009,1,NA,NA,0.01,1,NA,NA,5.3,1,17,1
"11:50:00 14/09/2006",35,65,138,65,11,65,6.5,65,0.003,65,0.17,65,0.08,65,NA,NA,0.01,65,2,65,4.5,65,11.8,65
"11:55:00 04/07/2017",NA,NA,87,1,11.8,1,6.6,1,0.003,1,0.17,1,0.052,1,NA,NA,0.01,1,NA,NA,4.4,1,6,1
"12:00:00 09/04/2013",30,1,84,1,9.3,1,7,1,0.003,1,0.21,1,0.005,1,NA,NA,0.011,1,2,1,4.4,1,17.5,1
"12:00:00 11/06/2009",25,65,67,65,12.3,65,7,65,0.003,65,0.2,65,0.01,65,NA,NA,0.01,65,2,65,5.2,65,8.5,65
"12:00:00 12/11/2014",40,1,82,1,9.2,1,6.5,1,0.003,1,0.2,1,0.043,1,NA,NA,0.005,1,3,1,6.4,1,17.5,1
"12:10:00 04/10/2016",NA,NA,70,1,10.5,1,6.7,1,0.004,1,0.18,1,0.14,1,NA,NA,0.012,1,NA,NA,6.2,1,13.6,1
"12:10:00 07/04/2010",40,1,90,1,8.3,1,7,1,0.001,1,0.11,1,0.03,1,NA,NA,0.005,1,1,1,7.1,1,18,1
"12:10:00 08/07/2014",70,1,78,1,10.8,1,6.6,1,0.003,1,0.24,1,0.12,1,NA,NA,0.005,1,7,1,14.7,1,10,1
"12:10:00 08/12/2010",45,1,96,1,8.4,1,7,1,0.003,1,0.3,1,0.059,1,NA,NA,0.009,1,8,1,16.9,1,21.5,1
"12:10:00 11/08/2010",70,1,160,1,11.1,1,6.8,1,0.003,1,0.4,1,0.27,1,NA,NA,0.017,1,9,1,30,1,7.5,1
"12:15:00 03/03/2010",42,1,111.7,1,8,1,7,1,0.001,1,0.16,1,0.009,1,NA,NA,0.005,1,3,1,4.5,1,19.5,1
"12:15:00 07/08/2018",NA,NA,112,1,11.2,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,1,8,1
"12:15:00 08/03/2016",NA,NA,71,1,7.9,1,7,1,0.003,1,0.2,1,0.021,1,NA,NA,0.005,1,NA,NA,5.5,1,23.5,1
"12:15:00 10/07/2018",NA,NA,89,1,11,1,6.9,1,0.003,1,0.19,1,0.12,1,NA,NA,0.012,1,NA,NA,8.1,1,8.5,1
"12:15:00 13/07/2011",60,1,88,1,10.7,1,7.2,1,0.003,1,0.27,1,0.15,1,NA,NA,0.015,1,8,1,19,1,9,1
"12:20:00 10/11/2010",30,1,68,1,8.9,1,6.8,1,0.009,1,0.2,1,0.023,1,NA,NA,0.013,1,5,1,6.2,1,18.5,1
"12:20:00 11/05/2010",33,1,130.4,1,10.1,1,6.9,1,0.001,1,0.15,1,0.007,1,NA,NA,0.005,1,1,1,4.8,1,12,1
